Time,THERMAL ZONE 2:CHICAGO MIDWAY AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:CHICAGO MIDWAY AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:CHICAGO MIDWAY AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:CHICAGO MIDWAY AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 3:CHICAGO MIDWAY AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:CHICAGO MIDWAY AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:CHICAGO MIDWAY AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:CHICAGO MIDWAY AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 1:CHICAGO MIDWAY AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:CHICAGO MIDWAY AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:CHICAGO MIDWAY AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:CHICAGO MIDWAY AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 4:CHICAGO MIDWAY AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:CHICAGO MIDWAY AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 4:CHICAGO MIDWAY AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:CHICAGO MIDWAY AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 5:CHICAGO MIDWAY AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5:CHICAGO MIDWAY AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 5:CHICAGO MIDWAY AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5:CHICAGO MIDWAY AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s] 
00:15:00,5.497609E+03,2.478254E+02,3.367686E-01,1.734639E-02,7.210370E+03,1.490084E+03,4.418040E-01,1.042990E-01,5.520255E+03,3.730749E+02,3.381558E-01,2.611448E-02,5.520255E+03,2.316548E+02,3.381558E-01,1.621442E-02,5.497609E+03,2.167720E+02,3.367686E-01,1.517263E-02 
00:30:00,5.497627E+03,2.198709E+02,3.367697E-01,1.538959E-02,7.210400E+03,1.448719E+03,4.418059E-01,1.014035E-01,5.520273E+03,3.354752E+02,3.381570E-01,2.348233E-02,5.520273E+03,2.039336E+02,3.381570E-01,1.427397E-02,5.497627E+03,1.907937E+02,3.367697E-01,1.335419E-02 
00:45:00,5.497643E+03,1.929807E+02,3.367707E-01,1.350730E-02,7.210426E+03,1.408637E+03,4.418075E-01,9.859766E-02,5.520289E+03,2.996839E+02,3.381579E-01,2.097678E-02,5.520289E+03,1.773079E+02,3.381579E-01,1.241022E-02,5.497643E+03,1.657123E+02,3.367707E-01,1.159855E-02 
01:00:00,5.497657E+03,1.671168E+02,3.367716E-01,1.169688E-02,7.210450E+03,1.369782E+03,4.418089E-01,9.587774E-02,5.520304E+03,2.656233E+02,3.381588E-01,1.859242E-02,5.520304E+03,1.517307E+02,3.381588E-01,1.061989E-02,5.497657E+03,1.415035E+02,3.367716E-01,9.904016E-03 
01:15:00,5.497670E+03,1.438488E+02,3.367723E-01,1.006818E-02,7.210470E+03,1.337263E+03,4.418102E-01,9.360135E-02,5.520316E+03,2.348133E+02,3.381596E-01,1.643564E-02,5.520316E+03,1.287647E+02,3.381596E-01,9.012342E-03,5.497670E+03,1.197506E+02,3.367723E-01,8.381400E-03 
01:30:00,5.497681E+03,1.219587E+02,3.367730E-01,8.535958E-03,7.210488E+03,1.306447E+03,4.418113E-01,9.144421E-02,5.520327E+03,2.059903E+02,3.381603E-01,1.441800E-02,5.520327E+03,1.071840E+02,3.381603E-01,7.501805E-03,5.497681E+03,9.924565E+01,3.367730E-01,6.946171E-03 
01:45:00,5.497691E+03,1.014169E+02,3.367736E-01,7.098142E-03,7.210504E+03,1.277228E+03,4.418122E-01,8.939884E-02,5.520337E+03,1.790768E+02,3.381609E-01,1.253406E-02,5.520337E+03,8.695435E+01,3.381609E-01,6.085863E-03,5.497691E+03,7.997050E+01,3.367736E-01,5.597046E-03 
02:00:00,5.497700E+03,8.219161E+01,3.367742E-01,5.752507E-03,7.210518E+03,1.249528E+03,4.418131E-01,8.745988E-02,5.520346E+03,1.539966E+02,3.381614E-01,1.077850E-02,5.520346E+03,6.804013E+01,3.381614E-01,4.762020E-03,5.497700E+03,6.190344E+01,3.367742E-01,4.332507E-03 
02:15:00,5.497708E+03,6.389564E+01,3.367747E-01,4.471943E-03,7.210531E+03,1.222923E+03,4.418139E-01,8.559757E-02,5.520354E+03,1.303212E+02,3.381619E-01,9.121303E-03,5.520354E+03,5.005123E+01,3.381619E-01,3.502969E-03,5.497708E+03,4.466671E+01,3.367747E-01,3.126109E-03 
02:30:00,5.497715E+03,4.649581E+01,3.367751E-01,3.254126E-03,7.210542E+03,1.197376E+03,4.418146E-01,8.380924E-02,5.520361E+03,1.079773E+02,3.381624E-01,7.557345E-03,5.520361E+03,3.295361E+01,3.381624E-01,2.306325E-03,5.497715E+03,2.823725E+01,3.367751E-01,1.976236E-03 
