Time,AIR LOOP HVAC 1:Des Heat Mass Flow [kg/s],AIR LOOP HVAC 1:Des Cool Mass Flow [kg/s],AIR LOOP HVAC 1:Des Heat Cap [W],AIR LOOP HVAC 1:Des Sens Cool Cap [W] 
00:15:00,1.214163E+00,0.000000E+00,3.550379E+04,0.000000E+00 
00:30:00,1.214163E+00,0.000000E+00,3.550379E+04,0.000000E+00 
00:45:00,1.214163E+00,0.000000E+00,3.550379E+04,0.000000E+00 
01:00:00,1.214163E+00,0.000000E+00,3.550379E+04,0.000000E+00 
01:15:00,1.214163E+00,0.000000E+00,3.550379E+04,0.000000E+00 
01:30:00,1.214163E+00,0.000000E+00,3.550379E+04,0.000000E+00 
01:45:00,1.214163E+00,0.000000E+00,3.550379E+04,0.000000E+00 
02:00:00,1.214163E+00,0.000000E+00,3.550379E+04,0.000000E+00 
02:15:00,1.214163E+00,0.000000E+00,3.550379E+04,0.000000E+00 
02:30:00,1.214163E+00,0.000000E+00,3.550379E+04,0.000000E+00 
02:45:00,1.214163E+00,0.000000E+00,3.550379E+04,0.000000E+00 
03:00:00,1.214163E+00,0.000000E+00,3.550379E+04,0.000000E+00 
03:15:00,1.214163E+00,0.000000E+00,3.550379E+04,0.000000E+00 
03:30:00,1.214163E+00,0.000000E+00,3.550379E+04,0.000000E+00 
03:45:00,1.214163E+00,0.000000E+00,3.550379E+04,0.000000E+00 
04:00:00,1.214163E+00,0.000000E+00,3.550379E+04,0.000000E+00 
04:15:00,1.214163E+00,0.000000E+00,3.550379E+04,0.000000E+00 
04:30:00,1.214163E+00,0.000000E+00,3.550379E+04,0.000000E+00 
04:45:00,1.214163E+00,0.000000E+00,3.550379E+04,0.000000E+00 
05:00:00,1.214163E+00,0.000000E+00,3.550379E+04,0.000000E+00 
05:15:00,1.214163E+00,0.000000E+00,3.550379E+04,0.000000E+00 
05:30:00,1.214163E+00,0.000000E+00,3.550379E+04,0.000000E+00 
05:45:00,1.214163E+00,0.000000E+00,3.550379E+04,0.000000E+00 
06:00:00,1.214163E+00,0.000000E+00,3.550379E+04,0.000000E+00 
06:15:00,1.214163E+00,0.000000E+00,3.550379E+04,0.000000E+00 
06:30:00,1.214163E+00,0.000000E+00,3.550379E+04,0.000000E+00 
06:45:00,1.214163E+00,0.000000E+00,3.550379E+04,0.000000E+00 
07:00:00,1.214163E+00,0.000000E+00,3.550379E+04,0.000000E+00 
07:15:00,1.214163E+00,0.000000E+00,3.550379E+04,0.000000E+00 
07:30:00,1.214163E+00,0.000000E+00,3.550379E+04,0.000000E+00 
07:45:00,1.214163E+00,0.000000E+00,3.550379E+04,0.000000E+00 
08:00:00,1.214163E+00,6.623515E-04,3.550379E+04,7.682004E+00 
08:15:00,1.214163E+00,7.500011E-03,3.550379E+04,9.296400E+01 
08:30:00,1.214163E+00,1.648264E-02,3.550379E+04,2.174438E+02 
08:45:00,1.214163E+00,2.837020E-02,3.550379E+04,3.968818E+02 
09:00:00,1.214163E+00,4.306639E-02,3.550379E+04,6.368009E+02 
09:15:00,1.214163E+00,5.417364E-02,3.550379E+04,8.396748E+02 
09:30:00,1.214163E+00,6.530644E-02,3.550379E+04,1.058806E+03 
09:45:00,1.214163E+00,7.529019E-02,3.550379E+04,1.274368E+03 
10:00:00,1.214163E+00,8.310312E-02,3.550379E+04,1.465880E+03 
10:15:00,1.214163E+00,8.914680E-02,3.550379E+04,1.628585E+03 
10:30:00,1.214163E+00,9.340786E-02,3.550379E+04,1.765210E+03 
10:45:00,1.214163E+00,9.591860E-02,3.550379E+04,1.873018E+03 
11:00:00,1.214163E+00,9.680190E-02,3.550379E+04,1.951184E+03 
11:15:00,1.214163E+00,9.614428E-02,3.550379E+04,1.978263E+03 
11:30:00,1.214163E+00,9.544916E-02,3.550379E+04,2.004004E+03 
11:45:00,1.214163E+00,9.749737E-02,3.550379E+04,2.087910E+03 
12:00:00,1.214163E+00,9.824814E-02,3.550379E+04,2.145206E+03 
12:15:00,1.214163E+00,9.914177E-02,3.550379E+04,2.197992E+03 
12:30:00,1.214163E+00,9.881966E-02,3.550379E+04,2.224017E+03 
12:45:00,1.214163E+00,9.516082E-02,3.550379E+04,2.173610E+03 
13:00:00,1.214163E+00,9.278007E-02,3.550379E+04,2.150370E+03 
13:15:00,1.214163E+00,9.133966E-02,3.550379E+04,2.136145E+03 
13:30:00,1.214163E+00,9.126572E-02,3.550379E+04,2.153560E+03 
13:45:00,1.214163E+00,9.227065E-02,3.550379E+04,2.196628E+03 
14:00:00,1.214163E+00,9.420890E-02,3.550379E+04,2.262532E+03 
14:15:00,1.214163E+00,9.604444E-02,3.550379E+04,2.306615E+03 
14:30:00,1.214163E+00,1.010917E-01,3.550379E+04,2.427831E+03 
14:45:00,1.214163E+00,1.101154E-01,3.550379E+04,2.644544E+03 
15:00:00,1.214163E+00,1.230801E-01,3.550379E+04,2.955906E+03 
15:15:00,1.214163E+00,1.389579E-01,3.550379E+04,3.302251E+03 
15:30:00,1.214163E+00,1.540328E-01,3.550379E+04,3.621726E+03 
15:45:00,1.214163E+00,1.667185E-01,3.550379E+04,3.878034E+03 
16:00:00,1.214163E+00,1.762223E-01,3.550379E+04,4.054744E+03 
16:15:00,1.214163E+00,1.831724E-01,3.550379E+04,4.153184E+03 
16:30:00,1.214163E+00,1.877510E-01,3.550379E+04,4.193984E+03 
16:45:00,1.214163E+00,1.902923E-01,3.550379E+04,4.186885E+03 
17:00:00,1.214163E+00,1.906433E-01,3.550379E+04,4.130622E+03 
17:15:00,1.214163E+00,1.892711E-01,3.550379E+04,4.021487E+03 
17:30:00,1.214163E+00,1.863964E-01,3.550379E+04,3.882210E+03 
17:45:00,1.214163E+00,1.823457E-01,3.550379E+04,3.721342E+03 
18:00:00,1.214163E+00,1.776153E-01,3.550379E+04,3.550290E+03 
18:15:00,1.214163E+00,1.716046E-01,3.550379E+04,3.322155E+03 
18:30:00,1.214163E+00,1.640894E-01,3.550379E+04,3.073404E+03 
18:45:00,1.214163E+00,1.549503E-01,3.550379E+04,2.804720E+03 
19:00:00,1.214163E+00,1.435852E-01,3.550379E+04,2.508646E+03 
19:15:00,1.214163E+00,1.303195E-01,3.550379E+04,2.216734E+03 
19:30:00,1.214163E+00,1.147037E-01,3.550379E+04,1.898175E+03 
19:45:00,1.214163E+00,9.672326E-02,3.550379E+04,1.555990E+03 
20:00:00,1.214163E+00,7.789291E-02,3.550379E+04,1.217120E+03 
20:15:00,1.214163E+00,5.716214E-02,3.550379E+04,8.716069E+02 
20:30:00,1.214163E+00,3.749251E-02,3.550379E+04,5.575286E+02 
20:45:00,1.214163E+00,2.065918E-02,3.550379E+04,2.994098E+02 
21:00:00,1.214163E+00,8.402408E-03,3.550379E+04,1.186021E+02 
21:15:00,1.214163E+00,2.334126E-03,3.550379E+04,3.206547E+01 
21:30:00,1.214163E+00,2.334500E-05,3.550379E+04,3.118914E-01 
21:45:00,1.214163E+00,0.000000E+00,3.550379E+04,0.000000E+00 
22:00:00,1.214163E+00,0.000000E+00,3.550379E+04,0.000000E+00 
22:15:00,1.214163E+00,0.000000E+00,3.550379E+04,0.000000E+00 
22:30:00,1.214163E+00,0.000000E+00,3.550379E+04,0.000000E+00 
22:45:00,1.214163E+00,0.000000E+00,3.550379E+04,0.000000E+00 
23:00:00,1.214163E+00,0.000000E+00,3.550379E+04,0.000000E+00 
23:15:00,1.214163E+00,0.000000E+00,3.550379E+04,0.000000E+00 
23:30:00,1.214163E+00,0.000000E+00,3.550379E+04,0.000000E+00 
23:45:00,1.214163E+00,0.000000E+00,3.550379E+04,0.000000E+00 
24:00:00,1.214163E+00,0.000000E+00,3.550379E+04,0.000000E+00 
Coinc Peak   ,1.214163E+00,1.906433E-01,3.550379E+04,7.354479E+03 
NonCoinc Peak,1.214163E+00,3.492876E-01,3.550379E+04,7.354479E+03 
