Time,THERMAL ZONE 4:SAN FRANCISCO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:SAN FRANCISCO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 4:SAN FRANCISCO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:SAN FRANCISCO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 1:SAN FRANCISCO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:SAN FRANCISCO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:SAN FRANCISCO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:SAN FRANCISCO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2:SAN FRANCISCO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:SAN FRANCISCO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:SAN FRANCISCO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:SAN FRANCISCO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 5:SAN FRANCISCO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5:SAN FRANCISCO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 5:SAN FRANCISCO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5:SAN FRANCISCO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 3:SAN FRANCISCO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:SAN FRANCISCO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:SAN FRANCISCO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:SAN FRANCISCO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s] 
00:15:00,2.807209E+03,0.000000E+00,1.720234E-01,0.000000E+00,2.808034E+03,0.000000E+00,1.720739E-01,0.000000E+00,5.210401E+03,1.055060E+03,3.193198E-01,7.383969E-02,2.807209E+03,0.000000E+00,1.720234E-01,0.000000E+00,2.808034E+03,0.000000E+00,1.720739E-01,0.000000E+00 
00:30:00,2.807217E+03,0.000000E+00,1.720239E-01,0.000000E+00,2.808042E+03,0.000000E+00,1.720744E-01,0.000000E+00,5.210416E+03,1.006553E+03,3.193208E-01,7.044440E-02,2.807217E+03,0.000000E+00,1.720239E-01,0.000000E+00,2.808042E+03,0.000000E+00,1.720744E-01,0.000000E+00 
00:45:00,2.807224E+03,0.000000E+00,1.720243E-01,0.000000E+00,2.808049E+03,0.000000E+00,1.720749E-01,0.000000E+00,5.210430E+03,9.581569E+02,3.193216E-01,6.705700E-02,2.807224E+03,0.000000E+00,1.720243E-01,0.000000E+00,2.808049E+03,0.000000E+00,1.720749E-01,0.000000E+00 
01:00:00,2.807230E+03,0.000000E+00,1.720247E-01,0.000000E+00,2.808055E+03,0.000000E+00,1.720752E-01,0.000000E+00,5.210441E+03,9.098618E+02,3.193223E-01,6.367675E-02,2.807230E+03,0.000000E+00,1.720247E-01,0.000000E+00,2.808055E+03,0.000000E+00,1.720752E-01,0.000000E+00 
01:15:00,2.807235E+03,0.000000E+00,1.720250E-01,0.000000E+00,2.808061E+03,0.000000E+00,1.720756E-01,0.000000E+00,5.210451E+03,8.680252E+02,3.193229E-01,6.074857E-02,2.807235E+03,0.000000E+00,1.720250E-01,0.000000E+00,2.808061E+03,0.000000E+00,1.720756E-01,0.000000E+00 
01:30:00,2.807240E+03,0.000000E+00,1.720253E-01,0.000000E+00,2.808066E+03,0.000000E+00,1.720759E-01,0.000000E+00,5.210460E+03,8.271541E+02,3.193234E-01,5.788802E-02,2.807240E+03,0.000000E+00,1.720253E-01,0.000000E+00,2.808066E+03,0.000000E+00,1.720759E-01,0.000000E+00 
01:45:00,2.807245E+03,0.000000E+00,1.720256E-01,0.000000E+00,2.808070E+03,0.000000E+00,1.720762E-01,0.000000E+00,5.210468E+03,7.871992E+02,3.193239E-01,5.509164E-02,2.807245E+03,0.000000E+00,1.720256E-01,0.000000E+00,2.808070E+03,0.000000E+00,1.720762E-01,0.000000E+00 
02:00:00,2.807249E+03,0.000000E+00,1.720259E-01,0.000000E+00,2.808074E+03,0.000000E+00,1.720764E-01,0.000000E+00,5.210475E+03,7.482398E+02,3.193244E-01,5.236497E-02,2.807249E+03,0.000000E+00,1.720259E-01,0.000000E+00,2.808074E+03,0.000000E+00,1.720764E-01,0.000000E+00 
02:15:00,2.807253E+03,0.000000E+00,1.720261E-01,0.000000E+00,2.808078E+03,0.000000E+00,1.720767E-01,0.000000E+00,5.210482E+03,7.098603E+02,3.193247E-01,4.967893E-02,2.807253E+03,0.000000E+00,1.720261E-01,0.000000E+00,2.808078E+03,0.000000E+00,1.720767E-01,0.000000E+00 
02:30:00,2.807256E+03,0.000000E+00,1.720263E-01,0.000000E+00,2.808081E+03,0.000000E+00,1.720769E-01,0.000000E+00,5.210487E+03,6.721156E+02,3.193251E-01,4.703733E-02,2.807256E+03,0.000000E+00,1.720263E-01,0.000000E+00,2.808081E+03,0.000000E+00,1.720769E-01,0.000000E+00 
