Time,THERMAL ZONE 3:TAMPA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:TAMPA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:TAMPA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:TAMPA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 1:TAMPA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:TAMPA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:TAMPA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:TAMPA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2:TAMPA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:TAMPA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:TAMPA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:TAMPA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 5:TAMPA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5:TAMPA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 5:TAMPA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5:TAMPA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 4:TAMPA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:TAMPA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 4:TAMPA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:TAMPA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s] 
00:15:00,2.407244E+03,2.741141E+02,1.475127E-01,1.918788E-02,2.926982E+03,1.078088E+03,1.793804E-01,7.546389E-02,2.407252E+03,4.064652E+02,1.475132E-01,2.845452E-02,2.407615E+03,3.023681E+02,1.475354E-01,2.116598E-02,2.407252E+03,2.790216E+02,1.475132E-01,1.953146E-02 
00:30:00,2.407251E+03,2.528723E+02,1.475131E-01,1.770083E-02,2.926992E+03,1.049368E+03,1.793810E-01,7.345346E-02,2.407259E+03,3.758688E+02,1.475136E-01,2.631236E-02,2.407622E+03,2.792648E+02,1.475358E-01,1.954859E-02,2.407259E+03,2.575958E+02,1.475136E-01,1.803152E-02 
00:45:00,2.407256E+03,2.323337E+02,1.475134E-01,1.626299E-02,2.927001E+03,1.021414E+03,1.793816E-01,7.149672E-02,2.407264E+03,3.465772E+02,1.475139E-01,2.426153E-02,2.407628E+03,2.569926E+02,1.475362E-01,1.798935E-02,2.407264E+03,2.368647E+02,1.475139E-01,1.658021E-02 
01:00:00,2.407261E+03,2.124834E+02,1.475138E-01,1.487334E-02,2.927009E+03,9.942149E+02,1.793821E-01,6.959269E-02,2.407270E+03,3.185680E+02,1.475143E-01,2.230050E-02,2.407633E+03,2.355291E+02,1.475365E-01,1.648673E-02,2.407270E+03,2.168157E+02,1.475143E-01,1.517664E-02 
01:15:00,2.407266E+03,1.946254E+02,1.475140E-01,1.362317E-02,2.927016E+03,9.711025E+02,1.793825E-01,6.797475E-02,2.407274E+03,2.931208E+02,1.475145E-01,2.051884E-02,2.407637E+03,2.161697E+02,1.475368E-01,1.513142E-02,2.407274E+03,1.987541E+02,1.475145E-01,1.391220E-02 
01:30:00,2.407270E+03,1.777413E+02,1.475143E-01,1.244120E-02,2.927022E+03,9.490587E+02,1.793829E-01,6.643162E-02,2.407278E+03,2.691921E+02,1.475148E-01,1.884354E-02,2.407641E+03,1.978890E+02,1.475370E-01,1.385165E-02,2.407278E+03,1.816627E+02,1.475148E-01,1.271572E-02 
01:45:00,2.407274E+03,1.618190E+02,1.475145E-01,1.132657E-02,2.927028E+03,9.280333E+02,1.793832E-01,6.495979E-02,2.407282E+03,2.467382E+02,1.475150E-01,1.727153E-02,2.407645E+03,1.806674E+02,1.475373E-01,1.264605E-02,2.407282E+03,1.655309E+02,1.475150E-01,1.158642E-02 
02:00:00,2.407277E+03,1.468407E+02,1.475147E-01,1.027805E-02,2.927032E+03,9.079867E+02,1.793835E-01,6.355649E-02,2.407285E+03,2.257102E+02,1.475152E-01,1.579937E-02,2.407648E+03,1.644808E+02,1.475375E-01,1.151291E-02,2.407285E+03,1.503425E+02,1.475152E-01,1.052318E-02 
02:15:00,2.407280E+03,1.325223E+02,1.475149E-01,9.275737E-03,2.927037E+03,8.886715E+02,1.793838E-01,6.220438E-02,2.407288E+03,2.057924E+02,1.475154E-01,1.440497E-02,2.407651E+03,1.490385E+02,1.475376E-01,1.043190E-02,2.407288E+03,1.358143E+02,1.475154E-01,9.506184E-03 
02:30:00,2.407283E+03,1.188482E+02,1.475151E-01,8.318545E-03,2.927041E+03,8.700700E+02,1.793840E-01,6.090224E-02,2.407291E+03,1.869376E+02,1.475156E-01,1.308501E-02,2.407654E+03,1.343189E+02,1.475378E-01,9.401509E-03,2.407291E+03,1.219323E+02,1.475156E-01,8.534438E-03 
