Time,THERMAL ZONE 3:SACRAMENTO METROPOLITAN AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:SACRAMENTO METROPOLITAN AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:SACRAMENTO METROPOLITAN AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:SACRAMENTO METROPOLITAN AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 4:SACRAMENTO METROPOLITAN AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:SACRAMENTO METROPOLITAN AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 4:SACRAMENTO METROPOLITAN AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:SACRAMENTO METROPOLITAN AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2:SACRAMENTO METROPOLITAN AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:SACRAMENTO METROPOLITAN AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:SACRAMENTO METROPOLITAN AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:SACRAMENTO METROPOLITAN AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 5:SACRAMENTO METROPOLITAN AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5:SACRAMENTO METROPOLITAN AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 5:SACRAMENTO METROPOLITAN AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5:SACRAMENTO METROPOLITAN AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 1:SACRAMENTO METROPOLITAN AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:SACRAMENTO METROPOLITAN AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:SACRAMENTO METROPOLITAN AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:SACRAMENTO METROPOLITAN AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s] 
00:15:00,3.325107E+03,8.732284E+01,2.037394E-01,6.111327E-03,3.325107E+03,1.145979E+02,2.037394E-01,8.020198E-03,3.320947E+03,3.014192E+02,2.034845E-01,2.109528E-02,4.936475E+03,1.531998E+03,3.025170E-01,1.072217E-01,3.320947E+03,1.165618E+02,2.034845E-01,8.157640E-03 
00:30:00,3.325117E+03,4.891122E+01,2.037400E-01,3.423057E-03,3.325117E+03,6.924255E+01,2.037400E-01,4.845957E-03,3.320957E+03,2.435672E+02,2.034852E-01,1.704630E-02,4.936493E+03,1.470130E+03,3.025181E-01,1.028909E-01,3.320957E+03,7.049770E+01,2.034852E-01,4.933799E-03 
00:45:00,3.325126E+03,2.153191E+01,2.037406E-01,1.506907E-03,3.325126E+03,3.479114E+01,2.037406E-01,2.434857E-03,3.320966E+03,1.874467E+02,2.034857E-01,1.311858E-02,4.936509E+03,1.409607E+03,3.025191E-01,9.865444E-02,3.320966E+03,3.547641E+01,2.034857E-01,2.482815E-03 
01:00:00,3.325134E+03,5.064613E+00,2.037411E-01,3.544447E-04,3.325134E+03,1.179817E+01,2.037411E-01,8.256918E-04,3.320974E+03,1.332194E+02,2.034862E-01,9.323401E-03,4.936523E+03,1.350412E+03,3.025199E-01,9.451105E-02,3.320974E+03,1.210310E+01,2.034862E-01,8.470316E-04 
01:15:00,3.325141E+03,0.000000E+00,2.037415E-01,0.000000E+00,3.325141E+03,7.148011E-01,2.037415E-01,5.002490E-05,3.320981E+03,8.310839E+01,2.034866E-01,5.816347E-03,4.936535E+03,1.298132E+03,3.025207E-01,9.085174E-02,3.320981E+03,7.995640E-01,2.034866E-01,5.595698E-05 
01:30:00,3.325147E+03,0.000000E+00,2.037419E-01,0.000000E+00,3.325147E+03,0.000000E+00,2.037419E-01,0.000000E+00,3.320988E+03,4.343784E+01,2.034870E-01,3.039991E-03,4.936546E+03,1.248073E+03,3.025213E-01,8.734804E-02,3.320988E+03,0.000000E+00,2.034870E-01,0.000000E+00 
01:45:00,3.325153E+03,0.000000E+00,2.037422E-01,0.000000E+00,3.325153E+03,0.000000E+00,2.037422E-01,0.000000E+00,3.320993E+03,1.683971E+01,2.034874E-01,1.178521E-03,4.936556E+03,1.199967E+03,3.025219E-01,8.398095E-02,3.320993E+03,0.000000E+00,2.034874E-01,0.000000E+00 
02:00:00,3.325158E+03,0.000000E+00,2.037426E-01,0.000000E+00,3.325158E+03,0.000000E+00,2.037426E-01,0.000000E+00,3.320999E+03,2.984234E+00,2.034877E-01,2.088497E-04,4.936564E+03,1.153577E+03,3.025224E-01,8.073415E-02,3.320999E+03,0.000000E+00,2.034877E-01,0.000000E+00 
02:15:00,3.325163E+03,0.000000E+00,2.037428E-01,0.000000E+00,3.325163E+03,0.000000E+00,2.037428E-01,0.000000E+00,3.321003E+03,0.000000E+00,2.034880E-01,0.000000E+00,4.936572E+03,1.107809E+03,3.025229E-01,7.753089E-02,3.321003E+03,0.000000E+00,2.034880E-01,0.000000E+00 
02:30:00,3.325167E+03,0.000000E+00,2.037431E-01,0.000000E+00,3.325167E+03,0.000000E+00,2.037431E-01,0.000000E+00,3.321007E+03,0.000000E+00,2.034882E-01,0.000000E+00,4.936579E+03,1.062543E+03,3.025233E-01,7.436275E-02,3.321007E+03,0.000000E+00,2.034882E-01,0.000000E+00 
02:45:00,3.325171E+03,0.000000E+00,2.037433E-01,0.000000E+00,3.325171E+03,0.000000E+00,2.037433E-01,0.000000E+00,3.321011E+03,0.000000E+00,2.034885E-01,0.000000E+00,4.936585E+03,1.017727E+03,3.025237E-01,7.122614E-02,3.321011E+03,0.000000E+00,2.034885E-01,0.000000E+00 
03:00:00,3.325174E+03,0.000000E+00,2.037435E-01,0.000000E+00,3.325174E+03,0.000000E+00,2.037435E-01,0.000000E+00,3.321014E+03,0.000000E+00,2.034887E-01,0.000000E+00,4.936590E+03,9.733392E+02,3.025240E-01,6.811957E-02,3.321014E+03,0.000000E+00,2.034887E-01,0.000000E+00 
03:15:00,3.325177E+03,0.000000E+00,2.037437E-01,0.000000E+00,3.325177E+03,0.000000E+00,2.037437E-01,0.000000E+00,3.321018E+03,0.000000E+00,2.034888E-01,0.000000E+00,4.936595E+03,9.286445E+02,3.025243E-01,6.499151E-02,3.321018E+03,0.000000E+00,2.034888E-01,0.000000E+00 
