Time,AIR LOOP HVAC 1:Des Heat Mass Flow [kg/s],AIR LOOP HVAC 1:Des Cool Mass Flow [kg/s],AIR LOOP HVAC 1:Des Heat Cap [W],AIR LOOP HVAC 1:Des Sens Cool Cap [W] 
00:15:00,3.334193E+00,2.401362E-01,1.832665E+05,1.467846E+03 
00:30:00,3.334202E+00,2.401362E-01,1.832670E+05,1.430927E+03 
00:45:00,3.334211E+00,2.401362E-01,1.832674E+05,1.394007E+03 
01:00:00,3.334218E+00,2.401362E-01,1.832678E+05,1.357088E+03 
01:15:00,3.334224E+00,2.401362E-01,1.832682E+05,1.332475E+03 
01:30:00,3.334230E+00,2.401362E-01,1.832685E+05,1.307862E+03 
01:45:00,3.334235E+00,2.401362E-01,1.832688E+05,1.283249E+03 
02:00:00,3.334240E+00,2.401362E-01,1.832690E+05,1.258636E+03 
02:15:00,3.334244E+00,2.401362E-01,1.832693E+05,1.240177E+03 
02:30:00,3.334248E+00,2.401362E-01,1.832695E+05,1.221717E+03 
02:45:00,3.334251E+00,2.401362E-01,1.832697E+05,1.203257E+03 
03:00:00,3.334254E+00,2.401362E-01,1.832698E+05,1.184797E+03 
03:15:00,3.334257E+00,2.401362E-01,1.832700E+05,1.166338E+03 
03:30:00,3.334259E+00,2.401362E-01,1.832701E+05,1.147878E+03 
03:45:00,3.334261E+00,2.401362E-01,1.832702E+05,1.129418E+03 
04:00:00,3.334264E+00,2.401362E-01,1.832703E+05,1.110959E+03 
04:15:00,3.334265E+00,2.401362E-01,1.832704E+05,1.098652E+03 
04:30:00,3.334267E+00,2.401362E-01,1.832705E+05,1.086346E+03 
04:45:00,3.334269E+00,2.401362E-01,1.832706E+05,1.074039E+03 
05:00:00,3.334270E+00,2.401362E-01,1.832707E+05,1.061733E+03 
05:15:00,3.334272E+00,2.401362E-01,1.832708E+05,1.074039E+03 
05:30:00,3.334273E+00,2.401362E-01,1.832709E+05,1.086346E+03 
05:45:00,3.334274E+00,2.401362E-01,1.832709E+05,1.098652E+03 
06:00:00,3.334275E+00,2.401362E-01,1.832710E+05,1.110959E+03 
06:15:00,3.024123E+00,2.401362E-01,1.662232E+05,1.154031E+03 
06:30:00,2.713786E+00,2.455422E-01,1.491653E+05,1.224053E+03 
06:45:00,2.403477E+00,2.674741E-01,1.321090E+05,1.381362E+03 
07:00:00,2.093099E+00,2.896576E-01,1.150488E+05,1.547883E+03 
07:15:00,2.092832E+00,3.012938E-01,1.150341E+05,1.741310E+03 
07:30:00,2.092711E+00,3.123128E-01,1.150275E+05,1.941040E+03 
07:45:00,2.092526E+00,3.229516E-01,1.150173E+05,2.147840E+03 
08:00:00,2.092378E+00,3.338267E-01,1.150092E+05,2.365584E+03 
08:15:00,2.092246E+00,3.443600E-01,1.150019E+05,2.607879E+03 
08:30:00,2.092131E+00,3.540389E-01,1.149956E+05,2.853543E+03 
08:45:00,2.092034E+00,3.627108E-01,1.149903E+05,3.100026E+03 
09:00:00,2.091955E+00,3.703339E-01,1.149859E+05,3.345478E+03 
09:15:00,2.091889E+00,3.824367E-01,1.149823E+05,3.621402E+03 
09:30:00,2.091834E+00,4.040496E-01,1.149792E+05,4.002067E+03 
09:45:00,2.091787E+00,4.204043E-01,1.149767E+05,4.347189E+03 
10:00:00,2.091747E+00,4.379217E-01,1.149745E+05,4.719090E+03 
10:15:00,2.091713E+00,4.533916E-01,1.149726E+05,5.060060E+03 
10:30:00,2.091684E+00,4.675378E-01,1.149710E+05,5.397640E+03 
10:45:00,2.091660E+00,4.822857E-01,1.149697E+05,5.753273E+03 
11:00:00,2.091639E+00,4.964603E-01,1.149685E+05,6.113182E+03 
11:15:00,2.091620E+00,5.101619E-01,1.149675E+05,6.412621E+03 
11:30:00,2.091604E+00,5.232676E-01,1.149666E+05,6.711438E+03 
11:45:00,2.091591E+00,5.371709E-01,1.149659E+05,7.027407E+03 
12:00:00,2.091579E+00,5.495523E-01,1.149652E+05,7.330199E+03 
12:15:00,2.091568E+00,5.593511E-01,1.149646E+05,7.575562E+03 
12:30:00,2.091559E+00,5.666190E-01,1.149641E+05,7.790147E+03 
12:45:00,2.091551E+00,5.713533E-01,1.149637E+05,7.972359E+03 
13:00:00,2.091544E+00,5.740486E-01,1.149633E+05,8.127643E+03 
13:15:00,2.091538E+00,5.774388E-01,1.149630E+05,8.249623E+03 
13:30:00,2.091532E+00,5.833579E-01,1.149627E+05,8.408928E+03 
13:45:00,2.091527E+00,5.927147E-01,1.149624E+05,8.619741E+03 
14:00:00,2.091523E+00,6.053133E-01,1.149621E+05,8.880512E+03 
14:15:00,2.091519E+00,6.180085E-01,1.149619E+05,9.066762E+03 
14:30:00,2.091515E+00,6.289482E-01,1.149617E+05,9.227259E+03 
14:45:00,2.091512E+00,6.390164E-01,1.149615E+05,9.374969E+03 
15:00:00,2.091509E+00,6.483817E-01,1.149614E+05,9.512366E+03 
15:15:00,2.091506E+00,6.578263E-01,1.149612E+05,9.549791E+03 
15:30:00,2.091504E+00,6.674860E-01,1.149611E+05,9.587401E+03 
15:45:00,2.091502E+00,6.757899E-01,1.149610E+05,9.602775E+03 
16:00:00,2.091500E+00,6.826376E-01,1.149609E+05,9.595129E+03 
16:15:00,2.091498E+00,6.880748E-01,1.149608E+05,9.530504E+03 
16:30:00,2.091496E+00,6.918866E-01,1.149607E+05,9.441470E+03 
16:45:00,2.091495E+00,6.939082E-01,1.149606E+05,9.326812E+03 
17:00:00,2.091493E+00,6.939319E-01,1.149605E+05,9.184881E+03 
17:15:00,2.091492E+00,6.917829E-01,1.149604E+05,8.979175E+03 
17:30:00,2.091491E+00,6.873788E-01,1.149604E+05,8.745878E+03 
17:45:00,2.091489E+00,6.809885E-01,1.149603E+05,8.490075E+03 
18:00:00,2.091488E+00,6.717873E-01,1.149603E+05,8.203223E+03 
18:15:00,2.401774E+00,6.600007E-01,1.320153E+05,7.805619E+03 
18:30:00,2.712118E+00,6.470864E-01,1.490736E+05,7.404173E+03 
18:45:00,3.022499E+00,6.342164E-01,1.661340E+05,7.013143E+03 
19:00:00,3.332901E+00,6.230082E-01,1.831955E+05,6.649746E+03 
19:15:00,3.333030E+00,6.139080E-01,1.832025E+05,6.379576E+03 
19:30:00,3.333133E+00,6.054520E-01,1.832082E+05,6.121048E+03 
19:45:00,3.333238E+00,5.959250E-01,1.832140E+05,5.856763E+03 
20:00:00,3.333357E+00,5.846263E-01,1.832205E+05,5.580935E+03 
20:15:00,3.333490E+00,5.711704E-01,1.832278E+05,5.320761E+03 
20:30:00,3.333613E+00,5.555492E-01,1.832346E+05,5.047124E+03 
20:45:00,3.333713E+00,5.382410E-01,1.832401E+05,4.765754E+03 
21:00:00,3.333794E+00,5.195163E-01,1.832445E+05,4.480150E+03 
21:15:00,3.333862E+00,4.999398E-01,1.832483E+05,4.196036E+03 
21:30:00,3.333919E+00,4.791154E-01,1.832514E+05,3.910764E+03 
21:45:00,3.333967E+00,4.573131E-01,1.832540E+05,3.627339E+03 
22:00:00,3.334008E+00,4.353713E-01,1.832563E+05,3.352897E+03 
22:15:00,3.334043E+00,3.737410E-01,1.832582E+05,2.811231E+03 
22:30:00,3.334073E+00,3.178104E-01,1.832599E+05,2.333524E+03 
22:45:00,3.334098E+00,2.716143E-01,1.832613E+05,1.945610E+03 
23:00:00,3.334120E+00,2.500703E-01,1.832625E+05,1.746433E+03 
23:15:00,3.334139E+00,2.423044E-01,1.832635E+05,1.648736E+03 
23:30:00,3.334156E+00,2.401362E-01,1.832644E+05,1.590910E+03 
23:45:00,3.334170E+00,2.401362E-01,1.832652E+05,1.547838E+03 
24:00:00,3.334182E+00,2.401362E-01,1.832659E+05,1.504765E+03 
Coinc Peak   ,3.334275E+00,6.939319E-01,1.832710E+05,1.076599E+04 
NonCoinc Peak,3.334275E+00,8.944718E-01,1.832710E+05,1.076599E+04 
