Time,THERMAL ZONE 4:FAIRBANKS/INT'L AIRPOR ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:FAIRBANKS/INT'L AIRPOR ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 4:FAIRBANKS/INT'L AIRPOR ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:FAIRBANKS/INT'L AIRPOR ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 3:FAIRBANKS/INT'L AIRPOR ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:FAIRBANKS/INT'L AIRPOR ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:FAIRBANKS/INT'L AIRPOR ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:FAIRBANKS/INT'L AIRPOR ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2:FAIRBANKS/INT'L AIRPOR ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:FAIRBANKS/INT'L AIRPOR ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:FAIRBANKS/INT'L AIRPOR ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:FAIRBANKS/INT'L AIRPOR ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 5:FAIRBANKS/INT'L AIRPOR ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5:FAIRBANKS/INT'L AIRPOR ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 5:FAIRBANKS/INT'L AIRPOR ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5:FAIRBANKS/INT'L AIRPOR ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 1:FAIRBANKS/INT'L AIRPOR ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:FAIRBANKS/INT'L AIRPOR ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:FAIRBANKS/INT'L AIRPOR ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:FAIRBANKS/INT'L AIRPOR ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s] 
00:15:00,1.077701E+04,9.712041E+02,6.603002E-01,6.797008E-02,8.196389E+03,1.010481E+02,5.020321E-01,7.071631E-03,8.187621E+03,0.000000E+00,5.014950E-01,0.000000E+00,8.196389E+03,0.000000E+00,5.020321E-01,0.000000E+00,8.187621E+03,0.000000E+00,5.014950E-01,0.000000E+00 
00:30:00,1.077705E+04,9.088166E+02,6.603023E-01,6.360339E-02,8.196411E+03,5.055995E+01,5.020334E-01,3.538333E-03,8.187643E+03,0.000000E+00,5.014964E-01,0.000000E+00,8.196411E+03,0.000000E+00,5.020334E-01,0.000000E+00,8.187643E+03,0.000000E+00,5.014964E-01,0.000000E+00 
00:45:00,1.077708E+04,8.475290E+02,6.603042E-01,5.931385E-02,8.196430E+03,1.698906E+01,5.020346E-01,1.188947E-03,8.187663E+03,0.000000E+00,5.014976E-01,0.000000E+00,8.196430E+03,0.000000E+00,5.020346E-01,0.000000E+00,8.187663E+03,0.000000E+00,5.014976E-01,0.000000E+00 
01:00:00,1.077711E+04,7.872524E+02,6.603058E-01,5.509517E-02,8.196447E+03,0.000000E+00,5.020357E-01,0.000000E+00,8.187680E+03,0.000000E+00,5.014986E-01,0.000000E+00,8.196447E+03,0.000000E+00,5.020357E-01,0.000000E+00,8.187680E+03,0.000000E+00,5.014986E-01,0.000000E+00 
01:15:00,1.077713E+04,7.331364E+02,6.603073E-01,5.130772E-02,8.196463E+03,0.000000E+00,5.020366E-01,0.000000E+00,8.187695E+03,0.000000E+00,5.014995E-01,0.000000E+00,8.196463E+03,0.000000E+00,5.020366E-01,0.000000E+00,8.187695E+03,0.000000E+00,5.014995E-01,0.000000E+00 
01:30:00,1.077715E+04,6.804566E+02,6.603086E-01,4.762086E-02,8.196476E+03,0.000000E+00,5.020374E-01,0.000000E+00,8.187709E+03,0.000000E+00,5.015004E-01,0.000000E+00,8.196476E+03,0.000000E+00,5.020374E-01,0.000000E+00,8.187709E+03,0.000000E+00,5.015004E-01,0.000000E+00 
01:45:00,1.077717E+04,6.289843E+02,6.603097E-01,4.401854E-02,8.196488E+03,0.000000E+00,5.020382E-01,0.000000E+00,8.187721E+03,0.000000E+00,5.015011E-01,0.000000E+00,8.196488E+03,0.000000E+00,5.020382E-01,0.000000E+00,8.187721E+03,0.000000E+00,5.015011E-01,0.000000E+00 
02:00:00,1.077718E+04,5.785973E+02,6.603107E-01,4.049221E-02,8.196499E+03,0.000000E+00,5.020388E-01,0.000000E+00,8.187732E+03,0.000000E+00,5.015018E-01,0.000000E+00,8.196499E+03,0.000000E+00,5.020388E-01,0.000000E+00,8.187732E+03,0.000000E+00,5.015018E-01,0.000000E+00 
02:15:00,1.077720E+04,5.287851E+02,6.603116E-01,3.700615E-02,8.196509E+03,0.000000E+00,5.020394E-01,0.000000E+00,8.187741E+03,0.000000E+00,5.015024E-01,0.000000E+00,8.196509E+03,0.000000E+00,5.020394E-01,0.000000E+00,8.187741E+03,0.000000E+00,5.015024E-01,0.000000E+00 
02:30:00,1.077721E+04,4.795605E+02,6.603124E-01,3.356123E-02,8.196517E+03,0.000000E+00,5.020399E-01,0.000000E+00,8.187750E+03,0.000000E+00,5.015029E-01,0.000000E+00,8.196517E+03,0.000000E+00,5.020399E-01,0.000000E+00,8.187750E+03,0.000000E+00,5.015029E-01,0.000000E+00 
