Time,AIR LOOP HVAC 1:Des Heat Mass Flow [kg/s],AIR LOOP HVAC 1:Des Cool Mass Flow [kg/s],AIR LOOP HVAC 1:Des Heat Cap [W],AIR LOOP HVAC 1:Des Sens Cool Cap [W] 
00:15:00,6.961834E-01,1.223288E-01,6.296093E+03,1.032861E+03 
00:30:00,6.961856E-01,1.223288E-01,6.296113E+03,1.017189E+03 
00:45:00,6.961876E-01,1.223288E-01,6.296131E+03,1.001516E+03 
01:00:00,6.961893E-01,1.223288E-01,6.296146E+03,9.858433E+02 
01:15:00,6.961909E-01,1.223288E-01,6.296160E+03,9.753948E+02 
01:30:00,6.961922E-01,1.223288E-01,6.296173E+03,9.649463E+02 
01:45:00,6.961935E-01,1.223288E-01,6.296184E+03,9.544979E+02 
02:00:00,6.961946E-01,1.223288E-01,6.296194E+03,9.440494E+02 
02:15:00,6.961956E-01,1.223288E-01,6.296203E+03,9.362131E+02 
02:30:00,6.961965E-01,1.223288E-01,6.296211E+03,9.283767E+02 
02:45:00,6.961973E-01,1.223288E-01,6.296219E+03,9.205404E+02 
03:00:00,6.961980E-01,1.223288E-01,6.296225E+03,9.127040E+02 
03:15:00,6.961987E-01,1.223288E-01,6.296231E+03,9.048677E+02 
03:30:00,6.961993E-01,1.223288E-01,6.296237E+03,8.970313E+02 
03:45:00,6.961999E-01,1.223288E-01,6.296242E+03,8.891950E+02 
04:00:00,6.962004E-01,1.223288E-01,6.296246E+03,8.813586E+02 
04:15:00,6.962008E-01,1.223288E-01,6.296251E+03,8.761344E+02 
04:30:00,6.962013E-01,1.223288E-01,6.296254E+03,8.709102E+02 
04:45:00,6.962017E-01,1.223288E-01,6.296258E+03,8.656859E+02 
05:00:00,6.962020E-01,1.223288E-01,6.296261E+03,8.604617E+02 
05:15:00,6.962023E-01,1.223288E-01,6.296264E+03,8.656859E+02 
05:30:00,6.962026E-01,1.223288E-01,6.296267E+03,8.709102E+02 
05:45:00,6.962029E-01,1.223288E-01,6.296269E+03,8.761344E+02 
06:00:00,6.962032E-01,1.223288E-01,6.296272E+03,8.813586E+02 
06:15:00,6.482664E-01,1.223288E-01,5.862745E+03,8.996434E+02 
06:30:00,6.003004E-01,1.223288E-01,5.428953E+03,9.179283E+02 
06:45:00,5.523366E-01,1.223288E-01,4.995182E+03,9.362131E+02 
07:00:00,5.043585E-01,1.228167E-01,4.561281E+03,9.583048E+02 
07:15:00,5.043081E-01,1.368266E-01,4.560825E+03,1.117290E+03 
07:30:00,5.042798E-01,1.511133E-01,4.560569E+03,1.288806E+03 
07:45:00,5.042429E-01,1.614365E-01,4.560236E+03,1.435452E+03 
08:00:00,5.042150E-01,1.694851E-01,4.559983E+03,1.568542E+03 
08:15:00,5.041917E-01,1.765016E-01,4.559772E+03,1.705086E+03 
08:30:00,5.041715E-01,1.826302E-01,4.559590E+03,1.838387E+03 
08:45:00,5.041540E-01,1.886483E-01,4.559432E+03,1.975503E+03 
09:00:00,5.041389E-01,1.942723E-01,4.559295E+03,2.113216E+03 
09:15:00,5.041259E-01,2.043995E-01,4.559178E+03,2.297573E+03 
