Time,THERMAL ZONE 3:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 1:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 5:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 5:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 4:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 4:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s] 
00:15:00,1.583257E+03,2.559879E+02,9.703074E-02,1.791552E-02,1.876733E+03,0.000000E+00,1.150041E-01,0.000000E+00,1.875914E+03,0.000000E+00,1.149539E-01,0.000000E+00,1.875914E+03,0.000000E+00,1.149539E-01,0.000000E+00,1.876733E+03,0.000000E+00,1.150041E-01,0.000000E+00 
00:30:00,1.583264E+03,2.372445E+02,9.703115E-02,1.660365E-02,1.876739E+03,0.000000E+00,1.150044E-01,0.000000E+00,1.875920E+03,0.000000E+00,1.149543E-01,0.000000E+00,1.875920E+03,0.000000E+00,1.149543E-01,0.000000E+00,1.876739E+03,0.000000E+00,1.150044E-01,0.000000E+00 
00:45:00,1.583270E+03,2.185384E+02,9.703152E-02,1.529442E-02,1.876743E+03,0.000000E+00,1.150047E-01,0.000000E+00,1.875925E+03,0.000000E+00,1.149546E-01,0.000000E+00,1.875925E+03,0.000000E+00,1.149546E-01,0.000000E+00,1.876743E+03,0.000000E+00,1.150047E-01,0.000000E+00 
01:00:00,1.583275E+03,1.998460E+02,9.703184E-02,1.398618E-02,1.876748E+03,0.000000E+00,1.150050E-01,0.000000E+00,1.875929E+03,0.000000E+00,1.149548E-01,0.000000E+00,1.875929E+03,0.000000E+00,1.149548E-01,0.000000E+00,1.876748E+03,0.000000E+00,1.150050E-01,0.000000E+00 
01:15:00,1.583280E+03,1.829177E+02,9.703213E-02,1.280142E-02,1.876752E+03,0.000000E+00,1.150052E-01,0.000000E+00,1.875933E+03,0.000000E+00,1.149551E-01,0.000000E+00,1.875933E+03,0.000000E+00,1.149551E-01,0.000000E+00,1.876752E+03,0.000000E+00,1.150052E-01,0.000000E+00 
01:30:00,1.583284E+03,1.662152E+02,9.703238E-02,1.163247E-02,1.876755E+03,0.000000E+00,1.150054E-01,0.000000E+00,1.875936E+03,0.000000E+00,1.149553E-01,0.000000E+00,1.875936E+03,0.000000E+00,1.149553E-01,0.000000E+00,1.876755E+03,0.000000E+00,1.150054E-01,0.000000E+00 
01:45:00,1.583287E+03,1.497390E+02,9.703261E-02,1.047937E-02,1.876758E+03,0.000000E+00,1.150056E-01,0.000000E+00,1.875940E+03,0.000000E+00,1.149555E-01,0.000000E+00,1.875940E+03,0.000000E+00,1.149555E-01,0.000000E+00,1.876758E+03,0.000000E+00,1.150056E-01,0.000000E+00 
02:00:00,1.583291E+03,1.335139E+02,9.703281E-02,9.343858E-03,1.876761E+03,0.000000E+00,1.150058E-01,0.000000E+00,1.875942E+03,0.000000E+00,1.149556E-01,0.000000E+00,1.875942E+03,0.000000E+00,1.149556E-01,0.000000E+00,1.876761E+03,0.000000E+00,1.150058E-01,0.000000E+00 
02:15:00,1.583294E+03,1.174413E+02,9.703299E-02,8.219021E-03,1.876764E+03,0.000000E+00,1.150060E-01,0.000000E+00,1.875945E+03,0.000000E+00,1.149558E-01,0.000000E+00,1.875945E+03,0.000000E+00,1.149558E-01,0.000000E+00,1.876764E+03,0.000000E+00,1.150060E-01,0.000000E+00 
02:30:00,1.583296E+03,1.015540E+02,9.703315E-02,7.107153E-03,1.876766E+03,0.000000E+00,1.150061E-01,0.000000E+00,1.875947E+03,0.000000E+00,1.149559E-01,0.000000E+00,1.875947E+03,0.000000E+00,1.149559E-01,0.000000E+00,1.876766E+03,0.000000E+00,1.150061E-01,0.000000E+00 
02:45:00,1.583299E+03,8.588180E+01,9.703329E-02,6.010349E-03,1.876768E+03,0.000000E+00,1.150062E-01,0.000000E+00,1.875949E+03,0.000000E+00,1.149561E-01,0.000000E+00,1.875949E+03,0.000000E+00,1.149561E-01,0.000000E+00,1.876768E+03,0.000000E+00,1.150062E-01,0.000000E+00 
03:00:00,1.583301E+03,7.046902E+01,9.703342E-02,4.931700E-03,1.876770E+03,0.000000E+00,1.150063E-01,0.000000E+00,1.875951E+03,0.000000E+00,1.149562E-01,0.000000E+00,1.875951E+03,0.000000E+00,1.149562E-01,0.000000E+00,1.876770E+03,0.000000E+00,1.150063E-01,0.000000E+00 
03:15:00,1.583303E+03,5.520400E+01,9.703354E-02,3.863393E-03,1.876772E+03,0.000000E+00,1.150064E-01,0.000000E+00,1.875953E+03,0.000000E+00,1.149563E-01,0.000000E+00,1.875953E+03,0.000000E+00,1.149563E-01,0.000000E+00,1.876772E+03,0.000000E+00,1.150064E-01,0.000000E+00 
03:30:00,1.583304E+03,4.010181E+01,9.703364E-02,2.806483E-03,1.876773E+03,0.000000E+00,1.150065E-01,0.000000E+00,1.875954E+03,0.000000E+00,1.149564E-01,0.000000E+00,1.875954E+03,0.000000E+00,1.149564E-01,0.000000E+00,1.876773E+03,0.000000E+00,1.150065E-01,0.000000E+00 
03:45:00,1.583306E+03,2.517649E+01,9.703373E-02,1.761950E-03,1.876774E+03,0.000000E+00,1.150066E-01,0.000000E+00,1.875956E+03,0.000000E+00,1.149565E-01,0.000000E+00,1.875956E+03,0.000000E+00,1.149565E-01,0.000000E+00,1.876774E+03,0.000000E+00,1.150066E-01,0.000000E+00 
04:00:00,1.583307E+03,1.329413E+01,9.703382E-02,9.303757E-04,1.876776E+03,0.000000E+00,1.150067E-01,0.000000E+00,1.875957E+03,0.000000E+00,1.149565E-01,0.000000E+00,1.875957E+03,0.000000E+00,1.149565E-01,0.000000E+00,1.876776E+03,0.000000E+00,1.150067E-01,0.000000E+00 
04:15:00,1.583308E+03,5.164579E+00,9.703390E-02,3.614377E-04,1.876777E+03,0.000000E+00,1.150068E-01,0.000000E+00,1.875958E+03,0.000000E+00,1.149566E-01,0.000000E+00,1.875958E+03,0.000000E+00,1.149566E-01,0.000000E+00,1.876777E+03,0.000000E+00,1.150068E-01,0.000000E+00 
04:30:00,1.583310E+03,7.481241E-01,9.703397E-02,5.235670E-05,1.876778E+03,0.000000E+00,1.150068E-01,0.000000E+00,1.875959E+03,0.000000E+00,1.149567E-01,0.000000E+00,1.875959E+03,0.000000E+00,1.149567E-01,0.000000E+00,1.876778E+03,0.000000E+00,1.150068E-01,0.000000E+00 
04:45:00,1.583311E+03,0.000000E+00,9.703403E-02,0.000000E+00,1.876779E+03,0.000000E+00,1.150069E-01,0.000000E+00,1.875960E+03,0.000000E+00,1.149567E-01,0.000000E+00,1.875960E+03,0.000000E+00,1.149567E-01,0.000000E+00,1.876779E+03,0.000000E+00,1.150069E-01,0.000000E+00 
05:00:00,1.583312E+03,0.000000E+00,9.703409E-02,0.000000E+00,1.876780E+03,0.000000E+00,1.150070E-01,0.000000E+00,1.875961E+03,0.000000E+00,1.149568E-01,0.000000E+00,1.875961E+03,0.000000E+00,1.149568E-01,0.000000E+00,1.876780E+03,0.000000E+00,1.150070E-01,0.000000E+00 
05:15:00,1.583312E+03,0.000000E+00,9.703414E-02,0.000000E+00,1.876781E+03,0.000000E+00,1.150070E-01,0.000000E+00,1.875962E+03,0.000000E+00,1.149569E-01,0.000000E+00,1.875962E+03,0.000000E+00,1.149569E-01,0.000000E+00,1.876781E+03,0.000000E+00,1.150070E-01,0.000000E+00 
05:30:00,1.583313E+03,0.000000E+00,9.703419E-02,0.000000E+00,1.876782E+03,0.000000E+00,1.150071E-01,0.000000E+00,1.875963E+03,0.000000E+00,1.149569E-01,0.000000E+00,1.875963E+03,0.000000E+00,1.149569E-01,0.000000E+00,1.876782E+03,0.000000E+00,1.150071E-01,0.000000E+00 
