Time,AIR LOOP HVAC 1:Des Heat Mass Flow [kg/s],AIR LOOP HVAC 1:Des Cool Mass Flow [kg/s],AIR LOOP HVAC 1:Des Heat Cap [W],AIR LOOP HVAC 1:Des Sens Cool Cap [W] 
00:15:00,1.259400E+01,4.868278E+00,4.150901E+05,5.739458E+04 
00:30:00,1.259405E+01,4.765890E+00,4.150920E+05,5.543320E+04 
00:45:00,1.259411E+01,4.667614E+00,4.150937E+05,5.355140E+04 
01:00:00,1.259416E+01,4.573268E+00,4.150953E+05,5.174519E+04 
01:15:00,1.259420E+01,4.488075E+00,4.150969E+05,5.030772E+04 
01:30:00,1.259425E+01,4.407598E+00,4.150984E+05,4.894059E+04 
01:45:00,1.259429E+01,4.332171E+00,4.150997E+05,4.764598E+04 
02:00:00,1.259433E+01,4.261076E+00,4.151011E+05,4.641448E+04 
02:15:00,1.259437E+01,4.193442E+00,4.151023E+05,4.534593E+04 
02:30:00,1.259440E+01,4.129174E+00,4.151035E+05,4.432421E+04 
02:45:00,1.259444E+01,4.068204E+00,4.151047E+05,4.334781E+04 
03:00:00,1.259447E+01,4.010475E+00,4.151058E+05,4.241533E+04 
03:15:00,1.259450E+01,3.955106E+00,4.151068E+05,4.151676E+04 
03:30:00,1.259453E+01,3.902038E+00,4.151078E+05,4.065093E+04 
03:45:00,1.259456E+01,3.851161E+00,4.151087E+05,3.981615E+04 
04:00:00,1.259459E+01,3.802438E+00,4.151097E+05,3.901151E+04 
04:15:00,1.259462E+01,3.756628E+00,4.151105E+05,3.834335E+04 
04:30:00,1.259464E+01,3.713773E+00,4.151114E+05,3.771001E+04 
04:45:00,1.259467E+01,3.679581E+00,4.151122E+05,3.716870E+04 
05:00:00,1.259469E+01,3.668040E+00,4.151130E+05,3.685862E+04 
05:15:00,1.259471E+01,3.698744E+00,4.151137E+05,3.736227E+04 
05:30:00,1.259473E+01,3.787709E+00,4.151144E+05,3.846076E+04 
05:45:00,1.259476E+01,3.941690E+00,4.151151E+05,4.023224E+04 
06:00:00,1.259478E+01,4.155929E+00,4.151158E+05,4.263819E+04 
06:15:00,1.186576E+01,4.565142E+00,3.910877E+05,4.767948E+04 
06:30:00,1.113635E+01,4.998221E+00,3.670470E+05,5.312556E+04 
06:45:00,1.040683E+01,5.442659E+00,3.430025E+05,5.885438E+04 
07:00:00,9.677073E+00,5.884081E+00,3.189501E+05,6.471416E+04 
07:15:00,9.676223E+00,6.155558E+00,3.189221E+05,7.046018E+04 
07:30:00,9.675654E+00,6.414886E+00,3.189034E+05,7.630515E+04 
07:45:00,9.675094E+00,6.663195E+00,3.188849E+05,8.224669E+04 
08:00:00,9.674679E+00,6.909431E+00,3.188712E+05,8.838440E+04 
08:15:00,9.674311E+00,7.158751E+00,3.188591E+05,9.516144E+04 
08:30:00,9.673979E+00,7.415766E+00,3.188482E+05,1.022945E+05 
08:45:00,9.673689E+00,7.680740E+00,3.188386E+05,1.097990E+05 
09:00:00,9.673445E+00,7.950095E+00,3.188306E+05,1.176339E+05 
09:15:00,9.673239E+00,8.218943E+00,3.188238E+05,1.252975E+05 
09:30:00,9.673062E+00,8.483361E+00,3.188179E+05,1.331326E+05 
09:45:00,9.672907E+00,8.738665E+00,3.188128E+05,1.410578E+05 
10:00:00,9.672771E+00,8.980828E+00,3.188084E+05,1.489939E+05 
10:15:00,9.672650E+00,9.205303E+00,3.188044E+05,1.563602E+05 
10:30:00,9.672541E+00,9.409413E+00,3.188008E+05,1.635501E+05 
10:45:00,9.672443E+00,9.590437E+00,3.187975E+05,1.704912E+05 
11:00:00,9.672354E+00,9.743931E+00,3.187946E+05,1.770752E+05 
11:15:00,9.672273E+00,9.861548E+00,3.187919E+05,1.818138E+05 
11:30:00,9.672198E+00,9.936033E+00,3.187895E+05,1.858080E+05 
11:45:00,9.672129E+00,9.965408E+00,3.187872E+05,1.889859E+05 
12:00:00,9.672065E+00,9.964018E+00,3.187851E+05,1.915878E+05 
12:15:00,9.672006E+00,9.965838E+00,3.187831E+05,1.937258E+05 
12:30:00,9.671950E+00,1.000276E+01,3.187813E+05,1.965543E+05 
12:45:00,9.671898E+00,1.009460E+01,3.187796E+05,2.004892E+05 
13:00:00,9.671849E+00,1.024229E+01,3.187780E+05,2.055837E+05 
13:15:00,9.671802E+00,1.042348E+01,3.187764E+05,2.105954E+05 
13:30:00,9.671758E+00,1.061623E+01,3.187750E+05,2.158898E+05 
13:45:00,9.671717E+00,1.080579E+01,3.187736E+05,2.211697E+05 
14:00:00,9.671678E+00,1.098196E+01,3.187723E+05,2.262241E+05 
14:15:00,9.671640E+00,1.114010E+01,3.187711E+05,2.294815E+05 
14:30:00,9.671605E+00,1.127798E+01,3.187699E+05,2.323219E+05 
14:45:00,9.671571E+00,1.139327E+01,3.187688E+05,2.346969E+05 
15:00:00,9.671538E+00,1.148289E+01,3.187677E+05,2.365430E+05 
15:15:00,9.671508E+00,1.154213E+01,3.187667E+05,2.359365E+05 
15:30:00,9.671478E+00,1.156815E+01,3.187657E+05,2.346376E+05 
15:45:00,9.671450E+00,1.155975E+01,3.187648E+05,2.326378E+05 
16:00:00,9.671423E+00,1.151867E+01,3.187639E+05,2.299879E+05 
16:15:00,9.671398E+00,1.145281E+01,3.187631E+05,2.262563E+05 
16:30:00,9.671373E+00,1.137255E+01,3.187623E+05,2.222708E+05 
16:45:00,9.671350E+00,1.128868E+01,3.187615E+05,2.182494E+05 
17:00:00,9.671327E+00,1.120693E+01,3.187608E+05,2.143041E+05 
17:15:00,9.671305E+00,1.112716E+01,3.187600E+05,2.098436E+05 
17:30:00,9.671284E+00,1.104011E+01,3.187594E+05,2.052899E+05 
17:45:00,9.671264E+00,1.092709E+01,3.187587E+05,2.003059E+05 
18:00:00,9.671245E+00,1.077797E+01,3.187581E+05,1.947295E+05 
18:15:00,1.040048E+01,1.058334E+01,3.427933E+05,1.870256E+05 
18:30:00,1.112987E+01,1.033666E+01,3.668333E+05,1.785765E+05 
18:45:00,1.185954E+01,1.003233E+01,3.908829E+05,1.693495E+05 
19:00:00,1.258937E+01,9.665025E+00,4.149376E+05,1.593251E+05 
19:15:00,1.259000E+01,9.247396E+00,4.149585E+05,1.497574E+05 
19:30:00,1.259057E+01,8.812652E+00,4.149771E+05,1.401599E+05 
19:45:00,1.259095E+01,8.404059E+00,4.149898E+05,1.312231E+05 
20:00:00,1.259128E+01,8.048856E+00,4.150007E+05,1.233414E+05 
20:15:00,1.259164E+01,7.756415E+00,4.150126E+05,1.170187E+05 
20:30:00,1.259200E+01,7.512738E+00,4.150241E+05,1.115589E+05 
20:45:00,1.259230E+01,7.299731E+00,4.150341E+05,1.066629E+05 
21:00:00,1.259255E+01,7.108229E+00,4.150423E+05,1.021772E+05 
21:15:00,1.259275E+01,6.932509E+00,4.150491E+05,9.800560E+04 
21:30:00,1.259293E+01,6.768963E+00,4.150549E+05,9.408660E+04 
21:45:00,1.259309E+01,6.615083E+00,4.150601E+05,9.037730E+04 
22:00:00,1.259322E+01,6.469474E+00,4.150646E+05,8.685212E+04 
22:15:00,1.259335E+01,6.207763E+00,4.150687E+05,8.219245E+04 
22:30:00,1.259346E+01,5.947781E+00,4.150723E+05,7.765200E+04 
22:45:00,1.259356E+01,5.690859E+00,4.150756E+05,7.324695E+04 
23:00:00,1.259365E+01,5.443534E+00,4.150785E+05,6.905852E+04 
23:15:00,1.259373E+01,5.319175E+00,4.150812E+05,6.649871E+04 
23:30:00,1.259380E+01,5.200660E+00,4.150837E+05,6.405681E+04 
23:45:00,1.259387E+01,5.086979E+00,4.150860E+05,6.171732E+04 
24:00:00,1.259394E+01,4.977541E+00,4.150881E+05,5.947050E+04 
Coinc Peak   ,1.259478E+01,1.156815E+01,4.151160E+05,2.540826E+05 
NonCoinc Peak,1.259478E+01,1.357046E+01,4.151160E+05,2.540826E+05 
