Time,AIR LOOP HVAC 1:Des Heat Mass Flow [kg/s],AIR LOOP HVAC 1:Des Cool Mass Flow [kg/s],AIR LOOP HVAC 1:Des Heat Cap [W],AIR LOOP HVAC 1:Des Sens Cool Cap [W] 
00:15:00,2.076813E+00,1.091988E+00,1.878213E+04,9.220007E+03 
00:30:00,2.076820E+00,1.068744E+00,1.878220E+04,8.886825E+03 
00:45:00,2.076827E+00,1.046530E+00,1.878226E+04,8.568028E+03 
01:00:00,2.076833E+00,1.025312E+00,1.878231E+04,8.262956E+03 
01:15:00,2.076839E+00,1.006336E+00,1.878236E+04,8.024069E+03 
01:30:00,2.076844E+00,9.883616E-01,1.878241E+04,7.796335E+03 
01:45:00,2.076849E+00,9.713486E-01,1.878246E+04,7.579168E+03 
02:00:00,2.076854E+00,9.552548E-01,1.878250E+04,7.372001E+03 
02:15:00,2.076859E+00,9.398506E-01,1.878255E+04,7.192915E+03 
02:30:00,2.076863E+00,9.251084E-01,1.878259E+04,7.020828E+03 
02:45:00,2.076867E+00,9.109578E-01,1.878262E+04,6.855080E+03 
03:00:00,2.076871E+00,8.973977E-01,1.878266E+04,6.695552E+03 
03:15:00,2.076875E+00,8.841586E-01,1.878269E+04,6.540135E+03 
03:30:00,2.076879E+00,8.711790E-01,1.878273E+04,6.388317E+03 
03:45:00,2.076882E+00,8.584328E-01,1.878276E+04,6.239859E+03 
04:00:00,2.076886E+00,8.458616E-01,1.878279E+04,6.094294E+03 
04:15:00,2.076889E+00,8.336937E-01,1.878281E+04,5.971022E+03 
04:30:00,2.076892E+00,8.218789E-01,1.878284E+04,5.851304E+03 
04:45:00,2.076895E+00,8.104110E-01,1.878287E+04,5.735049E+03 
05:00:00,2.076897E+00,7.999372E-01,1.878289E+04,5.626767E+03 
05:15:00,2.076900E+00,7.903407E-01,1.878292E+04,5.593017E+03 
05:30:00,2.076902E+00,7.820602E-01,1.878294E+04,5.567818E+03 
05:45:00,2.076905E+00,7.802649E-01,1.878296E+04,5.588358E+03 
06:00:00,2.076907E+00,7.903898E-01,1.878298E+04,5.694629E+03 
06:15:00,1.952327E+00,8.747970E-01,1.765632E+04,6.433527E+03 
06:30:00,1.827668E+00,9.753709E-01,1.652893E+04,7.318970E+03 
06:45:00,1.703015E+00,1.096133E+00,1.540160E+04,8.388988E+03 
07:00:00,1.578324E+00,1.228594E+00,1.427393E+04,9.586384E+03 
07:15:00,1.578191E+00,1.299690E+00,1.427273E+04,1.061292E+04 
07:30:00,1.578119E+00,1.369422E+00,1.427208E+04,1.167944E+04 
07:45:00,1.578025E+00,1.437338E+00,1.427123E+04,1.278044E+04 
08:00:00,1.577956E+00,1.506680E+00,1.427060E+04,1.394394E+04 
08:15:00,1.577900E+00,1.577696E+00,1.427009E+04,1.524127E+04 
08:30:00,1.577852E+00,1.649329E+00,1.426967E+04,1.660243E+04 
08:45:00,1.577812E+00,1.732104E+00,1.426930E+04,1.813839E+04 
09:00:00,1.577777E+00,1.813059E+00,1.426899E+04,1.972172E+04 
09:15:00,1.577747E+00,1.893095E+00,1.426872E+04,2.127952E+04 
09:30:00,1.577722E+00,1.971203E+00,1.426848E+04,2.287306E+04 
09:45:00,1.577699E+00,2.047629E+00,1.426828E+04,2.450318E+04 
10:00:00,1.577679E+00,2.119691E+00,1.426810E+04,2.613497E+04 
10:15:00,1.577662E+00,2.187629E+00,1.426795E+04,2.767332E+04 
10:30:00,1.577647E+00,2.251010E+00,1.426781E+04,2.919608E+04 
10:45:00,1.577633E+00,2.309044E+00,1.426768E+04,3.068837E+04 
11:00:00,1.577620E+00,2.360831E+00,1.426757E+04,3.213282E+04 
11:15:00,1.577609E+00,2.404742E+00,1.426747E+04,3.324397E+04 
11:30:00,1.577599E+00,2.438672E+00,1.426737E+04,3.423377E+04 
11:45:00,1.577589E+00,2.460358E+00,1.426729E+04,3.506356E+04 
12:00:00,1.577581E+00,2.469343E+00,1.426721E+04,3.571889E+04 
12:15:00,1.577573E+00,2.470326E+00,1.426714E+04,3.615511E+04 
12:30:00,1.577565E+00,2.471944E+00,1.426707E+04,3.660106E+04 
12:45:00,1.577559E+00,2.483017E+00,1.426701E+04,3.718918E+04 
13:00:00,1.577552E+00,2.508345E+00,1.426695E+04,3.799702E+04 
13:15:00,1.577546E+00,2.547367E+00,1.426690E+04,3.886010E+04 
13:30:00,1.577540E+00,2.595938E+00,1.426685E+04,3.987821E+04 
13:45:00,1.577535E+00,2.648178E+00,1.426680E+04,4.096345E+04 
14:00:00,1.577530E+00,2.700774E+00,1.426675E+04,4.206539E+04 
14:15:00,1.577525E+00,2.751204E+00,1.426671E+04,4.285085E+04 
14:30:00,1.577521E+00,2.797401E+00,1.426667E+04,4.357039E+04 
14:45:00,1.577517E+00,2.839000E+00,1.426663E+04,4.421831E+04 
15:00:00,1.577513E+00,2.875368E+00,1.426659E+04,4.478474E+04 
15:15:00,1.577509E+00,2.905481E+00,1.426656E+04,4.488152E+04 
15:30:00,1.577505E+00,2.928808E+00,1.426653E+04,4.486661E+04 
15:45:00,1.577502E+00,2.944190E+00,1.426649E+04,4.472505E+04 
16:00:00,1.577498E+00,2.950605E+00,1.426646E+04,4.444446E+04 
16:15:00,1.577495E+00,2.948040E+00,1.426644E+04,4.390223E+04 
16:30:00,1.577492E+00,2.936240E+00,1.426641E+04,4.322492E+04 
16:45:00,1.577489E+00,2.915078E+00,1.426638E+04,4.241541E+04 
17:00:00,1.577486E+00,2.885476E+00,1.426636E+04,4.149177E+04 
17:15:00,1.577484E+00,2.849458E+00,1.426633E+04,4.036540E+04 
17:30:00,1.577481E+00,2.808556E+00,1.426631E+04,3.918626E+04 
17:45:00,1.577479E+00,2.764009E+00,1.426629E+04,3.797452E+04 
18:00:00,1.577476E+00,2.714510E+00,1.426626E+04,3.671483E+04 
18:15:00,1.702070E+00,2.655479E+00,1.539306E+04,3.506586E+04 
18:30:00,1.826696E+00,2.580785E+00,1.652014E+04,3.325290E+04 
18:45:00,1.951356E+00,2.483256E+00,1.764753E+04,3.120088E+04 
19:00:00,2.076056E+00,2.366115E+00,1.877529E+04,2.897119E+04 
19:15:00,2.076183E+00,2.243469E+00,1.877644E+04,2.694252E+04 
19:30:00,2.076296E+00,2.127814E+00,1.877746E+04,2.505379E+04 
19:45:00,2.076388E+00,2.030231E+00,1.877829E+04,2.342795E+04 
20:00:00,2.076453E+00,1.952191E+00,1.877887E+04,2.206886E+04 
20:15:00,2.076505E+00,1.886321E+00,1.877934E+04,2.096170E+04 
20:30:00,2.076549E+00,1.827453E+00,1.877974E+04,1.995634E+04 
20:45:00,2.076588E+00,1.773758E+00,1.878009E+04,1.902909E+04 
21:00:00,2.076620E+00,1.724878E+00,1.878039E+04,1.817322E+04 
21:15:00,2.076649E+00,1.680794E+00,1.878064E+04,1.738573E+04 
21:30:00,2.076673E+00,1.640465E+00,1.878086E+04,1.665332E+04 
21:45:00,2.076694E+00,1.602417E+00,1.878105E+04,1.595912E+04 
22:00:00,2.076712E+00,1.566341E+00,1.878122E+04,1.529881E+04 
22:15:00,2.076728E+00,1.476458E+00,1.878137E+04,1.420021E+04 
22:30:00,2.076743E+00,1.389304E+00,1.878150E+04,1.315432E+04 
22:45:00,2.076756E+00,1.302936E+00,1.878162E+04,1.214181E+04 
23:00:00,2.076768E+00,1.221805E+00,1.878172E+04,1.120314E+04 
23:15:00,2.076779E+00,1.192755E+00,1.878182E+04,1.075849E+04 
23:30:00,2.076788E+00,1.166067E+00,1.878191E+04,1.034347E+04 
23:45:00,2.076797E+00,1.140689E+00,1.878199E+04,9.947858E+03 
24:00:00,2.076806E+00,1.116333E+00,1.878206E+04,9.568585E+03 
Coinc Peak   ,2.076907E+00,2.950605E+00,1.878298E+04,4.962160E+04 
NonCoinc Peak,2.076907E+00,3.470619E+00,1.878298E+04,4.962160E+04 
