Time,AIR LOOP HVAC 1:Des Heat Mass Flow [kg/s],AIR LOOP HVAC 1:Des Cool Mass Flow [kg/s],AIR LOOP HVAC 1:Des Heat Cap [W],AIR LOOP HVAC 1:Des Sens Cool Cap [W] 
00:15:00,9.318707E-01,7.625382E-02,1.236046E+04,7.652086E+02 
00:30:00,9.318707E-01,6.763042E-02,1.236046E+04,6.602217E+02 
00:45:00,9.318707E-01,5.921993E-02,1.236046E+04,5.619606E+02 
01:00:00,9.318707E-01,5.103020E-02,1.236046E+04,4.703230E+02 
01:15:00,9.318707E-01,4.309892E-02,1.236046E+04,3.893851E+02 
01:30:00,9.318707E-01,3.542969E-02,1.236046E+04,3.136521E+02 
01:45:00,9.318707E-01,2.843540E-02,1.236046E+04,2.465612E+02 
02:00:00,9.318707E-01,2.233470E-02,1.236046E+04,1.896003E+02 
02:15:00,9.318707E-01,1.739274E-02,1.236046E+04,1.452752E+02 
02:30:00,9.318707E-01,1.358333E-02,1.236046E+04,1.116037E+02 
02:45:00,9.318707E-01,1.049450E-02,1.236046E+04,8.479365E+01 
03:00:00,9.318707E-01,8.032398E-03,1.236046E+04,6.380461E+01 
03:15:00,9.318707E-01,5.835943E-03,1.236046E+04,4.556119E+01 
03:30:00,9.318707E-01,3.901440E-03,1.236046E+04,2.992634E+01 
03:45:00,9.318707E-01,2.263079E-03,1.236046E+04,1.705044E+01 
04:00:00,9.318707E-01,1.080070E-03,1.236046E+04,7.990107E+00 
04:15:00,9.318707E-01,3.324969E-04,1.236046E+04,2.429498E+00 
04:30:00,9.318707E-01,0.000000E+00,1.236046E+04,0.000000E+00 
04:45:00,9.318707E-01,0.000000E+00,1.236046E+04,0.000000E+00 
05:00:00,9.318707E-01,0.000000E+00,1.236046E+04,0.000000E+00 
05:15:00,9.318707E-01,0.000000E+00,1.236046E+04,0.000000E+00 
05:30:00,9.318707E-01,0.000000E+00,1.236046E+04,0.000000E+00 
05:45:00,9.318707E-01,0.000000E+00,1.236046E+04,0.000000E+00 
06:00:00,9.318707E-01,2.896906E-04,1.236046E+04,2.143064E+00 
06:15:00,9.318707E-01,3.547528E-03,1.236046E+04,2.737293E+01 
06:30:00,9.318707E-01,9.203845E-03,1.236046E+04,7.394689E+01 
06:45:00,9.318707E-01,1.746140E-02,1.236046E+04,1.458488E+02 
07:00:00,9.318707E-01,2.797970E-02,1.236046E+04,2.426099E+02 
07:15:00,9.318707E-01,3.812385E-02,1.236046E+04,3.600383E+02 
07:30:00,9.318707E-01,4.838904E-02,1.236046E+04,4.943859E+02 
07:45:00,9.318707E-01,5.923839E-02,1.236046E+04,6.510232E+02 
08:00:00,9.318707E-01,7.330834E-02,1.236046E+04,8.623168E+02 
08:15:00,9.318707E-01,8.778064E-02,1.236046E+04,1.108389E+03 
