Time,AIR LOOP HVAC 1:Des Heat Mass Flow [kg/s],AIR LOOP HVAC 1:Des Cool Mass Flow [kg/s],AIR LOOP HVAC 1:Des Heat Cap [W],AIR LOOP HVAC 1:Des Sens Cool Cap [W] 
00:15:00,1.610868E+00,2.260999E-01,3.820119E+04,3.033326E+03 
00:30:00,1.610868E+00,2.110740E-01,3.820119E+04,2.801835E+03 
00:45:00,1.610868E+00,1.965890E-01,3.820119E+04,2.581704E+03 
01:00:00,1.610868E+00,1.826279E-01,3.820119E+04,2.372484E+03 
01:15:00,1.610868E+00,1.692256E-01,3.820119E+04,2.182393E+03 
01:30:00,1.610868E+00,1.563724E-01,3.820119E+04,2.001863E+03 
01:45:00,1.610868E+00,1.440613E-01,3.820119E+04,1.830651E+03 
02:00:00,1.610868E+00,1.322822E-01,3.820119E+04,1.668474E+03 
02:15:00,1.610868E+00,1.209782E-01,3.820119E+04,1.517326E+03 
02:30:00,1.610868E+00,1.101406E-01,3.820119E+04,1.373596E+03 
02:45:00,1.610868E+00,9.985649E-02,3.820119E+04,1.238266E+03 
03:00:00,1.610868E+00,9.021635E-02,3.820119E+04,1.112333E+03 
03:15:00,1.610868E+00,8.115079E-02,3.820119E+04,9.948091E+02 
03:30:00,1.610868E+00,7.263834E-02,3.820119E+04,8.853110E+02 
03:45:00,1.610868E+00,6.465930E-02,3.820119E+04,7.834824E+02 
04:00:00,1.610868E+00,5.708801E-02,3.820119E+04,6.876962E+02 
04:15:00,1.610868E+00,4.995092E-02,3.820119E+04,5.993619E+02 
04:30:00,1.610868E+00,4.322802E-02,3.820119E+04,5.166521E+02 
04:45:00,1.610868E+00,3.688849E-02,3.820119E+04,4.391413E+02 
05:00:00,1.610868E+00,3.144170E-02,3.820119E+04,3.728146E+02 
05:15:00,1.610868E+00,2.817172E-02,3.820119E+04,3.353719E+02 
05:30:00,1.610868E+00,2.928785E-02,3.820119E+04,3.500421E+02 
05:45:00,1.610868E+00,3.586186E-02,3.820119E+04,4.303071E+02 
06:00:00,1.610868E+00,4.987135E-02,3.820119E+04,6.007624E+02 
06:15:00,1.610868E+00,7.039108E-02,3.820119E+04,8.595838E+02 
06:30:00,1.610868E+00,9.719699E-02,3.820119E+04,1.202992E+03 
06:45:00,1.610868E+00,1.286993E-01,3.820119E+04,1.614165E+03 
07:00:00,1.610868E+00,1.623475E-01,3.820119E+04,2.063021E+03 
07:15:00,1.610868E+00,1.977965E-01,3.820119E+04,2.592891E+03 
07:30:00,1.610868E+00,2.330576E-01,3.820119E+04,3.148683E+03 
07:45:00,1.610868E+00,2.680696E-01,3.820119E+04,3.729321E+03 
08:00:00,1.610868E+00,3.050501E-01,3.820119E+04,4.366245E+03 
08:15:00,1.610868E+00,3.441549E-01,3.820119E+04,5.080371E+03 
08:30:00,1.610868E+00,3.848326E-01,3.820119E+04,5.853513E+03 
08:45:00,1.610868E+00,4.285147E-01,3.820119E+04,6.710203E+03 
09:00:00,1.610868E+00,4.728285E-01,3.820119E+04,7.616267E+03 
09:15:00,1.610868E+00,5.171983E-01,3.820119E+04,8.538594E+03 
