Time,AIR LOOP HVAC 1:Des Heat Mass Flow [kg/s],AIR LOOP HVAC 1:Des Cool Mass Flow [kg/s],AIR LOOP HVAC 1:Des Heat Cap [W],AIR LOOP HVAC 1:Des Sens Cool Cap [W] 
00:15:00,1.383241E+00,2.439591E-01,1.834750E+04,2.448134E+03 
00:30:00,1.383246E+00,2.439591E-01,1.834756E+04,2.381578E+03 
00:45:00,1.383250E+00,2.439591E-01,1.834761E+04,2.315021E+03 
01:00:00,1.383254E+00,2.439591E-01,1.834766E+04,2.248464E+03 
01:15:00,1.383257E+00,2.439591E-01,1.834770E+04,2.204093E+03 
01:30:00,1.383260E+00,2.439591E-01,1.834774E+04,2.159722E+03 
01:45:00,1.383262E+00,2.439591E-01,1.834778E+04,2.115351E+03 
02:00:00,1.383265E+00,2.439591E-01,1.834781E+04,2.070980E+03 
02:15:00,1.383267E+00,2.439591E-01,1.834783E+04,2.037701E+03 
02:30:00,1.383268E+00,2.439591E-01,1.834786E+04,2.004423E+03 
02:45:00,1.383270E+00,2.439591E-01,1.834788E+04,1.971145E+03 
03:00:00,1.383272E+00,2.439591E-01,1.834790E+04,1.937866E+03 
03:15:00,1.383273E+00,2.439591E-01,1.834792E+04,1.904588E+03 
03:30:00,1.383274E+00,2.439591E-01,1.834793E+04,1.871310E+03 
03:45:00,1.383275E+00,2.439591E-01,1.834795E+04,1.838031E+03 
04:00:00,1.383276E+00,2.439591E-01,1.834796E+04,1.804753E+03 
04:15:00,1.383277E+00,2.439591E-01,1.834797E+04,1.782567E+03 
04:30:00,1.383278E+00,2.439591E-01,1.834799E+04,1.760382E+03 
04:45:00,1.383279E+00,2.439591E-01,1.834800E+04,1.738196E+03 
05:00:00,1.383280E+00,2.439591E-01,1.834801E+04,1.716011E+03 
05:15:00,1.383280E+00,2.439591E-01,1.834801E+04,1.738196E+03 
05:30:00,1.383281E+00,2.439591E-01,1.834802E+04,1.760382E+03 
05:45:00,1.383282E+00,2.439591E-01,1.834803E+04,1.782567E+03 
06:00:00,1.383282E+00,2.439591E-01,1.834804E+04,1.804753E+03 
06:15:00,1.284243E+00,2.439591E-01,1.703437E+04,1.882402E+03 
06:30:00,1.185119E+00,2.499787E-01,1.571958E+04,2.008416E+03 
06:45:00,1.086004E+00,2.740884E-01,1.440491E+04,2.289360E+03 
07:00:00,9.868518E-01,2.990800E-01,1.308973E+04,2.593300E+03 
07:15:00,9.867153E-01,3.146454E-01,1.308792E+04,2.971484E+03 
07:30:00,9.866451E-01,3.307652E-01,1.308699E+04,3.379395E+03 
