Time,THERMAL ZONE 2:SACRAMENTO EXECUTIVE ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:SACRAMENTO EXECUTIVE ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:SACRAMENTO EXECUTIVE ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:SACRAMENTO EXECUTIVE ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 1:SACRAMENTO EXECUTIVE ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:SACRAMENTO EXECUTIVE ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:SACRAMENTO EXECUTIVE ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:SACRAMENTO EXECUTIVE ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 5:SACRAMENTO EXECUTIVE ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5:SACRAMENTO EXECUTIVE ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 5:SACRAMENTO EXECUTIVE ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5:SACRAMENTO EXECUTIVE ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 4:SACRAMENTO EXECUTIVE ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:SACRAMENTO EXECUTIVE ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 4:SACRAMENTO EXECUTIVE ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:SACRAMENTO EXECUTIVE ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 3:SACRAMENTO EXECUTIVE ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:SACRAMENTO EXECUTIVE ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:SACRAMENTO EXECUTIVE ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:SACRAMENTO EXECUTIVE ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s] 
00:15:00,3.267137E+03,8.663726E+01,2.001870E-01,6.063328E-03,3.267137E+03,2.676092E+02,2.001870E-01,1.872888E-02,3.270347E+03,8.666241E+01,2.003837E-01,6.065088E-03,3.270347E+03,6.190868E+01,2.003837E-01,4.332688E-03,4.984369E+03,1.462258E+03,3.054516E-01,1.023403E-01 
00:30:00,3.267148E+03,4.779826E+01,2.001877E-01,3.345158E-03,3.267148E+03,2.111236E+02,2.001877E-01,1.477559E-02,3.270357E+03,4.804109E+01,2.003844E-01,3.362153E-03,3.270357E+03,3.054869E+01,2.003844E-01,2.137946E-03,4.984387E+03,1.402032E+03,3.054527E-01,9.812444E-02 
00:45:00,3.267157E+03,2.042651E+01,2.001883E-01,1.429543E-03,3.267157E+03,1.563907E+02,2.001883E-01,1.094503E-02,3.270367E+03,2.072159E+01,2.003849E-01,1.450194E-03,3.270367E+03,9.949049E+00,2.003849E-01,6.962803E-04,4.984404E+03,1.343092E+03,3.054537E-01,9.399877E-02 
01:00:00,3.267165E+03,4.348791E+00,2.001888E-01,3.043477E-04,3.267165E+03,1.036715E+02,2.001888E-01,7.255446E-03,3.270375E+03,4.556395E+00,2.003854E-01,3.188768E-04,3.270375E+03,0.000000E+00,2.003854E-01,0.000000E+00,4.984418E+03,1.285446E+03,3.054546E-01,8.996386E-02 
01:15:00,3.267172E+03,0.000000E+00,2.001892E-01,0.000000E+00,3.267172E+03,5.854132E+01,2.001892E-01,4.097000E-03,3.270382E+03,0.000000E+00,2.003859E-01,0.000000E+00,3.270382E+03,0.000000E+00,2.003859E-01,0.000000E+00,4.984430E+03,1.234618E+03,3.054553E-01,8.640621E-02 
01:30:00,3.267179E+03,0.000000E+00,2.001896E-01,0.000000E+00,3.267179E+03,2.639790E+01,2.001896E-01,1.847446E-03,3.270389E+03,0.000000E+00,2.003863E-01,0.000000E+00,3.270389E+03,0.000000E+00,2.003863E-01,0.000000E+00,4.984441E+03,1.185853E+03,3.054560E-01,8.299303E-02 
01:45:00,3.267185E+03,0.000000E+00,2.001900E-01,0.000000E+00,3.267185E+03,7.046505E+00,2.001900E-01,4.931454E-04,3.270395E+03,0.000000E+00,2.003866E-01,0.000000E+00,3.270395E+03,0.000000E+00,2.003866E-01,0.000000E+00,4.984451E+03,1.138865E+03,3.054566E-01,7.970430E-02 
02:00:00,3.267190E+03,0.000000E+00,2.001903E-01,0.000000E+00,3.267190E+03,0.000000E+00,2.001903E-01,0.000000E+00,3.270400E+03,0.000000E+00,2.003870E-01,0.000000E+00,3.270400E+03,0.000000E+00,2.003870E-01,0.000000E+00,4.984460E+03,1.093329E+03,3.054571E-01,7.651726E-02 
02:15:00,3.267195E+03,0.000000E+00,2.001906E-01,0.000000E+00,3.267195E+03,0.000000E+00,2.001906E-01,0.000000E+00,3.270405E+03,0.000000E+00,2.003873E-01,0.000000E+00,3.270405E+03,0.000000E+00,2.003873E-01,0.000000E+00,4.984467E+03,1.048282E+03,3.054576E-01,7.336449E-02 
02:30:00,3.267199E+03,0.000000E+00,2.001909E-01,0.000000E+00,3.267199E+03,0.000000E+00,2.001909E-01,0.000000E+00,3.270409E+03,0.000000E+00,2.003875E-01,0.000000E+00,3.270409E+03,0.000000E+00,2.003875E-01,0.000000E+00,4.984474E+03,1.003654E+03,3.054580E-01,7.024103E-02 
