Time,AIR LOOP HVAC 1:Des Heat Mass Flow [kg/s],AIR LOOP HVAC 1:Des Cool Mass Flow [kg/s],AIR LOOP HVAC 1:Des Heat Cap [W],AIR LOOP HVAC 1:Des Sens Cool Cap [W] 
00:15:00,9.367574E-01,4.365539E-02,8.471778E+03,3.685966E+02 
00:30:00,9.367574E-01,3.696623E-02,8.471778E+03,3.073818E+02 
00:45:00,9.367574E-01,3.110243E-02,8.471778E+03,2.546382E+02 
01:00:00,9.367574E-01,2.582797E-02,8.471778E+03,2.081467E+02 
01:15:00,9.367574E-01,2.105554E-02,8.471778E+03,1.678875E+02 
01:30:00,9.367574E-01,1.676088E-02,8.471778E+03,1.322122E+02 
01:45:00,9.367574E-01,1.306351E-02,8.471778E+03,1.019310E+02 
02:00:00,9.367574E-01,1.013167E-02,8.471778E+03,7.818930E+01 
02:15:00,9.367574E-01,7.803360E-03,8.471778E+03,5.972110E+01 
02:30:00,9.367574E-01,5.912661E-03,8.471778E+03,4.487234E+01 
02:45:00,9.367574E-01,4.539059E-03,8.471778E+03,3.415703E+01 
03:00:00,9.367574E-01,3.490781E-03,8.471778E+03,2.604498E+01 
03:15:00,9.367574E-01,2.748910E-03,8.471778E+03,2.033373E+01 
03:30:00,9.367574E-01,2.300571E-03,8.471778E+03,1.686998E+01 
03:45:00,9.367574E-01,1.898890E-03,8.471778E+03,1.380284E+01 
04:00:00,9.367574E-01,1.516630E-03,8.471778E+03,1.092707E+01 
04:15:00,9.367574E-01,1.145089E-03,8.471778E+03,8.201274E+00 
04:30:00,9.367574E-01,7.854104E-04,8.471778E+03,5.591669E+00 
04:45:00,9.367574E-01,4.540000E-04,8.471778E+03,3.212829E+00 
05:00:00,9.367574E-01,2.117518E-04,8.471778E+03,1.489464E+00 
05:15:00,9.367574E-01,6.299903E-05,8.471778E+03,4.458263E-01 
05:30:00,9.367574E-01,0.000000E+00,8.471778E+03,0.000000E+00 
05:45:00,9.367574E-01,0.000000E+00,8.471778E+03,0.000000E+00 
06:00:00,9.367574E-01,0.000000E+00,8.471778E+03,0.000000E+00 
06:15:00,9.367574E-01,0.000000E+00,8.471778E+03,0.000000E+00 
06:30:00,9.367574E-01,9.608225E-04,8.471778E+03,7.209802E+00 
06:45:00,9.367574E-01,7.347223E-03,8.471778E+03,5.623016E+01 
07:00:00,9.367574E-01,1.968863E-02,8.471778E+03,1.536250E+02 
07:15:00,9.367574E-01,3.835121E-02,8.471778E+03,3.131657E+02 
07:30:00,9.367574E-01,6.256411E-02,8.471778E+03,5.335928E+02 
07:45:00,9.367574E-01,9.103154E-02,8.471778E+03,8.094290E+02 
08:00:00,9.367574E-01,1.196135E-01,8.471778E+03,1.106992E+03 
08:15:00,9.367574E-01,1.482783E-01,8.471778E+03,1.432437E+03 
08:30:00,9.367574E-01,1.767299E-01,8.471778E+03,1.778994E+03 
08:45:00,9.367574E-01,2.018083E-01,8.471778E+03,2.113313E+03 
09:00:00,9.367574E-01,2.280295E-01,8.471778E+03,2.480413E+03 
09:15:00,9.367574E-01,2.553344E-01,8.471778E+03,2.870111E+03 
09:30:00,9.367574E-01,2.829557E-01,8.471778E+03,3.283306E+03 
09:45:00,9.367574E-01,3.107125E-01,8.471778E+03,3.718175E+03 
10:00:00,9.367574E-01,3.368093E-01,8.471778E+03,4.152729E+03 
10:15:00,9.367574E-01,3.608555E-01,8.471778E+03,4.564791E+03 
10:30:00,9.367574E-01,3.842407E-01,8.471778E+03,4.983684E+03 
10:45:00,9.367574E-01,4.082300E-01,8.471778E+03,5.425586E+03 
11:00:00,9.367574E-01,4.308217E-01,8.471778E+03,5.863832E+03 
11:15:00,9.367574E-01,4.517085E-01,8.471778E+03,6.244573E+03 
11:30:00,9.367574E-01,4.691032E-01,8.471778E+03,6.585211E+03 
11:45:00,9.367574E-01,4.796634E-01,8.471778E+03,6.835878E+03 
12:00:00,9.367574E-01,4.852352E-01,8.471778E+03,7.018897E+03 
12:15:00,9.367574E-01,4.864142E-01,8.471778E+03,7.119044E+03 
12:30:00,9.367574E-01,4.870634E-01,8.471778E+03,7.211749E+03 
12:45:00,9.367574E-01,4.916465E-01,8.471778E+03,7.363594E+03 
13:00:00,9.367574E-01,5.026961E-01,8.471778E+03,7.614963E+03 
13:15:00,9.367574E-01,5.205085E-01,8.471778E+03,7.940362E+03 
13:30:00,9.367574E-01,5.428106E-01,8.471778E+03,8.338535E+03 
