Time,AIR LOOP HVAC 1:Des Heat Mass Flow [kg/s],AIR LOOP HVAC 1:Des Cool Mass Flow [kg/s],AIR LOOP HVAC 1:Des Heat Cap [W],AIR LOOP HVAC 1:Des Sens Cool Cap [W] 
00:15:00,2.007440E+00,7.061478E-01,1.815474E+04,5.962235E+03 
00:30:00,2.007450E+00,6.785248E-01,1.815483E+04,5.642073E+03 
00:45:00,2.007460E+00,6.523532E-01,1.815492E+04,5.340871E+03 
01:00:00,2.007468E+00,6.276342E-01,1.815500E+04,5.058082E+03 
01:15:00,2.007477E+00,6.053489E-01,1.815507E+04,4.826781E+03 
01:30:00,2.007484E+00,5.845461E-01,1.815514E+04,4.610982E+03 
01:45:00,2.007491E+00,5.649607E-01,1.815520E+04,4.408234E+03 
02:00:00,2.007498E+00,5.463408E-01,1.815527E+04,4.216284E+03 
02:15:00,2.007505E+00,5.284013E-01,1.815532E+04,4.043990E+03 
02:30:00,2.007511E+00,5.110542E-01,1.815538E+04,3.878490E+03 
02:45:00,2.007516E+00,4.944020E-01,1.815543E+04,3.720442E+03 
03:00:00,2.007522E+00,4.787076E-01,1.815548E+04,3.571673E+03 
03:15:00,2.007527E+00,4.637542E-01,1.815553E+04,3.430397E+03 
03:30:00,2.007532E+00,4.493896E-01,1.815557E+04,3.295354E+03 
03:45:00,2.007537E+00,4.352524E-01,1.815562E+04,3.163804E+03 
04:00:00,2.007541E+00,4.213027E-01,1.815566E+04,3.035417E+03 
04:15:00,2.007546E+00,4.080648E-01,1.815569E+04,2.922613E+03 
04:30:00,2.007550E+00,3.950697E-01,1.815573E+04,2.812668E+03 
04:45:00,2.007554E+00,3.826004E-01,1.815577E+04,2.707554E+03 
05:00:00,2.007557E+00,3.711451E-01,1.815580E+04,2.610638E+03 
05:15:00,2.007561E+00,3.610405E-01,1.815583E+04,2.554981E+03 
05:30:00,2.007564E+00,3.531084E-01,1.815586E+04,2.513928E+03 
05:45:00,2.007568E+00,3.506456E-01,1.815589E+04,2.511369E+03 
06:00:00,2.007571E+00,3.585499E-01,1.815592E+04,2.583293E+03 
06:15:00,1.873858E+00,4.399299E-01,1.694666E+04,3.235380E+03 
06:30:00,1.740079E+00,5.456185E-01,1.573680E+04,4.094202E+03 
06:45:00,1.606302E+00,6.629018E-01,1.452695E+04,5.073356E+03 
07:00:00,1.472488E+00,7.890203E-01,1.331678E+04,6.156510E+03 
07:15:00,1.472366E+00,8.545544E-01,1.331568E+04,6.978063E+03 
07:30:00,1.472292E+00,9.218834E-01,1.331501E+04,7.862501E+03 
07:45:00,1.472199E+00,9.889626E-01,1.331417E+04,8.793601E+03 
08:00:00,1.472128E+00,1.057520E+00,1.331352E+04,9.787081E+03 
08:15:00,1.472067E+00,1.128328E+00,1.331297E+04,1.090016E+04 
08:30:00,1.472013E+00,1.201747E+00,1.331248E+04,1.209699E+04 
08:45:00,1.471966E+00,1.277492E+00,1.331206E+04,1.337774E+04 
09:00:00,1.471924E+00,1.359482E+00,1.331168E+04,1.478789E+04 
09:15:00,1.471887E+00,1.440994E+00,1.331135E+04,1.619764E+04 
09:30:00,1.471855E+00,1.520632E+00,1.331106E+04,1.764481E+04 
09:45:00,1.471827E+00,1.598665E+00,1.331080E+04,1.913060E+04 
