Time,AIR LOOP HVAC 1:Des Heat Mass Flow [kg/s],AIR LOOP HVAC 1:Des Cool Mass Flow [kg/s],AIR LOOP HVAC 1:Des Heat Cap [W],AIR LOOP HVAC 1:Des Sens Cool Cap [W] 
00:15:00,3.245029E+00,1.849634E-01,2.934716E+04,1.561706E+03 
00:30:00,3.245029E+00,1.618198E-01,2.934716E+04,1.345565E+03 
00:45:00,3.245029E+00,1.402126E-01,2.934716E+04,1.147933E+03 
01:00:00,3.245029E+00,1.197003E-01,2.934716E+04,9.646604E+02 
01:15:00,3.245029E+00,1.005763E-01,2.934716E+04,8.019505E+02 
01:30:00,3.245029E+00,8.413808E-02,2.934716E+04,6.636930E+02 
01:45:00,3.245029E+00,7.058075E-02,2.934716E+04,5.507223E+02 
02:00:00,3.245029E+00,5.976699E-02,2.934716E+04,4.612406E+02 
02:15:00,3.245029E+00,5.109930E-02,2.934716E+04,3.910759E+02 
02:30:00,3.245029E+00,4.310704E-02,2.934716E+04,3.271477E+02 
02:45:00,3.245029E+00,3.546165E-02,2.934716E+04,2.668537E+02 
03:00:00,3.245029E+00,2.858477E-02,2.934716E+04,2.132731E+02 
03:15:00,3.245029E+00,2.317582E-02,2.934716E+04,1.714319E+02 
03:30:00,3.245029E+00,1.916826E-02,2.934716E+04,1.405600E+02 
03:45:00,3.245029E+00,1.649773E-02,2.934716E+04,1.199203E+02 
04:00:00,3.245029E+00,1.465466E-02,2.934716E+04,1.055844E+02 
04:15:00,3.245029E+00,1.285137E-02,2.934716E+04,9.204316E+01 
04:30:00,3.245029E+00,1.107917E-02,2.934716E+04,7.887732E+01 
04:45:00,3.245029E+00,9.320456E-03,2.934716E+04,6.595822E+01 
05:00:00,3.245029E+00,7.602493E-03,2.934716E+04,5.347601E+01 
05:15:00,3.245029E+00,5.900235E-03,2.934716E+04,4.175429E+01 
05:30:00,3.245029E+00,4.231362E-03,2.934716E+04,3.012485E+01 
05:45:00,3.245029E+00,2.614997E-03,2.934716E+04,1.872895E+01 
06:00:00,3.245029E+00,1.349244E-03,2.934716E+04,9.721085E+00 
06:15:00,3.245029E+00,5.062455E-04,2.934716E+04,3.723085E+00 
06:30:00,3.245029E+00,1.641509E-02,2.934716E+04,1.231753E+02 
06:45:00,3.245029E+00,5.114827E-02,2.934716E+04,3.914507E+02 
07:00:00,3.245029E+00,1.140226E-01,2.934716E+04,8.896872E+02 
07:15:00,3.245029E+00,2.054597E-01,2.934716E+04,1.677729E+03 
07:30:00,3.245029E+00,3.168041E-01,2.934716E+04,2.701939E+03 
07:45:00,3.245029E+00,4.335896E-01,2.934716E+04,3.855367E+03 
08:00:00,3.245029E+00,5.481326E-01,2.934716E+04,5.072828E+03 
08:15:00,3.245029E+00,6.579015E-01,2.934716E+04,6.355630E+03 
08:30:00,3.245029E+00,7.524921E-01,2.934716E+04,7.574714E+03 
08:45:00,3.245029E+00,8.543530E-01,2.934716E+04,8.946684E+03 
09:00:00,3.245029E+00,9.537578E-01,2.934716E+04,1.037459E+04 
09:15:00,3.245029E+00,1.055826E+00,2.934716E+04,1.186811E+04 
09:30:00,3.245029E+00,1.162239E+00,2.934716E+04,1.348616E+04 
09:45:00,3.245029E+00,1.261034E+00,2.934716E+04,1.509030E+04 
10:00:00,3.245029E+00,1.357776E+00,2.934716E+04,1.674086E+04 
10:15:00,3.245029E+00,1.449972E+00,2.934716E+04,1.834202E+04 
10:30:00,3.245029E+00,1.543566E+00,2.934716E+04,2.002037E+04 
10:45:00,3.245029E+00,1.629485E+00,2.934716E+04,2.165669E+04 
11:00:00,3.245029E+00,1.713060E+00,2.934716E+04,2.331614E+04 
11:15:00,3.245029E+00,1.785406E+00,2.934716E+04,2.468206E+04 
11:30:00,3.245029E+00,1.834683E+00,2.934716E+04,2.575504E+04 
11:45:00,3.245029E+00,1.865973E+00,2.934716E+04,2.659274E+04 
12:00:00,3.245029E+00,1.869629E+00,2.934716E+04,2.704407E+04 
12:15:00,3.245029E+00,1.858661E+00,2.934716E+04,2.720292E+04 
12:30:00,3.245029E+00,1.848782E+00,2.934716E+04,2.737415E+04 
12:45:00,3.245029E+00,1.856063E+00,2.934716E+04,2.779902E+04 
13:00:00,3.245029E+00,1.892339E+00,2.934716E+04,2.866561E+04 
13:15:00,3.245029E+00,1.954976E+00,2.934716E+04,2.982318E+04 
13:30:00,3.245029E+00,2.034985E+00,2.934716E+04,3.126099E+04 
13:45:00,3.245029E+00,2.126434E+00,2.934716E+04,3.289283E+04 
14:00:00,3.245029E+00,2.227552E+00,2.934716E+04,3.469481E+04 
14:15:00,3.245029E+00,2.326675E+00,2.934716E+04,3.623868E+04 
14:30:00,3.245029E+00,2.427525E+00,2.934716E+04,3.780944E+04 
14:45:00,3.245029E+00,2.522025E+00,2.934716E+04,3.928132E+04 
15:00:00,3.245029E+00,2.603377E+00,2.934716E+04,4.054840E+04 
15:15:00,3.245029E+00,2.676395E+00,2.934716E+04,4.134277E+04 
15:30:00,3.245029E+00,2.734561E+00,2.934716E+04,4.189092E+04 
15:45:00,3.245029E+00,2.776658E+00,2.934716E+04,4.218007E+04 
16:00:00,3.245029E+00,2.800614E+00,2.934716E+04,4.218517E+04 
16:15:00,3.245029E+00,2.806207E+00,2.934716E+04,4.179004E+04 
16:30:00,3.245029E+00,2.792629E+00,2.934716E+04,4.111078E+04 
16:45:00,3.245029E+00,2.759710E+00,2.934716E+04,4.015476E+04 
17:00:00,3.245029E+00,2.710106E+00,2.934716E+04,3.897003E+04 
17:15:00,3.245029E+00,2.648451E+00,2.934716E+04,3.751794E+04 
17:30:00,3.245029E+00,2.578751E+00,2.934716E+04,3.597993E+04 
17:45:00,3.245029E+00,2.502472E+00,2.934716E+04,3.438129E+04 
18:00:00,3.245029E+00,2.415976E+00,2.934716E+04,3.267703E+04 
18:15:00,3.245029E+00,2.309720E+00,2.934716E+04,3.050008E+04 
18:30:00,3.245029E+00,2.171007E+00,2.934716E+04,2.797299E+04 
18:45:00,3.245029E+00,1.987772E+00,2.934716E+04,2.497536E+04 
19:00:00,3.245029E+00,1.769167E+00,2.934716E+04,2.166203E+04 
19:15:00,3.245029E+00,1.544651E+00,2.934716E+04,1.855020E+04 
19:30:00,3.245029E+00,1.341786E+00,2.934716E+04,1.579877E+04 
19:45:00,3.245029E+00,1.181090E+00,2.934716E+04,1.362925E+04 
20:00:00,3.245029E+00,1.062519E+00,2.934716E+04,1.201141E+04 
