Time,AIR LOOP HVAC 1:Des Heat Mass Flow [kg/s],AIR LOOP HVAC 1:Des Cool Mass Flow [kg/s],AIR LOOP HVAC 1:Des Heat Cap [W],AIR LOOP HVAC 1:Des Sens Cool Cap [W] 
00:15:00,3.299055E+00,1.737498E+00,7.823598E+04,2.331005E+04 
00:30:00,3.299077E+00,1.714447E+00,7.823649E+04,2.275788E+04 
00:45:00,3.299097E+00,1.692845E+00,7.823698E+04,2.223128E+04 
01:00:00,3.299116E+00,1.672607E+00,7.823743E+04,2.172853E+04 
01:15:00,3.299134E+00,1.654782E+00,7.823786E+04,2.134065E+04 
01:30:00,3.299152E+00,1.637856E+00,7.823827E+04,2.096766E+04 
01:45:00,3.299168E+00,1.621806E+00,7.823865E+04,2.060900E+04 
02:00:00,3.299183E+00,1.606615E+00,7.823901E+04,2.026421E+04 
02:15:00,3.299197E+00,1.592045E+00,7.823935E+04,1.996766E+04 
02:30:00,3.299211E+00,1.578085E+00,7.823968E+04,1.968077E+04 
02:45:00,3.299224E+00,1.564722E+00,7.823999E+04,1.940327E+04 
03:00:00,3.299237E+00,1.551948E+00,7.824029E+04,1.913492E+04 
03:15:00,3.299249E+00,1.539526E+00,7.824058E+04,1.887270E+04 
03:30:00,3.299260E+00,1.527448E+00,7.824085E+04,1.861643E+04 
03:45:00,3.299271E+00,1.515707E+00,7.824111E+04,1.836595E+04 
04:00:00,3.299282E+00,1.504298E+00,7.824136E+04,1.812114E+04 
04:15:00,3.299292E+00,1.493449E+00,7.824159E+04,1.791992E+04 
04:30:00,3.299301E+00,1.483171E+00,7.824182E+04,1.772654E+04 
04:45:00,3.299311E+00,1.473452E+00,7.824204E+04,1.754080E+04 
05:00:00,3.299320E+00,1.464700E+00,7.824225E+04,1.736743E+04 
05:15:00,3.299328E+00,1.458868E+00,7.824245E+04,1.736718E+04 
05:30:00,3.299336E+00,1.457497E+00,7.824265E+04,1.741970E+04 
05:45:00,3.299344E+00,1.461391E+00,7.824283E+04,1.753525E+04 
06:00:00,3.299352E+00,1.470757E+00,7.824301E+04,1.771710E+04 
06:15:00,3.026836E+00,1.534911E+00,7.178040E+04,1.874364E+04 
06:30:00,2.754028E+00,1.607619E+00,6.531086E+04,1.989725E+04 
06:45:00,2.481283E+00,1.687599E+00,5.884279E+04,2.116611E+04 
07:00:00,2.208429E+00,1.773751E+00,5.237214E+04,2.253984E+04 
