Time,AIR LOOP HVAC 1:Des Heat Mass Flow [kg/s],AIR LOOP HVAC 1:Des Cool Mass Flow [kg/s],AIR LOOP HVAC 1:Des Heat Cap [W],AIR LOOP HVAC 1:Des Sens Cool Cap [W] 
00:15:00,1.124518E+01,2.604455E+00,1.028283E+05,5.386010E+04 
00:30:00,1.124518E+01,2.509720E+00,1.028283E+05,5.144703E+04 
00:45:00,1.124518E+01,2.417308E+00,1.028283E+05,4.911545E+04 
01:00:00,1.124518E+01,2.327192E+00,1.028283E+05,4.686353E+04 
01:15:00,1.124518E+01,2.240302E+00,1.028283E+05,4.484364E+04 
01:30:00,1.124518E+01,2.156129E+00,1.028283E+05,4.289878E+04 
01:45:00,1.124518E+01,2.074694E+00,1.028283E+05,4.102836E+04 
02:00:00,1.124518E+01,1.996011E+00,1.028283E+05,3.923167E+04 
02:15:00,1.124518E+01,1.919627E+00,1.028283E+05,3.755672E+04 
02:30:00,1.124518E+01,1.845502E+00,1.028283E+05,3.593961E+04 
02:45:00,1.124518E+01,1.773606E+00,1.028283E+05,3.437908E+04 
03:00:00,1.124518E+01,1.703910E+00,1.028283E+05,3.287402E+04 
03:15:00,1.124518E+01,1.635962E+00,1.028283E+05,3.141513E+04 
03:30:00,1.124518E+01,1.569704E+00,1.028283E+05,3.000082E+04 
03:45:00,1.124518E+01,1.505086E+00,1.028283E+05,2.862971E+04 
04:00:00,1.124518E+01,1.442073E+00,1.028283E+05,2.730066E+04 
04:15:00,1.124518E+01,1.381034E+00,1.028283E+05,2.606182E+04 
04:30:00,1.124518E+01,1.321989E+00,1.028283E+05,2.486788E+04 
04:45:00,1.124518E+01,1.264997E+00,1.028283E+05,2.371954E+04 
05:00:00,1.124518E+01,1.210111E+00,1.028283E+05,2.261742E+04 
05:15:00,1.124518E+01,1.158407E+00,1.028283E+05,2.172089E+04 
05:30:00,1.124518E+01,1.109902E+00,1.028283E+05,2.087832E+04 
05:45:00,1.124518E+01,1.068941E+00,1.028283E+05,2.017225E+04 
06:00:00,1.124518E+01,1.051812E+00,1.028283E+05,1.991243E+04 
06:15:00,1.124518E+01,1.074291E+00,1.028283E+05,2.056467E+04 
06:30:00,1.124518E+01,1.154261E+00,1.028283E+05,2.233909E+04 
06:45:00,1.124518E+01,1.296737E+00,1.028283E+05,2.537014E+04 
07:00:00,1.124518E+01,1.489016E+00,1.028283E+05,2.944622E+04 
07:15:00,1.124518E+01,1.730821E+00,1.028283E+05,3.511505E+04 
07:30:00,1.124518E+01,2.021228E+00,1.028283E+05,4.204269E+04 
07:45:00,1.124518E+01,2.341108E+00,1.028283E+05,4.989615E+04 
08:00:00,1.124518E+01,2.687305E+00,1.028283E+05,5.865186E+04 
08:15:00,1.124518E+01,3.031425E+00,1.028283E+05,6.789876E+04 
08:30:00,1.124518E+01,3.349631E+00,1.028283E+05,7.694460E+04 
08:45:00,1.124518E+01,3.646404E+00,1.028283E+05,8.585034E+04 
09:00:00,1.124518E+01,3.925229E+00,1.028283E+05,9.466320E+04 
09:15:00,1.124518E+01,4.196540E+00,1.028283E+05,1.033569E+05 
09:30:00,1.124518E+01,4.465942E+00,1.028283E+05,1.122807E+05 
09:45:00,1.124518E+01,4.737509E+00,1.028283E+05,1.215362E+05 
10:00:00,1.124518E+01,5.005168E+00,1.028283E+05,1.309678E+05 
10:15:00,1.124518E+01,5.283814E+00,1.028283E+05,1.406483E+05 
