Time,AIR LOOP HVAC 1:Des Heat Mass Flow [kg/s],AIR LOOP HVAC 1:Des Cool Mass Flow [kg/s],AIR LOOP HVAC 1:Des Heat Cap [W],AIR LOOP HVAC 1:Des Sens Cool Cap [W] 
00:15:00,2.147716E+01,2.777473E-01,7.078734E+05,3.274502E+03 
00:30:00,2.147716E+01,2.430623E-01,7.078734E+05,2.827116E+03 
00:45:00,2.147716E+01,2.104985E-01,7.078734E+05,2.415044E+03 
01:00:00,2.147716E+01,1.811165E-01,7.078734E+05,2.049280E+03 
01:15:00,2.147716E+01,1.551330E-01,7.078734E+05,1.738917E+03 
01:30:00,2.147716E+01,1.330694E-01,7.078734E+05,1.477561E+03 
01:45:00,2.147716E+01,1.139002E-01,7.078734E+05,1.252694E+03 
02:00:00,2.147716E+01,9.657883E-02,7.078734E+05,1.052001E+03 
02:15:00,2.147716E+01,8.075031E-02,7.078734E+05,8.731963E+02 
02:30:00,2.147716E+01,6.668307E-02,7.078734E+05,7.158029E+02 
02:45:00,2.147716E+01,5.501439E-02,7.078734E+05,5.861931E+02 
03:00:00,2.147716E+01,4.555351E-02,7.078734E+05,4.817802E+02 
03:15:00,2.147716E+01,3.836694E-02,7.078734E+05,4.027379E+02 
03:30:00,2.147716E+01,3.221286E-02,7.078734E+05,3.355895E+02 
03:45:00,2.147716E+01,2.634088E-02,7.078734E+05,2.723315E+02 
04:00:00,2.147716E+01,2.077037E-02,7.078734E+05,2.130958E+02 
04:15:00,2.147716E+01,1.559740E-02,7.078734E+05,1.592004E+02 
04:30:00,2.147716E+01,1.066145E-02,7.078734E+05,1.082574E+02 
04:45:00,2.147716E+01,6.189074E-03,7.078734E+05,6.251794E+01 
05:00:00,2.147716E+01,2.988633E-03,7.078734E+05,3.003154E+01 
05:15:00,2.147716E+01,8.956026E-04,7.078734E+05,9.046787E+00 
05:30:00,2.147716E+01,0.000000E+00,7.078734E+05,0.000000E+00 
05:45:00,2.147716E+01,0.000000E+00,7.078734E+05,0.000000E+00 
06:00:00,2.147716E+01,0.000000E+00,7.078734E+05,0.000000E+00 
06:15:00,2.147716E+01,9.430427E-03,7.078734E+05,9.849373E+01 
06:30:00,2.147716E+01,2.799004E-02,7.078734E+05,2.975031E+02 
06:45:00,2.147716E+01,5.282910E-02,7.078734E+05,5.712693E+02 
07:00:00,2.147716E+01,8.841231E-02,7.078734E+05,9.723743E+02 
07:15:00,2.147716E+01,1.247219E-01,7.078734E+05,1.427641E+03 
07:30:00,2.147716E+01,1.749153E-01,7.078734E+05,2.080620E+03 
07:45:00,2.147716E+01,2.353952E-01,7.078734E+05,2.905585E+03 
08:00:00,2.147716E+01,3.038552E-01,7.078734E+05,3.886870E+03 
08:15:00,2.147716E+01,3.801578E-01,7.078734E+05,5.053447E+03 
08:30:00,2.147716E+01,4.516433E-01,7.078734E+05,6.230056E+03 
08:45:00,2.147716E+01,5.235388E-01,7.078734E+05,7.484181E+03 
