Time,AIR LOOP HVAC 1:Des Heat Mass Flow [kg/s],AIR LOOP HVAC 1:Des Cool Mass Flow [kg/s],AIR LOOP HVAC 1:Des Heat Cap [W],AIR LOOP HVAC 1:Des Sens Cool Cap [W] 
00:15:00,1.325359E+01,2.481316E-01,4.368300E+05,2.925348E+03 
00:30:00,1.325359E+01,2.216842E-01,4.368300E+05,2.578461E+03 
00:45:00,1.325359E+01,1.960291E-01,4.368300E+05,2.249037E+03 
01:00:00,1.325359E+01,1.713375E-01,4.368300E+05,1.938634E+03 
01:15:00,1.325359E+01,1.493596E-01,4.368300E+05,1.674202E+03 
01:30:00,1.325359E+01,1.295960E-01,4.368300E+05,1.438993E+03 
01:45:00,1.325359E+01,1.119997E-01,4.368300E+05,1.231792E+03 
02:00:00,1.325359E+01,9.688704E-02,4.368300E+05,1.055358E+03 
02:15:00,1.325359E+01,8.297976E-02,4.368300E+05,8.973045E+02 
02:30:00,1.325359E+01,7.025979E-02,4.368300E+05,7.541968E+02 
02:45:00,1.325359E+01,5.871225E-02,4.368300E+05,6.255948E+02 
03:00:00,1.325359E+01,4.839216E-02,4.368300E+05,5.118021E+02 
03:15:00,1.325359E+01,3.921037E-02,4.368300E+05,4.115915E+02 
03:30:00,1.325359E+01,3.172767E-02,4.368300E+05,3.305348E+02 
03:45:00,1.325359E+01,2.586647E-02,4.368300E+05,2.674266E+02 
04:00:00,1.325359E+01,2.096737E-02,4.368300E+05,2.151170E+02 
04:15:00,1.325359E+01,1.689756E-02,4.368300E+05,1.724709E+02 
04:30:00,1.325359E+01,1.303363E-02,4.368300E+05,1.323448E+02 
04:45:00,1.325359E+01,9.536525E-03,4.368300E+05,9.633169E+01 
05:00:00,1.325359E+01,6.534518E-03,4.368300E+05,6.566266E+01 
05:15:00,1.325359E+01,4.149634E-03,4.368300E+05,4.191687E+01 
05:30:00,1.325359E+01,3.623601E-03,4.368300E+05,3.679439E+01 
05:45:00,1.325359E+01,1.430844E-02,4.368300E+05,1.460441E+02 
06:00:00,1.325359E+01,2.767984E-02,4.368300E+05,2.839842E+02 
06:15:00,1.325359E+01,4.884856E-02,4.368300E+05,5.101865E+02 
06:30:00,1.325359E+01,7.628069E-02,4.368300E+05,8.107792E+02 
06:45:00,1.325359E+01,1.016067E-01,4.368300E+05,1.098727E+03 
07:00:00,1.325359E+01,1.447176E-01,4.368300E+05,1.591629E+03 
07:15:00,1.325359E+01,1.923952E-01,4.368300E+05,2.202270E+03 
07:30:00,1.325359E+01,2.470504E-01,4.368300E+05,2.938668E+03 
07:45:00,1.325359E+01,3.071083E-01,4.368300E+05,3.790770E+03 
08:00:00,1.325359E+01,3.606241E-01,4.368300E+05,4.613050E+03 
08:15:00,1.325359E+01,4.150070E-01,4.368300E+05,5.516697E+03 
08:30:00,1.325359E+01,4.707165E-01,4.368300E+05,6.493156E+03 
08:45:00,1.325359E+01,5.270594E-01,4.368300E+05,7.534508E+03 
09:00:00,1.325359E+01,5.828976E-01,4.368300E+05,8.624870E+03 
09:15:00,1.325359E+01,6.390212E-01,4.368300E+05,9.741853E+03 
09:30:00,1.325359E+01,6.917534E-01,4.368300E+05,1.085595E+04 
09:45:00,1.325359E+01,7.413142E-01,4.368300E+05,1.196614E+04 
10:00:00,1.325359E+01,7.882585E-01,4.368300E+05,1.307738E+04 
10:15:00,1.325359E+01,8.363757E-01,4.368300E+05,1.420658E+04 
10:30:00,1.325359E+01,8.873284E-01,4.368300E+05,1.542314E+04 
10:45:00,1.325359E+01,9.343638E-01,4.368300E+05,1.661038E+04 
11:00:00,1.325359E+01,9.800141E-01,4.368300E+05,1.780967E+04 
11:15:00,1.325359E+01,1.016525E+00,4.368300E+05,1.874130E+04 
11:30:00,1.325359E+01,1.039797E+00,4.368300E+05,1.944463E+04 
11:45:00,1.325359E+01,1.054912E+00,4.368300E+05,2.000555E+04 
12:00:00,1.325359E+01,1.061563E+00,4.368300E+05,2.041171E+04 
12:15:00,1.325359E+01,1.067668E+00,4.368300E+05,2.075439E+04 
12:30:00,1.325359E+01,1.080062E+00,4.368300E+05,2.122323E+04 
