Time,AIR LOOP HVAC 1:Des Heat Mass Flow [kg/s],AIR LOOP HVAC 1:Des Cool Mass Flow [kg/s],AIR LOOP HVAC 1:Des Heat Cap [W],AIR LOOP HVAC 1:Des Sens Cool Cap [W] 
00:15:00,6.472774E+00,1.986295E-01,1.534997E+05,2.664787E+03 
00:30:00,6.472774E+00,1.837712E-01,1.534997E+05,2.439412E+03 
00:45:00,6.472774E+00,1.699682E-01,1.534997E+05,2.232106E+03 
01:00:00,6.472774E+00,1.572218E-01,1.534997E+05,2.042438E+03 
01:15:00,6.472774E+00,1.460633E-01,1.534997E+05,1.883684E+03 
01:30:00,6.472774E+00,1.359064E-01,1.534997E+05,1.739859E+03 
01:45:00,6.472774E+00,1.260414E-01,1.534997E+05,1.601663E+03 
02:00:00,6.472774E+00,1.164446E-01,1.534997E+05,1.468715E+03 
02:15:00,6.472774E+00,1.070897E-01,1.534997E+05,1.343135E+03 
02:30:00,6.472774E+00,9.798134E-02,1.534997E+05,1.221955E+03 
02:45:00,6.472774E+00,8.912333E-02,1.534997E+05,1.105170E+03 
03:00:00,6.472774E+00,8.052008E-02,1.534997E+05,9.927815E+02 
03:15:00,6.472774E+00,7.214339E-02,1.534997E+05,8.843893E+02 
03:30:00,6.472774E+00,6.399761E-02,1.534997E+05,7.799983E+02 
03:45:00,6.472774E+00,5.608775E-02,1.534997E+05,6.796202E+02 
04:00:00,6.472774E+00,4.842043E-02,1.534997E+05,5.832844E+02 
04:15:00,6.472774E+00,4.118077E-02,1.534997E+05,4.941287E+02 
04:30:00,6.472774E+00,3.453489E-02,1.534997E+05,4.127537E+02 
04:45:00,6.472774E+00,2.847563E-02,1.534997E+05,3.389898E+02 
05:00:00,6.472774E+00,2.322256E-02,1.534997E+05,2.753576E+02 
05:15:00,6.472774E+00,1.938697E-02,1.534997E+05,2.307934E+02 
05:30:00,6.472774E+00,1.764758E-02,1.534997E+05,2.109201E+02 
05:45:00,6.472774E+00,1.849962E-02,1.534997E+05,2.219773E+02 
06:00:00,6.472774E+00,2.210074E-02,1.534997E+05,2.662309E+02 
06:15:00,6.472774E+00,2.972365E-02,1.534997E+05,3.629716E+02 
06:30:00,6.472774E+00,3.964987E-02,1.534997E+05,4.907402E+02 
06:45:00,6.472774E+00,5.174729E-02,1.534997E+05,6.490218E+02 
07:00:00,6.472774E+00,6.561596E-02,1.534997E+05,8.338110E+02 
07:15:00,6.472774E+00,7.926353E-02,1.534997E+05,1.039056E+03 
07:30:00,6.472774E+00,9.340465E-02,1.534997E+05,1.261927E+03 
07:45:00,6.472774E+00,1.084186E-01,1.534997E+05,1.508294E+03 
08:00:00,6.472774E+00,1.298319E-01,1.534997E+05,1.858311E+03 
08:15:00,6.472774E+00,1.516114E-01,1.534997E+05,2.238068E+03 
08:30:00,6.472774E+00,1.777872E-01,1.534997E+05,2.704240E+03 
08:45:00,6.472774E+00,2.067668E-01,1.534997E+05,3.237805E+03 
09:00:00,6.472774E+00,2.330503E-01,1.534997E+05,3.753948E+03 
09:15:00,6.472774E+00,2.623759E-01,1.534997E+05,4.331649E+03 
09:30:00,6.472774E+00,2.905798E-01,1.534997E+05,4.913926E+03 
09:45:00,6.472774E+00,3.181233E-01,1.534997E+05,5.507416E+03 
10:00:00,6.472774E+00,3.445384E-01,1.534997E+05,6.103032E+03 
