Time,AIR LOOP HVAC 1:Des Heat Mass Flow [kg/s],AIR LOOP HVAC 1:Des Cool Mass Flow [kg/s],AIR LOOP HVAC 1:Des Heat Cap [W],AIR LOOP HVAC 1:Des Sens Cool Cap [W] 
00:15:00,3.048749E+00,2.350325E-01,1.124327E+05,2.770917E+03 
00:30:00,3.048749E+00,2.134034E-01,1.124327E+05,2.482146E+03 
00:45:00,3.048749E+00,1.928612E-01,1.124327E+05,2.212691E+03 
01:00:00,3.048749E+00,1.737978E-01,1.124327E+05,1.966471E+03 
01:15:00,3.048749E+00,1.563262E-01,1.124327E+05,1.752291E+03 
01:30:00,3.048749E+00,1.406348E-01,1.124327E+05,1.561565E+03 
01:45:00,3.048749E+00,1.265665E-01,1.124327E+05,1.392001E+03 
02:00:00,3.048749E+00,1.136427E-01,1.124327E+05,1.237872E+03 
02:15:00,3.048749E+00,1.016369E-01,1.124327E+05,1.099055E+03 
02:30:00,3.048749E+00,9.027584E-02,1.124327E+05,9.690571E+02 
02:45:00,3.048749E+00,7.939280E-02,1.124327E+05,8.459517E+02 
03:00:00,3.048749E+00,6.925977E-02,1.124327E+05,7.325008E+02 
03:15:00,3.048749E+00,6.011839E-02,1.124327E+05,6.310630E+02 
03:30:00,3.048749E+00,5.204747E-02,1.124327E+05,5.422238E+02 
03:45:00,3.048749E+00,4.519835E-02,1.124327E+05,4.672940E+02 
04:00:00,3.048749E+00,3.968678E-02,1.124327E+05,4.071708E+02 
04:15:00,3.048749E+00,3.514524E-02,1.124327E+05,3.587222E+02 
04:30:00,3.048749E+00,3.141207E-02,1.124327E+05,3.189612E+02 
04:45:00,3.048749E+00,2.825535E-02,1.124327E+05,2.854170E+02 
05:00:00,3.048749E+00,2.520080E-02,1.124327E+05,2.532324E+02 
05:15:00,3.048749E+00,2.240721E-02,1.124327E+05,2.263429E+02 
05:30:00,3.048749E+00,2.000921E-02,1.124327E+05,2.031754E+02 
05:45:00,3.048749E+00,2.081267E-02,1.124327E+05,2.124319E+02 
06:00:00,3.048749E+00,2.922081E-02,1.124327E+05,2.997940E+02 
06:15:00,3.048749E+00,5.151299E-02,1.124327E+05,5.380144E+02 
06:30:00,3.048749E+00,8.990156E-02,1.124327E+05,9.555539E+02 
06:45:00,3.048749E+00,1.452934E-01,1.124327E+05,1.571135E+03 
07:00:00,3.048749E+00,2.214009E-01,1.124327E+05,2.435007E+03 
07:15:00,3.048749E+00,3.028258E-01,1.124327E+05,3.466325E+03 
07:30:00,3.048749E+00,3.920014E-01,1.124327E+05,4.662861E+03 
07:45:00,3.048749E+00,4.815616E-01,1.124327E+05,5.944122E+03 
08:00:00,3.048749E+00,5.623607E-01,1.124327E+05,7.193634E+03 
08:15:00,3.048749E+00,6.410948E-01,1.124327E+05,8.522088E+03 
08:30:00,3.048749E+00,7.143746E-01,1.124327E+05,9.854223E+03 
08:45:00,3.048749E+00,7.839224E-01,1.124327E+05,1.120646E+04 
09:00:00,3.048749E+00,8.512027E-01,1.124327E+05,1.259486E+04 
09:15:00,3.048749E+00,9.174581E-01,1.124327E+05,1.398661E+04 
09:30:00,3.048749E+00,9.807106E-01,1.124327E+05,1.539066E+04 
09:45:00,3.048749E+00,1.041934E+00,1.124327E+05,1.681868E+04 
