Time,AIR LOOP HVAC 1:Des Heat Mass Flow [kg/s],AIR LOOP HVAC 1:Des Cool Mass Flow [kg/s],AIR LOOP HVAC 1:Des Heat Cap [W],AIR LOOP HVAC 1:Des Sens Cool Cap [W] 
00:15:00,2.750151E+01,7.322834E-01,9.064322E+05,8.633257E+03 
00:30:00,2.750151E+01,6.681248E-01,9.064322E+05,7.771118E+03 
00:45:00,2.750151E+01,6.072702E-01,9.064321E+05,6.967194E+03 
01:00:00,2.750151E+01,5.513220E-01,9.064321E+05,6.238047E+03 
01:15:00,2.750151E+01,5.016535E-01,9.064321E+05,5.623133E+03 
01:30:00,2.750151E+01,4.553158E-01,9.064321E+05,5.055684E+03 
01:45:00,2.750151E+01,4.121624E-01,9.064321E+05,4.533035E+03 
02:00:00,2.750151E+01,3.705661E-01,9.064321E+05,4.036453E+03 
02:15:00,2.750151E+01,3.298803E-01,9.064321E+05,3.567172E+03 
02:30:00,2.750151E+01,2.901576E-01,9.064321E+05,3.114668E+03 
02:45:00,2.750151E+01,2.514569E-01,9.064321E+05,2.679341E+03 
03:00:00,2.750151E+01,2.137658E-01,9.064321E+05,2.260817E+03 
03:15:00,2.750151E+01,1.769284E-01,9.064321E+05,1.857218E+03 
03:30:00,2.750151E+01,1.436595E-01,9.064321E+05,1.496626E+03 
03:45:00,2.750151E+01,1.143068E-01,9.064321E+05,1.181788E+03 
04:00:00,2.750151E+01,8.953564E-02,9.064321E+05,9.186005E+02 
04:15:00,2.750151E+01,7.045942E-02,9.064321E+05,7.191688E+02 
04:30:00,2.750151E+01,5.473943E-02,9.064321E+05,5.558295E+02 
04:45:00,2.750151E+01,4.304714E-02,9.064321E+05,4.348338E+02 
05:00:00,2.750151E+01,3.458956E-02,9.064322E+05,3.475762E+02 
05:15:00,2.750151E+01,2.849798E-02,9.064322E+05,2.878678E+02 
05:30:00,2.750151E+01,2.443973E-02,9.064322E+05,2.481634E+02 
05:45:00,2.750151E+01,2.883905E-02,9.064322E+05,2.943559E+02 
06:00:00,2.750151E+01,4.174240E-02,9.064322E+05,4.282606E+02 
06:15:00,2.750151E+01,6.776416E-02,9.064322E+05,7.077458E+02 
06:30:00,2.750151E+01,1.226966E-01,9.064322E+05,1.304129E+03 
06:45:00,2.750151E+01,1.849529E-01,9.064322E+05,1.999995E+03 
07:00:00,2.750151E+01,2.635379E-01,9.064322E+05,2.898437E+03 
07:15:00,2.750151E+01,3.530888E-01,9.064322E+05,4.041665E+03 
07:30:00,2.750151E+01,4.361117E-01,9.064322E+05,5.187555E+03 
07:45:00,2.750151E+01,5.413036E-01,9.064322E+05,6.681544E+03 
08:00:00,2.750151E+01,6.509595E-01,9.064322E+05,8.326976E+03 
08:15:00,2.750151E+01,7.639827E-01,9.064322E+05,1.015564E+04 
08:30:00,2.750151E+01,8.852645E-01,9.064322E+05,1.221151E+04 
08:45:00,2.750151E+01,9.981376E-01,9.064322E+05,1.426875E+04 
09:00:00,2.750151E+01,1.113171E+00,9.064322E+05,1.647108E+04 
09:15:00,2.750151E+01,1.226028E+00,9.064322E+05,1.869075E+04 
09:30:00,2.750151E+01,1.333824E+00,9.064322E+05,2.093220E+04 
09:45:00,2.750151E+01,1.448426E+00,9.064322E+05,2.338021E+04 
10:00:00,2.750151E+01,1.557633E+00,9.064322E+05,2.584147E+04 
10:15:00,2.750151E+01,1.668052E+00,9.064322E+05,2.833334E+04 
10:30:00,2.750151E+01,1.777885E+00,9.064322E+05,3.090239E+04 
10:45:00,2.750151E+01,1.874284E+00,9.064322E+05,3.331953E+04 
11:00:00,2.750151E+01,1.964347E+00,9.064322E+05,3.569782E+04 
11:15:00,2.750151E+01,2.041611E+00,9.064322E+05,3.764046E+04 
11:30:00,2.750151E+01,2.101104E+00,9.064322E+05,3.929152E+04 
11:45:00,2.750151E+01,2.151964E+00,9.064322E+05,4.081026E+04 
12:00:00,2.750151E+01,2.177060E+00,9.064322E+05,4.186044E+04 
12:15:00,2.750151E+01,2.189441E+00,9.064322E+05,4.256052E+04 
12:30:00,2.750151E+01,2.204149E+00,9.064322E+05,4.331154E+04 
12:45:00,2.750151E+01,2.224220E+00,9.064322E+05,4.417530E+04 
13:00:00,2.750151E+01,2.275673E+00,9.064322E+05,4.567741E+04 
13:15:00,2.750151E+01,2.352813E+00,9.064322E+05,4.753608E+04 
13:30:00,2.750151E+01,2.447031E+00,9.064322E+05,4.976239E+04 
13:45:00,2.750151E+01,2.559890E+00,9.064322E+05,5.239509E+04 
14:00:00,2.750151E+01,2.680989E+00,9.064322E+05,5.522730E+04 
14:15:00,2.750151E+01,2.804083E+00,9.064322E+05,5.776299E+04 
14:30:00,2.750151E+01,2.927728E+00,9.064322E+05,6.031004E+04 
14:45:00,2.750151E+01,3.038171E+00,9.064322E+05,6.258510E+04 
15:00:00,2.750151E+01,3.137111E+00,9.064322E+05,6.462323E+04 
15:15:00,2.750151E+01,3.223634E+00,9.064322E+05,6.589538E+04 
15:30:00,2.750151E+01,3.294857E+00,9.064322E+05,6.682983E+04 
15:45:00,2.750151E+01,3.350119E+00,9.064322E+05,6.742050E+04 
16:00:00,2.750151E+01,3.389491E+00,9.064322E+05,6.767640E+04 
16:15:00,2.750151E+01,3.416248E+00,9.064322E+05,6.748976E+04 
16:30:00,2.750151E+01,3.434874E+00,9.064322E+05,6.713288E+04 
16:45:00,2.750151E+01,3.458791E+00,9.064322E+05,6.687046E+04 
