Time,AIR LOOP HVAC 1:Des Heat Mass Flow [kg/s],AIR LOOP HVAC 1:Des Cool Mass Flow [kg/s],AIR LOOP HVAC 1:Des Heat Cap [W],AIR LOOP HVAC 1:Des Sens Cool Cap [W] 
00:15:00,3.249545E+01,2.688548E-01,1.198377E+06,3.169664E+03 
00:30:00,3.249545E+01,2.404224E-01,1.198377E+06,2.796410E+03 
00:45:00,3.249545E+01,2.127587E-01,1.198377E+06,2.440974E+03 
01:00:00,3.249545E+01,1.867764E-01,1.198377E+06,2.113320E+03 
01:15:00,3.249545E+01,1.636374E-01,1.198377E+06,1.834244E+03 
01:30:00,3.249545E+01,1.424567E-01,1.198377E+06,1.581795E+03 
01:45:00,3.249545E+01,1.229867E-01,1.198377E+06,1.352629E+03 
02:00:00,3.249545E+01,1.041634E-01,1.198377E+06,1.134618E+03 
02:15:00,3.249545E+01,8.642268E-02,1.198377E+06,9.345346E+02 
02:30:00,3.249545E+01,7.109458E-02,1.198377E+06,7.631578E+02 
02:45:00,3.249545E+01,5.850234E-02,1.198377E+06,6.233582E+02 
03:00:00,3.249545E+01,4.869385E-02,1.198377E+06,5.149928E+02 
03:15:00,3.249545E+01,4.099199E-02,1.198377E+06,4.302931E+02 
03:30:00,3.249545E+01,3.392919E-02,1.198377E+06,3.534700E+02 
03:45:00,3.249545E+01,2.726771E-02,1.198377E+06,2.819137E+02 
04:00:00,3.249545E+01,2.097269E-02,1.198377E+06,2.151715E+02 
04:15:00,3.249545E+01,1.493970E-02,1.198377E+06,1.524873E+02 
04:30:00,3.249545E+01,9.114975E-03,1.198377E+06,9.255433E+01 
04:45:00,3.249545E+01,4.664293E-03,1.198377E+06,4.711562E+01 
05:00:00,3.249545E+01,1.660773E-03,1.198377E+06,1.668842E+01 
05:15:00,3.249545E+01,1.209666E-04,1.198377E+06,1.221925E+00 
05:30:00,3.249545E+01,0.000000E+00,1.198377E+06,0.000000E+00 
05:45:00,3.249545E+01,0.000000E+00,1.198377E+06,0.000000E+00 
06:00:00,3.249545E+01,0.000000E+00,1.198377E+06,0.000000E+00 
06:15:00,3.249545E+01,0.000000E+00,1.198377E+06,0.000000E+00 
06:30:00,3.249545E+01,6.371033E-03,1.198377E+06,6.771702E+01 
06:45:00,3.249545E+01,2.101774E-02,1.198377E+06,2.272760E+02 
07:00:00,3.249545E+01,3.934771E-02,1.198377E+06,4.327531E+02 
07:15:00,3.249545E+01,6.643215E-02,1.198377E+06,7.604219E+02 
07:30:00,3.249545E+01,9.489841E-02,1.198377E+06,1.128818E+03 
07:45:00,3.249545E+01,1.228136E-01,1.198377E+06,1.515942E+03 
08:00:00,3.249545E+01,1.546223E-01,1.198377E+06,1.977905E+03 
08:15:00,3.249545E+01,1.850603E-01,1.198377E+06,2.460011E+03 
08:30:00,3.249545E+01,2.164288E-01,1.198377E+06,2.985462E+03 
08:45:00,3.249545E+01,2.629774E-01,1.198377E+06,3.759359E+03 
09:00:00,3.249545E+01,3.081605E-01,1.198377E+06,4.559709E+03 
09:15:00,3.249545E+01,3.593608E-01,1.198377E+06,5.478441E+03 
09:30:00,3.249545E+01,4.123068E-01,1.198377E+06,6.470487E+03 
09:45:00,3.249545E+01,4.522461E-01,1.198377E+06,7.300065E+03 
10:00:00,3.249545E+01,4.947121E-01,1.198377E+06,8.207380E+03 
10:15:00,3.249545E+01,5.326383E-01,1.198377E+06,9.047329E+03 
10:30:00,3.249545E+01,5.751491E-01,1.198377E+06,9.996977E+03 
10:45:00,3.249545E+01,6.124214E-01,1.198377E+06,1.088714E+04 
11:00:00,3.249545E+01,6.507166E-01,1.198377E+06,1.182539E+04 
11:15:00,3.249545E+01,6.868136E-01,1.198377E+06,1.266254E+04 
11:30:00,3.249545E+01,7.099766E-01,1.198377E+06,1.327686E+04 
11:45:00,3.249545E+01,7.280198E-01,1.198377E+06,1.380631E+04 
12:00:00,3.249545E+01,7.325985E-01,1.198377E+06,1.408638E+04 
12:15:00,3.249545E+01,7.274834E-01,1.198377E+06,1.414154E+04 
12:30:00,3.249545E+01,7.237759E-01,1.198377E+06,1.422220E+04 
12:45:00,3.249545E+01,7.246449E-01,1.198377E+06,1.439219E+04 
13:00:00,3.249545E+01,7.378081E-01,1.198377E+06,1.480932E+04 
13:15:00,3.249545E+01,7.714862E-01,1.198377E+06,1.558706E+04 
13:30:00,3.249545E+01,8.128878E-01,1.198377E+06,1.653074E+04 
13:45:00,3.249545E+01,8.635440E-01,1.198377E+06,1.767477E+04 
14:00:00,3.249545E+01,9.185248E-01,1.198377E+06,1.892124E+04 
14:15:00,3.249545E+01,9.673038E-01,1.198377E+06,1.992607E+04 
14:30:00,3.249545E+01,1.018668E+00,1.198377E+06,2.098415E+04 
14:45:00,3.249545E+01,1.079739E+00,1.198377E+06,2.224218E+04 
15:00:00,3.249545E+01,1.137584E+00,1.198377E+06,2.343377E+04 
15:15:00,3.249545E+01,1.198435E+00,1.198377E+06,2.449760E+04 
15:30:00,3.249545E+01,1.256193E+00,1.198377E+06,2.547945E+04 
15:45:00,3.249545E+01,1.300818E+00,1.198377E+06,2.617871E+04 
16:00:00,3.249545E+01,1.344444E+00,1.198377E+06,2.684389E+04 
16:15:00,3.249545E+01,1.381429E+00,1.198377E+06,2.729085E+04 
16:30:00,3.249545E+01,1.415393E+00,1.198377E+06,2.766315E+04 
16:45:00,3.249545E+01,1.446795E+00,1.198377E+06,2.797159E+04 
17:00:00,3.249545E+01,1.475861E+00,1.198377E+06,2.822210E+04 
17:15:00,3.249545E+01,1.501774E+00,1.198377E+06,2.832147E+04 
17:30:00,3.249545E+01,1.522107E+00,1.198377E+06,2.830343E+04 
17:45:00,3.249545E+01,1.532543E+00,1.198377E+06,2.809325E+04 
18:00:00,3.249545E+01,1.531117E+00,1.198377E+06,2.766323E+04 
18:15:00,3.249545E+01,1.515415E+00,1.198377E+06,2.677996E+04 
18:30:00,3.249545E+01,1.483535E+00,1.198377E+06,2.562959E+04 
18:45:00,3.249545E+01,1.435555E+00,1.198377E+06,2.423270E+04 
19:00:00,3.249545E+01,1.367631E+00,1.198377E+06,2.254500E+04 
19:15:00,3.249545E+01,1.281434E+00,1.198377E+06,2.075225E+04 
19:30:00,3.249545E+01,1.184766E+00,1.198377E+06,1.884300E+04 
19:45:00,3.249545E+01,1.089633E+00,1.198377E+06,1.701380E+04 
20:00:00,3.249545E+01,1.006047E+00,1.198377E+06,1.541677E+04 
20:15:00,3.249545E+01,9.382660E-01,1.198377E+06,1.415533E+04 
20:30:00,3.249545E+01,8.836441E-01,1.198377E+06,1.312149E+04 
20:45:00,3.249545E+01,8.352202E-01,1.198377E+06,1.220415E+04 
21:00:00,3.249545E+01,7.898732E-01,1.198377E+06,1.135403E+04 
21:15:00,3.249545E+01,7.458196E-01,1.198377E+06,1.054373E+04 
21:30:00,3.249545E+01,7.022133E-01,1.198377E+06,9.760559E+03 
21:45:00,3.249545E+01,6.585418E-01,1.198377E+06,8.997201E+03 
22:00:00,3.249545E+01,6.147993E-01,1.198377E+06,8.253626E+03 
22:15:00,3.249545E+01,5.713928E-01,1.198377E+06,7.565393E+03 
22:30:00,3.249545E+01,5.284558E-01,1.198377E+06,6.899320E+03 
22:45:00,3.249545E+01,4.861617E-01,1.198377E+06,6.257378E+03 
23:00:00,3.249545E+01,4.446408E-01,1.198377E+06,5.640865E+03 
23:15:00,3.249545E+01,4.038201E-01,1.198377E+06,5.048437E+03 
23:30:00,3.249545E+01,3.655443E-01,1.198377E+06,4.502429E+03 
23:45:00,3.249545E+01,3.304595E-01,1.198377E+06,4.009271E+03 
24:00:00,3.249545E+01,2.985764E-01,1.198377E+06,3.567321E+03 
Coinc Peak   ,3.249545E+01,1.532543E+00,1.198377E+06,3.689438E+04 
NonCoinc Peak,3.249545E+01,2.000084E+00,1.198377E+06,3.689438E+04 
