Time,AIR LOOP HVAC 1:Des Heat Mass Flow [kg/s],AIR LOOP HVAC 1:Des Cool Mass Flow [kg/s],AIR LOOP HVAC 1:Des Heat Cap [W],AIR LOOP HVAC 1:Des Sens Cool Cap [W] 
00:15:00,4.259590E+01,2.988289E-01,1.403934E+06,3.523045E+03 
00:30:00,4.259590E+01,2.534776E-01,1.403934E+06,2.948259E+03 
00:45:00,4.259590E+01,2.142741E-01,1.403934E+06,2.458361E+03 
01:00:00,4.259590E+01,1.809532E-01,1.403934E+06,2.047433E+03 
01:15:00,4.259590E+01,1.533747E-01,1.403934E+06,1.719207E+03 
01:30:00,4.259590E+01,1.274909E-01,1.403934E+06,1.415619E+03 
01:45:00,4.259590E+01,1.058343E-01,1.403934E+06,1.163984E+03 
02:00:00,4.259590E+01,8.837074E-02,1.403934E+06,9.625931E+02 
02:15:00,4.259590E+01,7.486447E-02,1.403934E+06,8.095495E+02 
02:30:00,4.259590E+01,6.446916E-02,1.403934E+06,6.920379E+02 
02:45:00,4.259590E+01,5.464776E-02,1.403934E+06,5.822866E+02 
03:00:00,4.259590E+01,4.541806E-02,1.403934E+06,4.803476E+02 
03:15:00,4.259590E+01,3.652905E-02,1.403934E+06,3.834455E+02 
03:30:00,4.259590E+01,2.790061E-02,1.403934E+06,2.906649E+02 
03:45:00,4.259590E+01,1.943107E-02,1.403934E+06,2.008927E+02 
04:00:00,4.259590E+01,1.135568E-02,1.403934E+06,1.165048E+02 
04:15:00,4.259590E+01,5.461686E-03,1.403934E+06,5.574662E+01 
04:30:00,4.259590E+01,1.696268E-03,1.403934E+06,1.722407E+01 
04:45:00,4.259590E+01,0.000000E+00,1.403934E+06,0.000000E+00 
05:00:00,4.259590E+01,0.000000E+00,1.403934E+06,0.000000E+00 
05:15:00,4.259590E+01,0.000000E+00,1.403934E+06,0.000000E+00 
05:30:00,4.259590E+01,0.000000E+00,1.403934E+06,0.000000E+00 
05:45:00,4.259590E+01,0.000000E+00,1.403934E+06,0.000000E+00 
06:00:00,4.259590E+01,0.000000E+00,1.403934E+06,0.000000E+00 
06:15:00,4.259590E+01,0.000000E+00,1.403934E+06,0.000000E+00 
06:30:00,4.259590E+01,2.109126E-02,1.403934E+06,2.241767E+02 
06:45:00,4.259590E+01,4.928456E-02,1.403934E+06,5.329403E+02 
07:00:00,4.259590E+01,9.118687E-02,1.403934E+06,1.002889E+03 
07:15:00,4.259590E+01,1.490750E-01,1.403934E+06,1.706401E+03 
07:30:00,4.259590E+01,2.021900E-01,1.403934E+06,2.405052E+03 
07:45:00,4.259590E+01,2.854952E-01,1.403934E+06,3.523991E+03 
08:00:00,4.259590E+01,3.798587E-01,1.403934E+06,4.859096E+03 
08:15:00,4.259590E+01,4.832835E-01,1.403934E+06,6.424299E+03 
08:30:00,4.259590E+01,5.972357E-01,1.403934E+06,8.238386E+03 
08:45:00,4.259590E+01,6.980605E-01,1.403934E+06,9.979032E+03 
09:00:00,4.259590E+01,7.963748E-01,1.403934E+06,1.178359E+04 
09:15:00,4.259590E+01,8.885069E-01,1.403934E+06,1.354525E+04 
09:30:00,4.259590E+01,9.705085E-01,1.403934E+06,1.523056E+04 
09:45:00,4.259590E+01,1.044373E+00,1.403934E+06,1.685805E+04 
10:00:00,4.259590E+01,1.127507E+00,1.403934E+06,1.870559E+04 
10:15:00,4.259590E+01,1.201462E+00,1.403934E+06,2.040788E+04 
10:30:00,4.259590E+01,1.277911E+00,1.403934E+06,2.221206E+04 
10:45:00,4.259590E+01,1.357438E+00,1.403934E+06,2.413146E+04 
11:00:00,4.259590E+01,1.416569E+00,1.403934E+06,2.574312E+04 
11:15:00,4.259590E+01,1.474549E+00,1.403934E+06,2.718573E+04 
11:30:00,4.259590E+01,1.518558E+00,1.403934E+06,2.839768E+04 
11:45:00,4.259590E+01,1.555903E+00,1.403934E+06,2.950644E+04 
12:00:00,4.259590E+01,1.572499E+00,1.403934E+06,3.023596E+04 
12:15:00,4.259590E+01,1.579902E+00,1.403934E+06,3.071170E+04 
12:30:00,4.259590E+01,1.589122E+00,1.403934E+06,3.122626E+04 
12:45:00,4.259590E+01,1.600241E+00,1.403934E+06,3.178243E+04 
13:00:00,4.259590E+01,1.639970E+00,1.403934E+06,3.291756E+04 
13:15:00,4.259590E+01,1.700838E+00,1.403934E+06,3.436363E+04 
13:30:00,4.259590E+01,1.776357E+00,1.403934E+06,3.612368E+04 
13:45:00,4.259590E+01,1.880571E+00,1.403934E+06,3.849098E+04 
14:00:00,4.259590E+01,1.993615E+00,1.403934E+06,4.106766E+04 
14:15:00,4.259590E+01,2.113722E+00,1.403934E+06,4.354184E+04 
14:30:00,4.259590E+01,2.238879E+00,1.403934E+06,4.612001E+04 
14:45:00,4.259590E+01,2.345558E+00,1.403934E+06,4.831755E+04 
15:00:00,4.259590E+01,2.446272E+00,1.403934E+06,5.039222E+04 
15:15:00,4.259590E+01,2.536255E+00,1.403934E+06,5.184444E+04 
15:30:00,4.259590E+01,2.612580E+00,1.403934E+06,5.299114E+04 
15:45:00,4.259590E+01,2.674096E+00,1.403934E+06,5.381566E+04 
16:00:00,4.259590E+01,2.720725E+00,1.403934E+06,5.432347E+04 
16:15:00,4.259590E+01,2.761475E+00,1.403934E+06,5.455437E+04 
16:30:00,4.259590E+01,2.810464E+00,1.403934E+06,5.492912E+04 
16:45:00,4.259591E+01,2.853374E+00,1.403934E+06,5.516565E+04 
17:00:00,4.259591E+01,2.899460E+00,1.403934E+06,5.544480E+04 
17:15:00,4.259591E+01,2.937035E+00,1.403934E+06,5.538862E+04 
17:30:00,4.259591E+01,2.949874E+00,1.403934E+06,5.485263E+04 
17:45:00,4.259591E+01,2.944177E+00,1.403934E+06,5.397010E+04 
18:00:00,4.259591E+01,2.906089E+00,1.403934E+06,5.250535E+04 
18:15:00,4.259591E+01,2.833600E+00,1.403934E+06,5.007451E+04 
18:30:00,4.259591E+01,2.722285E+00,1.403934E+06,4.703027E+04 
18:45:00,4.259591E+01,2.578861E+00,1.403934E+06,4.353213E+04 
19:00:00,4.259591E+01,2.404752E+00,1.403934E+06,3.964162E+04 
19:15:00,4.259591E+01,2.202525E+00,1.403934E+06,3.566891E+04 
19:30:00,4.259591E+01,1.987730E+00,1.403934E+06,3.161365E+04 
19:45:00,4.259591E+01,1.778700E+00,1.403934E+06,2.777306E+04 
20:00:00,4.259591E+01,1.589261E+00,1.403934E+06,2.435398E+04 
20:15:00,4.259591E+01,1.431008E+00,1.403934E+06,2.158919E+04 
20:30:00,4.259591E+01,1.303734E+00,1.403934E+06,1.935954E+04 
20:45:00,4.259591E+01,1.198278E+00,1.403934E+06,1.750912E+04 
21:00:00,4.259591E+01,1.107816E+00,1.403934E+06,1.592430E+04 
21:15:00,4.259591E+01,1.028728E+00,1.403934E+06,1.454324E+04 
21:30:00,4.259591E+01,9.564928E-01,1.403934E+06,1.329497E+04 
21:45:00,4.259591E+01,8.872490E-01,1.403934E+06,1.212187E+04 
22:00:00,4.259591E+01,8.206023E-01,1.403934E+06,1.101651E+04 
22:15:00,4.259591E+01,7.560049E-01,1.403934E+06,1.000971E+04 
22:30:00,4.259591E+01,6.933387E-01,1.403934E+06,9.051970E+03 
22:45:00,4.259591E+01,6.324677E-01,1.403934E+06,8.140480E+03 
23:00:00,4.259591E+01,5.731021E-01,1.403934E+06,7.270568E+03 
23:15:00,4.259591E+01,5.152820E-01,1.403934E+06,6.441899E+03 
23:30:00,4.259591E+01,4.589256E-01,1.403934E+06,5.652612E+03 
23:45:00,4.259591E+01,4.039974E-01,1.403934E+06,4.901463E+03 
24:00:00,4.259591E+01,3.505539E-01,1.403934E+06,4.188337E+03 
Coinc Peak   ,4.259591E+01,2.949874E+00,1.403934E+06,7.516556E+04 
NonCoinc Peak,4.259591E+01,4.033469E+00,1.403934E+06,7.516556E+04 
