Time,AIR LOOP HVAC 1:Des Heat Mass Flow [kg/s],AIR LOOP HVAC 1:Des Cool Mass Flow [kg/s],AIR LOOP HVAC 1:Des Heat Cap [W],AIR LOOP HVAC 1:Des Sens Cool Cap [W] 
00:15:00,1.922396E+01,3.449273E-01,7.089472E+05,4.066522E+03 
00:30:00,1.922396E+01,3.097878E-01,7.089472E+05,3.603216E+03 
00:45:00,1.922396E+01,2.756604E-01,7.089472E+05,3.162644E+03 
01:00:00,1.922396E+01,2.431730E-01,7.089472E+05,2.751431E+03 
01:15:00,1.922396E+01,2.139369E-01,7.089472E+05,2.398060E+03 
01:30:00,1.922396E+01,1.876135E-01,7.089472E+05,2.083201E+03 
01:45:00,1.922396E+01,1.641357E-01,7.089472E+05,1.805193E+03 
02:00:00,1.922396E+01,1.428490E-01,7.089472E+05,1.556006E+03 
02:15:00,1.922396E+01,1.229314E-01,7.089472E+05,1.329323E+03 
02:30:00,1.922396E+01,1.046212E-01,7.089472E+05,1.123046E+03 
02:45:00,1.922396E+01,8.790052E-02,7.089472E+05,9.366037E+02 
03:00:00,1.922396E+01,7.276144E-02,7.089472E+05,7.695350E+02 
03:15:00,1.922396E+01,5.962862E-02,7.089472E+05,6.259219E+02 
03:30:00,1.922396E+01,4.877820E-02,7.089472E+05,5.081650E+02 
03:45:00,1.922396E+01,4.011600E-02,7.089472E+05,4.147489E+02 
04:00:00,1.922396E+01,3.353012E-02,7.089472E+05,3.440059E+02 
04:15:00,1.922396E+01,2.782777E-02,7.089472E+05,2.840339E+02 
04:30:00,1.922396E+01,2.239726E-02,7.089472E+05,2.274239E+02 
04:45:00,1.922396E+01,1.724752E-02,7.089472E+05,1.742230E+02 
05:00:00,1.922396E+01,1.239625E-02,7.089472E+05,1.245648E+02 
05:15:00,1.922396E+01,8.153077E-03,7.089472E+05,8.235701E+01 
05:30:00,1.922396E+01,4.645524E-03,7.089472E+05,4.717110E+01 
05:45:00,1.922396E+01,2.174246E-03,7.089472E+05,2.219221E+01 
06:00:00,1.922396E+01,2.983260E-03,7.089472E+05,3.060708E+01 
06:15:00,1.922396E+01,1.844120E-02,7.089472E+05,1.926045E+02 
06:30:00,1.922396E+01,3.728509E-02,7.089472E+05,3.962992E+02 
06:45:00,1.922396E+01,6.608872E-02,7.089472E+05,7.146526E+02 
07:00:00,1.922396E+01,1.019554E-01,7.089472E+05,1.121324E+03 
07:15:00,1.922396E+01,1.341898E-01,7.089472E+05,1.536017E+03 
07:30:00,1.922396E+01,1.894842E-01,7.089472E+05,2.253917E+03 
07:45:00,1.922396E+01,2.503784E-01,7.089472E+05,3.090529E+03 
08:00:00,1.922396E+01,3.205812E-01,7.089472E+05,4.100827E+03 
08:15:00,1.922396E+01,3.982527E-01,7.089472E+05,5.293983E+03 
08:30:00,1.922396E+01,4.672582E-01,7.089472E+05,6.445451E+03 
08:45:00,1.922396E+01,5.372707E-01,7.089472E+05,7.680483E+03 
09:00:00,1.922396E+01,6.040769E-01,7.089472E+05,8.938250E+03 
09:15:00,1.922396E+01,6.711773E-01,7.089472E+05,1.023207E+04 
09:30:00,1.922396E+01,7.367079E-01,7.089472E+05,1.156144E+04 
09:45:00,1.922396E+01,8.005277E-01,7.089472E+05,1.292196E+04 
10:00:00,1.922396E+01,8.638476E-01,7.089472E+05,1.433142E+04 
