Time,AIR LOOP HVAC 1:Des Heat Mass Flow [kg/s],AIR LOOP HVAC 1:Des Cool Mass Flow [kg/s],AIR LOOP HVAC 1:Des Heat Cap [W],AIR LOOP HVAC 1:Des Sens Cool Cap [W] 
00:15:00,1.152494E+01,3.490207E-02,3.798545E+05,4.114781E+02 
00:30:00,1.152494E+01,2.791581E-02,3.798545E+05,3.246955E+02 
00:45:00,1.152494E+01,2.102484E-02,3.798545E+05,2.412174E+02 
01:00:00,1.152494E+01,1.434606E-02,3.798545E+05,1.623214E+02 
01:15:00,1.152494E+01,8.272395E-03,3.798545E+05,9.272691E+01 
01:30:00,1.152494E+01,3.892184E-03,3.798545E+05,4.321759E+01 
01:45:00,1.152494E+01,1.153874E-03,3.798545E+05,1.269051E+01 
02:00:00,1.152494E+01,0.000000E+00,3.798545E+05,0.000000E+00 
02:15:00,1.152494E+01,0.000000E+00,3.798545E+05,0.000000E+00 
02:30:00,1.152494E+01,0.000000E+00,3.798545E+05,0.000000E+00 
02:45:00,1.152494E+01,0.000000E+00,3.798545E+05,0.000000E+00 
03:00:00,1.152494E+01,0.000000E+00,3.798545E+05,0.000000E+00 
03:15:00,1.152494E+01,0.000000E+00,3.798545E+05,0.000000E+00 
03:30:00,1.152494E+01,0.000000E+00,3.798545E+05,0.000000E+00 
03:45:00,1.152494E+01,0.000000E+00,3.798545E+05,0.000000E+00 
04:00:00,1.152494E+01,0.000000E+00,3.798545E+05,0.000000E+00 
04:15:00,1.152494E+01,0.000000E+00,3.798545E+05,0.000000E+00 
04:30:00,1.152494E+01,0.000000E+00,3.798545E+05,0.000000E+00 
04:45:00,1.152494E+01,0.000000E+00,3.798545E+05,0.000000E+00 
05:00:00,1.152494E+01,0.000000E+00,3.798545E+05,0.000000E+00 
05:15:00,1.152494E+01,0.000000E+00,3.798545E+05,0.000000E+00 
05:30:00,1.152494E+01,0.000000E+00,3.798545E+05,0.000000E+00 
05:45:00,1.152494E+01,0.000000E+00,3.798545E+05,0.000000E+00 
06:00:00,1.152494E+01,0.000000E+00,3.798545E+05,0.000000E+00 
06:15:00,1.152494E+01,0.000000E+00,3.798545E+05,0.000000E+00 
06:30:00,1.152494E+01,0.000000E+00,3.798545E+05,0.000000E+00 
06:45:00,1.152494E+01,0.000000E+00,3.798545E+05,0.000000E+00 
07:00:00,1.152494E+01,8.868700E-03,3.798545E+05,9.753953E+01 
07:15:00,1.152494E+01,2.221269E-02,3.798545E+05,2.542597E+02 
07:30:00,1.152494E+01,4.294317E-02,3.798545E+05,5.108096E+02 
07:45:00,1.152494E+01,7.039367E-02,3.798545E+05,8.688995E+02 
08:00:00,1.152494E+01,9.545127E-02,3.798545E+05,1.220998E+03 
