Time,AIR LOOP HVAC 1:Des Heat Mass Flow [kg/s],AIR LOOP HVAC 1:Des Cool Mass Flow [kg/s],AIR LOOP HVAC 1:Des Heat Cap [W],AIR LOOP HVAC 1:Des Sens Cool Cap [W] 
00:15:00,1.500183E+01,1.887432E+00,4.944506E+05,2.225189E+04 
00:30:00,1.500183E+01,1.745521E+00,4.944506E+05,2.030257E+04 
00:45:00,1.500183E+01,1.609147E+00,4.944506E+05,1.846170E+04 
01:00:00,1.500183E+01,1.478215E+00,4.944506E+05,1.672557E+04 
01:15:00,1.500183E+01,1.353333E+00,4.944506E+05,1.516977E+04 
01:30:00,1.500183E+01,1.234380E+00,4.944506E+05,1.370617E+04 
01:45:00,1.500183E+01,1.121308E+00,4.944506E+05,1.233235E+04 
02:00:00,1.500183E+01,1.013902E+00,4.944506E+05,1.104410E+04 
02:15:00,1.500183E+01,9.112850E-01,4.944506E+05,9.854211E+03 
02:30:00,1.500183E+01,8.133070E-01,4.944506E+05,8.730364E+03 
02:45:00,1.500183E+01,7.199634E-01,4.944506E+05,7.671404E+03 
03:00:00,1.500183E+01,6.332422E-01,4.944506E+05,6.697256E+03 
03:15:00,1.500183E+01,5.550920E-01,4.944506E+05,5.826803E+03 
03:30:00,1.500183E+01,4.870512E-01,4.944506E+05,5.074037E+03 
03:45:00,1.500183E+01,4.300401E-01,4.944506E+05,4.446072E+03 
04:00:00,1.500183E+01,3.835118E-01,4.944506E+05,3.934680E+03 
04:15:00,1.500183E+01,3.445284E-01,4.944506E+05,3.516550E+03 
04:30:00,1.500183E+01,3.108707E-01,4.944506E+05,3.156611E+03 
04:45:00,1.500183E+01,2.806165E-01,4.944506E+05,2.834603E+03 
05:00:00,1.500183E+01,2.515971E-01,4.944506E+05,2.528195E+03 
05:15:00,1.500183E+01,2.256108E-01,4.944506E+05,2.278972E+03 
05:30:00,1.500183E+01,2.041421E-01,4.944506E+05,2.072878E+03 
05:45:00,1.500183E+01,2.121074E-01,4.944506E+05,2.164949E+03 
06:00:00,1.500183E+01,2.856414E-01,4.944506E+05,2.930568E+03 
06:15:00,1.500183E+01,4.534429E-01,4.944506E+05,4.735870E+03 
06:30:00,1.500183E+01,7.056477E-01,4.944506E+05,7.500253E+03 
06:45:00,1.500183E+01,1.021357E+00,4.944506E+05,1.104447E+04 
07:00:00,1.500183E+01,1.367717E+00,4.944506E+05,1.504240E+04 
07:15:00,1.500183E+01,1.720727E+00,4.944506E+05,1.969647E+04 
07:30:00,1.500183E+01,2.082308E+00,4.944506E+05,2.476908E+04 
07:45:00,1.500183E+01,2.445203E+00,4.944506E+05,3.018219E+04 
08:00:00,1.500183E+01,2.802807E+00,4.944506E+05,3.585309E+04 
08:15:00,1.500183E+01,3.141376E+00,4.944506E+05,4.175838E+04 
08:30:00,1.500183E+01,3.473436E+00,4.944506E+05,4.791326E+04 
08:45:00,1.500183E+01,3.803033E+00,4.944506E+05,5.436577E+04 
09:00:00,1.500183E+01,4.135423E+00,4.944506E+05,6.118996E+04 
09:15:00,1.500183E+01,4.476155E+00,4.944506E+05,6.823881E+04 
09:30:00,1.500183E+01,4.819946E+00,4.944506E+05,7.564123E+04 
09:45:00,1.500183E+01,5.163498E+00,4.944506E+05,8.334813E+04 
10:00:00,1.500183E+01,5.500934E+00,4.944506E+05,9.126168E+04 
10:15:00,1.500183E+01,5.827677E+00,4.944506E+05,9.898821E+04 
10:30:00,1.500183E+01,6.136968E+00,4.944506E+05,1.066700E+05 
10:45:00,1.500183E+01,6.424427E+00,4.944506E+05,1.142084E+05 
11:00:00,1.500183E+01,6.685355E+00,4.944506E+05,1.214921E+05 
11:15:00,1.500183E+01,6.911204E+00,4.944506E+05,1.274194E+05 
11:30:00,1.500183E+01,7.094042E+00,4.944506E+05,1.326616E+05 
11:45:00,1.500183E+01,7.222834E+00,4.944506E+05,1.369752E+05 
12:00:00,1.500183E+01,7.291473E+00,4.944506E+05,1.402002E+05 
12:15:00,1.500183E+01,7.313230E+00,4.944506E+05,1.421618E+05 
12:30:00,1.500183E+01,7.327530E+00,4.944506E+05,1.439860E+05 
12:45:00,1.500183E+01,7.379002E+00,4.944506E+05,1.465546E+05 
13:00:00,1.500183E+01,7.498980E+00,4.944506E+05,1.505199E+05 
13:15:00,1.500183E+01,7.694466E+00,4.944506E+05,1.554585E+05 
13:30:00,1.500183E+01,7.940165E+00,4.944506E+05,1.614698E+05 
13:45:00,1.500183E+01,8.206018E+00,4.944506E+05,1.679584E+05 
14:00:00,1.500183E+01,8.476067E+00,4.944506E+05,1.746036E+05 
