Time,AIR LOOP HVAC 1:Des Heat Mass Flow [kg/s],AIR LOOP HVAC 1:Des Cool Mass Flow [kg/s],AIR LOOP HVAC 1:Des Heat Cap [W],AIR LOOP HVAC 1:Des Sens Cool Cap [W] 
00:15:00,2.339503E+01,6.716397E-01,7.710853E+05,7.918298E+03 
00:30:00,2.339503E+01,6.168381E-01,7.710852E+05,7.174591E+03 
00:45:00,2.339503E+01,5.648715E-01,7.710852E+05,6.480755E+03 
01:00:00,2.339503E+01,5.169206E-01,7.710852E+05,5.848805E+03 
01:15:00,2.339503E+01,4.735868E-01,7.710852E+05,5.308528E+03 
01:30:00,2.339503E+01,4.329996E-01,7.710852E+05,4.807893E+03 
01:45:00,2.339503E+01,3.951761E-01,7.710852E+05,4.346217E+03 
02:00:00,2.339503E+01,3.589210E-01,7.710852E+05,3.909607E+03 
02:15:00,2.339503E+01,3.234471E-01,7.710852E+05,3.497606E+03 
02:30:00,2.339503E+01,2.887917E-01,7.710852E+05,3.100006E+03 
02:45:00,2.339503E+01,2.549882E-01,7.710852E+05,2.716968E+03 
03:00:00,2.339503E+01,2.220632E-01,7.710852E+05,2.348570E+03 
03:15:00,2.339503E+01,1.898512E-01,7.710852E+05,1.992869E+03 
03:30:00,2.339503E+01,1.583511E-01,7.710852E+05,1.649682E+03 
03:45:00,2.339503E+01,1.275551E-01,7.710852E+05,1.318759E+03 
04:00:00,2.339503E+01,9.848055E-02,7.710852E+05,1.010372E+03 
04:15:00,2.339503E+01,7.435503E-02,7.710852E+05,7.589307E+02 
04:30:00,2.339503E+01,5.510913E-02,7.710852E+05,5.595834E+02 
04:45:00,2.339503E+01,4.164713E-02,7.710852E+05,4.206919E+02 
05:00:00,2.339503E+01,3.326634E-02,7.710852E+05,3.342796E+02 
05:15:00,2.339503E+01,2.698217E-02,7.710852E+05,2.725561E+02 
05:30:00,2.339503E+01,2.290662E-02,7.710852E+05,2.325960E+02 
05:45:00,2.339503E+01,2.740829E-02,7.710852E+05,2.797524E+02 
06:00:00,2.339503E+01,3.792427E-02,7.710852E+05,3.890881E+02 
06:15:00,2.339503E+01,6.061115E-02,7.710852E+05,6.330380E+02 
06:30:00,2.339503E+01,1.049598E-01,7.710852E+05,1.115606E+03 
06:45:00,2.339503E+01,1.561218E-01,7.710852E+05,1.688229E+03 
07:00:00,2.339503E+01,2.207711E-01,7.710852E+05,2.428080E+03 
07:15:00,2.339503E+01,2.934706E-01,7.710852E+05,3.359239E+03 
07:30:00,2.339503E+01,3.631632E-01,7.710852E+05,4.319831E+03 
07:45:00,2.339503E+01,4.430156E-01,7.710852E+05,5.468332E+03 
08:00:00,2.339503E+01,5.337711E-01,7.710852E+05,6.827919E+03 
08:15:00,2.339503E+01,6.235726E-01,7.710852E+05,8.289164E+03 
08:30:00,2.339503E+01,7.208604E-01,7.710852E+05,9.943690E+03 
08:45:00,2.339503E+01,8.179608E-01,7.710852E+05,1.169305E+04 
09:00:00,2.339503E+01,9.099427E-01,7.710852E+05,1.346401E+04 
09:15:00,2.339503E+01,1.005829E+00,7.710852E+05,1.533382E+04 
09:30:00,2.339503E+01,1.096498E+00,7.710852E+05,1.720776E+04 
09:45:00,2.339503E+01,1.189945E+00,7.710852E+05,1.920785E+04 
10:00:00,2.339503E+01,1.283004E+00,7.710852E+05,2.128531E+04 
10:15:00,2.339503E+01,1.374684E+00,7.710852E+05,2.335022E+04 
10:30:00,2.339503E+01,1.466454E+00,7.710853E+05,2.548923E+04 
10:45:00,2.339503E+01,1.550445E+00,7.710853E+05,2.756258E+04 
11:00:00,2.339503E+01,1.626650E+00,7.710853E+05,2.956089E+04 
11:15:00,2.339503E+01,1.693158E+00,7.710853E+05,3.121614E+04 
11:30:00,2.339503E+01,1.745403E+00,7.710853E+05,3.263976E+04 
11:45:00,2.339503E+01,1.780858E+00,7.710853E+05,3.377254E+04 
12:00:00,2.339503E+01,1.805097E+00,7.710853E+05,3.470835E+04 
12:15:00,2.339503E+01,1.813586E+00,7.710853E+05,3.525428E+04 
12:30:00,2.339503E+01,1.824912E+00,7.710853E+05,3.585953E+04 
12:45:00,2.339503E+01,1.849877E+00,7.710853E+05,3.674046E+04 
13:00:00,2.339503E+01,1.890661E+00,7.710853E+05,3.794945E+04 
13:15:00,2.339503E+01,1.957926E+00,7.710853E+05,3.955781E+04 
13:30:00,2.339503E+01,2.038435E+00,7.710853E+05,4.145326E+04 
13:45:00,2.339503E+01,2.133540E+00,7.710853E+05,4.366868E+04 
14:00:00,2.339503E+01,2.235132E+00,7.710853E+05,4.604282E+04 
14:15:00,2.339503E+01,2.336156E+00,7.710853E+05,4.812389E+04 
14:30:00,2.339503E+01,2.438101E+00,7.710853E+05,5.022391E+04 
14:45:00,2.339503E+01,2.530400E+00,7.710853E+05,5.212523E+04 
15:00:00,2.339503E+01,2.613753E+00,7.710853E+05,5.384226E+04 
15:15:00,2.339503E+01,2.689252E+00,7.710853E+05,5.497190E+04 
15:30:00,2.339503E+01,2.751802E+00,7.710853E+05,5.581499E+04 
15:45:00,2.339503E+01,2.801199E+00,7.710853E+05,5.637359E+04 
16:00:00,2.339503E+01,2.837453E+00,7.710853E+05,5.665412E+04 
16:15:00,2.339503E+01,2.863250E+00,7.710853E+05,5.656500E+04 
16:30:00,2.339503E+01,2.882260E+00,7.710853E+05,5.633234E+04 
16:45:00,2.339503E+01,2.897570E+00,7.710853E+05,5.602011E+04 
17:00:00,2.339503E+01,2.910677E+00,7.710853E+05,5.565930E+04 
17:15:00,2.339503E+01,2.920937E+00,7.710853E+05,5.508502E+04 
17:30:00,2.339503E+01,2.929226E+00,7.710853E+05,5.446869E+04 
17:45:00,2.339503E+01,2.919615E+00,7.710853E+05,5.351985E+04 
18:00:00,2.339503E+01,2.890732E+00,7.710853E+05,5.222790E+04 
18:15:00,2.339503E+01,2.839297E+00,7.710853E+05,5.017519E+04 
18:30:00,2.339503E+01,2.776992E+00,7.710853E+05,4.797541E+04 
18:45:00,2.339503E+01,2.698871E+00,7.710853E+05,4.555794E+04 
19:00:00,2.339503E+01,2.588398E+00,7.710853E+05,4.266898E+04 
