Time,AIR LOOP HVAC 1:Des Heat Mass Flow [kg/s],AIR LOOP HVAC 1:Des Cool Mass Flow [kg/s],AIR LOOP HVAC 1:Des Heat Cap [W],AIR LOOP HVAC 1:Des Sens Cool Cap [W] 
00:15:00,4.053967E+01,1.799015E-01,1.336162E+06,2.120950E+03 
00:30:00,4.053967E+01,1.558015E-01,1.336161E+06,1.812164E+03 
00:45:00,4.053966E+01,1.321960E-01,1.336161E+06,1.516681E+03 
01:00:00,4.053966E+01,1.102697E-01,1.336161E+06,1.247669E+03 
01:15:00,4.053966E+01,9.184971E-02,1.336161E+06,1.029562E+03 
01:30:00,4.053966E+01,7.684846E-02,1.336161E+06,8.533013E+02 
01:45:00,4.053966E+01,6.524228E-02,1.336161E+06,7.175462E+02 
02:00:00,4.053966E+01,5.590221E-02,1.336161E+06,6.089242E+02 
02:15:00,4.053966E+01,4.767489E-02,1.336161E+06,5.155341E+02 
02:30:00,4.053966E+01,3.975355E-02,1.336161E+06,4.267306E+02 
02:45:00,4.053966E+01,3.208044E-02,1.336161E+06,3.418257E+02 
03:00:00,4.053966E+01,2.457690E-02,1.336161E+06,2.599286E+02 
03:15:00,4.053966E+01,1.710336E-02,1.336161E+06,1.795340E+02 
03:30:00,4.053966E+01,1.003549E-02,1.336161E+06,1.045484E+02 
03:45:00,4.053966E+01,4.860757E-03,1.336161E+06,5.025410E+01 
04:00:00,4.053966E+01,1.533721E-03,1.336161E+06,1.573537E+01 
04:15:00,4.053966E+01,0.000000E+00,1.336161E+06,0.000000E+00 
04:30:00,4.053966E+01,0.000000E+00,1.336161E+06,0.000000E+00 
04:45:00,4.053966E+01,0.000000E+00,1.336161E+06,0.000000E+00 
05:00:00,4.053966E+01,0.000000E+00,1.336161E+06,0.000000E+00 
05:15:00,4.053966E+01,0.000000E+00,1.336161E+06,0.000000E+00 
05:30:00,4.053966E+01,0.000000E+00,1.336161E+06,0.000000E+00 
05:45:00,4.053966E+01,0.000000E+00,1.336161E+06,0.000000E+00 
06:00:00,4.053966E+01,0.000000E+00,1.336161E+06,0.000000E+00 
06:15:00,4.053966E+01,0.000000E+00,1.336161E+06,0.000000E+00 
06:30:00,4.053966E+01,0.000000E+00,1.336161E+06,0.000000E+00 
06:45:00,4.053966E+01,3.615357E-03,1.336161E+06,3.909479E+01 
07:00:00,4.053967E+01,2.148973E-02,1.336161E+06,2.363478E+02 
07:15:00,4.053967E+01,4.056248E-02,1.336161E+06,4.643023E+02 
07:30:00,4.053967E+01,7.016235E-02,1.336161E+06,8.345821E+02 
07:45:00,4.053967E+01,1.048026E-01,1.336161E+06,1.293624E+03 
08:00:00,4.053967E+01,1.337336E-01,1.336161E+06,1.710700E+03 
