Time,AIR LOOP HVAC 1:Des Heat Mass Flow [kg/s],AIR LOOP HVAC 1:Des Cool Mass Flow [kg/s],AIR LOOP HVAC 1:Des Heat Cap [W],AIR LOOP HVAC 1:Des Sens Cool Cap [W] 
00:15:00,2.100615E+01,1.285461E+00,4.981538E+05,1.724558E+04 
00:30:00,2.100615E+01,1.208764E+00,4.981538E+05,1.604535E+04 
00:45:00,2.100615E+01,1.133402E+00,4.981538E+05,1.488439E+04 
01:00:00,2.100615E+01,1.059584E+00,4.981538E+05,1.376486E+04 
01:15:00,2.100615E+01,9.890154E-01,4.981538E+05,1.275469E+04 
01:30:00,2.100615E+01,9.202675E-01,4.981538E+05,1.178117E+04 
01:45:00,2.100615E+01,8.552288E-01,4.981538E+05,1.086777E+04 
02:00:00,2.100615E+01,7.947777E-01,4.981538E+05,1.002452E+04 
02:15:00,2.100615E+01,7.385032E-01,4.981538E+05,9.262413E+03 
02:30:00,2.100615E+01,6.863104E-01,4.981538E+05,8.559183E+03 
02:45:00,2.100615E+01,6.361791E-01,4.981538E+05,7.888912E+03 
03:00:00,2.100615E+01,5.880076E-01,4.981538E+05,7.249907E+03 
03:15:00,2.100615E+01,5.416209E-01,4.981538E+05,6.639608E+03 
03:30:00,2.100615E+01,4.975015E-01,4.981538E+05,6.063513E+03 
03:45:00,2.100615E+01,4.559654E-01,4.981538E+05,5.524973E+03 
04:00:00,2.100615E+01,4.161790E-01,4.981538E+05,5.013395E+03 
04:15:00,2.100615E+01,3.782767E-01,4.981538E+05,4.538949E+03 
04:30:00,2.100615E+01,3.417358E-01,4.981538E+05,4.084354E+03 
04:45:00,2.100615E+01,3.063051E-01,4.981538E+05,3.646427E+03 
05:00:00,2.100615E+01,2.734054E-01,4.981538E+05,3.241858E+03 
05:15:00,2.100615E+01,2.478978E-01,4.981538E+05,2.951114E+03 
05:30:00,2.100615E+01,2.354088E-01,4.981538E+05,2.813556E+03 
05:45:00,2.100615E+01,2.404959E-01,4.981538E+05,2.885714E+03 
06:00:00,2.100615E+01,2.794442E-01,4.981538E+05,3.366253E+03 
06:15:00,2.100615E+01,3.395039E-01,4.981538E+05,4.145867E+03 
06:30:00,2.100615E+01,4.251956E-01,4.981538E+05,5.262579E+03 
06:45:00,2.100615E+01,5.398620E-01,4.981538E+05,6.771026E+03 
07:00:00,2.100615E+01,6.729069E-01,4.981538E+05,8.550925E+03 
07:15:00,2.100615E+01,8.276580E-01,4.981538E+05,1.084967E+04 
07:30:00,2.100615E+01,9.953663E-01,4.981538E+05,1.344772E+04 
07:45:00,2.100615E+01,1.167187E+00,4.981538E+05,1.623763E+04 
08:00:00,2.100615E+01,1.338523E+00,4.981538E+05,1.915856E+04 
08:15:00,2.100615E+01,1.513870E+00,4.981538E+05,2.234757E+04 
08:30:00,2.100615E+01,1.691556E+00,4.981538E+05,2.572949E+04 
08:45:00,2.100615E+01,1.880340E+00,4.981538E+05,2.944465E+04 
09:00:00,2.100615E+01,2.084067E+00,4.981538E+05,3.356991E+04 
09:15:00,2.100615E+01,2.286817E+00,4.981538E+05,3.775380E+04 
09:30:00,2.100615E+01,2.492305E+00,4.981538E+05,4.214678E+04 
09:45:00,2.100615E+01,2.689216E+00,4.981538E+05,4.655626E+04 
10:00:00,2.100615E+01,2.873917E+00,4.981538E+05,5.090756E+04 
10:15:00,2.100615E+01,3.056595E+00,4.981538E+05,5.522612E+04 
10:30:00,2.100615E+01,3.227910E+00,4.981538E+05,5.946480E+04 
10:45:00,2.100615E+01,3.388430E+00,4.981538E+05,6.362213E+04 
11:00:00,2.100615E+01,3.527156E+00,4.981538E+05,6.747625E+04 
11:15:00,2.100615E+01,3.639925E+00,4.981538E+05,7.049311E+04 
11:30:00,2.100615E+01,3.723211E+00,4.981538E+05,7.298528E+04 
11:45:00,2.100615E+01,3.765081E+00,4.981538E+05,7.469514E+04 
12:00:00,2.100615E+01,3.769090E+00,4.981538E+05,7.566473E+04 
12:15:00,2.100615E+01,3.763149E+00,4.981538E+05,7.625636E+04 
12:30:00,2.100615E+01,3.772358E+00,4.981538E+05,7.715563E+04 
12:45:00,2.100615E+01,3.832455E+00,4.981538E+05,7.910879E+04 
13:00:00,2.100615E+01,3.950667E+00,4.981538E+05,8.229524E+04 
13:15:00,2.100615E+01,4.111098E+00,4.981538E+05,8.612252E+04 
13:30:00,2.100615E+01,4.296471E+00,4.981538E+05,9.051316E+04 
13:45:00,2.100615E+01,4.482524E+00,4.981538E+05,9.496197E+04 
14:00:00,2.100615E+01,4.663185E+00,4.981538E+05,9.933984E+04 
14:15:00,2.100615E+01,4.830148E+00,4.981538E+05,1.028966E+05 
14:30:00,2.100615E+01,4.980323E+00,4.981538E+05,1.060958E+05 
14:45:00,2.100615E+01,5.129860E+00,4.981538E+05,1.092814E+05 
15:00:00,2.100615E+01,5.266755E+00,4.981538E+05,1.121977E+05 
15:15:00,2.100615E+01,5.385438E+00,4.981538E+05,1.139630E+05 
15:30:00,2.100615E+01,5.487048E+00,4.981538E+05,1.153357E+05 
15:45:00,2.100615E+01,5.555305E+00,4.981538E+05,1.159834E+05 
16:00:00,2.100615E+01,5.599149E+00,4.981538E+05,1.161054E+05 
16:15:00,2.100615E+01,5.624455E+00,4.981538E+05,1.155676E+05 
16:30:00,2.100615E+01,5.627293E+00,4.981538E+05,1.145629E+05 
16:45:00,2.100615E+01,5.612029E+00,4.981538E+05,1.131919E+05 
17:00:00,2.100615E+01,5.584132E+00,4.981538E+05,1.115744E+05 
17:15:00,2.100615E+01,5.543951E+00,4.981538E+05,1.094624E+05 
17:30:00,2.100615E+01,5.491196E+00,4.981538E+05,1.071240E+05 
17:45:00,2.100615E+01,5.415390E+00,4.981538E+05,1.043664E+05 
18:00:00,2.100615E+01,5.307020E+00,4.981538E+05,1.010247E+05 
18:15:00,2.100615E+01,5.150291E+00,4.981538E+05,9.621686E+04 
18:30:00,2.100615E+01,4.941614E+00,4.981538E+05,9.056801E+04 
18:45:00,2.100615E+01,4.683832E+00,4.981538E+05,8.418440E+04 
19:00:00,2.100615E+01,4.376502E+00,4.981538E+05,7.711042E+04 
19:15:00,2.100615E+01,4.050630E+00,4.981538E+05,7.031664E+04 
19:30:00,2.100615E+01,3.733669E+00,4.981538E+05,6.384454E+04 
19:45:00,2.100615E+01,3.445978E+00,4.981538E+05,5.803001E+04 
20:00:00,2.100615E+01,3.206320E+00,4.981538E+05,5.316131E+04 
20:15:00,2.100615E+01,3.009913E+00,4.981538E+05,4.926517E+04 
20:30:00,2.100615E+01,2.843675E+00,4.981538E+05,4.593989E+04 
20:45:00,2.100615E+01,2.696239E+00,4.981538E+05,4.298501E+04 
21:00:00,2.100615E+01,2.562324E+00,4.981538E+05,4.030551E+04 
21:15:00,2.100615E+01,2.437694E+00,4.981538E+05,3.782698E+04 
21:30:00,2.100615E+01,2.320063E+00,4.981538E+05,3.550856E+04 
21:45:00,2.100615E+01,2.207710E+00,4.981538E+05,3.331980E+04 
22:00:00,2.100615E+01,2.098614E+00,4.981538E+05,3.122726E+04 
