Time,AIR LOOP HVAC 1:Des Heat Mass Flow [kg/s],AIR LOOP HVAC 1:Des Cool Mass Flow [kg/s],AIR LOOP HVAC 1:Des Heat Cap [W],AIR LOOP HVAC 1:Des Sens Cool Cap [W] 
00:15:00,1.953402E+01,1.938258E-03,6.438288E+05,2.285110E+01 
00:30:00,1.953402E+01,3.717834E-05,6.438288E+05,4.324302E-01 
00:45:00,1.953402E+01,0.000000E+00,6.438288E+05,0.000000E+00 
01:00:00,1.953402E+01,0.000000E+00,6.438288E+05,0.000000E+00 
01:15:00,1.953402E+01,0.000000E+00,6.438288E+05,0.000000E+00 
01:30:00,1.953402E+01,0.000000E+00,6.438288E+05,0.000000E+00 
01:45:00,1.953402E+01,0.000000E+00,6.438288E+05,0.000000E+00 
02:00:00,1.953402E+01,0.000000E+00,6.438288E+05,0.000000E+00 
02:15:00,1.953402E+01,0.000000E+00,6.438288E+05,0.000000E+00 
02:30:00,1.953402E+01,0.000000E+00,6.438288E+05,0.000000E+00 
02:45:00,1.953402E+01,0.000000E+00,6.438288E+05,0.000000E+00 
03:00:00,1.953402E+01,0.000000E+00,6.438288E+05,0.000000E+00 
03:15:00,1.953402E+01,0.000000E+00,6.438288E+05,0.000000E+00 
03:30:00,1.953402E+01,0.000000E+00,6.438288E+05,0.000000E+00 
03:45:00,1.953402E+01,0.000000E+00,6.438288E+05,0.000000E+00 
04:00:00,1.953402E+01,0.000000E+00,6.438288E+05,0.000000E+00 
04:15:00,1.953402E+01,0.000000E+00,6.438288E+05,0.000000E+00 
04:30:00,1.953402E+01,0.000000E+00,6.438288E+05,0.000000E+00 
04:45:00,1.953402E+01,0.000000E+00,6.438288E+05,0.000000E+00 
05:00:00,1.953402E+01,0.000000E+00,6.438288E+05,0.000000E+00 
05:15:00,1.953402E+01,0.000000E+00,6.438288E+05,0.000000E+00 
05:30:00,1.953402E+01,0.000000E+00,6.438288E+05,0.000000E+00 
05:45:00,1.953402E+01,0.000000E+00,6.438288E+05,0.000000E+00 
06:00:00,1.953402E+01,0.000000E+00,6.438288E+05,0.000000E+00 
06:15:00,1.953402E+01,0.000000E+00,6.438288E+05,0.000000E+00 
06:30:00,1.953402E+01,0.000000E+00,6.438288E+05,0.000000E+00 
06:45:00,1.953402E+01,0.000000E+00,6.438288E+05,0.000000E+00 
07:00:00,1.953402E+01,0.000000E+00,6.438288E+05,0.000000E+00 
07:15:00,1.953402E+01,0.000000E+00,6.438288E+05,0.000000E+00 
07:30:00,1.953402E+01,0.000000E+00,6.438288E+05,0.000000E+00 
07:45:00,1.953402E+01,0.000000E+00,6.438288E+05,0.000000E+00 
08:00:00,1.953402E+01,0.000000E+00,6.438288E+05,0.000000E+00 
08:15:00,1.953402E+01,0.000000E+00,6.438288E+05,0.000000E+00 
08:30:00,1.953402E+01,0.000000E+00,6.438288E+05,0.000000E+00 
08:45:00,1.953402E+01,8.518313E-03,6.438288E+05,1.217724E+02 
09:00:00,1.953402E+01,2.090935E-02,6.438288E+05,3.093861E+02 
09:15:00,1.953402E+01,3.698751E-02,6.438288E+05,5.638732E+02 
09:30:00,1.953402E+01,5.765705E-02,6.438288E+05,9.048339E+02 
09:45:00,1.953402E+01,7.344032E-02,6.438288E+05,1.185459E+03 
10:00:00,1.953402E+01,8.887169E-02,6.438288E+05,1.474400E+03 
10:15:00,1.953402E+01,1.036693E-01,6.438288E+05,1.760914E+03 
10:30:00,1.953402E+01,1.164656E-01,6.438288E+05,2.024352E+03 
10:45:00,1.953402E+01,1.277039E-01,6.438288E+05,2.270219E+03 
11:00:00,1.953402E+01,1.368607E-01,6.438288E+05,2.487151E+03 
11:15:00,1.953402E+01,1.434722E-01,6.438288E+05,2.645146E+03 
11:30:00,1.953402E+01,1.468366E-01,6.438288E+05,2.745906E+03 
11:45:00,1.953402E+01,1.461662E-01,6.438288E+05,2.771924E+03 
12:00:00,1.953402E+01,1.410346E-01,6.438288E+05,2.711810E+03 
12:15:00,1.953402E+01,1.324507E-01,6.438288E+05,2.574707E+03 
12:30:00,1.953402E+01,1.228000E-01,6.438288E+05,2.413021E+03 
12:45:00,1.953402E+01,1.140853E-01,6.438288E+05,2.265851E+03 
13:00:00,1.953402E+01,1.076705E-01,6.438288E+05,2.161167E+03 
13:15:00,1.953402E+01,1.036246E-01,6.438288E+05,2.093626E+03 
13:30:00,1.953402E+01,1.008260E-01,6.438288E+05,2.050380E+03 
13:45:00,1.953402E+01,1.042160E-01,6.438288E+05,2.133063E+03 
14:00:00,1.953402E+01,1.090430E-01,6.438288E+05,2.246242E+03 
14:15:00,1.953402E+01,1.160520E-01,6.438288E+05,2.390625E+03 
14:30:00,1.953402E+01,1.250524E-01,6.438288E+05,2.576030E+03 
