Time,AIR LOOP HVAC 1:Des Heat Mass Flow [kg/s],AIR LOOP HVAC 1:Des Cool Mass Flow [kg/s],AIR LOOP HVAC 1:Des Heat Cap [W],AIR LOOP HVAC 1:Des Sens Cool Cap [W] 
00:15:00,1.958103E+01,5.283001E-01,6.453784E+05,6.228396E+03 
00:30:00,1.958103E+01,4.662426E-01,6.453784E+05,5.422979E+03 
00:45:00,1.958103E+01,4.098802E-01,6.453784E+05,4.702545E+03 
01:00:00,1.958103E+01,3.579935E-01,6.453784E+05,4.050592E+03 
01:15:00,1.958103E+01,3.100707E-01,6.453784E+05,3.475644E+03 
01:30:00,1.958103E+01,2.658392E-01,6.453784E+05,2.951796E+03 
01:45:00,1.958103E+01,2.253461E-01,6.453784E+05,2.478396E+03 
02:00:00,1.958103E+01,1.886968E-01,6.453784E+05,2.055412E+03 
02:15:00,1.958103E+01,1.546655E-01,6.453784E+05,1.672480E+03 
02:30:00,1.958103E+01,1.238420E-01,6.453784E+05,1.329370E+03 
02:45:00,1.958103E+01,9.658809E-02,6.453784E+05,1.029172E+03 
03:00:00,1.958103E+01,7.335519E-02,6.453784E+05,7.758145E+02 
03:15:00,1.958103E+01,5.600727E-02,6.453784E+05,5.879085E+02 
03:30:00,1.958103E+01,4.336184E-02,6.453784E+05,4.517380E+02 
03:45:00,1.958103E+01,3.470528E-02,6.453784E+05,3.588088E+02 
04:00:00,1.958103E+01,2.917929E-02,6.453784E+05,2.993680E+02 
04:15:00,1.958103E+01,2.392249E-02,6.453784E+05,2.441733E+02 
04:30:00,1.958103E+01,1.893137E-02,6.453784E+05,1.922309E+02 
04:45:00,1.958103E+01,1.420366E-02,6.453784E+05,1.434760E+02 
05:00:00,1.958103E+01,9.739358E-03,6.453784E+05,9.786677E+01 
05:15:00,1.958103E+01,5.960002E-03,6.453784E+05,6.020401E+01 
05:30:00,1.958103E+01,3.148038E-03,6.453784E+05,3.196548E+01 
05:45:00,1.958103E+01,4.601986E-03,6.453784E+05,4.697178E+01 
06:00:00,1.958103E+01,2.439931E-02,6.453784E+05,2.503273E+02 
06:15:00,1.958103E+01,7.546362E-02,6.453784E+05,7.881608E+02 
06:30:00,1.958103E+01,1.773213E-01,6.453784E+05,1.884729E+03 
06:45:00,1.958103E+01,3.204194E-01,6.453784E+05,3.464867E+03 
07:00:00,1.958103E+01,5.117254E-01,6.453784E+05,5.628046E+03 
07:15:00,1.958103E+01,7.417382E-01,6.453784E+05,8.490377E+03 
07:30:00,1.958103E+01,9.780809E-01,6.453784E+05,1.163429E+04 
07:45:00,1.958103E+01,1.234170E+00,6.453784E+05,1.523390E+04 
08:00:00,1.958103E+01,1.468286E+00,6.453784E+05,1.878209E+04 
08:15:00,1.958103E+01,1.680386E+00,6.453784E+05,2.233740E+04 
08:30:00,1.958103E+01,1.881700E+00,6.453784E+05,2.595654E+04 
08:45:00,1.958103E+01,2.068511E+00,6.453784E+05,2.957013E+04 
09:00:00,1.958103E+01,2.256357E+00,6.453784E+05,3.338628E+04 
09:15:00,1.958103E+01,2.458486E+00,6.453784E+05,3.747952E+04 
09:30:00,1.958103E+01,2.670862E+00,6.453784E+05,4.191485E+04 
09:45:00,1.958103E+01,2.893573E+00,6.453784E+05,4.670747E+04 
10:00:00,1.958103E+01,3.128222E+00,6.453784E+05,5.189788E+04 
10:15:00,1.958103E+01,3.353547E+00,6.453784E+05,5.696295E+04 
10:30:00,1.958103E+01,3.572736E+00,6.453784E+05,6.209965E+04 
10:45:00,1.958103E+01,3.806210E+00,6.453784E+05,6.766377E+04 
11:00:00,1.958103E+01,4.051786E+00,6.453784E+05,7.363256E+04 
11:15:00,1.958103E+01,4.283811E+00,6.453784E+05,7.897910E+04 
11:30:00,1.958103E+01,4.497859E+00,6.453784E+05,8.411185E+04 
11:45:00,1.958103E+01,4.652322E+00,6.453784E+05,8.822753E+04 
12:00:00,1.958103E+01,4.741611E+00,6.453784E+05,9.117154E+04 
12:15:00,1.958103E+01,4.798513E+00,6.453784E+05,9.327824E+04 
12:30:00,1.958103E+01,4.844891E+00,6.453784E+05,9.520215E+04 
12:45:00,1.958103E+01,4.911893E+00,6.453784E+05,9.755525E+04 
13:00:00,1.958103E+01,5.018039E+00,6.453784E+05,1.007223E+05 
13:15:00,1.958103E+01,5.177688E+00,6.453784E+05,1.046097E+05 
13:30:00,1.958103E+01,5.383217E+00,6.453784E+05,1.094722E+05 
13:45:00,1.958103E+01,5.594287E+00,6.453784E+05,1.145023E+05 
14:00:00,1.958103E+01,5.809520E+00,6.453784E+05,1.196738E+05 
14:15:00,1.958103E+01,5.996615E+00,6.453784E+05,1.235279E+05 
14:30:00,1.958103E+01,6.138633E+00,6.453784E+05,1.264534E+05 
14:45:00,1.958103E+01,6.252653E+00,6.453784E+05,1.288022E+05 
15:00:00,1.958103E+01,6.322518E+00,6.453784E+05,1.302413E+05 
15:15:00,1.958103E+01,6.349025E+00,6.453784E+05,1.297826E+05 
15:30:00,1.958103E+01,6.329679E+00,6.453784E+05,1.283853E+05 
15:45:00,1.958103E+01,6.269423E+00,6.453784E+05,1.261709E+05 
16:00:00,1.958103E+01,6.171365E+00,6.453784E+05,1.232208E+05 
16:15:00,1.958103E+01,6.047364E+00,6.453784E+05,1.194688E+05 
16:30:00,1.958103E+01,5.917089E+00,6.453784E+05,1.156465E+05 
16:45:00,1.958103E+01,5.792362E+00,6.453784E+05,1.119865E+05 
17:00:00,1.958103E+01,5.685269E+00,6.453784E+05,1.087163E+05 
17:15:00,1.958103E+01,5.596813E+00,6.453784E+05,1.055485E+05 
17:30:00,1.958103E+01,5.516079E+00,6.453784E+05,1.025710E+05 
17:45:00,1.958103E+01,5.421820E+00,6.453784E+05,9.938810E+04 
18:00:00,1.958103E+01,5.309336E+00,6.453784E+05,9.592567E+04 
18:15:00,1.958103E+01,5.158293E+00,6.453784E+05,9.115578E+04 
18:30:00,1.958103E+01,4.952292E+00,6.453784E+05,8.555595E+04 
18:45:00,1.958103E+01,4.692777E+00,6.453784E+05,7.921581E+04 
19:00:00,1.958103E+01,4.352432E+00,6.453784E+05,7.174856E+04 
19:15:00,1.958103E+01,3.942879E+00,6.453784E+05,6.385317E+04 
19:30:00,1.958103E+01,3.499059E+00,6.453784E+05,5.565044E+04 
19:45:00,1.958103E+01,3.064766E+00,6.453784E+05,4.785401E+04 
20:00:00,1.958103E+01,2.688338E+00,6.453784E+05,4.119634E+04 
20:15:00,1.958103E+01,2.393061E+00,6.453784E+05,3.610338E+04 
20:30:00,1.958103E+01,2.168910E+00,6.453784E+05,3.220679E+04 
20:45:00,1.958103E+01,1.988853E+00,6.453784E+05,2.906093E+04 
21:00:00,1.958103E+01,1.834444E+00,6.453784E+05,2.636923E+04 
21:15:00,1.958103E+01,1.694531E+00,6.453784E+05,2.395576E+04 
21:30:00,1.958103E+01,1.565236E+00,6.453784E+05,2.175632E+04 
21:45:00,1.958103E+01,1.443929E+00,6.453784E+05,1.972740E+04 
22:00:00,1.958103E+01,1.329097E+00,6.453784E+05,1.784301E+04 
22:15:00,1.958103E+01,1.220105E+00,6.453784E+05,1.615452E+04 
22:30:00,1.958103E+01,1.116245E+00,6.453784E+05,1.457327E+04 
22:45:00,1.958103E+01,1.017132E+00,6.453784E+05,1.309149E+04 
23:00:00,1.958103E+01,9.223482E-01,6.453784E+05,1.170122E+04 
23:15:00,1.958103E+01,8.332269E-01,6.453784E+05,1.041675E+04 
23:30:00,1.958103E+01,7.492174E-01,6.453784E+05,9.228151E+03 
23:45:00,1.958103E+01,6.700455E-01,6.453784E+05,8.129268E+03 
24:00:00,1.958103E+01,5.964147E-01,6.453784E+05,7.125825E+03 
Coinc Peak   ,1.958103E+01,6.349025E+00,6.453784E+05,1.689241E+05 
NonCoinc Peak,1.958103E+01,8.956689E+00,6.453784E+05,1.689241E+05 
