Time,AIR LOOP HVAC 1:Des Heat Mass Flow [kg/s],AIR LOOP HVAC 1:Des Cool Mass Flow [kg/s],AIR LOOP HVAC 1:Des Heat Cap [W],AIR LOOP HVAC 1:Des Sens Cool Cap [W] 
00:15:00,1.269683E+01,4.026926E-01,3.011011E+05,5.402471E+03 
00:30:00,1.269683E+01,3.706427E-01,3.011011E+05,4.919978E+03 
00:45:00,1.269683E+01,3.397814E-01,3.011011E+05,4.462179E+03 
01:00:00,1.269683E+01,3.098184E-01,3.011011E+05,4.024792E+03 
01:15:00,1.269683E+01,2.822848E-01,3.011011E+05,3.640445E+03 
01:30:00,1.269683E+01,2.556439E-01,3.011011E+05,3.272728E+03 
01:45:00,1.269683E+01,2.299849E-01,3.011011E+05,2.922519E+03 
02:00:00,1.269683E+01,2.053421E-01,3.011011E+05,2.589977E+03 
02:15:00,1.269683E+01,1.828598E-01,3.011011E+05,2.293453E+03 
02:30:00,1.269683E+01,1.625340E-01,3.011011E+05,2.027010E+03 
02:45:00,1.269683E+01,1.442920E-01,3.011011E+05,1.789287E+03 
03:00:00,1.269683E+01,1.280473E-01,3.011011E+05,1.578774E+03 
03:15:00,1.269683E+01,1.123945E-01,3.011011E+05,1.377818E+03 
03:30:00,1.269683E+01,9.726588E-02,3.011011E+05,1.185470E+03 
03:45:00,1.269683E+01,8.295767E-02,3.011011E+05,1.005205E+03 
04:00:00,1.269683E+01,6.978539E-02,3.011011E+05,8.406518E+02 
04:15:00,1.269683E+01,5.778906E-02,3.011011E+05,6.934119E+02 
04:30:00,1.269683E+01,4.711213E-02,3.011011E+05,5.630741E+02 
04:45:00,1.269683E+01,3.789203E-02,3.011011E+05,4.510879E+02 
05:00:00,1.269683E+01,3.021535E-02,3.011011E+05,3.582734E+02 
05:15:00,1.269683E+01,2.462147E-02,3.011011E+05,2.931077E+02 
05:30:00,1.269683E+01,2.421382E-02,3.011011E+05,2.893985E+02 
05:45:00,1.269683E+01,3.207046E-02,3.011011E+05,3.848140E+02 
06:00:00,1.269683E+01,4.901217E-02,3.011011E+05,5.904126E+02 
06:15:00,1.269683E+01,7.948102E-02,3.011011E+05,9.705859E+02 
06:30:00,1.269683E+01,1.192395E-01,3.011011E+05,1.475809E+03 
06:45:00,1.269683E+01,1.755854E-01,3.011011E+05,2.202217E+03 
07:00:00,1.269683E+01,2.432807E-01,3.011011E+05,3.091476E+03 
07:15:00,1.269683E+01,3.221912E-01,3.011011E+05,4.223566E+03 
07:30:00,1.269683E+01,4.109156E-01,3.011011E+05,5.551603E+03 
07:45:00,1.269683E+01,4.977758E-01,3.011011E+05,6.924939E+03 
08:00:00,1.269683E+01,5.878527E-01,3.011011E+05,8.414057E+03 
08:15:00,1.269683E+01,6.760312E-01,3.011011E+05,9.979488E+03 
08:30:00,1.269683E+01,7.639937E-01,3.011011E+05,1.162076E+04 
08:45:00,1.269683E+01,8.618798E-01,3.011011E+05,1.349636E+04 
09:00:00,1.269683E+01,9.661978E-01,3.011011E+05,1.556340E+04 
09:15:00,1.269683E+01,1.070147E+00,3.011011E+05,1.766740E+04 
09:30:00,1.269683E+01,1.177313E+00,3.011011E+05,1.990926E+04 
09:45:00,1.269683E+01,1.280756E+00,3.011011E+05,2.217271E+04 
10:00:00,1.269683E+01,1.378168E+00,3.011011E+05,2.441238E+04 
10:15:00,1.269683E+01,1.477195E+00,3.011011E+05,2.668976E+04 
10:30:00,1.269683E+01,1.571843E+00,3.011011E+05,2.895661E+04 
10:45:00,1.269683E+01,1.657639E+00,3.011011E+05,3.112430E+04 
11:00:00,1.269683E+01,1.733791E+00,3.011011E+05,3.316828E+04 
11:15:00,1.269683E+01,1.794548E+00,3.011011E+05,3.475437E+04 
11:30:00,1.269683E+01,1.835262E+00,3.011011E+05,3.597625E+04 
11:45:00,1.269683E+01,1.850999E+00,3.011011E+05,3.672183E+04 
12:00:00,1.269683E+01,1.844872E+00,3.011011E+05,3.703592E+04 
12:15:00,1.269683E+01,1.831857E+00,3.011011E+05,3.712071E+04 
12:30:00,1.269683E+01,1.830515E+00,3.011011E+05,3.743932E+04 
12:45:00,1.269683E+01,1.863713E+00,3.011011E+05,3.847039E+04 
13:00:00,1.269683E+01,1.926991E+00,3.011011E+05,4.014061E+04 
13:15:00,1.269683E+01,2.014845E+00,3.011011E+05,4.220856E+04 
13:30:00,1.269683E+01,2.114762E+00,3.011011E+05,4.455140E+04 
13:45:00,1.269683E+01,2.209181E+00,3.011011E+05,4.680134E+04 
14:00:00,1.269683E+01,2.302832E+00,3.011011E+05,4.905723E+04 
14:15:00,1.269683E+01,2.387872E+00,3.011011E+05,5.086885E+04 
14:30:00,1.269683E+01,2.465962E+00,3.011011E+05,5.253240E+04 
14:45:00,1.269683E+01,2.548511E+00,3.011011E+05,5.429094E+04 
15:00:00,1.269683E+01,2.622426E+00,3.011011E+05,5.586555E+04 
15:15:00,1.269683E+01,2.689133E+00,3.011011E+05,5.690560E+04 
15:30:00,1.269683E+01,2.744638E+00,3.011011E+05,5.769129E+04 
15:45:00,1.269683E+01,2.777862E+00,3.011011E+05,5.799606E+04 
16:00:00,1.269683E+01,2.801377E+00,3.011011E+05,5.809009E+04 
16:15:00,1.269683E+01,2.813818E+00,3.011011E+05,5.781650E+04 
16:30:00,1.269683E+01,2.814422E+00,3.011011E+05,5.729722E+04 
16:45:00,1.269683E+01,2.804434E+00,3.011011E+05,5.656409E+04 
17:00:00,1.269683E+01,2.785354E+00,3.011011E+05,5.565307E+04 
17:15:00,1.269683E+01,2.757238E+00,3.011011E+05,5.444018E+04 
17:30:00,1.269683E+01,2.720314E+00,3.011011E+05,5.306876E+04 
17:45:00,1.269683E+01,2.669280E+00,3.011011E+05,5.144286E+04 
18:00:00,1.269683E+01,2.599355E+00,3.011011E+05,4.948143E+04 
18:15:00,1.269683E+01,2.502757E+00,3.011011E+05,4.675608E+04 
18:30:00,1.269683E+01,2.377279E+00,3.011011E+05,4.356986E+04 
18:45:00,1.269683E+01,2.224873E+00,3.011011E+05,3.998853E+04 
19:00:00,1.269683E+01,2.045763E+00,3.011011E+05,3.604468E+04 
19:15:00,1.269683E+01,1.859730E+00,3.011011E+05,3.228386E+04 
19:30:00,1.269683E+01,1.681933E+00,3.011011E+05,2.876051E+04 
19:45:00,1.269683E+01,1.523451E+00,3.011011E+05,2.565479E+04 
20:00:00,1.269683E+01,1.394113E+00,3.011011E+05,2.311463E+04 
20:15:00,1.269683E+01,1.287800E+00,3.011011E+05,2.107825E+04 
20:30:00,1.269683E+01,1.197888E+00,3.011011E+05,1.935202E+04 
20:45:00,1.269683E+01,1.118016E+00,3.011011E+05,1.782406E+04 
21:00:00,1.269683E+01,1.044964E+00,3.011011E+05,1.643734E+04 
21:15:00,1.269683E+01,9.769068E-01,3.011011E+05,1.515918E+04 
21:30:00,1.269683E+01,9.132801E-01,3.011011E+05,1.397775E+04 
21:45:00,1.269683E+01,8.536960E-01,3.011011E+05,1.288438E+04 
22:00:00,1.269683E+01,7.975040E-01,3.011011E+05,1.186682E+04 
22:15:00,1.269683E+01,7.444144E-01,3.011011E+05,1.095379E+04 
22:30:00,1.269683E+01,6.935352E-01,3.011011E+05,1.009049E+04 
22:45:00,1.269683E+01,6.443561E-01,3.011011E+05,9.268449E+03 
23:00:00,1.269683E+01,5.972050E-01,3.011011E+05,8.491508E+03 
23:15:00,1.269683E+01,5.527397E-01,3.011011E+05,7.767900E+03 
23:30:00,1.269683E+01,5.108393E-01,3.011011E+05,7.094613E+03 
23:45:00,1.269683E+01,4.723618E-01,3.011011E+05,6.482150E+03 
24:00:00,1.269683E+01,4.370809E-01,3.011011E+05,5.925747E+03 
Coinc Peak   ,1.269683E+01,2.814422E+00,3.011011E+05,7.454918E+04 
NonCoinc Peak,1.269683E+01,3.768819E+00,3.011011E+05,7.454918E+04 
