Time,AIR LOOP HVAC 1:Des Heat Mass Flow [kg/s],AIR LOOP HVAC 1:Des Cool Mass Flow [kg/s],AIR LOOP HVAC 1:Des Heat Cap [W],AIR LOOP HVAC 1:Des Sens Cool Cap [W] 
00:15:00,1.299328E+01,3.331531E-01,3.081313E+05,4.469538E+03 
00:30:00,1.299328E+01,3.053793E-01,3.081312E+05,4.053661E+03 
00:45:00,1.299328E+01,2.783526E-01,3.081312E+05,3.655464E+03 
01:00:00,1.299328E+01,2.520939E-01,3.081312E+05,3.274904E+03 
01:15:00,1.299328E+01,2.281732E-01,3.081312E+05,2.942602E+03 
01:30:00,1.299328E+01,2.063934E-01,3.081312E+05,2.642228E+03 
01:45:00,1.299328E+01,1.867079E-01,3.081312E+05,2.372580E+03 
02:00:00,1.299328E+01,1.690570E-01,3.081312E+05,2.132313E+03 
02:15:00,1.299328E+01,1.527787E-01,3.081312E+05,1.916172E+03 
02:30:00,1.299328E+01,1.370375E-01,3.081312E+05,1.709036E+03 
02:45:00,1.299328E+01,1.218292E-01,3.081312E+05,1.510738E+03 
03:00:00,1.299328E+01,1.071629E-01,3.081312E+05,1.321277E+03 
03:15:00,1.299328E+01,9.298548E-02,3.081312E+05,1.139888E+03 
03:30:00,1.299328E+01,7.964170E-02,3.081312E+05,9.706674E+02 
03:45:00,1.299328E+01,6.734986E-02,3.081312E+05,8.160841E+02 
04:00:00,1.299328E+01,5.609280E-02,3.081312E+05,6.757076E+02 
04:15:00,1.299328E+01,4.591265E-02,3.081312E+05,5.509067E+02 
04:30:00,1.299328E+01,3.691515E-02,3.081312E+05,4.412020E+02 
04:45:00,1.299328E+01,2.912821E-02,3.081312E+05,3.467585E+02 
05:00:00,1.299328E+01,2.303381E-02,3.081312E+05,2.731195E+02 
05:15:00,1.299328E+01,1.873586E-02,3.081312E+05,2.230421E+02 
05:30:00,1.299328E+01,1.602636E-02,3.081312E+05,1.915436E+02 
05:45:00,1.299328E+01,2.126261E-02,3.081312E+05,2.551304E+02 
06:00:00,1.299328E+01,3.008221E-02,3.081312E+05,3.623776E+02 
06:15:00,1.299328E+01,4.636612E-02,3.081312E+05,5.662019E+02 
06:30:00,1.299328E+01,7.388998E-02,3.081312E+05,9.145247E+02 
06:45:00,1.299328E+01,1.016615E-01,3.081312E+05,1.275053E+03 
07:00:00,1.299328E+01,1.356831E-01,3.081312E+05,1.724186E+03 
07:15:00,1.299328E+01,1.791592E-01,3.081312E+05,2.348577E+03 
07:30:00,1.299328E+01,2.272288E-01,3.081313E+05,3.069935E+03 
07:45:00,1.299328E+01,2.852149E-01,3.081313E+05,3.967842E+03 
08:00:00,1.299328E+01,3.511153E-01,3.081313E+05,5.025585E+03 
08:15:00,1.299328E+01,4.176528E-01,3.081313E+05,6.165338E+03 
08:30:00,1.299328E+01,4.851581E-01,3.081313E+05,7.379518E+03 
08:45:00,1.299328E+01,5.525093E-01,3.081313E+05,8.651861E+03 
09:00:00,1.299328E+01,6.193071E-01,3.081313E+05,9.975727E+03 
09:15:00,1.299328E+01,6.847888E-01,3.081313E+05,1.130540E+04 
09:30:00,1.299328E+01,7.485292E-01,3.081313E+05,1.265820E+04 
09:45:00,1.299328E+01,8.095704E-01,3.081313E+05,1.401545E+04 
10:00:00,1.299328E+01,8.669366E-01,3.081313E+05,1.535661E+04 
10:15:00,1.299328E+01,9.241779E-01,3.081313E+05,1.669792E+04 
10:30:00,1.299328E+01,9.831968E-01,3.081313E+05,1.811252E+04 
