Time,THERMAL ZONE 5:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 5:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 8:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 8:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 8:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 8:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 3:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 14:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 14:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 14:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 14:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 13:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 13:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 13:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 13:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 7:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 7:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 7:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 7:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 9:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 9:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 9:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 9:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 1:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 4:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 4:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 12:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 12:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 12:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 12:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 11:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 11:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 11:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 11:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 6:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 6:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 6:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 6:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 15:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 15:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 15:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 15:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 10:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 10:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 10:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 10:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s] 
00:15:00,1.709733E+03,9.107785E+02,1.047785E-01,6.373934E-02,2.796686E+03,4.145406E+03,1.713920E-01,2.901106E-01,2.290918E+03,7.839966E+02,1.403832E-01,5.486552E-02,2.291745E+03,1.014636E+03,1.404339E-01,7.100575E-02,2.291745E+03,8.799773E+02,1.404339E-01,6.158229E-02,2.006809E+03,0.000000E+00,1.229845E-01,0.000000E+00,1.710014E+03,8.301879E+02,1.047957E-01,5.809960E-02,2.290918E+03,1.247401E+03,1.403832E-01,8.729461E-02,7.202066E+02,4.250904E+03,4.414279E-02,2.975130E-01,1.932856E+03,1.493083E+03,1.184683E-01,1.045011E-01,2.006809E+03,1.408142E+01,1.229845E-01,9.854823E-04,1.710014E+03,1.313334E+03,1.047957E-01,9.191065E-02,2.008706E+03,1.338118E+02,1.231008E-01,9.364781E-03,2.008706E+03,0.000000E+00,1.231008E-01,0.000000E+00,1.709733E+03,1.053728E+03,1.047785E-01,7.374308E-02 
00:30:00,1.709739E+03,8.896738E+02,1.047789E-01,6.226191E-02,2.796700E+03,4.114222E+03,1.713928E-01,2.879256E-01,2.290926E+03,7.630242E+02,1.403837E-01,5.339753E-02,2.291753E+03,9.804068E+02,1.404344E-01,6.861009E-02,2.291753E+03,8.530164E+02,1.404344E-01,5.969525E-02,2.006812E+03,0.000000E+00,1.229847E-01,0.000000E+00,1.710020E+03,8.144863E+02,1.047961E-01,5.700022E-02,2.290926E+03,1.200245E+03,1.403837E-01,8.399447E-02,7.202113E+02,4.239058E+03,4.414307E-02,2.966797E-01,1.932859E+03,1.476756E+03,1.184685E-01,1.033573E-01,2.006812E+03,4.152407E+00,1.229847E-01,2.906035E-04,1.710020E+03,1.267104E+03,1.047961E-01,8.867509E-02,2.008709E+03,1.035521E+02,1.231009E-01,7.247029E-03,2.008709E+03,0.000000E+00,1.231009E-01,0.000000E+00,1.709739E+03,1.022824E+03,1.047789E-01,7.157997E-02 
00:45:00,1.709744E+03,8.700215E+02,1.047792E-01,6.088629E-02,2.796713E+03,4.083510E+03,1.713936E-01,2.857746E-01,2.290934E+03,7.431471E+02,1.403842E-01,5.200632E-02,2.291761E+03,9.475512E+02,1.404349E-01,6.631070E-02,2.291761E+03,8.271483E+02,1.404349E-01,5.788483E-02,2.006815E+03,0.000000E+00,1.229848E-01,0.000000E+00,1.710025E+03,7.985383E+02,1.047964E-01,5.588381E-02,2.290934E+03,1.155167E+03,1.403842E-01,8.083975E-02,7.202158E+02,4.227478E+03,4.414335E-02,2.958663E-01,1.932861E+03,1.460846E+03,1.184686E-01,1.022428E-01,2.006815E+03,0.000000E+00,1.229848E-01,0.000000E+00,1.710025E+03,1.223143E+03,1.047964E-01,8.559842E-02,2.008712E+03,7.482094E+01,1.231011E-01,5.236284E-03,2.008712E+03,0.000000E+00,1.231011E-01,0.000000E+00,1.709744E+03,9.934663E+02,1.047792E-01,6.952521E-02 
01:00:00,1.709749E+03,8.516234E+02,1.047795E-01,5.959852E-02,2.796725E+03,4.053275E+03,1.713943E-01,2.836575E-01,2.290942E+03,7.245882E+02,1.403846E-01,5.070740E-02,2.291769E+03,9.160358E+02,1.404353E-01,6.410513E-02,2.291769E+03,8.023805E+02,1.404353E-01,5.615143E-02,2.006817E+03,0.000000E+00,1.229850E-01,0.000000E+00,1.710031E+03,7.825895E+02,1.047968E-01,5.476746E-02,2.290942E+03,1.112071E+03,1.403846E-01,7.782379E-02,7.202203E+02,4.216172E+03,4.414363E-02,2.950728E-01,1.932863E+03,1.445217E+03,1.184688E-01,1.011481E-01,2.006817E+03,0.000000E+00,1.229850E-01,0.000000E+00,1.710031E+03,1.181353E+03,1.047968E-01,8.267370E-02,2.008714E+03,4.749768E+01,1.231013E-01,3.324082E-03,2.008714E+03,0.000000E+00,1.231013E-01,0.000000E+00,1.709749E+03,9.656213E+02,1.047795E-01,6.757638E-02 
01:15:00,1.709754E+03,8.357985E+02,1.047798E-01,5.849086E-02,2.796736E+03,4.028562E+03,1.713950E-01,2.819269E-01,2.290949E+03,7.088204E+02,1.403851E-01,4.960381E-02,2.291776E+03,8.873814E+02,1.404358E-01,6.209976E-02,2.291776E+03,7.802749E+02,1.404358E-01,5.460436E-02,2.006819E+03,0.000000E+00,1.229851E-01,0.000000E+00,1.710036E+03,7.677901E+02,1.047971E-01,5.373160E-02,2.290949E+03,1.072430E+03,1.403851E-01,7.504956E-02,7.202246E+02,4.209708E+03,4.414389E-02,2.946185E-01,1.932865E+03,1.434690E+03,1.184689E-01,1.004106E-01,2.006819E+03,0.000000E+00,1.229851E-01,0.000000E+00,1.710036E+03,1.143104E+03,1.047971E-01,7.999679E-02,2.008717E+03,2.591420E+01,1.231014E-01,1.813580E-03,2.008717E+03,0.000000E+00,1.231014E-01,0.000000E+00,1.709754E+03,9.407154E+02,1.047798E-01,6.583325E-02 
01:30:00,1.709759E+03,8.208792E+02,1.047801E-01,5.744659E-02,2.796747E+03,4.004832E+03,1.713957E-01,2.802653E-01,2.290956E+03,6.937250E+02,1.403855E-01,4.854728E-02,2.291783E+03,8.603833E+02,1.404362E-01,6.021032E-02,2.291783E+03,7.596871E+02,1.404362E-01,5.316350E-02,2.006822E+03,0.000000E+00,1.229853E-01,0.000000E+00,1.710041E+03,7.532114E+02,1.047974E-01,5.271123E-02,2.290956E+03,1.034991E+03,1.403855E-01,7.242943E-02,7.202289E+02,4.203426E+03,4.414415E-02,2.941772E-01,1.932867E+03,1.424480E+03,1.184690E-01,9.969531E-02,2.006822E+03,0.000000E+00,1.229853E-01,0.000000E+00,1.710041E+03,1.107131E+03,1.047974E-01,7.747923E-02,2.008719E+03,1.100878E+01,1.231015E-01,7.704385E-04,2.008719E+03,0.000000E+00,1.231015E-01,0.000000E+00,1.709759E+03,9.175535E+02,1.047801E-01,6.421216E-02 
01:45:00,1.709764E+03,8.061008E+02,1.047804E-01,5.641222E-02,2.796758E+03,3.982036E+03,1.713964E-01,2.786692E-01,2.290962E+03,6.790135E+02,1.403859E-01,4.751769E-02,2.291789E+03,8.350094E+02,1.404366E-01,5.843456E-02,2.291789E+03,7.407072E+02,1.404366E-01,5.183519E-02,2.006823E+03,0.000000E+00,1.229854E-01,0.000000E+00,1.710045E+03,7.388839E+02,1.047977E-01,5.170847E-02,2.290962E+03,9.996671E+02,1.403859E-01,6.995738E-02,7.202330E+02,4.197364E+03,4.414441E-02,2.937515E-01,1.932869E+03,1.414372E+03,1.184691E-01,9.898733E-02,2.006823E+03,0.000000E+00,1.229854E-01,0.000000E+00,1.710045E+03,1.073332E+03,1.047977E-01,7.511373E-02,2.008721E+03,2.452325E+00,1.231016E-01,1.716235E-04,2.008721E+03,0.000000E+00,1.231016E-01,0.000000E+00,1.709764E+03,8.961322E+02,1.047804E-01,6.271292E-02 
02:00:00,1.709769E+03,7.915050E+02,1.047807E-01,5.539072E-02,2.796768E+03,3.960174E+03,1.713970E-01,2.771387E-01,2.290968E+03,6.642726E+02,1.403863E-01,4.648608E-02,2.291795E+03,8.112541E+02,1.404369E-01,5.677209E-02,2.291795E+03,7.233208E+02,1.404369E-01,5.061840E-02,2.006825E+03,0.000000E+00,1.229855E-01,0.000000E+00,1.710050E+03,7.249405E+02,1.047979E-01,5.073264E-02,2.290968E+03,9.664044E+02,1.403863E-01,6.762959E-02,7.202371E+02,4.191611E+03,4.414466E-02,2.933479E-01,1.932870E+03,1.404325E+03,1.184692E-01,9.828365E-02,2.006825E+03,0.000000E+00,1.229855E-01,0.000000E+00,1.710050E+03,1.041645E+03,1.047979E-01,7.289613E-02,2.008722E+03,0.000000E+00,1.231017E-01,0.000000E+00,2.008722E+03,0.000000E+00,1.231017E-01,0.000000E+00,1.709769E+03,8.765603E+02,1.047807E-01,6.134314E-02 
02:15:00,1.709773E+03,7.768468E+02,1.047810E-01,5.436489E-02,2.796777E+03,3.938872E+03,1.713976E-01,2.756476E-01,2.290974E+03,6.490085E+02,1.403866E-01,4.541793E-02,2.291801E+03,7.887976E+02,1.404373E-01,5.520054E-02,2.291801E+03,7.074773E+02,1.404373E-01,4.950961E-02,2.006827E+03,0.000000E+00,1.229856E-01,0.000000E+00,1.710054E+03,7.112157E+02,1.047982E-01,4.977213E-02,2.290974E+03,9.348305E+02,1.403866E-01,6.542001E-02,7.202411E+02,4.185555E+03,4.414490E-02,2.929234E-01,1.932871E+03,1.394321E+03,1.184692E-01,9.758305E-02,2.006827E+03,0.000000E+00,1.229856E-01,0.000000E+00,1.710054E+03,1.011795E+03,1.047982E-01,7.080713E-02,2.008724E+03,0.000000E+00,1.231018E-01,0.000000E+00,2.008724E+03,0.000000E+00,1.231018E-01,0.000000E+00,1.709773E+03,8.585739E+02,1.047810E-01,6.008434E-02 
02:30:00,1.709777E+03,7.624986E+02,1.047812E-01,5.336079E-02,2.796787E+03,3.918145E+03,1.713981E-01,2.741968E-01,2.290979E+03,6.339874E+02,1.403870E-01,4.436680E-02,2.291807E+03,7.676501E+02,1.404376E-01,5.372061E-02,2.291807E+03,6.926328E+02,1.404376E-01,4.847073E-02,2.006829E+03,0.000000E+00,1.229857E-01,0.000000E+00,1.710058E+03,6.977466E+02,1.047985E-01,4.882952E-02,2.290979E+03,9.048930E+02,1.403870E-01,6.332496E-02,7.202449E+02,4.179233E+03,4.414514E-02,2.924805E-01,1.932873E+03,1.384337E+03,1.184693E-01,9.688395E-02,2.006829E+03,0.000000E+00,1.229857E-01,0.000000E+00,1.710058E+03,9.837274E+02,1.047985E-01,6.884289E-02,2.008726E+03,0.000000E+00,1.231019E-01,0.000000E+00,2.008726E+03,0.000000E+00,1.231019E-01,0.000000E+00,1.709777E+03,8.419282E+02,1.047812E-01,5.891938E-02 
