Time,AIR LOOP HVAC 1:Des Heat Mass Flow [kg/s],AIR LOOP HVAC 1:Des Cool Mass Flow [kg/s],AIR LOOP HVAC 1:Des Heat Cap [W],AIR LOOP HVAC 1:Des Sens Cool Cap [W] 
00:15:00,2.323399E+00,1.567296E+00,2.101219E+04,1.323319E+04 
00:30:00,2.323405E+00,1.543950E+00,2.101225E+04,1.283826E+04 
00:45:00,2.323412E+00,1.521820E+00,2.101230E+04,1.245927E+04 
01:00:00,2.323417E+00,1.500612E+00,2.101235E+04,1.209338E+04 
01:15:00,2.323423E+00,1.482006E+00,2.101240E+04,1.181686E+04 
01:30:00,2.323428E+00,1.464396E+00,2.101245E+04,1.155136E+04 
01:45:00,2.323433E+00,1.447687E+00,2.101249E+04,1.129591E+04 
02:00:00,2.323438E+00,1.431866E+00,2.101254E+04,1.105016E+04 
02:15:00,2.323442E+00,1.416677E+00,2.101258E+04,1.084219E+04 
02:30:00,2.323446E+00,1.402147E+00,2.101261E+04,1.064117E+04 
02:45:00,2.323450E+00,1.388216E+00,2.101265E+04,1.044652E+04 
03:00:00,2.323454E+00,1.374826E+00,2.101269E+04,1.025768E+04 
03:15:00,2.323458E+00,1.361714E+00,2.101272E+04,1.007262E+04 
03:30:00,2.323462E+00,1.348848E+00,2.101275E+04,9.891045E+03 
03:45:00,2.323465E+00,1.336210E+00,2.101278E+04,9.712772E+03 
04:00:00,2.323468E+00,1.323748E+00,2.101281E+04,9.537388E+03 
04:15:00,2.323471E+00,1.311698E+00,2.101284E+04,9.394548E+03 
04:30:00,2.323474E+00,1.300047E+00,2.101287E+04,9.255584E+03 
04:45:00,2.323477E+00,1.288844E+00,2.101290E+04,9.120787E+03 
05:00:00,2.323480E+00,1.278045E+00,2.101292E+04,8.989785E+03 
05:15:00,2.323483E+00,1.268195E+00,2.101295E+04,8.974660E+03 
05:30:00,2.323486E+00,1.259313E+00,2.101297E+04,8.965585E+03 
05:45:00,2.323488E+00,1.258546E+00,2.101299E+04,9.013868E+03 
06:00:00,2.323490E+00,1.270031E+00,2.101301E+04,9.150368E+03 
06:15:00,2.197384E+00,1.364340E+00,1.987254E+04,1.003378E+04 
06:30:00,2.071194E+00,1.488393E+00,1.873131E+04,1.116857E+04 
06:45:00,1.945011E+00,1.645817E+00,1.759015E+04,1.259585E+04 
07:00:00,1.818790E+00,1.812794E+00,1.644864E+04,1.414474E+04 
07:15:00,1.818654E+00,1.898305E+00,1.644741E+04,1.550105E+04 
07:30:00,1.818584E+00,1.982232E+00,1.644678E+04,1.690594E+04 
07:45:00,1.818492E+00,2.063268E+00,1.644595E+04,1.834605E+04 
08:00:00,1.818427E+00,2.143248E+00,1.644536E+04,1.983522E+04 
08:15:00,1.818374E+00,2.227637E+00,1.644488E+04,2.152000E+04 
08:30:00,1.818330E+00,2.319574E+00,1.644448E+04,2.334923E+04 
08:45:00,1.818292E+00,2.416200E+00,1.644414E+04,2.530216E+04 
09:00:00,1.818260E+00,2.511442E+00,1.644385E+04,2.731845E+04 
09:15:00,1.818233E+00,2.601531E+00,1.644360E+04,2.924277E+04 
09:30:00,1.818209E+00,2.686684E+00,1.644339E+04,3.117522E+04 
09:45:00,1.818189E+00,2.767036E+00,1.644321E+04,3.311204E+04 
10:00:00,1.818171E+00,2.842306E+00,1.644305E+04,3.504454E+04 
10:15:00,1.818155E+00,2.912786E+00,1.644290E+04,3.684650E+04 
10:30:00,1.818141E+00,2.976974E+00,1.644278E+04,3.861198E+04 
10:45:00,1.818129E+00,3.034253E+00,1.644266E+04,4.032678E+04 
11:00:00,1.818117E+00,3.083946E+00,1.644256E+04,4.197500E+04 
11:15:00,1.818107E+00,3.124267E+00,1.644247E+04,4.319094E+04 
11:30:00,1.818098E+00,3.152729E+00,1.644238E+04,4.425761E+04 
11:45:00,1.818089E+00,3.166755E+00,1.644230E+04,4.513071E+04 
12:00:00,1.818081E+00,3.166074E+00,1.644223E+04,4.579708E+04 
12:15:00,1.818074E+00,3.157464E+00,1.644216E+04,4.621191E+04 
12:30:00,1.818067E+00,3.151276E+00,1.644210E+04,4.665965E+04 
12:45:00,1.818060E+00,3.158262E+00,1.644204E+04,4.730260E+04 
13:00:00,1.818054E+00,3.183291E+00,1.644199E+04,4.822127E+04 
13:15:00,1.818048E+00,3.226197E+00,1.644193E+04,4.921567E+04 
13:30:00,1.818043E+00,3.280943E+00,1.644188E+04,5.040111E+04 
13:45:00,1.818038E+00,3.340000E+00,1.644184E+04,5.166493E+04 
14:00:00,1.818033E+00,3.399838E+00,1.644179E+04,5.295353E+04 
14:15:00,1.818028E+00,3.455662E+00,1.644175E+04,5.382300E+04 
14:30:00,1.818024E+00,3.506061E+00,1.644171E+04,5.460797E+04 
14:45:00,1.818020E+00,3.550745E+00,1.644168E+04,5.530394E+04 
15:00:00,1.818016E+00,3.589102E+00,1.644164E+04,5.590138E+04 
15:15:00,1.818012E+00,3.619992E+00,1.644161E+04,5.591869E+04 
15:30:00,1.818008E+00,3.642903E+00,1.644157E+04,5.580588E+04 
15:45:00,1.818005E+00,3.656504E+00,1.644154E+04,5.554577E+04 
16:00:00,1.818002E+00,3.659598E+00,1.644151E+04,5.512390E+04 
16:15:00,1.817998E+00,3.652279E+00,1.644148E+04,5.438975E+04 
16:30:00,1.817995E+00,3.634114E+00,1.644145E+04,5.349844E+04 
16:45:00,1.817992E+00,3.606039E+00,1.644143E+04,5.246914E+04 
17:00:00,1.817989E+00,3.568743E+00,1.644140E+04,5.131684E+04 
17:15:00,1.817987E+00,3.524588E+00,1.644138E+04,4.992930E+04 
17:30:00,1.817984E+00,3.475676E+00,1.644135E+04,4.849424E+04 
17:45:00,1.817981E+00,3.422420E+00,1.644133E+04,4.702038E+04 
18:00:00,1.817979E+00,3.363616E+00,1.644131E+04,4.549425E+04 
18:15:00,1.944100E+00,3.293893E+00,1.758191E+04,4.349618E+04 
18:30:00,2.070257E+00,3.205342E+00,1.872284E+04,4.130018E+04 
18:45:00,2.196447E+00,3.089400E+00,1.986407E+04,3.881676E+04 
19:00:00,2.322676E+00,2.951929E+00,2.100565E+04,3.614401E+04 
19:15:00,2.322804E+00,2.809525E+00,2.100680E+04,3.374047E+04 
19:30:00,2.322912E+00,2.677905E+00,2.100778E+04,3.153080E+04 
19:45:00,2.323001E+00,2.570123E+00,2.100858E+04,2.965805E+04 
20:00:00,2.323063E+00,2.486087E+00,2.100915E+04,2.810437E+04 
20:15:00,2.323113E+00,2.416775E+00,2.100960E+04,2.685636E+04 
20:30:00,2.323156E+00,2.355586E+00,2.100999E+04,2.572370E+04 
20:45:00,2.323193E+00,2.300408E+00,2.101032E+04,2.467905E+04 
21:00:00,2.323224E+00,2.251494E+00,2.101060E+04,2.372161E+04 
21:15:00,2.323250E+00,2.206832E+00,2.101084E+04,2.282695E+04 
21:30:00,2.323272E+00,2.167021E+00,2.101104E+04,2.199869E+04 
21:45:00,2.323291E+00,2.129386E+00,2.101121E+04,2.120742E+04 
22:00:00,2.323308E+00,2.093628E+00,2.101136E+04,2.044893E+04 
22:15:00,2.323322E+00,1.990444E+00,2.101149E+04,1.914360E+04 
22:30:00,2.323335E+00,1.890494E+00,2.101161E+04,1.789973E+04 
22:45:00,2.323347E+00,1.790746E+00,2.101172E+04,1.668762E+04 
23:00:00,2.323358E+00,1.697736E+00,2.101181E+04,1.556711E+04 
23:15:00,2.323367E+00,1.669313E+00,2.101190E+04,1.505697E+04 
23:30:00,2.323376E+00,1.642617E+00,2.101198E+04,1.457066E+04 
23:45:00,2.323384E+00,1.617142E+00,2.101205E+04,1.410296E+04 
24:00:00,2.323392E+00,1.592634E+00,2.101212E+04,1.365117E+04 
Coinc Peak   ,2.323490E+00,3.659598E+00,2.101302E+04,6.117806E+04 
NonCoinc Peak,2.323491E+00,4.310744E+00,2.101302E+04,6.117806E+04 
