Time,AIR LOOP HVAC 1:Des Heat Mass Flow [kg/s],AIR LOOP HVAC 1:Des Cool Mass Flow [kg/s],AIR LOOP HVAC 1:Des Heat Cap [W],AIR LOOP HVAC 1:Des Sens Cool Cap [W] 
00:15:00,6.574623E+00,4.226656E-02,1.559150E+05,5.670426E+02 
00:30:00,6.574623E+00,3.532002E-02,1.559150E+05,4.688443E+02 
00:45:00,6.574623E+00,2.973472E-02,1.559150E+05,3.904912E+02 
01:00:00,6.574623E+00,2.510274E-02,1.559150E+05,3.261049E+02 
01:15:00,6.574623E+00,2.065201E-02,1.559150E+05,2.663356E+02 
01:30:00,6.574623E+00,1.632989E-02,1.559150E+05,2.090536E+02 
01:45:00,6.574623E+00,1.206186E-02,1.559150E+05,1.532754E+02 
02:00:00,6.574623E+00,7.964022E-03,1.559150E+05,1.004501E+02 
02:15:00,6.574623E+00,4.442682E-03,1.559150E+05,5.572076E+01 
02:30:00,6.574623E+00,1.966871E-03,1.559150E+05,2.452944E+01 
02:45:00,6.574623E+00,4.991546E-04,1.559150E+05,6.189745E+00 
03:00:00,6.574623E+00,0.000000E+00,1.559150E+05,0.000000E+00 
03:15:00,6.574623E+00,0.000000E+00,1.559150E+05,0.000000E+00 
03:30:00,6.574623E+00,0.000000E+00,1.559150E+05,0.000000E+00 
03:45:00,6.574623E+00,0.000000E+00,1.559150E+05,0.000000E+00 
04:00:00,6.574623E+00,0.000000E+00,1.559150E+05,0.000000E+00 
04:15:00,6.574623E+00,0.000000E+00,1.559150E+05,0.000000E+00 
04:30:00,6.574623E+00,0.000000E+00,1.559150E+05,0.000000E+00 
04:45:00,6.574623E+00,0.000000E+00,1.559150E+05,0.000000E+00 
05:00:00,6.574623E+00,0.000000E+00,1.559150E+05,0.000000E+00 
05:15:00,6.574623E+00,0.000000E+00,1.559150E+05,0.000000E+00 
05:30:00,6.574623E+00,0.000000E+00,1.559150E+05,0.000000E+00 
05:45:00,6.574623E+00,0.000000E+00,1.559150E+05,0.000000E+00 
06:00:00,6.574623E+00,0.000000E+00,1.559150E+05,0.000000E+00 
06:15:00,6.574623E+00,0.000000E+00,1.559150E+05,0.000000E+00 
06:30:00,6.574623E+00,0.000000E+00,1.559150E+05,0.000000E+00 
06:45:00,6.574623E+00,0.000000E+00,1.559150E+05,0.000000E+00 
07:00:00,6.574623E+00,2.949293E-03,1.559150E+05,3.747797E+01 
07:15:00,6.574623E+00,1.094008E-02,1.559150E+05,1.434123E+02 
07:30:00,6.574623E+00,2.328011E-02,1.559150E+05,3.145218E+02 
07:45:00,6.574623E+00,4.165443E-02,1.559150E+05,5.794866E+02 
08:00:00,6.574623E+00,6.234744E-02,1.559150E+05,8.923918E+02 
08:15:00,6.574623E+00,8.310791E-02,1.559150E+05,1.226829E+03 
08:30:00,6.574623E+00,1.043223E-01,1.559150E+05,1.586799E+03 
08:45:00,6.574623E+00,1.239706E-01,1.559150E+05,1.941282E+03 
09:00:00,6.574623E+00,1.424375E-01,1.559150E+05,2.294367E+03 
09:15:00,6.574623E+00,1.594262E-01,1.559150E+05,2.632019E+03 
09:30:00,6.574623E+00,1.747719E-01,1.559150E+05,2.955527E+03 
09:45:00,6.574623E+00,1.883165E-01,1.559150E+05,3.260175E+03 
10:00:00,6.574623E+00,1.999471E-01,1.559150E+05,3.541793E+03 
10:15:00,6.574623E+00,2.146322E-01,1.559150E+05,3.877944E+03 
10:30:00,6.574623E+00,2.298150E-01,1.559150E+05,4.233668E+03 
10:45:00,6.574623E+00,2.457061E-01,1.559150E+05,4.613448E+03 
11:00:00,6.574623E+00,2.633255E-01,1.559150E+05,5.037547E+03 
11:15:00,6.574623E+00,2.767819E-01,1.559150E+05,5.360335E+03 
11:30:00,6.574623E+00,2.878969E-01,1.559150E+05,5.643581E+03 
11:45:00,6.574623E+00,2.957150E-01,1.559150E+05,5.866667E+03 
12:00:00,6.574623E+00,2.991125E-01,1.559150E+05,6.004703E+03 
12:15:00,6.574623E+00,3.011964E-01,1.559150E+05,6.103436E+03 
12:30:00,6.574623E+00,3.054281E-01,1.559150E+05,6.246887E+03 
12:45:00,6.574623E+00,3.129950E-01,1.559150E+05,6.460783E+03 
13:00:00,6.574623E+00,3.272683E-01,1.559150E+05,6.817235E+03 
13:15:00,6.574623E+00,3.467253E-01,1.559150E+05,7.263475E+03 
13:30:00,6.574623E+00,3.697021E-01,1.559150E+05,7.788462E+03 
13:45:00,6.574623E+00,3.961704E-01,1.559150E+05,8.392844E+03 
14:00:00,6.574623E+00,4.231094E-01,1.559150E+05,9.013500E+03 
14:15:00,6.574623E+00,4.497118E-01,1.559150E+05,9.580210E+03 
14:30:00,6.574623E+00,4.749707E-01,1.559150E+05,1.011830E+04 
14:45:00,6.574623E+00,4.984335E-01,1.559150E+05,1.061813E+04 
15:00:00,6.574623E+00,5.196912E-01,1.559150E+05,1.107098E+04 
15:15:00,6.574623E+00,5.382790E-01,1.559150E+05,1.139069E+04 
15:30:00,6.574623E+00,5.538225E-01,1.559150E+05,1.164115E+04 
15:45:00,6.574623E+00,5.687536E-01,1.559150E+05,1.187441E+04 
16:00:00,6.574623E+00,5.865547E-01,1.559150E+05,1.216295E+04 
16:15:00,6.574623E+00,6.014430E-01,1.559150E+05,1.235806E+04 
16:30:00,6.574623E+00,6.160232E-01,1.559150E+05,1.254127E+04 
16:45:00,6.574623E+00,6.269748E-01,1.559150E+05,1.264578E+04 
17:00:00,6.574623E+00,6.306502E-01,1.559150E+05,1.260078E+04 
