Time,AIR LOOP HVAC 1:Des Heat Mass Flow [kg/s],AIR LOOP HVAC 1:Des Cool Mass Flow [kg/s],AIR LOOP HVAC 1:Des Heat Cap [W],AIR LOOP HVAC 1:Des Sens Cool Cap [W] 
00:15:00,1.658156E+00,1.540899E-01,3.932261E+04,2.067249E+03 
00:30:00,1.658156E+00,1.406710E-01,3.932261E+04,1.867293E+03 
00:45:00,1.658156E+00,1.277868E-01,3.932261E+04,1.678160E+03 
01:00:00,1.658156E+00,1.154335E-01,3.932261E+04,1.499575E+03 
01:15:00,1.658156E+00,1.036530E-01,3.932261E+04,1.336746E+03 
01:30:00,1.658156E+00,9.243755E-02,3.932261E+04,1.183376E+03 
01:45:00,1.658156E+00,8.177943E-02,3.932261E+04,1.039207E+03 
02:00:00,1.658156E+00,7.167170E-02,3.932261E+04,9.039941E+02 
02:15:00,1.658156E+00,6.224008E-02,3.932261E+04,7.806240E+02 
02:30:00,1.658156E+00,5.365325E-02,3.932261E+04,6.691258E+02 
02:45:00,1.658156E+00,4.587776E-02,3.932261E+04,5.689052E+02 
03:00:00,1.658156E+00,3.887977E-02,3.932261E+04,4.793726E+02 
03:15:00,1.658156E+00,3.260100E-02,3.932261E+04,3.996482E+02 
03:30:00,1.658156E+00,2.706412E-02,3.932261E+04,3.298556E+02 
03:45:00,1.658156E+00,2.229711E-02,3.932261E+04,2.701760E+02 
04:00:00,1.658156E+00,1.826694E-02,3.932261E+04,2.200480E+02 
04:15:00,1.658156E+00,1.487251E-02,3.932261E+04,1.784554E+02 
04:30:00,1.658156E+00,1.187853E-02,3.932261E+04,1.419697E+02 
04:45:00,1.658156E+00,9.374023E-03,3.932261E+04,1.115936E+02 
05:00:00,1.658156E+00,7.448562E-03,3.932261E+04,8.832007E+01 
05:15:00,1.658156E+00,6.056746E-03,3.932261E+04,7.210289E+01 
05:30:00,1.658156E+00,6.218989E-03,3.932261E+04,7.432804E+01 
05:45:00,1.658156E+00,1.183589E-02,3.932261E+04,1.420190E+02 
06:00:00,1.658156E+00,2.610247E-02,3.932261E+04,3.144368E+02 
06:15:00,1.658156E+00,5.229426E-02,3.932261E+04,6.385936E+02 
06:30:00,1.658156E+00,9.519247E-02,3.932261E+04,1.178182E+03 
06:45:00,1.658156E+00,1.504285E-01,3.932261E+04,1.886696E+03 
07:00:00,1.658156E+00,2.160693E-01,3.932261E+04,2.745689E+03 
07:15:00,1.658156E+00,2.881997E-01,3.932261E+04,3.777976E+03 
07:30:00,1.658156E+00,3.593569E-01,3.932261E+04,4.855027E+03 
07:45:00,1.658156E+00,4.286200E-01,3.932261E+04,5.962861E+03 
08:00:00,1.658156E+00,4.950486E-01,3.932261E+04,7.085732E+03 
08:15:00,1.658156E+00,5.590312E-01,3.932261E+04,8.252349E+03 
08:30:00,1.658156E+00,6.218250E-01,3.932261E+04,9.458297E+03 
08:45:00,1.658156E+00,6.843534E-01,3.932261E+04,1.071644E+04 
09:00:00,1.658156E+00,7.471181E-01,3.932261E+04,1.203449E+04 
09:15:00,1.658156E+00,8.116187E-01,3.932261E+04,1.339928E+04 
09:30:00,1.658156E+00,8.786839E-01,3.932261E+04,1.485922E+04 
09:45:00,1.658156E+00,9.471658E-01,3.932261E+04,1.639753E+04 
10:00:00,1.658156E+00,1.014324E+00,3.932261E+04,1.796738E+04 
10:15:00,1.658156E+00,1.078308E+00,3.932261E+04,1.948272E+04 
10:30:00,1.658156E+00,1.136348E+00,3.932261E+04,2.093389E+04 
10:45:00,1.658156E+00,1.187867E+00,3.932261E+04,2.230372E+04 
11:00:00,1.658156E+00,1.232317E+00,3.932261E+04,2.357483E+04 
11:15:00,1.658156E+00,1.266439E+00,3.932261E+04,2.452668E+04 
11:30:00,1.658156E+00,1.288659E+00,3.932261E+04,2.526131E+04 
11:45:00,1.658156E+00,1.297484E+00,3.932261E+04,2.574068E+04 
12:00:00,1.658156E+00,1.293944E+00,3.932261E+04,2.597601E+04 
12:15:00,1.658156E+00,1.285683E+00,3.932261E+04,2.605306E+04 
12:30:00,1.658156E+00,1.282608E+00,3.932261E+04,2.623304E+04 
12:45:00,1.658156E+00,1.293662E+00,3.932261E+04,2.670353E+04 
13:00:00,1.658156E+00,1.322956E+00,3.932261E+04,2.755812E+04 
13:15:00,1.658156E+00,1.366404E+00,3.932261E+04,2.862452E+04 
13:30:00,1.658156E+00,1.417051E+00,3.932261E+04,2.985282E+04 
13:45:00,1.658156E+00,1.468163E+00,3.932261E+04,3.110294E+04 
14:00:00,1.658156E+00,1.515940E+00,3.932261E+04,3.229407E+04 
14:15:00,1.658156E+00,1.558316E+00,3.932261E+04,3.319681E+04 
14:30:00,1.658156E+00,1.594660E+00,3.932261E+04,3.397105E+04 
14:45:00,1.658156E+00,1.624418E+00,3.932261E+04,3.460498E+04 
15:00:00,1.658156E+00,1.646514E+00,3.932261E+04,3.507569E+04 
15:15:00,1.658156E+00,1.660301E+00,3.932261E+04,3.513415E+04 
15:30:00,1.658156E+00,1.664926E+00,3.932261E+04,3.499613E+04 
15:45:00,1.658156E+00,1.660113E+00,3.932261E+04,3.465976E+04 
16:00:00,1.658156E+00,1.646227E+00,3.932261E+04,3.413660E+04 
16:15:00,1.658156E+00,1.625007E+00,3.932261E+04,3.338959E+04 
16:30:00,1.658156E+00,1.597377E+00,3.932261E+04,3.252010E+04 
16:45:00,1.658156E+00,1.566181E+00,3.932261E+04,3.158912E+04 
17:00:00,1.658156E+00,1.533366E+00,3.932261E+04,3.063758E+04 
17:15:00,1.658156E+00,1.498964E+00,3.932261E+04,2.959624E+04 
17:30:00,1.658156E+00,1.462828E+00,3.932261E+04,2.853733E+04 
17:45:00,1.658156E+00,1.421492E+00,3.932261E+04,2.739526E+04 
18:00:00,1.658156E+00,1.371563E+00,3.932261E+04,2.610914E+04 
18:15:00,1.658156E+00,1.307566E+00,3.932261E+04,2.442772E+04 
18:30:00,1.658156E+00,1.228518E+00,3.932261E+04,2.251581E+04 
18:45:00,1.658156E+00,1.135619E+00,3.932261E+04,2.041093E+04 
19:00:00,1.658156E+00,1.028251E+00,3.932261E+04,1.811695E+04 
19:15:00,1.658156E+00,9.146022E-01,3.932261E+04,1.587698E+04 
19:30:00,1.658156E+00,8.035763E-01,3.932261E+04,1.374090E+04 
19:45:00,1.658156E+00,7.024721E-01,3.932261E+04,1.182958E+04 
20:00:00,1.658156E+00,6.182503E-01,3.932261E+04,1.025069E+04 
20:15:00,1.658156E+00,5.525647E-01,3.932261E+04,9.044180E+03 
20:30:00,1.658156E+00,5.004942E-01,3.932261E+04,8.085539E+03 
20:45:00,1.658156E+00,4.572478E-01,3.932261E+04,7.289711E+03 
21:00:00,1.658156E+00,4.204310E-01,3.932261E+04,6.613404E+03 
21:15:00,1.658156E+00,3.874458E-01,3.932261E+04,6.012201E+03 
21:30:00,1.658156E+00,3.580577E-01,3.932261E+04,5.480073E+03 
21:45:00,1.658156E+00,3.317361E-01,3.932261E+04,5.006718E+03 
22:00:00,1.658156E+00,3.080578E-01,3.932261E+04,4.583883E+03 
22:15:00,1.658156E+00,2.867277E-01,3.932261E+04,4.219097E+03 
22:30:00,1.658156E+00,2.668475E-01,3.932261E+04,3.882457E+03 
22:45:00,1.658156E+00,2.481988E-01,3.932261E+04,3.570103E+03 
23:00:00,1.658156E+00,2.305981E-01,3.932261E+04,3.278817E+03 
23:15:00,1.658156E+00,2.138638E-01,3.932261E+04,3.005524E+03 
23:30:00,1.658156E+00,1.979162E-01,3.932261E+04,2.748690E+03 
23:45:00,1.658156E+00,1.826771E-01,3.932261E+04,2.506851E+03 
24:00:00,1.658156E+00,1.680730E-01,3.932261E+04,2.278659E+03 
Coinc Peak   ,1.658156E+00,1.664926E+00,3.932261E+04,4.266622E+04 
NonCoinc Peak,1.658156E+00,2.160916E+00,3.932261E+04,4.266622E+04 
