Time,AIR LOOP HVAC 1:Des Heat Mass Flow [kg/s],AIR LOOP HVAC 1:Des Cool Mass Flow [kg/s],AIR LOOP HVAC 1:Des Heat Cap [W],AIR LOOP HVAC 1:Des Sens Cool Cap [W] 
00:15:00,8.912228E-01,0.000000E+00,2.937414E+04,0.000000E+00 
00:30:00,8.912228E-01,0.000000E+00,2.937414E+04,0.000000E+00 
00:45:00,8.912228E-01,0.000000E+00,2.937414E+04,0.000000E+00 
01:00:00,8.912228E-01,0.000000E+00,2.937414E+04,0.000000E+00 
01:15:00,8.912228E-01,0.000000E+00,2.937414E+04,0.000000E+00 
01:30:00,8.912228E-01,0.000000E+00,2.937414E+04,0.000000E+00 
01:45:00,8.912228E-01,0.000000E+00,2.937414E+04,0.000000E+00 
02:00:00,8.912228E-01,0.000000E+00,2.937414E+04,0.000000E+00 
02:15:00,8.912228E-01,0.000000E+00,2.937414E+04,0.000000E+00 
02:30:00,8.912228E-01,0.000000E+00,2.937414E+04,0.000000E+00 
02:45:00,8.912228E-01,0.000000E+00,2.937414E+04,0.000000E+00 
03:00:00,8.912228E-01,0.000000E+00,2.937414E+04,0.000000E+00 
03:15:00,8.912228E-01,0.000000E+00,2.937414E+04,0.000000E+00 
03:30:00,8.912228E-01,0.000000E+00,2.937414E+04,0.000000E+00 
03:45:00,8.912228E-01,0.000000E+00,2.937414E+04,0.000000E+00 
04:00:00,8.912228E-01,0.000000E+00,2.937414E+04,0.000000E+00 
04:15:00,8.912228E-01,0.000000E+00,2.937414E+04,0.000000E+00 
04:30:00,8.912228E-01,0.000000E+00,2.937414E+04,0.000000E+00 
04:45:00,8.912228E-01,0.000000E+00,2.937414E+04,0.000000E+00 
05:00:00,8.912228E-01,0.000000E+00,2.937414E+04,0.000000E+00 
05:15:00,8.912228E-01,0.000000E+00,2.937414E+04,0.000000E+00 
05:30:00,8.912228E-01,0.000000E+00,2.937414E+04,0.000000E+00 
05:45:00,8.912228E-01,0.000000E+00,2.937414E+04,0.000000E+00 
06:00:00,8.912228E-01,0.000000E+00,2.937414E+04,0.000000E+00 
06:15:00,8.912228E-01,0.000000E+00,2.937414E+04,0.000000E+00 
06:30:00,8.912228E-01,0.000000E+00,2.937414E+04,0.000000E+00 
06:45:00,8.912228E-01,7.019760E-04,2.937414E+04,7.590841E+00 
07:00:00,8.912228E-01,5.965982E-03,2.937414E+04,6.561493E+01 
07:15:00,8.912228E-01,1.649311E-02,2.937414E+04,1.887900E+02 
07:30:00,8.912228E-01,2.970775E-02,2.937414E+04,3.533741E+02 
07:45:00,8.912228E-01,4.590122E-02,2.937414E+04,5.665786E+02 
08:00:00,8.912228E-01,6.042146E-02,2.937414E+04,7.729022E+02 
08:15:00,8.912228E-01,7.210128E-02,2.937414E+04,9.584439E+02 
08:30:00,8.912228E-01,8.306087E-02,2.937414E+04,1.145758E+03 
08:45:00,8.912228E-01,9.186255E-02,2.937414E+04,1.313209E+03 
09:00:00,8.912228E-01,9.871207E-02,2.937414E+04,1.460597E+03 
09:15:00,8.912228E-01,1.036924E-01,2.937414E+04,1.580786E+03 
09:30:00,8.912228E-01,1.069151E-01,2.937414E+04,1.677859E+03 
09:45:00,8.912228E-01,1.084848E-01,2.937414E+04,1.751139E+03 
10:00:00,8.912228E-01,1.086904E-01,2.937414E+04,1.803197E+03 
10:15:00,8.912228E-01,1.115950E-01,2.937414E+04,1.895539E+03 
10:30:00,8.912228E-01,1.168697E-01,2.937414E+04,2.031375E+03 
10:45:00,8.912228E-01,1.230119E-01,2.937414E+04,2.186807E+03 
11:00:00,8.912228E-01,1.303240E-01,2.937414E+04,2.368361E+03 
11:15:00,8.912228E-01,1.337672E-01,2.937414E+04,2.466218E+03 
11:30:00,8.912228E-01,1.330185E-01,2.937414E+04,2.487501E+03 
11:45:00,8.912228E-01,1.296886E-01,2.937414E+04,2.459439E+03 
12:00:00,8.912228E-01,1.250292E-01,2.937414E+04,2.404057E+03 
12:15:00,8.912228E-01,1.205428E-01,2.937414E+04,2.343230E+03 
12:30:00,8.912228E-01,1.176179E-01,2.937414E+04,2.311192E+03 
12:45:00,8.912228E-01,1.165325E-01,2.937414E+04,2.314456E+03 
13:00:00,8.912228E-01,1.176344E-01,2.937414E+04,2.361164E+03 
13:15:00,8.912228E-01,1.238518E-01,2.937414E+04,2.502293E+03 
13:30:00,8.912228E-01,1.347746E-01,2.937414E+04,2.740753E+03 
13:45:00,8.912228E-01,1.489372E-01,2.937414E+04,3.048405E+03 
14:00:00,8.912228E-01,1.650068E-01,2.937414E+04,3.399073E+03 
14:15:00,8.912228E-01,1.790994E-01,2.937414E+04,3.689376E+03 
14:30:00,8.912228E-01,1.906967E-01,2.937414E+04,3.928276E+03 
14:45:00,8.912228E-01,2.006232E-01,2.937414E+04,4.132757E+03 
15:00:00,8.912228E-01,2.079581E-01,2.937414E+04,4.283855E+03 
15:15:00,8.912228E-01,2.127458E-01,2.937414E+04,4.348808E+03 
15:30:00,8.912228E-01,2.149198E-01,2.937414E+04,4.359234E+03 
15:45:00,8.912228E-01,2.146823E-01,2.937414E+04,4.320441E+03 
16:00:00,8.912228E-01,2.126154E-01,2.937414E+04,4.245195E+03 
16:15:00,8.912228E-01,2.088061E-01,2.937414E+04,4.125074E+03 
16:30:00,8.912228E-01,2.039233E-01,2.937414E+04,3.985578E+03 
16:45:00,8.912228E-01,1.981860E-01,2.937414E+04,3.831624E+03 
17:00:00,8.912228E-01,1.915267E-01,2.937414E+04,3.662462E+03 
17:15:00,8.912228E-01,1.856020E-01,2.937414E+04,3.500209E+03 
17:30:00,8.912228E-01,1.787263E-01,2.937414E+04,3.323400E+03 
17:45:00,8.912228E-01,1.706559E-01,2.937414E+04,3.128315E+03 
