Time,AIR LOOP HVAC 1:Des Heat Mass Flow [kg/s],AIR LOOP HVAC 1:Des Cool Mass Flow [kg/s],AIR LOOP HVAC 1:Des Heat Cap [W],AIR LOOP HVAC 1:Des Sens Cool Cap [W] 
00:15:00,2.878940E-01,0.000000E+00,2.603635E+03,0.000000E+00 
00:30:00,2.878940E-01,0.000000E+00,2.603635E+03,0.000000E+00 
00:45:00,2.878940E-01,0.000000E+00,2.603635E+03,0.000000E+00 
01:00:00,2.878940E-01,0.000000E+00,2.603635E+03,0.000000E+00 
01:15:00,2.878940E-01,0.000000E+00,2.603635E+03,0.000000E+00 
01:30:00,2.878940E-01,0.000000E+00,2.603635E+03,0.000000E+00 
01:45:00,2.878940E-01,0.000000E+00,2.603635E+03,0.000000E+00 
02:00:00,2.878940E-01,0.000000E+00,2.603635E+03,0.000000E+00 
02:15:00,2.878940E-01,0.000000E+00,2.603635E+03,0.000000E+00 
02:30:00,2.878940E-01,0.000000E+00,2.603635E+03,0.000000E+00 
02:45:00,2.878940E-01,0.000000E+00,2.603635E+03,0.000000E+00 
03:00:00,2.878940E-01,0.000000E+00,2.603635E+03,0.000000E+00 
03:15:00,2.878940E-01,0.000000E+00,2.603635E+03,0.000000E+00 
03:30:00,2.878940E-01,0.000000E+00,2.603635E+03,0.000000E+00 
03:45:00,2.878940E-01,0.000000E+00,2.603635E+03,0.000000E+00 
04:00:00,2.878940E-01,0.000000E+00,2.603635E+03,0.000000E+00 
04:15:00,2.878940E-01,0.000000E+00,2.603635E+03,0.000000E+00 
04:30:00,2.878940E-01,0.000000E+00,2.603635E+03,0.000000E+00 
04:45:00,2.878940E-01,0.000000E+00,2.603635E+03,0.000000E+00 
05:00:00,2.878940E-01,0.000000E+00,2.603635E+03,0.000000E+00 
05:15:00,2.878940E-01,0.000000E+00,2.603635E+03,0.000000E+00 
05:30:00,2.878940E-01,0.000000E+00,2.603635E+03,0.000000E+00 
05:45:00,2.878940E-01,0.000000E+00,2.603635E+03,0.000000E+00 
06:00:00,2.878940E-01,0.000000E+00,2.603635E+03,0.000000E+00 
06:15:00,2.878940E-01,0.000000E+00,2.603635E+03,0.000000E+00 
06:30:00,2.878940E-01,0.000000E+00,2.603635E+03,0.000000E+00 
06:45:00,2.878940E-01,0.000000E+00,2.603635E+03,0.000000E+00 
07:00:00,2.878940E-01,0.000000E+00,2.603635E+03,0.000000E+00 
07:15:00,2.878940E-01,0.000000E+00,2.603635E+03,0.000000E+00 
07:30:00,2.878940E-01,0.000000E+00,2.603635E+03,0.000000E+00 
07:45:00,2.878940E-01,1.281427E-03,2.603635E+03,1.139412E+01 
08:00:00,2.878940E-01,4.876302E-03,2.603635E+03,4.512894E+01 
08:15:00,2.878940E-01,1.018163E-02,2.603635E+03,9.835925E+01 
08:30:00,2.878940E-01,1.652462E-02,2.603635E+03,1.663396E+02 
08:45:00,2.878940E-01,2.300306E-02,2.603635E+03,2.408854E+02 
09:00:00,2.878940E-01,2.827612E-02,2.603635E+03,3.075761E+02 
09:15:00,2.878940E-01,3.258533E-02,2.603635E+03,3.662786E+02 
09:30:00,2.878940E-01,3.640223E-02,2.603635E+03,4.223971E+02 
09:45:00,2.878940E-01,3.915408E-02,2.603635E+03,4.685416E+02 
10:00:00,2.878940E-01,4.094488E-02,2.603635E+03,5.048346E+02 
10:15:00,2.878940E-01,4.194671E-02,2.603635E+03,5.306223E+02 
10:30:00,2.878940E-01,4.219982E-02,2.603635E+03,5.473407E+02 
10:45:00,2.878940E-01,4.375627E-02,2.603635E+03,5.815432E+02 
11:00:00,2.878940E-01,4.566849E-02,2.603635E+03,6.215851E+02 
11:15:00,2.878940E-01,4.781129E-02,2.603635E+03,6.609596E+02 
11:30:00,2.878940E-01,5.018909E-02,2.603635E+03,7.045481E+02 
11:45:00,2.878940E-01,5.034076E-02,2.603635E+03,7.174266E+02 
12:00:00,2.878940E-01,4.984513E-02,2.603635E+03,7.210067E+02 
12:15:00,2.878940E-01,4.848733E-02,2.603635E+03,7.096493E+02 
12:30:00,2.878940E-01,4.706820E-02,2.603635E+03,6.969196E+02 
12:45:00,2.878940E-01,4.636060E-02,2.603635E+03,6.943620E+02 
13:00:00,2.878940E-01,4.594950E-02,2.603635E+03,6.960541E+02 
13:15:00,2.878940E-01,4.632508E-02,2.603635E+03,7.066896E+02 
13:30:00,2.878940E-01,4.680275E-02,2.603635E+03,7.189733E+02 
13:45:00,2.878940E-01,4.773080E-02,2.603635E+03,7.383259E+02 
14:00:00,2.878940E-01,5.148241E-02,2.603635E+03,8.018545E+02 
14:15:00,2.878940E-01,5.617227E-02,2.603635E+03,8.749003E+02 
14:30:00,2.878940E-01,6.299275E-02,2.603635E+03,9.811315E+02 
14:45:00,2.878940E-01,7.123046E-02,2.603635E+03,1.109436E+03 
15:00:00,2.878940E-01,7.810589E-02,2.603635E+03,1.216523E+03 
15:15:00,2.878940E-01,8.514113E-02,2.603635E+03,1.315191E+03 
15:30:00,2.878940E-01,9.095035E-02,2.603635E+03,1.393275E+03 
15:45:00,2.878940E-01,9.529141E-02,2.603635E+03,1.447567E+03 
16:00:00,2.878940E-01,9.813418E-02,2.603635E+03,1.478179E+03 
16:15:00,2.878940E-01,9.956223E-02,2.603635E+03,1.482681E+03 
16:30:00,2.878940E-01,9.970308E-02,2.603635E+03,1.467747E+03 
16:45:00,2.878940E-01,9.838498E-02,2.603635E+03,1.431536E+03 
17:00:00,2.878940E-01,9.582510E-02,2.603635E+03,1.377920E+03 
17:15:00,2.878940E-01,9.220550E-02,2.603635E+03,1.306183E+03 
17:30:00,2.878940E-01,8.736740E-02,2.603635E+03,1.218990E+03 
17:45:00,2.878940E-01,8.151192E-02,2.603635E+03,1.119886E+03 
18:00:00,2.878940E-01,7.468713E-02,2.603635E+03,1.010173E+03 
18:15:00,2.878940E-01,6.655723E-02,2.603635E+03,8.788947E+02 
18:30:00,2.878940E-01,5.670950E-02,2.603635E+03,7.306905E+02 
18:45:00,2.878940E-01,4.502424E-02,2.603635E+03,5.657071E+02 
19:00:00,2.878940E-01,3.274223E-02,2.603635E+03,4.009025E+02 
19:15:00,2.878940E-01,2.090116E-02,2.603635E+03,2.510087E+02 
19:30:00,2.878940E-01,1.096710E-02,2.603635E+03,1.291314E+02 
19:45:00,2.878940E-01,4.806880E-03,2.603635E+03,5.546921E+01 
