Time,AIR LOOP HVAC 1:Des Heat Mass Flow [kg/s],AIR LOOP HVAC 1:Des Cool Mass Flow [kg/s],AIR LOOP HVAC 1:Des Heat Cap [W],AIR LOOP HVAC 1:Des Sens Cool Cap [W] 
00:15:00,1.958103E+01,5.477696E-01,6.453784E+05,6.457932E+03 
00:30:00,1.958103E+01,4.816337E-01,6.453784E+05,5.601997E+03 
00:45:00,1.958103E+01,4.208890E-01,6.453784E+05,4.828848E+03 
01:00:00,1.958103E+01,3.648394E-01,6.453784E+05,4.128052E+03 
01:15:00,1.958103E+01,3.139204E-01,6.453784E+05,3.518796E+03 
01:30:00,1.958103E+01,2.681810E-01,6.453784E+05,2.977798E+03 
01:45:00,1.958103E+01,2.262594E-01,6.453784E+05,2.488441E+03 
02:00:00,1.958103E+01,1.882413E-01,6.453784E+05,2.050450E+03 
02:15:00,1.958103E+01,1.550342E-01,6.453784E+05,1.676468E+03 
02:30:00,1.958103E+01,1.250174E-01,6.453784E+05,1.341987E+03 
02:45:00,1.958103E+01,9.884457E-02,6.453784E+05,1.053216E+03 
03:00:00,1.958103E+01,7.697675E-02,6.453784E+05,8.141167E+02 
03:15:00,1.958103E+01,5.847554E-02,6.453784E+05,6.138179E+02 
03:30:00,1.958103E+01,4.471136E-02,6.453784E+05,4.657972E+02 
03:45:00,1.958103E+01,3.467207E-02,6.453784E+05,3.584655E+02 
04:00:00,1.958103E+01,2.750079E-02,6.453784E+05,2.821472E+02 
04:15:00,1.958103E+01,2.233901E-02,6.453784E+05,2.280109E+02 
04:30:00,1.958103E+01,1.744008E-02,6.453784E+05,1.770882E+02 
04:45:00,1.958103E+01,1.311974E-02,6.453784E+05,1.325270E+02 
05:00:00,1.958103E+01,9.676492E-03,6.453784E+05,9.723506E+01 
05:15:00,1.958103E+01,9.529645E-03,6.453784E+05,9.626219E+01 
05:30:00,1.958103E+01,2.649422E-02,6.453784E+05,2.690249E+02 
05:45:00,1.958103E+01,7.330003E-02,6.453784E+05,7.481625E+02 
06:00:00,1.958103E+01,1.639035E-01,6.453784E+05,1.681585E+03 
