Time,THERMAL ZONE 5:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5::Des Sens Cool Load [W],THERMAL ZONE 5:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5::Des Cool Mass Flow [kg/s],THERMAL ZONE 14:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 14:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 14:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 14:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 10:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 10::Des Sens Cool Load [W],THERMAL ZONE 10:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 10::Des Cool Mass Flow [kg/s],THERMAL ZONE 15:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 15:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 15:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 15:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 8:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 8:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 8:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 8:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 3:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3::Des Sens Cool Load [W],THERMAL ZONE 3:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3::Des Cool Mass Flow [kg/s],THERMAL ZONE 4:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 4:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 12:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 12:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 12:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 12:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 9:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 9:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 9:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 9:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 7:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 7:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 7:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 7:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 11:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 11:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 11:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 11:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 6:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 6:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 6:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 6:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 13:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 13:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 13:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 13:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 1:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s] 
00:15:00,3.749243E+04,0.000000E+00,2.297980E+00,0.000000E+00,1.693993E+04,0.000000E+00,1.038280E+00,0.000000E+00,1.602069E+04,0.000000E+00,9.819378E-01,0.000000E+00,1.771524E+04,0.000000E+00,1.085800E+00,0.000000E+00,4.020479E+04,4.724028E+02,2.464225E+00,3.306077E-02,1.771524E+04,0.000000E+00,1.085800E+00,0.000000E+00,9.699204E+03,1.769116E+03,5.944820E-01,1.238098E-01,1.937090E+04,8.802266E+02,1.187278E+00,6.160180E-02,8.380250E+03,7.464756E+00,5.136410E-01,5.224137E-04,8.790279E+03,0.000000E+00,5.387724E-01,0.000000E+00,8.876702E+03,0.000000E+00,5.440694E-01,0.000000E+00,1.937090E+04,1.609101E+03,1.187278E+00,1.126113E-01,9.542630E+03,5.756807E+02,5.848854E-01,4.028845E-02,1.693993E+04,2.889420E+02,1.038280E+00,2.022132E-02,8.518588E+03,1.203210E+03,5.221199E-01,8.420546E-02 
00:30:00,3.749243E+04,0.000000E+00,2.297980E+00,0.000000E+00,1.693993E+04,0.000000E+00,1.038280E+00,0.000000E+00,1.602069E+04,0.000000E+00,9.819378E-01,0.000000E+00,1.771524E+04,0.000000E+00,1.085800E+00,0.000000E+00,4.020479E+04,3.883214E+02,2.464225E+00,2.717638E-02,1.771524E+04,0.000000E+00,1.085800E+00,0.000000E+00,9.699204E+03,1.639505E+03,5.944820E-01,1.147391E-01,1.937090E+04,7.612578E+02,1.187278E+00,5.327589E-02,8.380250E+03,0.000000E+00,5.136410E-01,0.000000E+00,8.790279E+03,0.000000E+00,5.387724E-01,0.000000E+00,8.876702E+03,0.000000E+00,5.440694E-01,0.000000E+00,1.937090E+04,1.456056E+03,1.187278E+00,1.019007E-01,9.542630E+03,5.093313E+02,5.848854E-01,3.564505E-02,1.693993E+04,1.605413E+02,1.038280E+00,1.123532E-02,8.518588E+03,1.069380E+03,5.221199E-01,7.483951E-02 
00:45:00,3.749243E+04,0.000000E+00,2.297980E+00,0.000000E+00,1.693993E+04,0.000000E+00,1.038280E+00,0.000000E+00,1.602069E+04,0.000000E+00,9.819378E-01,0.000000E+00,1.771524E+04,0.000000E+00,1.085800E+00,0.000000E+00,4.020479E+04,3.018291E+02,2.464225E+00,2.112328E-02,1.771524E+04,0.000000E+00,1.085800E+00,0.000000E+00,9.699204E+03,1.515486E+03,5.944820E-01,1.060598E-01,1.937090E+04,6.462785E+02,1.187278E+00,4.522917E-02,8.380250E+03,0.000000E+00,5.136409E-01,0.000000E+00,8.790279E+03,0.000000E+00,5.387724E-01,0.000000E+00,8.876702E+03,0.000000E+00,5.440694E-01,0.000000E+00,1.937090E+04,1.308255E+03,1.187278E+00,9.155692E-02,9.542630E+03,4.451945E+02,5.848854E-01,3.115651E-02,1.693993E+04,7.042434E+01,1.038280E+00,4.928579E-03,8.518588E+03,9.421599E+02,5.221199E-01,6.593614E-02 
01:00:00,3.749243E+04,0.000000E+00,2.297980E+00,0.000000E+00,1.693993E+04,0.000000E+00,1.038280E+00,0.000000E+00,1.602069E+04,0.000000E+00,9.819377E-01,0.000000E+00,1.771524E+04,0.000000E+00,1.085800E+00,0.000000E+00,4.020479E+04,2.133825E+02,2.464225E+00,1.493340E-02,1.771524E+04,0.000000E+00,1.085800E+00,0.000000E+00,9.699204E+03,1.396822E+03,5.944820E-01,9.775525E-02,1.937090E+04,5.352512E+02,1.187278E+00,3.745903E-02,8.380250E+03,0.000000E+00,5.136409E-01,0.000000E+00,8.790279E+03,0.000000E+00,5.387724E-01,0.000000E+00,8.876702E+03,0.000000E+00,5.440694E-01,0.000000E+00,1.937090E+04,1.165622E+03,1.187278E+00,8.157491E-02,9.542630E+03,3.832561E+02,5.848854E-01,2.682180E-02,1.693993E+04,1.747657E+01,1.038280E+00,1.223081E-03,8.518588E+03,8.213904E+02,5.221199E-01,5.748420E-02 
01:15:00,3.749243E+04,0.000000E+00,2.297980E+00,0.000000E+00,1.693993E+04,0.000000E+00,1.038280E+00,0.000000E+00,1.602069E+04,0.000000E+00,9.819378E-01,0.000000E+00,1.771524E+04,0.000000E+00,1.085800E+00,0.000000E+00,4.020479E+04,1.273646E+02,2.464225E+00,8.913506E-03,1.771524E+04,0.000000E+00,1.085800E+00,0.000000E+00,9.699204E+03,1.283745E+03,5.944820E-01,8.984168E-02,1.937090E+04,4.290491E+02,1.187278E+00,3.002658E-02,8.380250E+03,0.000000E+00,5.136409E-01,0.000000E+00,8.790279E+03,0.000000E+00,5.387724E-01,0.000000E+00,8.876702E+03,0.000000E+00,5.440694E-01,0.000000E+00,1.937090E+04,1.028995E+03,1.187278E+00,7.201322E-02,9.542630E+03,3.239461E+02,5.848854E-01,2.267105E-02,1.693993E+04,0.000000E+00,1.038280E+00,0.000000E+00,8.518588E+03,7.074217E+02,5.221199E-01,4.950822E-02 
01:30:00,3.749243E+04,0.000000E+00,2.297980E+00,0.000000E+00,1.693993E+04,0.000000E+00,1.038280E+00,0.000000E+00,1.602069E+04,0.000000E+00,9.819378E-01,0.000000E+00,1.771524E+04,0.000000E+00,1.085800E+00,0.000000E+00,4.020479E+04,6.285384E+01,2.464225E+00,4.398772E-03,1.771524E+04,0.000000E+00,1.085800E+00,0.000000E+00,9.699204E+03,1.176040E+03,5.944820E-01,8.230401E-02,1.937090E+04,3.276100E+02,1.187278E+00,2.292747E-02,8.380250E+03,0.000000E+00,5.136409E-01,0.000000E+00,8.790279E+03,0.000000E+00,5.387724E-01,0.000000E+00,8.876702E+03,0.000000E+00,5.440694E-01,0.000000E+00,1.937090E+04,8.982743E+02,1.187278E+00,6.286485E-02,9.542630E+03,2.672298E+02,5.848854E-01,1.870181E-02,1.693993E+04,0.000000E+00,1.038280E+00,0.000000E+00,8.518588E+03,6.001936E+02,5.221199E-01,4.200396E-02 
01:45:00,3.749243E+04,0.000000E+00,2.297980E+00,0.000000E+00,1.693993E+04,0.000000E+00,1.038280E+00,0.000000E+00,1.602069E+04,0.000000E+00,9.819378E-01,0.000000E+00,1.771524E+04,0.000000E+00,1.085800E+00,0.000000E+00,4.020479E+04,2.029110E+01,2.464225E+00,1.420055E-03,1.771524E+04,0.000000E+00,1.085800E+00,0.000000E+00,9.699204E+03,1.073549E+03,5.944820E-01,7.513126E-02,1.937090E+04,2.310179E+02,1.187278E+00,1.616757E-02,8.380250E+03,0.000000E+00,5.136409E-01,0.000000E+00,8.790279E+03,0.000000E+00,5.387724E-01,0.000000E+00,8.876702E+03,0.000000E+00,5.440694E-01,0.000000E+00,1.937090E+04,7.734639E+02,1.187278E+00,5.413012E-02,9.542630E+03,2.131309E+02,5.848854E-01,1.491576E-02,1.693993E+04,0.000000E+00,1.038280E+00,0.000000E+00,8.518588E+03,4.998651E+02,5.221199E-01,3.498257E-02 
02:00:00,3.749243E+04,0.000000E+00,2.297980E+00,0.000000E+00,1.693993E+04,0.000000E+00,1.038280E+00,0.000000E+00,1.602069E+04,0.000000E+00,9.819378E-01,0.000000E+00,1.771524E+04,0.000000E+00,1.085800E+00,0.000000E+00,4.020479E+04,0.000000E+00,2.464225E+00,0.000000E+00,1.771524E+04,0.000000E+00,1.085800E+00,0.000000E+00,9.699204E+03,9.761222E+02,5.944820E-01,6.831296E-02,1.937090E+04,1.393828E+02,1.187278E+00,9.754567E-03,8.380250E+03,0.000000E+00,5.136409E-01,0.000000E+00,8.790279E+03,0.000000E+00,5.387724E-01,0.000000E+00,8.876702E+03,0.000000E+00,5.440694E-01,0.000000E+00,1.937090E+04,6.545632E+02,1.187278E+00,4.580897E-02,9.542630E+03,1.616785E+02,5.848854E-01,1.131491E-02,1.693993E+04,0.000000E+00,1.038280E+00,0.000000E+00,8.518588E+03,4.071883E+02,5.221199E-01,2.849668E-02 
02:15:00,3.749243E+04,0.000000E+00,2.297980E+00,0.000000E+00,1.693993E+04,0.000000E+00,1.038280E+00,0.000000E+00,1.602069E+04,0.000000E+00,9.819378E-01,0.000000E+00,1.771524E+04,0.000000E+00,1.085800E+00,0.000000E+00,4.020479E+04,0.000000E+00,2.464225E+00,0.000000E+00,1.771524E+04,0.000000E+00,1.085800E+00,0.000000E+00,9.699204E+03,8.832382E+02,5.944820E-01,6.181256E-02,1.937090E+04,7.039317E+01,1.187278E+00,4.926398E-03,8.380250E+03,0.000000E+00,5.136409E-01,0.000000E+00,8.790279E+03,0.000000E+00,5.387724E-01,0.000000E+00,8.876702E+03,0.000000E+00,5.440694E-01,0.000000E+00,1.937090E+04,5.407986E+02,1.187278E+00,3.784726E-02,9.542630E+03,1.125251E+02,5.848854E-01,7.874961E-03,1.693993E+04,0.000000E+00,1.038280E+00,0.000000E+00,8.518588E+03,3.193755E+02,5.221199E-01,2.235118E-02 
02:30:00,3.749243E+04,0.000000E+00,2.297980E+00,0.000000E+00,1.693993E+04,0.000000E+00,1.038280E+00,0.000000E+00,1.602069E+04,0.000000E+00,9.819378E-01,0.000000E+00,1.771524E+04,0.000000E+00,1.085800E+00,0.000000E+00,4.020479E+04,0.000000E+00,2.464225E+00,0.000000E+00,1.771524E+04,0.000000E+00,1.085800E+00,0.000000E+00,9.699204E+03,7.946928E+02,5.944820E-01,5.561580E-02,1.937090E+04,2.475813E+01,1.187278E+00,1.732673E-03,8.380250E+03,0.000000E+00,5.136409E-01,0.000000E+00,8.790279E+03,0.000000E+00,5.387724E-01,0.000000E+00,8.876702E+03,0.000000E+00,5.440694E-01,0.000000E+00,1.937090E+04,4.320621E+02,1.187278E+00,3.023744E-02,9.542630E+03,6.603539E+01,5.848854E-01,4.621422E-03,1.693993E+04,0.000000E+00,1.038280E+00,0.000000E+00,8.518588E+03,2.358178E+02,5.221199E-01,1.650348E-02 
