Time,AIR LOOP HVAC 1:Des Heat Mass Flow [kg/s],AIR LOOP HVAC 1:Des Cool Mass Flow [kg/s],AIR LOOP HVAC 1:Des Heat Cap [W],AIR LOOP HVAC 1:Des Sens Cool Cap [W] 
00:15:00,1.415254E+00,5.170810E-02,4.664587E+04,6.096128E+02 
00:30:00,1.415254E+00,4.540224E-02,4.664587E+04,5.280843E+02 
00:45:00,1.415254E+00,3.929666E-02,4.664587E+04,4.508495E+02 
01:00:00,1.415254E+00,3.339451E-02,4.664587E+04,3.778491E+02 
01:15:00,1.415254E+00,2.777509E-02,4.664587E+04,3.113365E+02 
01:30:00,1.415254E+00,2.262183E-02,4.664587E+04,2.511857E+02 
01:45:00,1.415254E+00,1.820447E-02,4.664587E+04,2.002160E+02 
02:00:00,1.415254E+00,1.454770E-02,4.664587E+04,1.584633E+02 
02:15:00,1.415254E+00,1.156880E-02,4.664587E+04,1.250996E+02 
02:30:00,1.415254E+00,9.264963E-03,4.664587E+04,9.945384E+01 
02:45:00,1.415254E+00,7.335732E-03,4.664587E+04,7.816420E+01 
03:00:00,1.415254E+00,5.724652E-03,4.664587E+04,6.054470E+01 
03:15:00,1.415254E+00,4.385991E-03,4.664587E+04,4.603976E+01 
03:30:00,1.415254E+00,3.109141E-03,4.664587E+04,3.239063E+01 
03:45:00,1.415254E+00,1.895666E-03,4.664587E+04,1.959880E+01 
04:00:00,1.415254E+00,9.703383E-04,4.664587E+04,9.955289E+00 
04:15:00,1.415254E+00,3.566374E-04,4.664587E+04,3.640145E+00 
04:30:00,1.415254E+00,3.885329E-05,4.664587E+04,3.945200E-01 
04:45:00,1.415254E+00,0.000000E+00,4.664587E+04,0.000000E+00 
05:00:00,1.415254E+00,0.000000E+00,4.664587E+04,0.000000E+00 
05:15:00,1.415254E+00,0.000000E+00,4.664587E+04,0.000000E+00 
05:30:00,1.415254E+00,0.000000E+00,4.664587E+04,0.000000E+00 
05:45:00,1.415254E+00,1.063468E-03,4.664587E+04,1.085466E+01 
06:00:00,1.415254E+00,4.176812E-03,4.664587E+04,4.285245E+01 
06:15:00,1.415254E+00,9.381324E-03,4.664587E+04,9.798088E+01 
06:30:00,1.415254E+00,1.700570E-02,4.664587E+04,1.807518E+02 
06:45:00,1.415254E+00,2.592652E-02,4.664587E+04,2.803573E+02 
07:00:00,1.415254E+00,3.511717E-02,4.664587E+04,3.862249E+02 
07:15:00,1.415254E+00,4.471788E-02,4.664587E+04,5.118675E+02 
07:30:00,1.415254E+00,5.415055E-02,4.664587E+04,6.441216E+02 
07:45:00,1.415254E+00,6.501205E-02,4.664587E+04,8.024718E+02 
08:00:00,1.415254E+00,7.856782E-02,4.664587E+04,1.005028E+03 
08:15:00,1.415254E+00,9.228756E-02,4.664587E+04,1.226781E+03 
08:30:00,1.415254E+00,1.082208E-01,4.664587E+04,1.492819E+03 
08:45:00,1.415254E+00,1.253605E-01,4.664587E+04,1.792074E+03 
09:00:00,1.415254E+00,1.410685E-01,4.664587E+04,2.087327E+03 
09:15:00,1.415254E+00,1.580573E-01,4.664587E+04,2.409578E+03 
09:30:00,1.415254E+00,1.741224E-01,4.664587E+04,2.732569E+03 
09:45:00,1.415254E+00,1.883883E-01,4.664587E+04,3.040926E+03 
10:00:00,1.415254E+00,2.019402E-01,4.664587E+04,3.350231E+03 
10:15:00,1.415254E+00,2.140110E-01,4.664587E+04,3.635164E+03 
10:30:00,1.415254E+00,2.245904E-01,4.664587E+04,3.903727E+03 
10:45:00,1.415254E+00,2.334833E-01,4.664587E+04,4.150681E+03 
11:00:00,1.415254E+00,2.402761E-01,4.664587E+04,4.366506E+03 
11:15:00,1.415254E+00,2.458644E-01,4.664587E+04,4.532914E+03 
11:30:00,1.415254E+00,2.503258E-01,4.664587E+04,4.681198E+03 
11:45:00,1.415254E+00,2.519704E-01,4.664587E+04,4.778416E+03 
12:00:00,1.415254E+00,2.527887E-01,4.664587E+04,4.860613E+03 
12:15:00,1.415254E+00,2.536071E-01,4.664587E+04,4.929866E+03 
12:30:00,1.415254E+00,2.558086E-01,4.664587E+04,5.026641E+03 
12:45:00,1.415254E+00,2.622207E-01,4.664587E+04,5.207973E+03 
13:00:00,1.415254E+00,2.717876E-01,4.664587E+04,5.455335E+03 
13:15:00,1.415254E+00,2.830622E-01,4.664587E+04,5.718971E+03 
13:30:00,1.415254E+00,2.948253E-01,4.664587E+04,5.995515E+03 
13:45:00,1.415254E+00,3.074708E-01,4.664587E+04,6.293224E+03 
14:00:00,1.415254E+00,3.230586E-01,4.664587E+04,6.654879E+03 
14:15:00,1.415254E+00,3.386642E-01,4.664587E+04,6.976348E+03 
14:30:00,1.415254E+00,3.558045E-01,4.664587E+04,7.329431E+03 
14:45:00,1.415254E+00,3.728421E-01,4.664587E+04,7.680399E+03 
15:00:00,1.415254E+00,3.869826E-01,4.664587E+04,7.971686E+03 
15:15:00,1.415254E+00,4.001240E-01,4.664587E+04,8.179069E+03 
15:30:00,1.415254E+00,4.100793E-01,4.664587E+04,8.317668E+03 
15:45:00,1.415254E+00,4.166775E-01,4.664587E+04,8.385554E+03 
16:00:00,1.415254E+00,4.198408E-01,4.664587E+04,8.382768E+03 
16:15:00,1.415254E+00,4.203817E-01,4.664587E+04,8.304859E+03 
16:30:00,1.415254E+00,4.192940E-01,4.664587E+04,8.194892E+03 
16:45:00,1.415254E+00,4.173174E-01,4.664587E+04,8.068198E+03 
17:00:00,1.415254E+00,4.150342E-01,4.664587E+04,7.936474E+03 
17:15:00,1.415254E+00,4.125031E-01,4.664587E+04,7.779266E+03 
17:30:00,1.415254E+00,4.088249E-01,4.664587E+04,7.602061E+03 
17:45:00,1.415254E+00,4.027901E-01,4.664587E+04,7.383598E+03 
18:00:00,1.415254E+00,3.936093E-01,4.664587E+04,7.111480E+03 
18:15:00,1.415254E+00,3.805066E-01,4.664587E+04,6.724197E+03 
18:30:00,1.415254E+00,3.632648E-01,4.664587E+04,6.275774E+03 
18:45:00,1.415254E+00,3.423125E-01,4.664587E+04,5.778361E+03 
19:00:00,1.415254E+00,3.165974E-01,4.664587E+04,5.219015E+03 
19:15:00,1.415254E+00,2.871932E-01,4.664587E+04,4.650965E+03 
19:30:00,1.415254E+00,2.568047E-01,4.664587E+04,4.084324E+03 
19:45:00,1.415254E+00,2.289305E-01,4.664587E+04,3.574577E+03 
20:00:00,1.415254E+00,2.062720E-01,4.664587E+04,3.160931E+03 
20:15:00,1.415254E+00,1.891769E-01,4.664587E+04,2.854054E+03 
20:30:00,1.415254E+00,1.761580E-01,4.664587E+04,2.615822E+03 
20:45:00,1.415254E+00,1.647449E-01,4.664587E+04,2.407236E+03 
21:00:00,1.415254E+00,1.542555E-01,4.664587E+04,2.217346E+03 
21:15:00,1.415254E+00,1.444387E-01,4.664587E+04,2.041945E+03 
21:30:00,1.415254E+00,1.351310E-01,4.664587E+04,1.878282E+03 
21:45:00,1.415254E+00,1.262281E-01,4.664587E+04,1.724567E+03 
22:00:00,1.415254E+00,1.176498E-01,4.664587E+04,1.579438E+03 
22:15:00,1.415254E+00,1.093732E-01,4.664587E+04,1.448131E+03 
22:30:00,1.415254E+00,1.013710E-01,4.664587E+04,1.323462E+03 
22:45:00,1.415254E+00,9.363255E-02,4.664587E+04,1.205143E+03 
23:00:00,1.415254E+00,8.614748E-02,4.664587E+04,1.092896E+03 
23:15:00,1.415254E+00,7.887551E-02,4.664587E+04,9.860777E+02 
23:30:00,1.415254E+00,7.180169E-02,4.664587E+04,8.843854E+02 
23:45:00,1.415254E+00,6.491622E-02,4.664587E+04,7.875903E+02 
24:00:00,1.415254E+00,5.821272E-02,4.664587E+04,6.955121E+02 
