Time,AIR LOOP HVAC 1:Des Heat Mass Flow [kg/s],AIR LOOP HVAC 1:Des Cool Mass Flow [kg/s],AIR LOOP HVAC 1:Des Heat Cap [W],AIR LOOP HVAC 1:Des Sens Cool Cap [W] 
00:15:00,5.436211E+01,6.997668E-01,1.289179E+06,9.387979E+03 
00:30:00,5.436211E+01,6.260931E-01,1.289179E+06,8.310873E+03 
00:45:00,5.436211E+01,5.549160E-01,1.289179E+06,7.287432E+03 
01:00:00,5.436211E+01,4.863119E-01,1.289179E+06,6.317587E+03 
01:15:00,5.436211E+01,4.248627E-01,1.289179E+06,5.479180E+03 
01:30:00,5.436211E+01,3.696618E-01,1.289179E+06,4.732373E+03 
01:45:00,5.436211E+01,3.205051E-01,1.289179E+06,4.072800E+03 
02:00:00,5.436211E+01,2.778316E-01,1.289179E+06,3.504285E+03 
02:15:00,5.436211E+01,2.401021E-01,1.289179E+06,3.011395E+03 
02:30:00,5.436211E+01,2.056076E-01,1.289179E+06,2.564194E+03 
02:45:00,5.436211E+01,1.740600E-01,1.289179E+06,2.158424E+03 
03:00:00,5.436211E+01,1.448111E-01,1.289179E+06,1.785465E+03 
03:15:00,5.436211E+01,1.182238E-01,1.289179E+06,1.449279E+03 
03:30:00,5.436211E+01,9.508413E-02,1.289179E+06,1.158879E+03 
03:45:00,5.436211E+01,7.657071E-02,1.289179E+06,9.278140E+02 
04:00:00,5.436211E+01,6.246864E-02,1.289179E+06,7.525125E+02 
04:15:00,5.436211E+01,5.108801E-02,1.289179E+06,6.130058E+02 
04:30:00,5.436211E+01,4.127962E-02,1.289179E+06,4.933653E+02 
04:45:00,5.436211E+01,3.182649E-02,1.289179E+06,3.788803E+02 
05:00:00,5.436211E+01,2.300134E-02,1.289179E+06,2.727345E+02 
05:15:00,5.436211E+01,1.533258E-02,1.289179E+06,1.825276E+02 
05:30:00,5.436211E+01,9.534677E-03,1.289179E+06,1.139564E+02 
05:45:00,5.436211E+01,5.962844E-03,1.289179E+06,7.154826E+01 
06:00:00,5.436211E+01,2.931612E-02,1.289179E+06,3.531492E+02 
06:15:00,5.436211E+01,6.818919E-02,1.289179E+06,8.326953E+02 
06:30:00,5.436211E+01,1.303752E-01,1.289179E+06,1.613633E+03 
06:45:00,5.436211E+01,2.192442E-01,1.289179E+06,2.749792E+03 
07:00:00,5.436211E+01,3.389144E-01,1.289179E+06,4.306735E+03 
07:15:00,5.436211E+01,4.877123E-01,1.289179E+06,6.393363E+03 
07:30:00,5.436211E+01,6.655975E-01,1.289179E+06,8.992438E+03 
07:45:00,5.436211E+01,8.654339E-01,1.289179E+06,1.203971E+04 
08:00:00,5.436211E+01,1.060904E+00,1.289179E+06,1.518494E+04 
08:15:00,5.436211E+01,1.268055E+00,1.289179E+06,1.871887E+04 
08:30:00,5.436211E+01,1.474585E+00,1.289179E+06,2.242924E+04 
08:45:00,5.436211E+01,1.693510E+00,1.289179E+06,2.651904E+04 
