Time,AIR LOOP HVAC 1:Des Heat Mass Flow [kg/s],AIR LOOP HVAC 1:Des Cool Mass Flow [kg/s],AIR LOOP HVAC 1:Des Heat Cap [W],AIR LOOP HVAC 1:Des Sens Cool Cap [W] 
00:15:00,4.544301E+02,3.973162E+00,4.109742E+06,3.354670E+04 
00:30:00,4.544365E+02,3.237119E+00,4.109800E+06,2.691731E+04 
00:45:00,4.544429E+02,2.602014E+00,4.109858E+06,2.130291E+04 
01:00:00,4.544492E+02,2.052620E+00,4.109915E+06,1.654199E+04 
01:15:00,4.544488E+02,1.586539E+00,4.109911E+06,1.265035E+04 
01:30:00,4.544484E+02,1.175869E+00,4.109907E+06,9.275422E+03 
01:45:00,4.544479E+02,8.256091E-01,4.109903E+06,6.442002E+03 
02:00:00,4.544475E+02,5.308528E-01,4.109899E+06,4.096758E+03 
02:15:00,4.544471E+02,2.996543E-01,4.109895E+06,2.293331E+03 
02:30:00,4.544466E+02,1.397494E-01,4.109891E+06,1.060586E+03 
02:45:00,4.544462E+02,4.735646E-02,4.109888E+06,3.563637E+02 
03:00:00,4.544458E+02,7.392998E-03,4.109884E+06,5.515971E+01 
03:15:00,4.544454E+02,0.000000E+00,4.109880E+06,0.000000E+00 
03:30:00,4.544450E+02,0.000000E+00,4.109877E+06,0.000000E+00 
03:45:00,4.544446E+02,0.000000E+00,4.109873E+06,0.000000E+00 
04:00:00,4.544442E+02,0.000000E+00,4.109869E+06,0.000000E+00 
04:15:00,4.544438E+02,0.000000E+00,4.109866E+06,0.000000E+00 
04:30:00,4.544434E+02,0.000000E+00,4.109862E+06,0.000000E+00 
04:45:00,4.544430E+02,0.000000E+00,4.109859E+06,0.000000E+00 
05:00:00,4.544427E+02,0.000000E+00,4.109855E+06,0.000000E+00 
05:15:00,4.544423E+02,0.000000E+00,4.109852E+06,0.000000E+00 
05:30:00,4.544419E+02,0.000000E+00,4.109849E+06,0.000000E+00 
05:45:00,4.544415E+02,0.000000E+00,4.109845E+06,0.000000E+00 
06:00:00,4.544412E+02,0.000000E+00,4.109842E+06,0.000000E+00 
06:15:00,4.544408E+02,0.000000E+00,4.109839E+06,0.000000E+00 
06:30:00,4.544405E+02,3.563712E-02,4.109836E+06,2.674132E+02 
06:45:00,4.544401E+02,1.253113E+00,4.109833E+06,9.590392E+03 
07:00:00,4.544398E+02,3.473237E+00,4.109829E+06,2.710072E+04 
07:15:00,4.544394E+02,6.968293E+00,4.109826E+06,5.690121E+04 
07:30:00,4.544391E+02,1.166250E+01,4.109823E+06,9.946637E+04 
07:45:00,4.544388E+02,1.648029E+01,4.109820E+06,1.465385E+05 
08:00:00,4.544384E+02,2.150716E+01,4.109817E+06,1.990433E+05 
08:15:00,4.544381E+02,2.629277E+01,4.109814E+06,2.540003E+05 
08:30:00,4.544378E+02,3.077676E+01,4.109812E+06,3.098041E+05 
08:45:00,4.544375E+02,3.479479E+01,4.109809E+06,3.643670E+05 
09:00:00,4.544372E+02,3.872961E+01,4.109806E+06,4.212850E+05 
09:15:00,4.544369E+02,4.264252E+01,4.109803E+06,4.793275E+05 
09:30:00,4.544365E+02,4.668946E+01,4.109800E+06,5.417660E+05 
09:45:00,4.544362E+02,5.083487E+01,4.109797E+06,6.083211E+05 
10:00:00,4.544359E+02,5.484893E+01,4.109795E+06,6.762661E+05 
10:15:00,4.544356E+02,5.870021E+01,4.109792E+06,7.425526E+05 
10:30:00,4.544354E+02,6.227303E+01,4.109789E+06,8.076945E+05 
10:45:00,4.544351E+02,6.561115E+01,4.109787E+06,8.720057E+05 
11:00:00,4.544348E+02,6.864151E+01,4.109784E+06,9.342665E+05 
11:15:00,4.544345E+02,7.121159E+01,4.109782E+06,9.844534E+05 
11:30:00,4.544342E+02,7.308035E+01,4.109779E+06,1.025893E+06 
