Time,AIR LOOP HVAC 1:Des Heat Mass Flow [kg/s],AIR LOOP HVAC 1:Des Cool Mass Flow [kg/s],AIR LOOP HVAC 1:Des Heat Cap [W],AIR LOOP HVAC 1:Des Sens Cool Cap [W] 
00:15:00,5.338516E+00,4.358744E-02,1.266011E+05,5.847633E+02 
00:30:00,5.338516E+00,3.587972E-02,1.266011E+05,4.762739E+02 
00:45:00,5.338516E+00,2.971885E-02,1.266011E+05,3.902826E+02 
01:00:00,5.338516E+00,2.477336E-02,1.266011E+05,3.218261E+02 
01:15:00,5.338516E+00,2.073062E-02,1.266011E+05,2.673494E+02 
01:30:00,5.338516E+00,1.696049E-02,1.266011E+05,2.171265E+02 
01:45:00,5.338516E+00,1.332463E-02,1.266011E+05,1.693219E+02 
02:00:00,5.338516E+00,9.784428E-03,1.266011E+05,1.234108E+02 
02:15:00,5.338516E+00,6.324877E-03,1.266011E+05,7.932751E+01 
02:30:00,5.338516E+00,3.451193E-03,1.266011E+05,4.304086E+01 
02:45:00,5.338516E+00,1.461281E-03,1.266011E+05,1.812055E+01 
03:00:00,5.338516E+00,3.256875E-04,1.266011E+05,4.015601E+00 
03:15:00,5.338516E+00,0.000000E+00,1.266011E+05,0.000000E+00 
03:30:00,5.338516E+00,0.000000E+00,1.266011E+05,0.000000E+00 
03:45:00,5.338516E+00,0.000000E+00,1.266011E+05,0.000000E+00 
04:00:00,5.338516E+00,0.000000E+00,1.266011E+05,0.000000E+00 
04:15:00,5.338516E+00,0.000000E+00,1.266011E+05,0.000000E+00 
04:30:00,5.338516E+00,0.000000E+00,1.266011E+05,0.000000E+00 
04:45:00,5.338516E+00,0.000000E+00,1.266011E+05,0.000000E+00 
05:00:00,5.338516E+00,0.000000E+00,1.266011E+05,0.000000E+00 
05:15:00,5.338516E+00,0.000000E+00,1.266011E+05,0.000000E+00 
05:30:00,5.338516E+00,0.000000E+00,1.266011E+05,0.000000E+00 
05:45:00,5.338516E+00,0.000000E+00,1.266011E+05,0.000000E+00 
06:00:00,5.338516E+00,0.000000E+00,1.266011E+05,0.000000E+00 
06:15:00,5.338516E+00,0.000000E+00,1.266011E+05,0.000000E+00 
06:30:00,5.338516E+00,0.000000E+00,1.266011E+05,0.000000E+00 
06:45:00,5.338516E+00,0.000000E+00,1.266011E+05,0.000000E+00 
07:00:00,5.338516E+00,3.208785E-03,1.266011E+05,4.077545E+01 
07:15:00,5.338516E+00,1.165249E-02,1.266011E+05,1.527511E+02 
07:30:00,5.338516E+00,2.469537E-02,1.266011E+05,3.336425E+02 
07:45:00,5.338516E+00,4.221166E-02,1.266011E+05,5.872386E+02 
08:00:00,5.338516E+00,6.115179E-02,1.266011E+05,8.752782E+02 
08:15:00,5.338516E+00,7.933821E-02,1.266011E+05,1.171181E+03 
08:30:00,5.338516E+00,9.713129E-02,1.266011E+05,1.477420E+03 
08:45:00,5.338516E+00,1.143595E-01,1.266011E+05,1.790780E+03 
09:00:00,5.338516E+00,1.305271E-01,1.266011E+05,2.102516E+03 
09:15:00,5.338516E+00,1.453846E-01,1.266011E+05,2.400202E+03 
09:30:00,5.338516E+00,1.587942E-01,1.266011E+05,2.685332E+03 
09:45:00,5.338516E+00,1.706210E-01,1.266011E+05,2.953826E+03 
10:00:00,5.338516E+00,1.816384E-01,1.266011E+05,3.217478E+03 
10:15:00,5.338516E+00,1.967930E-01,1.266011E+05,3.555629E+03 
10:30:00,5.338516E+00,2.104043E-01,1.266011E+05,3.876083E+03 
10:45:00,5.338516E+00,2.274494E-01,1.266011E+05,4.270655E+03 
11:00:00,5.338516E+00,2.440037E-01,1.266011E+05,4.667912E+03 
11:15:00,5.338516E+00,2.550144E-01,1.266011E+05,4.938771E+03 
11:30:00,5.338516E+00,2.659565E-01,1.266011E+05,5.213488E+03 
11:45:00,5.338516E+00,2.713760E-01,1.266011E+05,5.383807E+03 
12:00:00,5.338516E+00,2.755434E-01,1.266011E+05,5.531552E+03 
12:15:00,5.338516E+00,2.782995E-01,1.266011E+05,5.639455E+03 
12:30:00,5.338516E+00,2.840711E-01,1.266011E+05,5.810076E+03 
12:45:00,5.338516E+00,2.930924E-01,1.266011E+05,6.049956E+03 
13:00:00,5.338516E+00,3.062531E-01,1.266011E+05,6.379473E+03 
13:15:00,5.338516E+00,3.250170E-01,1.266011E+05,6.808712E+03 
13:30:00,5.338516E+00,3.456842E-01,1.266011E+05,7.282481E+03 
13:45:00,5.338516E+00,3.688613E-01,1.266011E+05,7.814302E+03 
14:00:00,5.338516E+00,3.926743E-01,1.266011E+05,8.365141E+03 
14:15:00,5.338516E+00,4.157802E-01,1.266011E+05,8.857367E+03 
14:30:00,5.338516E+00,4.377560E-01,1.266011E+05,9.325518E+03 
14:45:00,5.338516E+00,4.582158E-01,1.266011E+05,9.761371E+03 
15:00:00,5.338516E+00,4.768051E-01,1.266011E+05,1.015738E+04 
15:15:00,5.338516E+00,4.931050E-01,1.266011E+05,1.043475E+04 
15:30:00,5.338516E+00,5.067180E-01,1.266011E+05,1.065103E+04 
15:45:00,5.338516E+00,5.221894E-01,1.266011E+05,1.090224E+04 
16:00:00,5.338516E+00,5.375135E-01,1.266011E+05,1.114602E+04 
16:15:00,5.338516E+00,5.515284E-01,1.266011E+05,1.133245E+04 
16:30:00,5.338516E+00,5.648787E-01,1.266011E+05,1.150005E+04 
16:45:00,5.338516E+00,5.725354E-01,1.266011E+05,1.154777E+04 
17:00:00,5.338516E+00,5.765823E-01,1.266011E+05,1.152046E+04 
17:15:00,5.338516E+00,5.780851E-01,1.266011E+05,1.141398E+04 
17:30:00,5.338516E+00,5.757726E-01,1.266011E+05,1.123236E+04 
17:45:00,5.338516E+00,5.689254E-01,1.266011E+05,1.096443E+04 
18:00:00,5.338516E+00,5.560799E-01,1.266011E+05,1.058556E+04 
18:15:00,5.338516E+00,5.344205E-01,1.266011E+05,9.983951E+03 
18:30:00,5.338516E+00,5.041956E-01,1.266011E+05,9.240704E+03 
18:45:00,5.338516E+00,4.698739E-01,1.266011E+05,8.445232E+03 
19:00:00,5.338516E+00,4.317169E-01,1.266011E+05,7.606503E+03 
19:15:00,5.338516E+00,3.936678E-01,1.266011E+05,6.833850E+03 
19:30:00,5.338516E+00,3.585182E-01,1.266011E+05,6.130546E+03 
19:45:00,5.338516E+00,3.250216E-01,1.266011E+05,5.473339E+03 
20:00:00,5.338516E+00,2.957841E-01,1.266011E+05,4.904150E+03 
20:15:00,5.338516E+00,2.713540E-01,1.266011E+05,4.441424E+03 
20:30:00,5.338516E+00,2.503603E-01,1.266011E+05,4.044599E+03 
20:45:00,5.338516E+00,2.314729E-01,1.266011E+05,3.690276E+03 
21:00:00,5.338516E+00,2.139599E-01,1.266011E+05,3.365601E+03 
21:15:00,5.338516E+00,1.972951E-01,1.266011E+05,3.061532E+03 
21:30:00,5.338516E+00,1.812653E-01,1.266011E+05,2.774265E+03 
21:45:00,5.338516E+00,1.657481E-01,1.266011E+05,2.501549E+03 
22:00:00,5.338516E+00,1.506313E-01,1.266011E+05,2.241385E+03 
22:15:00,5.338516E+00,1.359893E-01,1.266011E+05,2.001035E+03 
22:30:00,5.338516E+00,1.218514E-01,1.266011E+05,1.772858E+03 
22:45:00,5.338516E+00,1.086122E-01,1.266011E+05,1.562283E+03 
23:00:00,5.338516E+00,9.621440E-02,1.266011E+05,1.368048E+03 
23:15:00,5.338516E+00,8.456286E-02,1.266011E+05,1.188400E+03 
23:30:00,5.338516E+00,7.358580E-02,1.266011E+05,1.021971E+03 
23:45:00,5.338516E+00,6.285960E-02,1.266011E+05,8.626130E+02 
24:00:00,5.338516E+00,5.275896E-02,1.266011E+05,7.152824E+02 
Coinc Peak   ,5.338516E+00,5.780851E-01,1.266011E+05,1.466073E+04 
NonCoinc Peak,5.338516E+00,7.434033E-01,1.266011E+05,1.466073E+04 
