Time,AIR LOOP HVAC 1:Des Heat Mass Flow [kg/s],AIR LOOP HVAC 1:Des Cool Mass Flow [kg/s],AIR LOOP HVAC 1:Des Heat Cap [W],AIR LOOP HVAC 1:Des Sens Cool Cap [W] 
00:15:00,4.517127E+01,1.583257E-01,4.085167E+05,1.336795E+03 
00:30:00,4.517127E+01,1.125256E-01,4.085166E+05,9.356734E+02 
00:45:00,4.517127E+01,7.571482E-02,4.085166E+05,6.198837E+02 
01:00:00,4.517126E+01,4.741825E-02,4.085166E+05,3.821421E+02 
01:15:00,4.517126E+01,2.609408E-02,4.085166E+05,2.080625E+02 
01:30:00,4.517126E+01,1.123261E-02,4.085166E+05,8.860439E+01 
01:45:00,4.517126E+01,2.611345E-03,4.085166E+05,2.037561E+01 
02:00:00,4.517126E+01,0.000000E+00,4.085166E+05,0.000000E+00 
02:15:00,4.517127E+01,0.000000E+00,4.085166E+05,0.000000E+00 
02:30:00,4.517127E+01,0.000000E+00,4.085166E+05,0.000000E+00 
02:45:00,4.517127E+01,0.000000E+00,4.085166E+05,0.000000E+00 
03:00:00,4.517127E+01,0.000000E+00,4.085166E+05,0.000000E+00 
03:15:00,4.517127E+01,0.000000E+00,4.085166E+05,0.000000E+00 
03:30:00,4.517127E+01,0.000000E+00,4.085166E+05,0.000000E+00 
03:45:00,4.517127E+01,0.000000E+00,4.085166E+05,0.000000E+00 
04:00:00,4.517127E+01,0.000000E+00,4.085166E+05,0.000000E+00 
04:15:00,4.517127E+01,0.000000E+00,4.085166E+05,0.000000E+00 
04:30:00,4.517127E+01,0.000000E+00,4.085166E+05,0.000000E+00 
04:45:00,4.517127E+01,0.000000E+00,4.085166E+05,0.000000E+00 
05:00:00,4.517127E+01,0.000000E+00,4.085166E+05,0.000000E+00 
05:15:00,4.517127E+01,0.000000E+00,4.085166E+05,0.000000E+00 
05:30:00,4.517127E+01,0.000000E+00,4.085166E+05,0.000000E+00 
05:45:00,4.517127E+01,0.000000E+00,4.085166E+05,0.000000E+00 
06:00:00,4.517127E+01,0.000000E+00,4.085166E+05,0.000000E+00 
06:15:00,4.517127E+01,0.000000E+00,4.085166E+05,0.000000E+00 
06:30:00,4.517127E+01,0.000000E+00,4.085166E+05,0.000000E+00 
06:45:00,4.517127E+01,2.076302E-02,4.085166E+05,1.589047E+02 
07:00:00,4.517127E+01,1.467718E-01,4.085166E+05,1.145220E+03 
07:15:00,4.517127E+01,4.217871E-01,4.085166E+05,3.444201E+03 
07:30:00,4.517127E+01,8.759099E-01,4.085166E+05,7.470405E+03 
07:45:00,4.517127E+01,1.487794E+00,4.085166E+05,1.322908E+04 
08:00:00,4.517127E+01,2.126883E+00,4.085166E+05,1.968377E+04 
08:15:00,4.517127E+01,2.745782E+00,4.085166E+05,2.652551E+04 
08:30:00,4.517127E+01,3.294366E+00,4.085166E+05,3.316165E+04 
08:45:00,4.517127E+01,3.757493E+00,4.085166E+05,3.934802E+04 
09:00:00,4.517127E+01,4.165849E+00,4.085166E+05,4.531441E+04 
09:15:00,4.517127E+01,4.507560E+00,4.085166E+05,5.066768E+04 
09:30:00,4.517127E+01,4.814719E+00,4.085166E+05,5.586810E+04 
09:45:00,4.517127E+01,5.127776E+00,4.085166E+05,6.136209E+04 
10:00:00,4.517127E+01,5.450537E+00,4.085166E+05,6.720302E+04 
10:15:00,4.517127E+01,5.794992E+00,4.085166E+05,7.330615E+04 
10:30:00,4.517127E+01,6.176918E+00,4.085166E+05,8.011594E+04 
10:45:00,4.517127E+01,6.520872E+00,4.085166E+05,8.666573E+04 
11:00:00,4.517127E+01,6.834076E+00,4.085167E+05,9.301730E+04 
11:15:00,4.517127E+01,7.094013E+00,4.085167E+05,9.807006E+04 
11:30:00,4.517127E+01,7.232665E+00,4.085167E+05,1.015312E+05 
11:45:00,4.517127E+01,7.261148E+00,4.085167E+05,1.034816E+05 
12:00:00,4.517127E+01,7.165995E+00,4.085167E+05,1.036557E+05 
12:15:00,4.517127E+01,7.005805E+00,4.085167E+05,1.025353E+05 
12:30:00,4.517127E+01,6.851892E+00,4.085167E+05,1.014532E+05 
12:45:00,4.517127E+01,6.772213E+00,4.085167E+05,1.014303E+05 
13:00:00,4.517127E+01,6.830318E+00,4.085167E+05,1.034673E+05 
13:15:00,4.517127E+01,7.004635E+00,4.085167E+05,1.068558E+05 
13:30:00,4.517127E+01,7.277484E+00,4.085167E+05,1.117951E+05 
13:45:00,4.517127E+01,7.645913E+00,4.085167E+05,1.182711E+05 
14:00:00,4.517127E+01,8.102122E+00,4.085167E+05,1.261930E+05 
14:15:00,4.517127E+01,8.561531E+00,4.085167E+05,1.333485E+05 
14:30:00,4.517127E+01,9.050622E+00,4.085167E+05,1.409662E+05 
14:45:00,4.517127E+01,9.514123E+00,4.085167E+05,1.481854E+05 
15:00:00,4.517127E+01,9.900852E+00,4.085167E+05,1.542088E+05 
15:15:00,4.517127E+01,1.025968E+01,4.085167E+05,1.584833E+05 
15:30:00,4.517127E+01,1.053776E+01,4.085167E+05,1.614287E+05 
15:45:00,4.517127E+01,1.073940E+01,4.085167E+05,1.631417E+05 
16:00:00,4.517127E+01,1.085067E+01,4.085167E+05,1.634418E+05 
16:15:00,4.517127E+01,1.087281E+01,4.085167E+05,1.619180E+05 
16:30:00,4.517127E+01,1.080334E+01,4.085167E+05,1.590379E+05 
16:45:00,4.517127E+01,1.064097E+01,4.085167E+05,1.548299E+05 
17:00:00,4.517127E+01,1.040740E+01,4.085167E+05,1.496535E+05 
17:15:00,4.517127E+01,1.013638E+01,4.085167E+05,1.435919E+05 
17:30:00,4.517127E+01,9.825224E+00,4.085167E+05,1.370861E+05 
17:45:00,4.517127E+01,9.475575E+00,4.085167E+05,1.301843E+05 
18:00:00,4.517127E+01,9.057667E+00,4.085167E+05,1.225085E+05 
18:15:00,4.517127E+01,8.513667E+00,4.085167E+05,1.124238E+05 
18:30:00,4.517127E+01,7.805618E+00,4.085167E+05,1.005738E+05 
18:45:00,4.517127E+01,6.893256E+00,4.085167E+05,8.661032E+04 
19:00:00,4.517127E+01,5.849868E+00,4.085167E+05,7.162697E+04 
19:15:00,4.517127E+01,4.835595E+00,4.085167E+05,5.807219E+04 
19:30:00,4.517127E+01,3.964133E+00,4.085167E+05,4.667541E+04 
19:45:00,4.517127E+01,3.319304E+00,4.085167E+05,3.830326E+04 
20:00:00,4.517127E+01,2.874625E+00,4.085167E+05,3.249666E+04 
20:15:00,4.517127E+01,2.529685E+00,4.085167E+05,2.811108E+04 
20:30:00,4.517127E+01,2.235955E+00,4.085167E+05,2.441731E+04 
20:45:00,4.517127E+01,1.978920E+00,4.085167E+05,2.123009E+04 
21:00:00,4.517127E+01,1.750549E+00,4.085167E+05,1.844369E+04 
21:15:00,4.517127E+01,1.541716E+00,4.085167E+05,1.594715E+04 
21:30:00,4.517127E+01,1.345977E+00,4.085167E+05,1.366380E+04 
21:45:00,4.517127E+01,1.165951E+00,4.085167E+05,1.161218E+04 
22:00:00,4.517127E+01,1.002499E+00,4.085167E+05,9.791636E+03 
22:15:00,4.517127E+01,8.597940E-01,4.085167E+05,8.269286E+03 
22:30:00,4.517127E+01,7.368688E-01,4.085167E+05,6.976881E+03 
22:45:00,4.517127E+01,6.280364E-01,4.085167E+05,5.852550E+03 
23:00:00,4.517127E+01,5.297100E-01,4.085167E+05,4.857088E+03 
23:15:00,4.517127E+01,4.377684E-01,4.085167E+05,3.948611E+03 
23:30:00,4.517127E+01,3.544087E-01,4.085167E+05,3.143743E+03 
23:45:00,4.517127E+01,2.797828E-01,4.085167E+05,2.439963E+03 
24:00:00,4.517127E+01,2.138066E-01,4.085167E+05,1.832631E+03 
Coinc Peak   ,4.517127E+01,1.087281E+01,4.085167E+05,2.388102E+05 
NonCoinc Peak,4.517127E+01,1.690186E+01,4.085167E+05,2.388102E+05 
