Time,AIR LOOP HVAC 1:Des Heat Mass Flow [kg/s],AIR LOOP HVAC 1:Des Cool Mass Flow [kg/s],AIR LOOP HVAC 1:Des Heat Cap [W],AIR LOOP HVAC 1:Des Sens Cool Cap [W] 
00:15:00,6.841996E-01,3.216159E-02,6.187715E+03,2.715507E+02 
00:30:00,6.841996E-01,2.720965E-02,6.187715E+03,2.262538E+02 
00:45:00,6.841996E-01,2.283382E-02,6.187715E+03,1.869424E+02 
01:00:00,6.841996E-01,1.901311E-02,6.187715E+03,1.532260E+02 
01:15:00,6.841996E-01,1.562477E-02,6.187715E+03,1.245849E+02 
01:30:00,6.841996E-01,1.241786E-02,6.187715E+03,9.795381E+01 
01:45:00,6.841996E-01,9.672098E-03,6.187715E+03,7.546874E+01 
02:00:00,6.841996E-01,7.462368E-03,6.187715E+03,5.758944E+01 
02:15:00,6.841996E-01,5.749600E-03,6.187715E+03,4.400315E+01 
02:30:00,6.841996E-01,4.491771E-03,6.187715E+03,3.408892E+01 
02:45:00,6.841996E-01,3.410374E-03,6.187715E+03,2.566353E+01 
03:00:00,6.841996E-01,2.560680E-03,6.187715E+03,1.910543E+01 
03:15:00,6.841996E-01,1.929123E-03,6.187715E+03,1.426975E+01 
03:30:00,6.841996E-01,1.505491E-03,6.187715E+03,1.103970E+01 
03:45:00,6.841996E-01,1.255478E-03,6.187715E+03,9.125939E+00 
04:00:00,6.841996E-01,1.020195E-03,6.187715E+03,7.350335E+00 
04:15:00,6.841996E-01,7.959123E-04,6.187715E+03,5.700427E+00 
04:30:00,6.841996E-01,5.824063E-04,6.187715E+03,4.146397E+00 
04:45:00,6.841996E-01,3.591234E-04,6.187715E+03,2.541414E+00 
05:00:00,6.841996E-01,1.870377E-04,6.187715E+03,1.315625E+00 
05:15:00,6.841996E-01,6.805438E-05,6.187715E+03,4.816016E-01 
05:30:00,6.841996E-01,0.000000E+00,6.187715E+03,0.000000E+00 
05:45:00,6.841996E-01,0.000000E+00,6.187715E+03,0.000000E+00 
06:00:00,6.841996E-01,0.000000E+00,6.187715E+03,0.000000E+00 
06:15:00,6.841996E-01,0.000000E+00,6.187715E+03,0.000000E+00 
06:30:00,6.841996E-01,3.969874E-04,6.187715E+03,2.978907E+00 
06:45:00,6.841996E-01,2.671988E-03,6.187715E+03,2.044940E+01 
07:00:00,6.841996E-01,8.564338E-03,6.187715E+03,6.682519E+01 
07:15:00,6.841996E-01,1.751538E-02,6.187715E+03,1.430259E+02 
07:30:00,6.841996E-01,2.955745E-02,6.187715E+03,2.520878E+02 
07:45:00,6.841996E-01,4.292100E-02,6.187715E+03,3.816425E+02 
08:00:00,6.841996E-01,5.570396E-02,6.187715E+03,5.155261E+02 
08:15:00,6.841996E-01,6.829024E-02,6.187715E+03,6.597150E+02 
08:30:00,6.841996E-01,8.080631E-02,6.187715E+03,8.134101E+02 
08:45:00,6.841996E-01,9.415216E-02,6.187715E+03,9.859504E+02 
09:00:00,6.841996E-01,1.088319E-01,6.187715E+03,1.183829E+03 
09:15:00,6.841996E-01,1.236413E-01,6.187715E+03,1.389802E+03 
09:30:00,6.841996E-01,1.400305E-01,6.187715E+03,1.624859E+03 
09:45:00,6.841996E-01,1.562453E-01,6.187715E+03,1.869727E+03 
10:00:00,6.841996E-01,1.720119E-01,6.187715E+03,2.120841E+03 
10:15:00,6.841996E-01,1.882093E-01,6.187715E+03,2.380832E+03 
10:30:00,6.841996E-01,2.024759E-01,6.187715E+03,2.626155E+03 
10:45:00,6.841996E-01,2.161414E-01,6.187715E+03,2.872630E+03 
11:00:00,6.841996E-01,2.284329E-01,6.187715E+03,3.109157E+03 
11:15:00,6.841996E-01,2.390490E-01,6.187715E+03,3.304695E+03 
11:30:00,6.841996E-01,2.473043E-01,6.187715E+03,3.471626E+03 
11:45:00,6.841996E-01,2.536691E-01,6.187715E+03,3.615142E+03 
12:00:00,6.841996E-01,2.567423E-01,6.187715E+03,3.713762E+03 
12:15:00,6.841996E-01,2.583188E-01,6.187715E+03,3.780694E+03 
12:30:00,6.841996E-01,2.610695E-01,6.187715E+03,3.865549E+03 
12:45:00,6.841996E-01,2.657156E-01,6.187715E+03,3.979734E+03 
13:00:00,6.841996E-01,2.750368E-01,6.187715E+03,4.166324E+03 
13:15:00,6.841996E-01,2.884559E-01,6.187715E+03,4.400398E+03 
13:30:00,6.841996E-01,3.043382E-01,6.187715E+03,4.675174E+03 
13:45:00,6.841996E-01,3.212314E-01,6.187715E+03,4.968981E+03 
14:00:00,6.841996E-01,3.382639E-01,6.187715E+03,5.268564E+03 
14:15:00,6.841996E-01,3.546194E-01,6.187715E+03,5.523306E+03 
14:30:00,6.841996E-01,3.709695E-01,6.187715E+03,5.777964E+03 
14:45:00,6.841996E-01,3.880999E-01,6.187715E+03,6.044776E+03 
15:00:00,6.841996E-01,4.044982E-01,6.187715E+03,6.300184E+03 
15:15:00,6.841996E-01,4.207557E-01,6.187715E+03,6.499492E+03 
15:30:00,6.841996E-01,4.355649E-01,6.187715E+03,6.672449E+03 
15:45:00,6.841996E-01,4.474578E-01,6.187715E+03,6.797308E+03 
16:00:00,6.841996E-01,4.570905E-01,6.187715E+03,6.885077E+03 
16:15:00,6.841996E-01,4.632519E-01,6.187715E+03,6.898749E+03 
16:30:00,6.841996E-01,4.655983E-01,6.187715E+03,6.854156E+03 
16:45:00,6.841996E-01,4.640592E-01,6.187715E+03,6.752226E+03 
17:00:00,6.841996E-01,4.591449E-01,6.187715E+03,6.602286E+03 
17:15:00,6.841996E-01,4.520261E-01,6.187715E+03,6.403399E+03 
17:30:00,6.841996E-01,4.433877E-01,6.187715E+03,6.186350E+03 
17:45:00,6.841996E-01,4.333054E-01,6.187715E+03,5.953153E+03 
18:00:00,6.841996E-01,4.211972E-01,6.187715E+03,5.696859E+03 
18:15:00,6.841996E-01,4.052147E-01,6.187715E+03,5.350900E+03 
18:30:00,6.841996E-01,3.836557E-01,6.187715E+03,4.943327E+03 
18:45:00,6.841996E-01,3.551204E-01,6.187715E+03,4.461911E+03 
19:00:00,6.841996E-01,3.198761E-01,6.187715E+03,3.916628E+03 
19:15:00,6.841996E-01,2.837236E-01,6.187715E+03,3.407326E+03 
19:30:00,6.841996E-01,2.505499E-01,6.187715E+03,2.950082E+03 
19:45:00,6.841996E-01,2.231368E-01,6.187715E+03,2.574897E+03 
20:00:00,6.841996E-01,2.027925E-01,6.187715E+03,2.292500E+03 
20:15:00,6.841996E-01,1.857708E-01,6.187715E+03,2.064375E+03 
20:30:00,6.841996E-01,1.704399E-01,6.187715E+03,1.861255E+03 
20:45:00,6.841996E-01,1.565150E-01,6.187715E+03,1.679112E+03 
21:00:00,6.841996E-01,1.437071E-01,6.187715E+03,1.514090E+03 
