Time,AIR LOOP HVAC 1:Des Heat Mass Flow [kg/s],AIR LOOP HVAC 1:Des Cool Mass Flow [kg/s],AIR LOOP HVAC 1:Des Heat Cap [W],AIR LOOP HVAC 1:Des Sens Cool Cap [W] 
00:15:00,2.562711E-01,0.000000E+00,2.317646E+03,0.000000E+00 
00:30:00,2.562711E-01,0.000000E+00,2.317646E+03,0.000000E+00 
00:45:00,2.562711E-01,0.000000E+00,2.317646E+03,0.000000E+00 
01:00:00,2.562711E-01,0.000000E+00,2.317646E+03,0.000000E+00 
01:15:00,2.562711E-01,0.000000E+00,2.317646E+03,0.000000E+00 
01:30:00,2.562711E-01,0.000000E+00,2.317646E+03,0.000000E+00 
01:45:00,2.562711E-01,0.000000E+00,2.317646E+03,0.000000E+00 
02:00:00,2.562711E-01,0.000000E+00,2.317646E+03,0.000000E+00 
02:15:00,2.562711E-01,0.000000E+00,2.317646E+03,0.000000E+00 
02:30:00,2.562711E-01,0.000000E+00,2.317646E+03,0.000000E+00 
02:45:00,2.562711E-01,0.000000E+00,2.317646E+03,0.000000E+00 
03:00:00,2.562711E-01,0.000000E+00,2.317646E+03,0.000000E+00 
03:15:00,2.562711E-01,0.000000E+00,2.317646E+03,0.000000E+00 
03:30:00,2.562711E-01,0.000000E+00,2.317646E+03,0.000000E+00 
03:45:00,2.562711E-01,0.000000E+00,2.317646E+03,0.000000E+00 
04:00:00,2.562711E-01,0.000000E+00,2.317646E+03,0.000000E+00 
04:15:00,2.562711E-01,0.000000E+00,2.317646E+03,0.000000E+00 
04:30:00,2.562711E-01,0.000000E+00,2.317646E+03,0.000000E+00 
04:45:00,2.562711E-01,0.000000E+00,2.317646E+03,0.000000E+00 
05:00:00,2.562711E-01,0.000000E+00,2.317646E+03,0.000000E+00 
05:15:00,2.562711E-01,0.000000E+00,2.317646E+03,0.000000E+00 
05:30:00,2.562711E-01,0.000000E+00,2.317646E+03,0.000000E+00 
05:45:00,2.562711E-01,0.000000E+00,2.317646E+03,0.000000E+00 
06:00:00,2.562711E-01,0.000000E+00,2.317646E+03,0.000000E+00 
06:15:00,2.562711E-01,0.000000E+00,2.317646E+03,0.000000E+00 
06:30:00,2.562711E-01,0.000000E+00,2.317646E+03,0.000000E+00 
06:45:00,2.562711E-01,0.000000E+00,2.317646E+03,0.000000E+00 
07:00:00,2.562711E-01,0.000000E+00,2.317646E+03,0.000000E+00 
07:15:00,2.562711E-01,0.000000E+00,2.317646E+03,0.000000E+00 
07:30:00,2.562711E-01,0.000000E+00,2.317646E+03,0.000000E+00 
07:45:00,2.562711E-01,4.994241E-04,2.317646E+03,4.440750E+00 
08:00:00,2.562711E-01,3.259315E-03,2.317646E+03,3.016414E+01 
08:15:00,2.562711E-01,7.699700E-03,2.317646E+03,7.438264E+01 
08:30:00,2.562711E-01,1.291268E-02,2.317646E+03,1.299812E+02 
08:45:00,2.562711E-01,1.893079E-02,2.317646E+03,1.982410E+02 
09:00:00,2.562711E-01,2.369926E-02,2.317646E+03,2.577909E+02 
09:15:00,2.562711E-01,2.748616E-02,2.317646E+03,3.089609E+02 
09:30:00,2.562711E-01,3.102335E-02,2.317646E+03,3.599827E+02 
09:45:00,2.562711E-01,3.360841E-02,2.317646E+03,4.021787E+02 
10:00:00,2.562711E-01,3.535379E-02,2.317646E+03,4.358987E+02 
10:15:00,2.562711E-01,3.640313E-02,2.317646E+03,4.604964E+02 
10:30:00,2.562711E-01,3.678886E-02,2.317646E+03,4.771594E+02 
10:45:00,2.562711E-01,3.799167E-02,2.317646E+03,5.049287E+02 
11:00:00,2.562711E-01,3.974744E-02,2.317646E+03,5.409948E+02 
11:15:00,2.562711E-01,4.165457E-02,2.317646E+03,5.758470E+02 
11:30:00,2.562711E-01,4.381800E-02,2.317646E+03,6.151116E+02 
11:45:00,2.562711E-01,4.437238E-02,2.317646E+03,6.323689E+02 
12:00:00,2.562711E-01,4.409025E-02,2.317646E+03,6.377628E+02 
12:15:00,2.562711E-01,4.314286E-02,2.317646E+03,6.314288E+02 
12:30:00,2.562711E-01,4.209249E-02,2.317646E+03,6.232462E+02 
12:45:00,2.562711E-01,4.164258E-02,2.317646E+03,6.236984E+02 
13:00:00,2.562711E-01,4.147341E-02,2.317646E+03,6.282492E+02 
13:15:00,2.562711E-01,4.194693E-02,2.317646E+03,6.399009E+02 
13:30:00,2.562711E-01,4.250168E-02,2.317646E+03,6.529014E+02 
13:45:00,2.562711E-01,4.345318E-02,2.317646E+03,6.721573E+02 
14:00:00,2.562711E-01,4.692152E-02,2.317646E+03,7.308171E+02 
14:15:00,2.562711E-01,5.118067E-02,2.317646E+03,7.971547E+02 
14:30:00,2.562711E-01,5.723882E-02,2.317646E+03,8.915122E+02 
14:45:00,2.562711E-01,6.457781E-02,2.317646E+03,1.005819E+03 
15:00:00,2.562711E-01,7.071996E-02,2.317646E+03,1.101485E+03 
15:15:00,2.562711E-01,7.706715E-02,2.317646E+03,1.190471E+03 
15:30:00,2.562711E-01,8.243723E-02,2.317646E+03,1.262862E+03 
15:45:00,2.562711E-01,8.649215E-02,2.317646E+03,1.313898E+03 
16:00:00,2.562711E-01,8.919959E-02,2.317646E+03,1.343598E+03 
16:15:00,2.562711E-01,9.063233E-02,2.317646E+03,1.349697E+03 
16:30:00,2.562711E-01,9.088672E-02,2.317646E+03,1.337960E+03 
16:45:00,2.562711E-01,8.982099E-02,2.317646E+03,1.306927E+03 
17:00:00,2.562711E-01,8.762494E-02,2.317646E+03,1.260005E+03 
17:15:00,2.562711E-01,8.445908E-02,2.317646E+03,1.196447E+03 
17:30:00,2.562711E-01,8.019758E-02,2.317646E+03,1.118954E+03 
17:45:00,2.562711E-01,7.500589E-02,2.317646E+03,1.030501E+03 
18:00:00,2.562711E-01,6.863238E-02,2.317646E+03,9.282801E+02 
18:15:00,2.562711E-01,6.109754E-02,2.317646E+03,8.067990E+02 
18:30:00,2.562711E-01,5.203722E-02,2.317646E+03,6.704891E+02 
18:45:00,2.562711E-01,4.134855E-02,2.317646E+03,5.195238E+02 
19:00:00,2.562711E-01,3.041680E-02,2.317646E+03,3.724294E+02 
19:15:00,2.562711E-01,1.985336E-02,2.317646E+03,2.384252E+02 
19:30:00,2.562711E-01,1.096376E-02,2.317646E+03,1.290921E+02 
19:45:00,2.562711E-01,5.154562E-03,2.317646E+03,5.948130E+01 
20:00:00,2.562711E-01,1.759753E-03,2.317646E+03,1.989340E+01 
20:15:00,2.562711E-01,2.749295E-04,2.317646E+03,3.055149E+00 
20:30:00,2.562711E-01,0.000000E+00,2.317646E+03,0.000000E+00 
20:45:00,2.562711E-01,0.000000E+00,2.317646E+03,0.000000E+00 
21:00:00,2.562711E-01,0.000000E+00,2.317646E+03,0.000000E+00 
21:15:00,2.562711E-01,0.000000E+00,2.317646E+03,0.000000E+00 
21:30:00,2.562711E-01,0.000000E+00,2.317646E+03,0.000000E+00 
21:45:00,2.562711E-01,0.000000E+00,2.317646E+03,0.000000E+00 
22:00:00,2.562711E-01,0.000000E+00,2.317646E+03,0.000000E+00 
22:15:00,2.562711E-01,0.000000E+00,2.317646E+03,0.000000E+00 
22:30:00,2.562711E-01,0.000000E+00,2.317646E+03,0.000000E+00 
22:45:00,2.562711E-01,0.000000E+00,2.317646E+03,0.000000E+00 
