Time,AIR LOOP HVAC 1:Des Heat Mass Flow [kg/s],AIR LOOP HVAC 1:Des Cool Mass Flow [kg/s],AIR LOOP HVAC 1:Des Heat Cap [W],AIR LOOP HVAC 1:Des Sens Cool Cap [W] 
00:15:00,4.904289E-01,1.174227E-02,4.435305E+03,9.914383E+01 
00:30:00,4.904289E-01,9.222788E-03,4.435305E+03,7.668937E+01 
00:45:00,4.904289E-01,7.050685E-03,4.435305E+03,5.772456E+01 
01:00:00,4.904289E-01,5.214410E-03,4.435305E+03,4.202276E+01 
01:15:00,4.904289E-01,3.709827E-03,4.435305E+03,2.958051E+01 
01:30:00,4.904289E-01,2.292645E-03,4.435305E+03,1.808471E+01 
01:45:00,4.904289E-01,1.192313E-03,4.435305E+03,9.303293E+00 
02:00:00,4.904289E-01,4.610944E-04,4.435305E+03,3.558411E+00 
02:15:00,4.904289E-01,7.111812E-05,4.435305E+03,5.442850E-01 
02:30:00,4.904289E-01,0.000000E+00,4.435305E+03,0.000000E+00 
02:45:00,4.904289E-01,0.000000E+00,4.435305E+03,0.000000E+00 
03:00:00,4.904289E-01,0.000000E+00,4.435305E+03,0.000000E+00 
03:15:00,4.904289E-01,0.000000E+00,4.435305E+03,0.000000E+00 
03:30:00,4.904289E-01,0.000000E+00,4.435305E+03,0.000000E+00 
03:45:00,4.904289E-01,0.000000E+00,4.435305E+03,0.000000E+00 
04:00:00,4.904289E-01,0.000000E+00,4.435305E+03,0.000000E+00 
04:15:00,4.904289E-01,0.000000E+00,4.435305E+03,0.000000E+00 
04:30:00,4.904289E-01,0.000000E+00,4.435305E+03,0.000000E+00 
04:45:00,4.904289E-01,0.000000E+00,4.435305E+03,0.000000E+00 
05:00:00,4.904289E-01,0.000000E+00,4.435305E+03,0.000000E+00 
05:15:00,4.904289E-01,0.000000E+00,4.435305E+03,0.000000E+00 
05:30:00,4.904289E-01,0.000000E+00,4.435305E+03,0.000000E+00 
05:45:00,4.904289E-01,0.000000E+00,4.435305E+03,0.000000E+00 
06:00:00,4.904289E-01,0.000000E+00,4.435305E+03,0.000000E+00 
06:15:00,4.904289E-01,0.000000E+00,4.435305E+03,0.000000E+00 
06:30:00,4.904289E-01,0.000000E+00,4.435305E+03,0.000000E+00 
06:45:00,4.904289E-01,1.198369E-03,4.435305E+03,9.171423E+00 
07:00:00,4.904289E-01,4.289404E-03,4.435305E+03,3.346905E+01 
07:15:00,4.904289E-01,9.957616E-03,4.435305E+03,8.131123E+01 
07:30:00,4.904289E-01,1.854412E-02,4.435305E+03,1.581579E+02 
07:45:00,4.904289E-01,3.105557E-02,4.435305E+03,2.761381E+02 
08:00:00,4.904289E-01,4.576564E-02,4.435305E+03,4.235494E+02 
08:15:00,4.904289E-01,6.079466E-02,4.435305E+03,5.873043E+02 
08:30:00,4.904289E-01,7.625992E-02,4.435305E+03,7.676454E+02 
08:45:00,4.904289E-01,8.942225E-02,4.435305E+03,9.364193E+02 
09:00:00,4.904289E-01,1.009240E-01,4.435305E+03,1.097810E+03 
09:15:00,4.904289E-01,1.130523E-01,4.435305E+03,1.270776E+03 
09:30:00,4.904289E-01,1.245274E-01,4.435305E+03,1.444967E+03 
09:45:00,4.904289E-01,1.358299E-01,4.435305E+03,1.625423E+03 
10:00:00,4.904289E-01,1.469784E-01,4.435305E+03,1.812187E+03 
10:15:00,4.904289E-01,1.568942E-01,4.435305E+03,1.984698E+03 
10:30:00,4.904289E-01,1.681068E-01,4.435305E+03,2.180381E+03 
10:45:00,4.904289E-01,1.786223E-01,4.435305E+03,2.373982E+03 
11:00:00,4.904289E-01,1.890696E-01,4.435305E+03,2.573391E+03 
11:15:00,4.904289E-01,1.986892E-01,4.435305E+03,2.746748E+03 
11:30:00,4.904289E-01,2.055347E-01,4.435305E+03,2.885271E+03 
11:45:00,4.904289E-01,2.100774E-01,4.435305E+03,2.993898E+03 
12:00:00,4.904289E-01,2.116066E-01,4.435305E+03,3.060877E+03 
12:15:00,4.904289E-01,2.118223E-01,4.435305E+03,3.100181E+03 
12:30:00,4.904289E-01,2.115122E-01,4.435305E+03,3.131775E+03 
12:45:00,4.904289E-01,2.132960E-01,4.435305E+03,3.194623E+03 
13:00:00,4.904289E-01,2.182677E-01,4.435305E+03,3.306372E+03 
13:15:00,4.904289E-01,2.256541E-01,4.435305E+03,3.442356E+03 
13:30:00,4.904289E-01,2.351024E-01,4.435305E+03,3.611591E+03 
13:45:00,4.904289E-01,2.490231E-01,4.435305E+03,3.852025E+03 
14:00:00,4.904289E-01,2.637532E-01,4.435305E+03,4.108038E+03 
14:15:00,4.904289E-01,2.801766E-01,4.435305E+03,4.363837E+03 
14:30:00,4.904289E-01,2.979106E-01,4.435305E+03,4.640049E+03 
14:45:00,4.904289E-01,3.128955E-01,4.435305E+03,4.873444E+03 
15:00:00,4.904289E-01,3.276133E-01,4.435305E+03,5.102679E+03 
15:15:00,4.904289E-01,3.402085E-01,4.435305E+03,5.255265E+03 
15:30:00,4.904289E-01,3.503486E-01,4.435305E+03,5.367015E+03 
15:45:00,4.904289E-01,3.578195E-01,4.435305E+03,5.435618E+03 
16:00:00,4.904289E-01,3.623627E-01,4.435305E+03,5.458208E+03 
16:15:00,4.904289E-01,3.641922E-01,4.435305E+03,5.423552E+03 
16:30:00,4.904289E-01,3.633785E-01,4.435305E+03,5.349359E+03 
16:45:00,4.904289E-01,3.597849E-01,4.435305E+03,5.234997E+03 
17:00:00,4.904289E-01,3.537506E-01,4.435305E+03,5.086766E+03 
17:15:00,4.904289E-01,3.456192E-01,4.435305E+03,4.896040E+03 
17:30:00,4.904289E-01,3.354848E-01,4.435305E+03,4.680838E+03 
17:45:00,4.904289E-01,3.236586E-01,4.435305E+03,4.446723E+03 
18:00:00,4.904289E-01,3.096076E-01,4.435305E+03,4.187566E+03 
18:15:00,4.904289E-01,2.921966E-01,4.435305E+03,3.858485E+03 
18:30:00,4.904289E-01,2.706204E-01,4.435305E+03,3.486889E+03 
18:45:00,4.904289E-01,2.435318E-01,4.435305E+03,3.059855E+03 
19:00:00,4.904289E-01,2.128675E-01,4.435305E+03,2.606392E+03 
19:15:00,4.904289E-01,1.820498E-01,4.435305E+03,2.186293E+03 
19:30:00,4.904289E-01,1.539014E-01,4.435305E+03,1.812102E+03 
19:45:00,4.904289E-01,1.314198E-01,4.435305E+03,1.516524E+03 
20:00:00,4.904289E-01,1.146762E-01,4.435305E+03,1.296376E+03 
20:15:00,4.904289E-01,1.018733E-01,4.435305E+03,1.132065E+03 
20:30:00,4.904289E-01,9.153254E-02,4.435305E+03,9.995629E+02 
20:45:00,4.904289E-01,8.279707E-02,4.435305E+03,8.882570E+02 
21:00:00,4.904289E-01,7.477261E-02,4.435305E+03,7.877999E+02 
21:15:00,4.904289E-01,6.730580E-02,4.435305E+03,6.961952E+02 
