Time,AIR LOOP HVAC 1:Des Heat Mass Flow [kg/s],AIR LOOP HVAC 1:Des Cool Mass Flow [kg/s],AIR LOOP HVAC 1:Des Heat Cap [W],AIR LOOP HVAC 1:Des Sens Cool Cap [W] 
00:15:00,1.406064E+00,5.670857E-02,1.271606E+04,4.788088E+02 
00:30:00,1.406064E+00,4.830535E-02,1.271606E+04,4.016689E+02 
00:45:00,1.406064E+00,4.085669E-02,1.271606E+04,3.344972E+02 
01:00:00,1.406064E+00,3.382551E-02,1.271606E+04,2.725986E+02 
01:15:00,1.406064E+00,2.719971E-02,1.271606E+04,2.168783E+02 
01:30:00,1.406064E+00,2.150523E-02,1.271606E+04,1.696363E+02 
01:45:00,1.406064E+00,1.687152E-02,1.271606E+04,1.316439E+02 
02:00:00,1.406064E+00,1.325062E-02,1.271606E+04,1.022592E+02 
02:15:00,1.406064E+00,1.049933E-02,1.271606E+04,8.035407E+01 
02:30:00,1.406064E+00,8.037463E-03,1.271606E+04,6.099787E+01 
02:45:00,1.406064E+00,5.796702E-03,1.271606E+04,4.362097E+01 
03:00:00,1.406064E+00,4.019145E-03,1.271606E+04,2.998714E+01 
03:15:00,1.406064E+00,2.671888E-03,1.271606E+04,1.976400E+01 
03:30:00,1.406064E+00,1.742267E-03,1.271606E+04,1.277597E+01 
03:45:00,1.406064E+00,1.088614E-03,1.271606E+04,7.913025E+00 
04:00:00,1.406064E+00,5.722187E-04,1.271606E+04,4.122742E+00 
04:15:00,1.406064E+00,2.253569E-04,1.271606E+04,1.614035E+00 
04:30:00,1.406064E+00,3.219773E-05,1.271606E+04,2.292293E-01 
04:45:00,1.406064E+00,0.000000E+00,1.271606E+04,0.000000E+00 
05:00:00,1.406064E+00,0.000000E+00,1.271606E+04,0.000000E+00 
05:15:00,1.406064E+00,0.000000E+00,1.271606E+04,0.000000E+00 
05:30:00,1.406064E+00,0.000000E+00,1.271606E+04,0.000000E+00 
05:45:00,1.406064E+00,0.000000E+00,1.271606E+04,0.000000E+00 
06:00:00,1.406064E+00,0.000000E+00,1.271606E+04,0.000000E+00 
06:15:00,1.406064E+00,0.000000E+00,1.271606E+04,0.000000E+00 
06:30:00,1.406064E+00,2.314175E-03,1.271606E+04,1.736506E+01 
06:45:00,1.406064E+00,7.935559E-03,1.271606E+04,6.073285E+01 
07:00:00,1.406064E+00,2.327716E-02,1.271606E+04,1.816253E+02 
07:15:00,1.406064E+00,4.642319E-02,1.271606E+04,3.790793E+02 
07:30:00,1.406064E+00,7.502672E-02,1.271606E+04,6.398832E+02 
07:45:00,1.406064E+00,1.075072E-01,1.271606E+04,9.559263E+02 
08:00:00,1.406064E+00,1.415747E-01,1.271606E+04,1.310238E+03 
08:15:00,1.406064E+00,1.785144E-01,1.271606E+04,1.724531E+03 
08:30:00,1.406064E+00,2.142217E-01,1.271606E+04,2.156392E+03 
08:45:00,1.406064E+00,2.506949E-01,1.271606E+04,2.625248E+03 
09:00:00,1.406064E+00,2.857491E-01,1.271606E+04,3.108262E+03 
09:15:00,1.406064E+00,3.180522E-01,1.271606E+04,3.575097E+03 
09:30:00,1.406064E+00,3.524249E-01,1.271606E+04,4.089399E+03 
09:45:00,1.406064E+00,3.869734E-01,1.271606E+04,4.630760E+03 
10:00:00,1.406064E+00,4.187039E-01,1.271606E+04,5.162458E+03 
10:15:00,1.406064E+00,4.489658E-01,1.271606E+04,5.679378E+03 
10:30:00,1.406064E+00,4.764395E-01,1.271606E+04,6.179521E+03 
10:45:00,1.406064E+00,5.005868E-01,1.271606E+04,6.653054E+03 
11:00:00,1.406064E+00,5.244301E-01,1.271606E+04,7.137918E+03 
11:15:00,1.406064E+00,5.466057E-01,1.271606E+04,7.556464E+03 
11:30:00,1.406064E+00,5.637567E-01,1.271606E+04,7.913945E+03 
11:45:00,1.406064E+00,5.764707E-01,1.271606E+04,8.215518E+03 
12:00:00,1.406064E+00,5.803496E-01,1.271606E+04,8.394721E+03 
12:15:00,1.406064E+00,5.789940E-01,1.271606E+04,8.474020E+03 
12:30:00,1.406064E+00,5.786613E-01,1.271606E+04,8.568001E+03 
12:45:00,1.406064E+00,5.828973E-01,1.271606E+04,8.730296E+03 
13:00:00,1.406064E+00,5.970385E-01,1.271606E+04,9.044084E+03 
13:15:00,1.406064E+00,6.200963E-01,1.271606E+04,9.459576E+03 
13:30:00,1.406064E+00,6.498529E-01,1.271606E+04,9.982895E+03 
13:45:00,1.406064E+00,6.827858E-01,1.271606E+04,1.056170E+04 
14:00:00,1.406064E+00,7.154561E-01,1.271606E+04,1.114345E+04 
14:15:00,1.406064E+00,7.509278E-01,1.271606E+04,1.169593E+04 
14:30:00,1.406064E+00,7.890723E-01,1.271606E+04,1.229004E+04 
14:45:00,1.406064E+00,8.247013E-01,1.271606E+04,1.284498E+04 
15:00:00,1.406064E+00,8.610877E-01,1.271606E+04,1.341171E+04 
15:15:00,1.406064E+00,8.919640E-01,1.271606E+04,1.377834E+04 
15:30:00,1.406064E+00,9.163242E-01,1.271606E+04,1.403723E+04 
15:45:00,1.406064E+00,9.378912E-01,1.271606E+04,1.424746E+04 
16:00:00,1.406064E+00,9.520495E-01,1.271606E+04,1.434056E+04 
16:15:00,1.406064E+00,9.596906E-01,1.271606E+04,1.429172E+04 
16:30:00,1.406064E+00,9.595601E-01,1.271606E+04,1.412586E+04 
16:45:00,1.406064E+00,9.518488E-01,1.271606E+04,1.384974E+04 
17:00:00,1.406064E+00,9.374342E-01,1.271606E+04,1.347986E+04 
17:15:00,1.406064E+00,9.187601E-01,1.271606E+04,1.301515E+04 
17:30:00,1.406064E+00,8.972624E-01,1.271606E+04,1.251902E+04 
17:45:00,1.406064E+00,8.730540E-01,1.271606E+04,1.199483E+04 
18:00:00,1.406064E+00,8.446456E-01,1.271606E+04,1.142417E+04 
18:15:00,1.406064E+00,8.076306E-01,1.271606E+04,1.066484E+04 
18:30:00,1.406064E+00,7.583934E-01,1.271606E+04,9.771747E+03 
18:45:00,1.406064E+00,6.935999E-01,1.271606E+04,8.714736E+03 
19:00:00,1.406064E+00,6.156080E-01,1.271606E+04,7.537629E+03 
19:15:00,1.406064E+00,5.369540E-01,1.271606E+04,6.448451E+03 
19:30:00,1.406064E+00,4.663224E-01,1.271606E+04,5.490680E+03 
19:45:00,1.406064E+00,4.103549E-01,1.271606E+04,4.735309E+03 
20:00:00,1.406064E+00,3.701807E-01,1.271606E+04,4.184766E+03 
20:15:00,1.406064E+00,3.376277E-01,1.271606E+04,3.751881E+03 
20:30:00,1.406064E+00,3.090464E-01,1.271606E+04,3.374880E+03 
20:45:00,1.406064E+00,2.830988E-01,1.271606E+04,3.037119E+03 
21:00:00,1.406064E+00,2.591148E-01,1.271606E+04,2.730019E+03 
21:15:00,1.406064E+00,2.366444E-01,1.271606E+04,2.447794E+03 
21:30:00,1.406064E+00,2.154190E-01,1.271606E+04,2.186844E+03 
21:45:00,1.406064E+00,1.952559E-01,1.271606E+04,1.944633E+03 
22:00:00,1.406064E+00,1.761327E-01,1.271606E+04,1.720328E+03 
22:15:00,1.406064E+00,1.585020E-01,1.271606E+04,1.524433E+03 
22:30:00,1.406064E+00,1.423420E-01,1.271606E+04,1.347734E+03 
22:45:00,1.406064E+00,1.275773E-01,1.271606E+04,1.188868E+03 
23:00:00,1.406064E+00,1.140340E-01,1.271606E+04,1.045616E+03 
23:15:00,1.406064E+00,1.011105E-01,1.271606E+04,9.120032E+02 
23:30:00,1.406064E+00,8.870576E-02,1.271606E+04,7.868546E+02 
23:45:00,1.406064E+00,7.692086E-02,1.271606E+04,6.708204E+02 
24:00:00,1.406064E+00,6.623427E-02,1.271606E+04,5.677234E+02 
Coinc Peak   ,1.406064E+00,9.596906E-01,1.271606E+04,1.913560E+04 
NonCoinc Peak,1.406064E+00,1.350274E+00,1.271606E+04,1.913560E+04 
