Time,AIR LOOP HVAC 1:Des Heat Mass Flow [kg/s],AIR LOOP HVAC 1:Des Cool Mass Flow [kg/s],AIR LOOP HVAC 1:Des Heat Cap [W],AIR LOOP HVAC 1:Des Sens Cool Cap [W] 
00:15:00,2.140834E+01,2.338510E+00,5.076916E+05,3.137314E+04 
00:30:00,2.140834E+01,2.197343E+00,5.076916E+05,2.916793E+04 
00:45:00,2.140834E+01,2.061948E+00,5.076916E+05,2.707852E+04 
01:00:00,2.140834E+01,1.932653E+00,5.076916E+05,2.510673E+04 
01:15:00,2.140834E+01,1.812009E+00,5.076916E+05,2.336831E+04 
01:30:00,2.140834E+01,1.697626E+00,5.076916E+05,2.173283E+04 
01:45:00,2.140834E+01,1.589410E+00,5.076916E+05,2.019734E+04 
02:00:00,2.140834E+01,1.487123E+00,5.076916E+05,1.875706E+04 
02:15:00,2.140834E+01,1.388728E+00,5.076916E+05,1.741762E+04 
02:30:00,2.140834E+01,1.294465E+00,5.076916E+05,1.614366E+04 
02:45:00,2.140834E+01,1.204560E+00,5.076916E+05,1.493710E+04 
03:00:00,2.140834E+01,1.118772E+00,5.076916E+05,1.379403E+04 
03:15:00,2.140834E+01,1.036835E+00,5.076916E+05,1.271032E+04 
03:30:00,2.140834E+01,9.604026E-01,5.076916E+05,1.170532E+04 
03:45:00,2.140834E+01,8.896528E-01,5.076916E+05,1.078000E+04 
04:00:00,2.140834E+01,8.246052E-01,5.076916E+05,9.933397E+03 
04:15:00,2.140834E+01,7.657951E-01,5.076916E+05,9.188788E+03 
04:30:00,2.140834E+01,7.114957E-01,5.076916E+05,8.503645E+03 
04:45:00,2.140834E+01,6.612737E-01,5.076916E+05,7.872172E+03 
05:00:00,2.140834E+01,6.174584E-01,5.076916E+05,7.321409E+03 
05:15:00,2.140834E+01,5.858580E-01,5.076916E+05,6.974382E+03 
05:30:00,2.140834E+01,5.925120E-01,5.076916E+05,7.081578E+03 
05:45:00,2.140834E+01,6.676490E-01,5.076916E+05,8.011131E+03 
06:00:00,2.140834E+01,8.203701E-01,5.076916E+05,9.882379E+03 
06:15:00,2.140834E+01,1.079723E+00,5.076916E+05,1.318508E+04 
06:30:00,2.140834E+01,1.435018E+00,5.076916E+05,1.776100E+04 
06:45:00,2.140834E+01,1.850215E+00,5.076916E+05,2.320566E+04 
07:00:00,2.140834E+01,2.327305E+00,5.076916E+05,2.957409E+04 
07:15:00,2.140834E+01,2.835263E+00,5.076916E+05,3.716713E+04 
07:30:00,2.140834E+01,3.358868E+00,5.076916E+05,4.537940E+04 
07:45:00,2.140834E+01,3.882180E+00,5.076916E+05,5.400798E+04 
08:00:00,2.140834E+01,4.405904E+00,5.076916E+05,6.306261E+04 
08:15:00,2.140834E+01,4.918480E+00,5.076916E+05,7.260599E+04 
08:30:00,2.140834E+01,5.423753E+00,5.076916E+05,8.249823E+04 
08:45:00,2.140834E+01,5.944046E+00,5.076916E+05,9.307908E+04 
09:00:00,2.140834E+01,6.462155E+00,5.076916E+05,1.040916E+05 
09:15:00,2.140834E+01,6.978023E+00,5.076916E+05,1.152024E+05 
09:30:00,2.140834E+01,7.479157E+00,5.076916E+05,1.264783E+05 
09:45:00,2.140834E+01,7.954977E+00,5.076916E+05,1.377182E+05 
10:00:00,2.140834E+01,8.407866E+00,5.076916E+05,1.489340E+05 
10:15:00,2.140834E+01,8.846255E+00,5.076916E+05,1.598329E+05 
10:30:00,2.140834E+01,9.247755E+00,5.076916E+05,1.703628E+05 
10:45:00,2.140834E+01,9.619943E+00,5.076916E+05,1.806268E+05 
11:00:00,2.140834E+01,9.942756E+00,5.076916E+05,1.902099E+05 
11:15:00,2.140834E+01,1.018606E+01,5.076916E+05,1.972697E+05 
11:30:00,2.140834E+01,1.035081E+01,5.076916E+05,2.029047E+05 
11:45:00,2.140834E+01,1.041215E+01,5.076916E+05,2.065659E+05 
12:00:00,2.140834E+01,1.038178E+01,5.076916E+05,2.084150E+05 
12:15:00,2.140834E+01,1.031963E+01,5.076916E+05,2.091167E+05 
12:30:00,2.140834E+01,1.029676E+01,5.076916E+05,2.105985E+05 
12:45:00,2.140834E+01,1.037215E+01,5.076916E+05,2.140999E+05 
13:00:00,2.140834E+01,1.059078E+01,5.076916E+05,2.206136E+05 
13:15:00,2.140834E+01,1.093492E+01,5.076916E+05,2.290734E+05 
13:30:00,2.140834E+01,1.133569E+01,5.076916E+05,2.388075E+05 
13:45:00,2.140834E+01,1.176736E+01,5.076916E+05,2.492908E+05 
14:00:00,2.140834E+01,1.217948E+01,5.076916E+05,2.594594E+05 
14:15:00,2.140834E+01,1.254216E+01,5.076916E+05,2.671856E+05 
14:30:00,2.140834E+01,1.286970E+01,5.076916E+05,2.741633E+05 
14:45:00,2.140834E+01,1.314159E+01,5.076916E+05,2.799554E+05 
15:00:00,2.140834E+01,1.335618E+01,5.076916E+05,2.845267E+05 
15:15:00,2.140834E+01,1.350660E+01,5.076916E+05,2.858174E+05 
15:30:00,2.140834E+01,1.358785E+01,5.076916E+05,2.856116E+05 
15:45:00,2.140834E+01,1.359798E+01,5.076916E+05,2.838980E+05 
16:00:00,2.140834E+01,1.354127E+01,5.076916E+05,2.807953E+05 
16:15:00,2.140834E+01,1.342822E+01,5.076916E+05,2.759142E+05 
16:30:00,2.140834E+01,1.326338E+01,5.076916E+05,2.700217E+05 
16:45:00,2.140834E+01,1.306830E+01,5.076916E+05,2.635813E+05 
17:00:00,2.140834E+01,1.285615E+01,5.076916E+05,2.568737E+05 
17:15:00,2.140834E+01,1.263182E+01,5.076916E+05,2.494085E+05 
17:30:00,2.140834E+01,1.239313E+01,5.076916E+05,2.417692E+05 
17:45:00,2.140834E+01,1.211410E+01,5.076916E+05,2.334652E+05 
18:00:00,2.140834E+01,1.177308E+01,5.076916E+05,2.241128E+05 
18:15:00,2.140834E+01,1.132628E+01,5.076916E+05,2.115956E+05 
18:30:00,2.140834E+01,1.077049E+01,5.076916E+05,1.973975E+05 
18:45:00,2.140834E+01,1.011397E+01,5.076916E+05,1.817825E+05 
19:00:00,2.140834E+01,9.348153E+00,5.076916E+05,1.647069E+05 
19:15:00,2.140834E+01,8.530112E+00,5.076916E+05,1.480779E+05 
19:30:00,2.140834E+01,7.725893E+00,5.076916E+05,1.321103E+05 
19:45:00,2.140834E+01,6.992058E+00,5.076916E+05,1.177457E+05 
20:00:00,2.140834E+01,6.383062E+00,5.076916E+05,1.058322E+05 
20:15:00,2.140834E+01,5.906132E+00,5.076916E+05,9.666943E+04 
20:30:00,2.140834E+01,5.522321E+00,5.076916E+05,8.921371E+04 
20:45:00,2.140834E+01,5.193544E+00,5.076916E+05,8.279850E+04 
21:00:00,2.140834E+01,4.898804E+00,5.076916E+05,7.705847E+04 
21:15:00,2.140834E+01,4.628995E+00,5.076916E+05,7.183056E+04 
