Time,AIR LOOP HVAC 1:Des Heat Mass Flow [kg/s],AIR LOOP HVAC 1:Des Cool Mass Flow [kg/s],AIR LOOP HVAC 1:Des Heat Cap [W],AIR LOOP HVAC 1:Des Sens Cool Cap [W] 
00:15:00,6.146357E-01,1.628669E-01,5.620360E+03,3.368086E+03 
00:30:00,6.146357E-01,1.566850E-01,5.620360E+03,3.211905E+03 
00:45:00,6.146357E-01,1.506665E-01,5.620360E+03,3.061279E+03 
01:00:00,6.146357E-01,1.448069E-01,5.620360E+03,2.916029E+03 
01:15:00,6.146357E-01,1.391237E-01,5.620360E+03,2.784810E+03 
01:30:00,6.146357E-01,1.336157E-01,5.620360E+03,2.658445E+03 
01:45:00,6.146357E-01,1.282820E-01,5.620360E+03,2.536856E+03 
02:00:00,6.146357E-01,1.231218E-01,5.620360E+03,2.419964E+03 
02:15:00,6.146357E-01,1.181115E-01,5.620360E+03,2.310803E+03 
02:30:00,6.146357E-01,1.132483E-01,5.620360E+03,2.205416E+03 
02:45:00,6.146357E-01,1.085298E-01,5.620360E+03,2.103711E+03 
03:00:00,6.146357E-01,1.039534E-01,5.620360E+03,2.005603E+03 
03:15:00,6.146357E-01,9.949581E-02,5.620360E+03,1.910603E+03 
03:30:00,6.146357E-01,9.515329E-02,5.620360E+03,1.818609E+03 
03:45:00,6.146357E-01,9.092229E-02,5.620360E+03,1.729521E+03 
04:00:00,6.146357E-01,8.679960E-02,5.620360E+03,1.643250E+03 
04:15:00,6.146357E-01,8.280219E-02,5.620360E+03,1.562580E+03 
04:30:00,6.146357E-01,7.892923E-02,5.620360E+03,1.484734E+03 
04:45:00,6.146357E-01,7.518026E-02,5.620360E+03,1.409680E+03 
05:00:00,6.146357E-01,7.155480E-02,5.620360E+03,1.337386E+03 
05:15:00,6.146357E-01,6.811118E-02,5.620360E+03,1.277130E+03 
05:30:00,6.146357E-01,6.485335E-02,5.620360E+03,1.219953E+03 
05:45:00,6.146357E-01,6.201912E-02,5.620360E+03,1.170378E+03 
06:00:00,6.146357E-01,6.052942E-02,5.620360E+03,1.145915E+03 
06:15:00,6.146357E-01,6.122900E-02,5.620360E+03,1.172079E+03 
06:30:00,6.146357E-01,6.503761E-02,5.620360E+03,1.258710E+03 
06:45:00,6.146357E-01,7.223124E-02,5.620360E+03,1.413175E+03 
07:00:00,6.146357E-01,8.217566E-02,5.620360E+03,1.625074E+03 
07:15:00,6.146357E-01,9.467719E-02,5.620360E+03,1.920820E+03 
07:30:00,6.146357E-01,1.088703E-01,5.620360E+03,2.264564E+03 
07:45:00,6.146357E-01,1.255569E-01,5.620360E+03,2.676000E+03 
08:00:00,6.146357E-01,1.470248E-01,5.620360E+03,3.208893E+03 
08:15:00,6.146357E-01,1.684431E-01,5.620360E+03,3.772838E+03 
08:30:00,6.146357E-01,1.921819E-01,5.620360E+03,4.414624E+03 
08:45:00,6.146357E-01,2.161684E-01,5.620360E+03,5.089433E+03 
09:00:00,6.146357E-01,2.378316E-01,5.620360E+03,5.735691E+03 
09:15:00,6.146357E-01,2.609048E-01,5.620360E+03,6.425845E+03 
09:30:00,6.146357E-01,2.825746E-01,5.620360E+03,7.104368E+03 
09:45:00,6.146357E-01,3.032323E-01,5.620360E+03,7.779132E+03 
10:00:00,6.146357E-01,3.224767E-01,5.620360E+03,8.438093E+03 
10:15:00,6.146357E-01,3.401901E-01,5.620360E+03,9.055421E+03 
10:30:00,6.146357E-01,3.563721E-01,5.620360E+03,9.647310E+03 
10:45:00,6.146357E-01,3.733412E-01,5.620360E+03,1.027550E+04 
11:00:00,6.146357E-01,3.893544E-01,5.620360E+03,1.089229E+04 
11:15:00,6.146357E-01,4.046759E-01,5.620360E+03,1.144291E+04 
11:30:00,6.146357E-01,4.194555E-01,5.620360E+03,1.198727E+04 
11:45:00,6.146357E-01,4.308184E-01,5.620360E+03,1.244188E+04 
12:00:00,6.146357E-01,4.394017E-01,5.620360E+03,1.282222E+04 
12:15:00,6.146357E-01,4.446219E-01,5.620360E+03,1.308178E+04 
12:30:00,6.146357E-01,4.477471E-01,5.620360E+03,1.328171E+04 
12:45:00,6.146357E-01,4.499631E-01,5.620360E+03,1.345596E+04 
13:00:00,6.146357E-01,4.553929E-01,5.620360E+03,1.372816E+04 
13:15:00,6.146357E-01,4.658877E-01,5.620360E+03,1.411476E+04 
13:30:00,6.146357E-01,4.808551E-01,5.620360E+03,1.464070E+04 
13:45:00,6.146357E-01,5.004862E-01,5.620360E+03,1.531385E+04 
14:00:00,6.146357E-01,5.219797E-01,5.620360E+03,1.605018E+04 
14:15:00,6.146357E-01,5.435242E-01,5.620360E+03,1.671265E+04 
14:30:00,6.146357E-01,5.641587E-01,5.620360E+03,1.734713E+04 
14:45:00,6.146357E-01,5.828945E-01,5.620360E+03,1.792323E+04 
15:00:00,6.146357E-01,5.993786E-01,5.620360E+03,1.843010E+04 
15:15:00,6.146357E-01,6.135078E-01,5.620360E+03,1.875358E+04 
15:30:00,6.146357E-01,6.249954E-01,5.620360E+03,1.899169E+04 
15:45:00,6.146357E-01,6.336472E-01,5.620360E+03,1.913998E+04 
16:00:00,6.146357E-01,6.393755E-01,5.620360E+03,1.919736E+04 
16:15:00,6.146357E-01,6.419522E-01,5.620360E+03,1.911991E+04 
16:30:00,6.146357E-01,6.421271E-01,5.620360E+03,1.897026E+04 
16:45:00,6.146357E-01,6.406374E-01,5.620360E+03,1.877175E+04 
17:00:00,6.146357E-01,6.377959E-01,5.620360E+03,1.853467E+04 
17:15:00,6.146357E-01,6.340597E-01,5.620360E+03,1.823496E+04 
17:30:00,6.146357E-01,6.286730E-01,5.620360E+03,1.789052E+04 
17:45:00,6.146357E-01,6.206021E-01,5.620360E+03,1.747376E+04 
18:00:00,6.146357E-01,6.089501E-01,5.620360E+03,1.696211E+04 
18:15:00,6.146357E-01,5.917663E-01,5.620360E+03,1.621587E+04 
18:30:00,6.146357E-01,5.688003E-01,5.620360E+03,1.532934E+04 
18:45:00,6.146357E-01,5.401209E-01,5.620360E+03,1.431219E+04 
19:00:00,6.146357E-01,5.055138E-01,5.620360E+03,1.316658E+04 
19:15:00,6.146357E-01,4.669208E-01,5.620360E+03,1.200656E+04 
19:30:00,6.146357E-01,4.265162E-01,5.620360E+03,1.082615E+04 
19:45:00,6.146357E-01,3.876142E-01,5.620360E+03,9.710171E+03 
20:00:00,6.146357E-01,3.534829E-01,5.620360E+03,8.737928E+03 
20:15:00,6.146357E-01,3.263051E-01,5.620360E+03,7.977576E+03 
20:30:00,6.146357E-01,3.054004E-01,5.620360E+03,7.383635E+03 
20:45:00,6.146357E-01,2.887063E-01,5.620360E+03,6.901694E+03 
21:00:00,6.146357E-01,2.746070E-01,5.620360E+03,6.490136E+03 
21:15:00,6.146357E-01,2.617518E-01,5.620360E+03,6.115296E+03 
21:30:00,6.146357E-01,2.498235E-01,5.620360E+03,5.768837E+03 
21:45:00,6.146357E-01,2.387198E-01,5.620360E+03,5.447667E+03 
22:00:00,6.146357E-01,2.286522E-01,5.620360E+03,5.155885E+03 
22:15:00,6.146357E-01,2.195151E-01,5.620360E+03,4.903529E+03 
22:30:00,6.146357E-01,2.112389E-01,5.620360E+03,4.674081E+03 
22:45:00,6.146357E-01,2.036637E-01,5.620360E+03,4.463487E+03 
23:00:00,6.146357E-01,1.963707E-01,5.620360E+03,4.262216E+03 
23:15:00,6.146357E-01,1.893038E-01,5.620360E+03,4.068881E+03 
23:30:00,6.146357E-01,1.824347E-01,5.620360E+03,3.882740E+03 
23:45:00,6.146357E-01,1.757440E-01,5.620360E+03,3.703258E+03 
24:00:00,6.146357E-01,1.692175E-01,5.620360E+03,3.530023E+03 
Coinc Peak   ,6.146357E-01,6.421271E-01,5.620360E+03,2.274750E+04 
NonCoinc Peak,6.146357E-01,7.903805E-01,5.620360E+03,2.274750E+04 
