Time,AIR LOOP HVAC 1:Des Heat Mass Flow [kg/s],AIR LOOP HVAC 1:Des Cool Mass Flow [kg/s],AIR LOOP HVAC 1:Des Heat Cap [W],AIR LOOP HVAC 1:Des Sens Cool Cap [W] 
00:15:00,1.087861E+01,1.395253E-01,9.838317E+04,1.178058E+03 
00:30:00,1.087861E+01,1.085909E-01,9.838317E+04,9.029560E+02 
00:45:00,1.087861E+01,8.069324E-02,9.838316E+04,6.606425E+02 
01:00:00,1.087861E+01,5.863311E-02,9.838316E+04,4.725223E+02 
01:15:00,1.087861E+01,4.101980E-02,9.838316E+04,3.270735E+02 
01:30:00,1.087861E+01,2.746671E-02,9.838316E+04,2.166613E+02 
01:45:00,1.087861E+01,1.758936E-02,9.838316E+04,1.372449E+02 
02:00:00,1.087861E+01,9.753173E-03,9.838316E+04,7.526830E+01 
02:15:00,1.087861E+01,4.307982E-03,9.838316E+04,3.297008E+01 
02:30:00,1.087861E+01,1.025019E-03,9.838316E+04,7.779065E+00 
02:45:00,1.087861E+01,0.000000E+00,9.838316E+04,0.000000E+00 
03:00:00,1.087861E+01,0.000000E+00,9.838316E+04,0.000000E+00 
03:15:00,1.087861E+01,0.000000E+00,9.838316E+04,0.000000E+00 
03:30:00,1.087861E+01,0.000000E+00,9.838316E+04,0.000000E+00 
03:45:00,1.087861E+01,0.000000E+00,9.838316E+04,0.000000E+00 
04:00:00,1.087861E+01,0.000000E+00,9.838316E+04,0.000000E+00 
04:15:00,1.087861E+01,0.000000E+00,9.838316E+04,0.000000E+00 
04:30:00,1.087861E+01,0.000000E+00,9.838317E+04,0.000000E+00 
04:45:00,1.087861E+01,0.000000E+00,9.838317E+04,0.000000E+00 
05:00:00,1.087861E+01,0.000000E+00,9.838317E+04,0.000000E+00 
05:15:00,1.087861E+01,0.000000E+00,9.838317E+04,0.000000E+00 
05:30:00,1.087861E+01,0.000000E+00,9.838317E+04,0.000000E+00 
05:45:00,1.087861E+01,0.000000E+00,9.838317E+04,0.000000E+00 
06:00:00,1.087861E+01,0.000000E+00,9.838317E+04,0.000000E+00 
06:15:00,1.087861E+01,0.000000E+00,9.838317E+04,0.000000E+00 
06:30:00,1.087861E+01,1.344583E-03,9.838317E+04,1.008945E+01 
06:45:00,1.087861E+01,3.554069E-02,9.838317E+04,2.720019E+02 
07:00:00,1.087861E+01,1.665052E-01,9.838317E+04,1.299195E+03 
07:15:00,1.087861E+01,4.202759E-01,9.838317E+04,3.431860E+03 
07:30:00,1.087861E+01,7.133653E-01,9.838317E+04,6.084105E+03 
07:45:00,1.087861E+01,1.056501E+00,9.838317E+04,9.394133E+03 
08:00:00,1.087861E+01,1.368384E+00,9.838317E+04,1.266405E+04 
08:15:00,1.087861E+01,1.614620E+00,9.838317E+04,1.559797E+04 
08:30:00,1.087861E+01,1.869434E+00,9.838317E+04,1.881804E+04 
08:45:00,1.087861E+01,2.083015E+00,9.838317E+04,2.181309E+04 
09:00:00,1.087861E+01,2.278793E+00,9.838317E+04,2.478779E+04 
09:15:00,1.087861E+01,2.470228E+00,9.838317E+04,2.776684E+04 
09:30:00,1.087861E+01,2.660817E+00,9.838317E+04,3.087507E+04 
09:45:00,1.087861E+01,2.853985E+00,9.838317E+04,3.415252E+04 
10:00:00,1.087861E+01,3.063558E+00,9.838317E+04,3.777249E+04 
10:15:00,1.087861E+01,3.264197E+00,9.838317E+04,4.129181E+04 
10:30:00,1.087861E+01,3.455507E+00,9.838317E+04,4.481866E+04 
10:45:00,1.087861E+01,3.643433E+00,9.838317E+04,4.842308E+04 
11:00:00,1.087861E+01,3.791966E+00,9.838317E+04,5.161172E+04 
11:15:00,1.087861E+01,3.909413E+00,9.838317E+04,5.404507E+04 
11:30:00,1.087861E+01,3.981365E+00,9.838317E+04,5.588990E+04 
11:45:00,1.087861E+01,3.989012E+00,9.838317E+04,5.684903E+04 
12:00:00,1.087861E+01,3.939839E+00,9.838317E+04,5.698953E+04 
12:15:00,1.087861E+01,3.861724E+00,9.838317E+04,5.651929E+04 
12:30:00,1.087861E+01,3.791791E+00,9.838317E+04,5.614350E+04 
12:45:00,1.087861E+01,3.770244E+00,9.838317E+04,5.646852E+04 
13:00:00,1.087861E+01,3.819306E+00,9.838317E+04,5.785577E+04 
13:15:00,1.087861E+01,3.927383E+00,9.838317E+04,5.991227E+04 
13:30:00,1.087861E+01,4.094870E+00,9.838317E+04,6.290447E+04 
13:45:00,1.087861E+01,4.330349E+00,9.838317E+04,6.698419E+04 
14:00:00,1.087861E+01,4.563450E+00,9.838317E+04,7.107713E+04 
14:15:00,1.087861E+01,4.813797E+00,9.838317E+04,7.497637E+04 
14:30:00,1.087861E+01,5.052344E+00,9.838317E+04,7.869182E+04 
14:45:00,1.087861E+01,5.241788E+00,9.838317E+04,8.164246E+04 
15:00:00,1.087861E+01,5.430785E+00,9.838317E+04,8.458615E+04 
15:15:00,1.087861E+01,5.583353E+00,9.838317E+04,8.624711E+04 
15:30:00,1.087861E+01,5.703387E+00,9.838317E+04,8.737059E+04 
15:45:00,1.087861E+01,5.783593E+00,9.838317E+04,8.785826E+04 
16:00:00,1.087861E+01,5.818862E+00,9.838317E+04,8.764854E+04 
16:15:00,1.087861E+01,5.808799E+00,9.838317E+04,8.650466E+04 
16:30:00,1.087861E+01,5.750819E+00,9.838317E+04,8.465883E+04 
16:45:00,1.087861E+01,5.651222E+00,9.838317E+04,8.222728E+04 
17:00:00,1.087861E+01,5.514395E+00,9.838317E+04,7.929438E+04 
17:15:00,1.087861E+01,5.351278E+00,9.838317E+04,7.580617E+04 
17:30:00,1.087861E+01,5.173590E+00,9.838317E+04,7.218431E+04 
17:45:00,1.087861E+01,4.977934E+00,9.838317E+04,6.839148E+04 
18:00:00,1.087861E+01,4.757102E+00,9.838317E+04,6.434170E+04 
18:15:00,1.087861E+01,4.488361E+00,9.838317E+04,5.926924E+04 
18:30:00,1.087861E+01,4.139555E+00,9.838317E+04,5.333733E+04 
18:45:00,1.087861E+01,3.683763E+00,9.838317E+04,4.628464E+04 
19:00:00,1.087861E+01,3.158244E+00,9.838317E+04,3.867017E+04 
19:15:00,1.087861E+01,2.630815E+00,9.838317E+04,3.159429E+04 
19:30:00,1.087861E+01,2.172524E+00,9.838317E+04,2.558024E+04 
19:45:00,1.087861E+01,1.830377E+00,9.838317E+04,2.112172E+04 
20:00:00,1.087861E+01,1.589721E+00,9.838317E+04,1.797125E+04 
20:15:00,1.087861E+01,1.411881E+00,9.838317E+04,1.568950E+04 
20:30:00,1.087861E+01,1.259712E+00,9.838317E+04,1.375643E+04 
20:45:00,1.087861E+01,1.125408E+00,9.838317E+04,1.207352E+04 
21:00:00,1.087861E+01,1.004499E+00,9.838317E+04,1.058334E+04 
21:15:00,1.087861E+01,8.961135E-01,9.838317E+04,9.269186E+03 
21:30:00,1.087861E+01,7.976290E-01,9.838317E+04,8.097197E+03 
21:45:00,1.087861E+01,7.079663E-01,9.838317E+04,7.050923E+03 
22:00:00,1.087861E+01,6.258717E-01,9.838317E+04,6.113030E+03 
22:15:00,1.087861E+01,5.485268E-01,9.838317E+04,5.275595E+03 
22:30:00,1.087861E+01,4.753727E-01,9.838317E+04,4.500962E+03 
22:45:00,1.087861E+01,4.078131E-01,9.838317E+04,3.800332E+03 
23:00:00,1.087861E+01,3.483269E-01,9.838317E+04,3.193926E+03 
23:15:00,1.087861E+01,2.962473E-01,9.838317E+04,2.672110E+03 
23:30:00,1.087861E+01,2.513569E-01,9.838317E+04,2.229634E+03 
23:45:00,1.087861E+01,2.116398E-01,9.838317E+04,1.845693E+03 
24:00:00,1.087861E+01,1.738738E-01,9.838317E+04,1.490350E+03 
Coinc Peak   ,1.087861E+01,5.818862E+00,9.838317E+04,1.243371E+05 
NonCoinc Peak,1.087861E+01,8.812920E+00,9.838317E+04,1.243371E+05 
