Time,AIR LOOP HVAC 1:Des Heat Mass Flow [kg/s],AIR LOOP HVAC 1:Des Cool Mass Flow [kg/s],AIR LOOP HVAC 1:Des Heat Cap [W],AIR LOOP HVAC 1:Des Sens Cool Cap [W] 
00:15:00,1.752325E+00,2.170238E-02,1.584755E+04,1.832402E+02 
00:30:00,1.752325E+00,1.690815E-02,1.584755E+04,1.405947E+02 
00:45:00,1.752325E+00,1.239310E-02,1.584755E+04,1.014634E+02 
01:00:00,1.752325E+00,8.166151E-03,1.584755E+04,6.581073E+01 
01:15:00,1.752325E+00,4.555202E-03,1.584755E+04,3.632114E+01 
01:30:00,1.752325E+00,2.036954E-03,1.584755E+04,1.606778E+01 
01:45:00,1.752325E+00,5.437953E-04,1.584755E+04,4.243086E+00 
02:00:00,1.752325E+00,0.000000E+00,1.584755E+04,0.000000E+00 
02:15:00,1.752325E+00,0.000000E+00,1.584755E+04,0.000000E+00 
02:30:00,1.752325E+00,0.000000E+00,1.584755E+04,0.000000E+00 
02:45:00,1.752325E+00,0.000000E+00,1.584755E+04,0.000000E+00 
03:00:00,1.752325E+00,0.000000E+00,1.584755E+04,0.000000E+00 
03:15:00,1.752325E+00,0.000000E+00,1.584755E+04,0.000000E+00 
03:30:00,1.752325E+00,0.000000E+00,1.584755E+04,0.000000E+00 
03:45:00,1.752325E+00,0.000000E+00,1.584755E+04,0.000000E+00 
04:00:00,1.752325E+00,0.000000E+00,1.584755E+04,0.000000E+00 
04:15:00,1.752325E+00,0.000000E+00,1.584755E+04,0.000000E+00 
04:30:00,1.752325E+00,0.000000E+00,1.584755E+04,0.000000E+00 
04:45:00,1.752325E+00,0.000000E+00,1.584755E+04,0.000000E+00 
05:00:00,1.752325E+00,0.000000E+00,1.584755E+04,0.000000E+00 
05:15:00,1.752325E+00,0.000000E+00,1.584755E+04,0.000000E+00 
05:30:00,1.752325E+00,0.000000E+00,1.584755E+04,0.000000E+00 
05:45:00,1.752325E+00,0.000000E+00,1.584755E+04,0.000000E+00 
06:00:00,1.752325E+00,0.000000E+00,1.584755E+04,0.000000E+00 
06:15:00,1.752325E+00,0.000000E+00,1.584755E+04,0.000000E+00 
06:30:00,1.752325E+00,0.000000E+00,1.584755E+04,0.000000E+00 
06:45:00,1.752325E+00,9.066251E-03,1.584755E+04,6.938632E+01 
07:00:00,1.752325E+00,4.390315E-02,1.584755E+04,3.425643E+02 
07:15:00,1.752325E+00,1.044180E-01,1.584755E+04,8.526494E+02 
07:30:00,1.752325E+00,1.844856E-01,1.584755E+04,1.573429E+03 
07:45:00,1.752325E+00,2.737301E-01,1.584755E+04,2.433938E+03 
08:00:00,1.752325E+00,3.526153E-01,1.584755E+04,3.263366E+03 
08:15:00,1.752325E+00,4.190372E-01,1.584755E+04,4.048092E+03 
08:30:00,1.752325E+00,4.770450E-01,1.584755E+04,4.802017E+03 
08:45:00,1.752325E+00,5.260060E-01,1.584755E+04,5.508273E+03 
09:00:00,1.752325E+00,5.706413E-01,1.584755E+04,6.207205E+03 
09:15:00,1.752325E+00,6.116567E-01,1.584755E+04,6.875387E+03 
09:30:00,1.752325E+00,6.541990E-01,1.584755E+04,7.591067E+03 
09:45:00,1.752325E+00,7.033861E-01,1.584755E+04,8.417147E+03 
10:00:00,1.752325E+00,7.568137E-01,1.584755E+04,9.331222E+03 
10:15:00,1.752325E+00,8.105355E-01,1.584755E+04,1.025320E+04 
10:30:00,1.752325E+00,8.615498E-01,1.584755E+04,1.117448E+04 
10:45:00,1.752325E+00,9.040254E-01,1.584755E+04,1.201496E+04 
11:00:00,1.752325E+00,9.362593E-01,1.584755E+04,1.274325E+04 
11:15:00,1.752325E+00,9.619735E-01,1.584755E+04,1.329865E+04 
11:30:00,1.752325E+00,9.762475E-01,1.584755E+04,1.370444E+04 
11:45:00,1.752325E+00,9.755824E-01,1.584755E+04,1.390342E+04 
12:00:00,1.752325E+00,9.606196E-01,1.584755E+04,1.389530E+04 
12:15:00,1.752325E+00,9.371270E-01,1.584755E+04,1.371557E+04 
12:30:00,1.752325E+00,9.156271E-01,1.584755E+04,1.355732E+04 
12:45:00,1.752325E+00,9.061252E-01,1.584755E+04,1.357142E+04 
13:00:00,1.752325E+00,9.128449E-01,1.584755E+04,1.382800E+04 
13:15:00,1.752325E+00,9.445702E-01,1.584755E+04,1.440943E+04 
13:30:00,1.752325E+00,9.970553E-01,1.584755E+04,1.531654E+04 
