Time,AIR LOOP HVAC 1:Des Heat Mass Flow [kg/s],AIR LOOP HVAC 1:Des Cool Mass Flow [kg/s],AIR LOOP HVAC 1:Des Heat Cap [W],AIR LOOP HVAC 1:Des Sens Cool Cap [W] 
00:15:00,2.990592E-01,0.000000E+00,7.092088E+03,0.000000E+00 
00:30:00,2.990592E-01,0.000000E+00,7.092088E+03,0.000000E+00 
00:45:00,2.990592E-01,0.000000E+00,7.092088E+03,0.000000E+00 
01:00:00,2.990592E-01,0.000000E+00,7.092088E+03,0.000000E+00 
01:15:00,2.990592E-01,0.000000E+00,7.092088E+03,0.000000E+00 
01:30:00,2.990592E-01,0.000000E+00,7.092088E+03,0.000000E+00 
01:45:00,2.990592E-01,0.000000E+00,7.092088E+03,0.000000E+00 
02:00:00,2.990592E-01,0.000000E+00,7.092088E+03,0.000000E+00 
02:15:00,2.990592E-01,0.000000E+00,7.092088E+03,0.000000E+00 
02:30:00,2.990592E-01,0.000000E+00,7.092088E+03,0.000000E+00 
02:45:00,2.990592E-01,0.000000E+00,7.092088E+03,0.000000E+00 
03:00:00,2.990592E-01,0.000000E+00,7.092088E+03,0.000000E+00 
03:15:00,2.990592E-01,0.000000E+00,7.092088E+03,0.000000E+00 
03:30:00,2.990592E-01,0.000000E+00,7.092088E+03,0.000000E+00 
03:45:00,2.990592E-01,0.000000E+00,7.092088E+03,0.000000E+00 
04:00:00,2.990592E-01,0.000000E+00,7.092088E+03,0.000000E+00 
04:15:00,2.990592E-01,0.000000E+00,7.092088E+03,0.000000E+00 
04:30:00,2.990592E-01,0.000000E+00,7.092088E+03,0.000000E+00 
04:45:00,2.990592E-01,0.000000E+00,7.092088E+03,0.000000E+00 
05:00:00,2.990592E-01,0.000000E+00,7.092088E+03,0.000000E+00 
05:15:00,2.990592E-01,0.000000E+00,7.092088E+03,0.000000E+00 
05:30:00,2.990592E-01,0.000000E+00,7.092088E+03,0.000000E+00 
05:45:00,2.990592E-01,0.000000E+00,7.092088E+03,0.000000E+00 
06:00:00,2.990592E-01,0.000000E+00,7.092088E+03,0.000000E+00 
06:15:00,2.990592E-01,0.000000E+00,7.092088E+03,0.000000E+00 
06:30:00,2.990592E-01,0.000000E+00,7.092088E+03,0.000000E+00 
