Time,AIR LOOP HVAC 1:Des Heat Mass Flow [kg/s],AIR LOOP HVAC 1:Des Cool Mass Flow [kg/s],AIR LOOP HVAC 1:Des Heat Cap [W],AIR LOOP HVAC 1:Des Sens Cool Cap [W] 
00:15:00,2.245310E+00,9.920993E-02,5.324677E+04,1.330987E+03 
00:30:00,2.245310E+00,8.917595E-02,5.324677E+04,1.183738E+03 
00:45:00,2.245310E+00,7.948825E-02,5.324677E+04,1.043879E+03 
01:00:00,2.245310E+00,7.014407E-02,5.324677E+04,9.112285E+02 
01:15:00,2.245310E+00,6.118180E-02,5.324677E+04,7.890222E+02 
01:30:00,2.245310E+00,5.260374E-02,5.324677E+04,6.734277E+02 
01:45:00,2.245310E+00,4.441589E-02,5.324677E+04,5.644123E+02 
02:00:00,2.245310E+00,3.686214E-02,5.324677E+04,4.649416E+02 
02:15:00,2.245310E+00,3.000587E-02,5.324677E+04,3.763379E+02 
02:30:00,2.245310E+00,2.413794E-02,5.324677E+04,3.010315E+02 
02:45:00,2.245310E+00,1.922285E-02,5.324677E+04,2.383721E+02 
03:00:00,2.245310E+00,1.523992E-02,5.324677E+04,1.879024E+02 
03:15:00,2.245310E+00,1.209755E-02,5.324677E+04,1.483012E+02 
03:30:00,2.245310E+00,9.448277E-03,5.324677E+04,1.151549E+02 
03:45:00,2.245310E+00,7.269900E-03,5.324677E+04,8.809002E+01 
04:00:00,2.245310E+00,5.289545E-03,5.324677E+04,6.371915E+01 
04:15:00,2.245310E+00,3.422171E-03,5.324677E+04,4.106269E+01 
04:30:00,2.245310E+00,1.871195E-03,5.324677E+04,2.236413E+01 
04:45:00,2.245310E+00,8.029123E-04,5.324677E+04,9.558318E+00 
05:00:00,2.245310E+00,1.914420E-04,5.324677E+04,2.269991E+00 
05:15:00,2.245310E+00,0.000000E+00,5.324677E+04,0.000000E+00 
05:30:00,2.245310E+00,0.000000E+00,5.324677E+04,0.000000E+00 
05:45:00,2.245310E+00,0.000000E+00,5.324677E+04,0.000000E+00 
06:00:00,2.245310E+00,2.966895E-03,5.324677E+04,3.573995E+01 
06:15:00,2.245310E+00,1.016278E-02,5.324677E+04,1.241032E+02 
06:30:00,2.245310E+00,2.250182E-02,5.324677E+04,2.785015E+02 
06:45:00,2.245310E+00,4.180830E-02,5.324677E+04,5.243656E+02 
07:00:00,2.245310E+00,6.402436E-02,5.324677E+04,8.135859E+02 
