Time,THERMAL ZONE 9:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 9:PHILADELPHIA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 9:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 9:PHILADELPHIA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:PHILADELPHIA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:PHILADELPHIA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 7:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 7:PHILADELPHIA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 7:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 7:PHILADELPHIA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 8:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 8:PHILADELPHIA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 8:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 8:PHILADELPHIA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 4:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:PHILADELPHIA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 4:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:PHILADELPHIA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 6:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 6::Des Sens Cool Load [W],THERMAL ZONE 6:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 6::Des Cool Mass Flow [kg/s],THERMAL ZONE 3:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:PHILADELPHIA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:PHILADELPHIA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 10:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 10::Des Sens Cool Load [W],THERMAL ZONE 10:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 10::Des Cool Mass Flow [kg/s],THERMAL ZONE 1:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:PHILADELPHIA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:PHILADELPHIA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 5:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5:PHILADELPHIA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 5:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5:PHILADELPHIA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s] 
00:15:00,2.879213E+03,0.000000E+00,1.764723E-01,0.000000E+00,2.857886E+03,0.000000E+00,1.751651E-01,0.000000E+00,2.943703E+03,2.810808E+02,1.804250E-01,1.967117E-02,2.886872E+03,0.000000E+00,1.769417E-01,0.000000E+00,2.943703E+03,2.086074E+02,1.804250E-01,1.459918E-02,3.103402E+03,0.000000E+00,1.902132E-01,0.000000E+00,2.857886E+03,0.000000E+00,1.751651E-01,0.000000E+00,2.879213E+03,0.000000E+00,1.764723E-01,0.000000E+00,2.977300E+03,1.577015E+02,1.824842E-01,1.103659E-02,2.977300E+03,5.853130E+02,1.824842E-01,4.096256E-02 
00:30:00,2.879213E+03,0.000000E+00,1.764723E-01,0.000000E+00,2.857886E+03,0.000000E+00,1.751651E-01,0.000000E+00,2.943703E+03,2.516543E+02,1.804250E-01,1.761178E-02,2.886872E+03,0.000000E+00,1.769417E-01,0.000000E+00,2.943703E+03,1.825173E+02,1.804250E-01,1.277330E-02,3.103402E+03,0.000000E+00,1.902132E-01,0.000000E+00,2.857886E+03,0.000000E+00,1.751651E-01,0.000000E+00,2.879213E+03,0.000000E+00,1.764723E-01,0.000000E+00,2.977300E+03,1.346067E+02,1.824842E-01,9.420320E-03,2.977300E+03,5.392503E+02,1.824842E-01,3.773891E-02 
00:45:00,2.879213E+03,0.000000E+00,1.764723E-01,0.000000E+00,2.857886E+03,0.000000E+00,1.751651E-01,0.000000E+00,2.943703E+03,2.231800E+02,1.804250E-01,1.561903E-02,2.886872E+03,0.000000E+00,1.769417E-01,0.000000E+00,2.943703E+03,1.572696E+02,1.804250E-01,1.100636E-02,3.103402E+03,0.000000E+00,1.902132E-01,0.000000E+00,2.857886E+03,0.000000E+00,1.751651E-01,0.000000E+00,2.879213E+03,0.000000E+00,1.764723E-01,0.000000E+00,2.977300E+03,1.122531E+02,1.824842E-01,7.855923E-03,2.977300E+03,4.949544E+02,1.824842E-01,3.463890E-02 
01:00:00,2.879213E+03,0.000000E+00,1.764723E-01,0.000000E+00,2.857886E+03,0.000000E+00,1.751651E-01,0.000000E+00,2.943703E+03,1.956540E+02,1.804250E-01,1.369265E-02,2.886872E+03,0.000000E+00,1.769417E-01,0.000000E+00,2.943703E+03,1.328730E+02,1.804250E-01,9.298990E-03,3.103402E+03,0.000000E+00,1.902132E-01,0.000000E+00,2.857886E+03,0.000000E+00,1.751651E-01,0.000000E+00,2.879213E+03,0.000000E+00,1.764723E-01,0.000000E+00,2.977300E+03,9.065755E+01,1.824842E-01,6.344580E-03,2.977300E+03,4.523693E+02,1.824842E-01,3.165863E-02 
01:15:00,2.879213E+03,0.000000E+00,1.764723E-01,0.000000E+00,2.857886E+03,0.000000E+00,1.751651E-01,0.000000E+00,2.943703E+03,1.691989E+02,1.804250E-01,1.184122E-02,2.886872E+03,0.000000E+00,1.769417E-01,0.000000E+00,2.943703E+03,1.094640E+02,1.804250E-01,7.660728E-03,3.103402E+03,0.000000E+00,1.902132E-01,0.000000E+00,2.857886E+03,0.000000E+00,1.751651E-01,0.000000E+00,2.879213E+03,0.000000E+00,1.764723E-01,0.000000E+00,2.977300E+03,6.996637E+01,1.824842E-01,4.896528E-03,2.977300E+03,4.115665E+02,1.824842E-01,2.880308E-02 
01:30:00,2.879213E+03,0.000000E+00,1.764723E-01,0.000000E+00,2.857886E+03,0.000000E+00,1.751651E-01,0.000000E+00,2.943703E+03,1.438248E+02,1.804250E-01,1.006544E-02,2.886872E+03,0.000000E+00,1.769417E-01,0.000000E+00,2.943703E+03,8.706603E+01,1.804250E-01,6.093231E-03,3.103402E+03,0.000000E+00,1.902132E-01,0.000000E+00,2.857886E+03,0.000000E+00,1.751651E-01,0.000000E+00,2.879213E+03,0.000000E+00,1.764723E-01,0.000000E+00,2.977300E+03,5.021513E+01,1.824842E-01,3.514257E-03,2.977300E+03,3.725057E+02,1.824842E-01,2.606945E-02 
01:45:00,2.879213E+03,0.000000E+00,1.764723E-01,0.000000E+00,2.857886E+03,0.000000E+00,1.751651E-01,0.000000E+00,2.943703E+03,1.195503E+02,1.804250E-01,8.366612E-03,2.886872E+03,0.000000E+00,1.769417E-01,0.000000E+00,2.943703E+03,6.571534E+01,1.804250E-01,4.599024E-03,3.103402E+03,0.000000E+00,1.902132E-01,0.000000E+00,2.857886E+03,0.000000E+00,1.751651E-01,0.000000E+00,2.879213E+03,0.000000E+00,1.764723E-01,0.000000E+00,2.977300E+03,3.145699E+01,1.824842E-01,2.201487E-03,2.977300E+03,3.351535E+02,1.824842E-01,2.345539E-02 
02:00:00,2.879213E+03,0.000000E+00,1.764723E-01,0.000000E+00,2.857886E+03,0.000000E+00,1.751651E-01,0.000000E+00,2.943703E+03,9.639940E+01,1.804250E-01,6.746418E-03,2.886872E+03,0.000000E+00,1.769417E-01,0.000000E+00,2.943703E+03,4.545550E+01,1.804250E-01,3.181159E-03,3.103402E+03,0.000000E+00,1.902132E-01,0.000000E+00,2.857886E+03,0.000000E+00,1.751651E-01,0.000000E+00,2.879213E+03,0.000000E+00,1.764723E-01,0.000000E+00,2.977300E+03,1.668430E+01,1.824842E-01,1.167635E-03,2.977300E+03,2.994801E+02,1.824842E-01,2.095882E-02 
02:15:00,2.879213E+03,0.000000E+00,1.764723E-01,0.000000E+00,2.857886E+03,0.000000E+00,1.751651E-01,0.000000E+00,2.943703E+03,7.428567E+01,1.804250E-01,5.198811E-03,2.886872E+03,0.000000E+00,1.769417E-01,0.000000E+00,2.943703E+03,2.654486E+01,1.804250E-01,1.857716E-03,3.103402E+03,0.000000E+00,1.902132E-01,0.000000E+00,2.857886E+03,0.000000E+00,1.751651E-01,0.000000E+00,2.879213E+03,0.000000E+00,1.764723E-01,0.000000E+00,2.977300E+03,6.653068E+00,1.824842E-01,4.656085E-04,2.977300E+03,2.653452E+02,1.824842E-01,1.856993E-02 
02:30:00,2.879213E+03,0.000000E+00,1.764723E-01,0.000000E+00,2.857886E+03,0.000000E+00,1.751651E-01,0.000000E+00,2.943703E+03,5.323166E+01,1.804250E-01,3.725366E-03,2.886872E+03,0.000000E+00,1.769417E-01,0.000000E+00,2.943703E+03,1.281535E+01,1.804250E-01,8.968698E-04,3.103402E+03,0.000000E+00,1.902132E-01,0.000000E+00,2.857886E+03,0.000000E+00,1.751651E-01,0.000000E+00,2.879213E+03,0.000000E+00,1.764723E-01,0.000000E+00,2.977300E+03,1.164092E+00,1.824842E-01,8.146783E-05,2.977300E+03,2.327075E+02,1.824842E-01,1.628581E-02 
