Time,AIR LOOP HVAC 1:Des Heat Mass Flow [kg/s],AIR LOOP HVAC 1:Des Cool Mass Flow [kg/s],AIR LOOP HVAC 1:Des Heat Cap [W],AIR LOOP HVAC 1:Des Sens Cool Cap [W] 
00:15:00,8.650936E-01,1.024128E-02,7.823670E+03,8.647044E+01 
00:30:00,8.650936E-01,7.763002E-03,7.823670E+03,6.455095E+01 
00:45:00,8.650936E-01,5.662480E-03,7.823670E+03,4.635920E+01 
01:00:00,8.650936E-01,3.677393E-03,7.823670E+03,2.963598E+01 
01:15:00,8.650936E-01,2.020336E-03,7.823670E+03,1.610926E+01 
01:30:00,8.650936E-01,8.735659E-04,7.823670E+03,6.890810E+00 
01:45:00,8.650936E-01,2.097408E-04,7.823670E+03,1.636550E+00 
02:00:00,8.650936E-01,0.000000E+00,7.823670E+03,0.000000E+00 
02:15:00,8.650936E-01,0.000000E+00,7.823670E+03,0.000000E+00 
02:30:00,8.650936E-01,0.000000E+00,7.823670E+03,0.000000E+00 
02:45:00,8.650936E-01,0.000000E+00,7.823670E+03,0.000000E+00 
03:00:00,8.650936E-01,0.000000E+00,7.823670E+03,0.000000E+00 
03:15:00,8.650936E-01,0.000000E+00,7.823670E+03,0.000000E+00 
03:30:00,8.650936E-01,0.000000E+00,7.823670E+03,0.000000E+00 
03:45:00,8.650936E-01,0.000000E+00,7.823670E+03,0.000000E+00 
04:00:00,8.650936E-01,0.000000E+00,7.823670E+03,0.000000E+00 
04:15:00,8.650936E-01,0.000000E+00,7.823670E+03,0.000000E+00 
04:30:00,8.650936E-01,0.000000E+00,7.823670E+03,0.000000E+00 
04:45:00,8.650936E-01,0.000000E+00,7.823670E+03,0.000000E+00 
05:00:00,8.650936E-01,0.000000E+00,7.823670E+03,0.000000E+00 
05:15:00,8.650936E-01,0.000000E+00,7.823670E+03,0.000000E+00 
05:30:00,8.650936E-01,0.000000E+00,7.823670E+03,0.000000E+00 
05:45:00,8.650936E-01,0.000000E+00,7.823670E+03,0.000000E+00 
06:00:00,8.650936E-01,0.000000E+00,7.823670E+03,0.000000E+00 
06:15:00,8.650936E-01,0.000000E+00,7.823670E+03,0.000000E+00 
06:30:00,8.650936E-01,0.000000E+00,7.823670E+03,0.000000E+00 
06:45:00,8.650936E-01,0.000000E+00,7.823670E+03,0.000000E+00 
07:00:00,8.650936E-01,2.633477E-03,7.823670E+03,2.054830E+01 
07:15:00,8.650936E-01,8.467658E-03,7.823670E+03,6.914463E+01 
07:30:00,8.650936E-01,1.774771E-02,7.823670E+03,1.513655E+02 
07:45:00,8.650936E-01,3.067618E-02,7.823670E+03,2.727647E+02 
08:00:00,8.650936E-01,4.805333E-02,7.823670E+03,4.447215E+02 
08:15:00,8.650936E-01,6.832508E-02,7.823670E+03,6.600516E+02 
08:30:00,8.650936E-01,8.878149E-02,7.823670E+03,8.936897E+02 
08:45:00,8.650936E-01,1.100306E-01,7.823670E+03,1.152228E+03 
09:00:00,8.650936E-01,1.277997E-01,7.823670E+03,1.390153E+03 
09:15:00,8.650936E-01,1.420683E-01,7.823670E+03,1.596932E+03 
09:30:00,8.650936E-01,1.565911E-01,7.823670E+03,1.817021E+03 
09:45:00,8.650936E-01,1.698453E-01,7.823670E+03,2.032472E+03 
10:00:00,8.650936E-01,1.829319E-01,7.823670E+03,2.255480E+03 
10:15:00,8.650936E-01,1.960916E-01,7.823670E+03,2.480542E+03 
10:30:00,8.650936E-01,2.075791E-01,7.823670E+03,2.692345E+03 
10:45:00,8.650936E-01,2.175858E-01,7.823670E+03,2.891826E+03 
11:00:00,8.650936E-01,2.286798E-01,7.823670E+03,3.112518E+03 
11:15:00,8.650936E-01,2.381266E-01,7.823670E+03,3.291944E+03 
11:30:00,8.650936E-01,2.454853E-01,7.823670E+03,3.446092E+03 
11:45:00,8.650936E-01,2.503172E-01,7.823670E+03,3.567373E+03 
12:00:00,8.650936E-01,2.493833E-01,7.823670E+03,3.607314E+03 
12:15:00,8.650936E-01,2.459230E-01,7.823670E+03,3.599272E+03 
12:30:00,8.650936E-01,2.423792E-01,7.823670E+03,3.588809E+03 
12:45:00,8.650936E-01,2.411483E-01,7.823670E+03,3.611779E+03 
13:00:00,8.650936E-01,2.439948E-01,7.823670E+03,3.696093E+03 
13:15:00,8.650936E-01,2.515767E-01,7.823670E+03,3.837806E+03 
13:30:00,8.650936E-01,2.629431E-01,7.823670E+03,4.039273E+03 
13:45:00,8.650936E-01,2.766216E-01,7.823670E+03,4.278933E+03 
14:00:00,8.650936E-01,2.908827E-01,7.823670E+03,4.530587E+03 
14:15:00,8.650936E-01,3.099466E-01,7.823670E+03,4.827514E+03 
14:30:00,8.650936E-01,3.314086E-01,7.823670E+03,5.161791E+03 
14:45:00,8.650936E-01,3.527457E-01,7.823670E+03,5.494123E+03 
15:00:00,8.650936E-01,3.756585E-01,7.823670E+03,5.850997E+03 
15:15:00,8.650936E-01,3.940671E-01,7.823670E+03,6.087228E+03 
15:30:00,8.650936E-01,4.091506E-01,7.823670E+03,6.267807E+03 
15:45:00,8.650936E-01,4.223463E-01,7.823670E+03,6.415841E+03 
16:00:00,8.650936E-01,4.312291E-01,7.823670E+03,6.495530E+03 
16:15:00,8.650936E-01,4.364963E-01,7.823670E+03,6.500305E+03 
16:30:00,8.650936E-01,4.372931E-01,7.823670E+03,6.437469E+03 
16:45:00,8.650936E-01,4.337308E-01,7.823670E+03,6.310937E+03 
17:00:00,8.650936E-01,4.263738E-01,7.823670E+03,6.131054E+03 
17:15:00,8.650936E-01,4.161638E-01,7.823670E+03,5.895373E+03 
17:30:00,8.650936E-01,4.045018E-01,7.823670E+03,5.643796E+03 
17:45:00,8.650936E-01,3.913806E-01,7.823670E+03,5.377150E+03 
18:00:00,8.650936E-01,3.758436E-01,7.823670E+03,5.083434E+03 
18:15:00,8.650936E-01,3.556585E-01,7.823670E+03,4.696505E+03 
18:30:00,8.650936E-01,3.285439E-01,7.823670E+03,4.233223E+03 
18:45:00,8.650936E-01,2.932044E-01,7.823670E+03,3.683967E+03 
19:00:00,8.650936E-01,2.516487E-01,7.823670E+03,3.081238E+03 
19:15:00,8.650936E-01,2.105093E-01,7.823670E+03,2.528073E+03 
19:30:00,8.650936E-01,1.750705E-01,7.823670E+03,2.061356E+03 
19:45:00,8.650936E-01,1.482817E-01,7.823670E+03,1.711104E+03 
20:00:00,8.650936E-01,1.300586E-01,7.823670E+03,1.470268E+03 
20:15:00,8.650936E-01,1.164318E-01,7.823670E+03,1.293846E+03 
20:30:00,8.650936E-01,1.046888E-01,7.823670E+03,1.143233E+03 
20:45:00,8.650936E-01,9.435285E-02,7.823670E+03,1.012229E+03 
21:00:00,8.650936E-01,8.511900E-02,7.823670E+03,8.968089E+02 
21:15:00,8.650936E-01,7.648881E-02,7.823670E+03,7.911821E+02 
21:30:00,8.650936E-01,6.834995E-02,7.823670E+03,6.938603E+02 
21:45:00,8.650936E-01,6.062673E-02,7.823670E+03,6.038062E+02 
